time,open,high,low,close,volume
2010-01-05,2.4,2.55,2.4,2.55,3070
2010-01-11,2.5,2.55,2.55,2.55,0
2010-01-13,2.67,2.67,2.67,2.67,10
2010-01-14,2.67,2.67,2.67,2.67,0
2010-01-26,2.35,2.35,2.31,2.31,3080
2010-01-27,2.31,2.31,2.31,2.31,100
2010-02-05,2.04,2.06,2.04,2.04,4600
2010-03-01,2.43,2.43,1.99,1.99,1210
2010-03-02,2.18,2.18,2.18,2.18,10
2010-03-03,2.4,2.4,2.31,2.31,1010
2010-03-04,2.52,2.52,2.09,2.09,90
2010-03-05,2.48,2.48,2.35,2.35,20
2010-03-08,2.43,2.43,2.43,2.43,10
2010-03-09,2.65,2.65,2.18,2.18,2240
2010-03-10,2.4,2.4,2.4,2.4,100
2010-03-11,2.62,2.62,2.62,2.62,50
2010-03-12,2.86,2.86,2.38,2.38,990
2010-03-15,2.67,2.67,2.18,2.18,2750
2010-03-16,2.4,2.4,1.97,2.28,3070
2010-03-17,2.48,2.48,2.18,2.23,390
2010-03-18,2.43,2.43,1.99,1.99,30
2010-03-19,2.33,2.33,2.33,2.33,10
2010-03-22,2.55,2.55,2.11,2.35,160
2010-03-23,2.57,2.57,2.14,2.14,30
2010-03-24,2.06,2.5,2.06,2.06,4080
2010-03-26,2.28,2.28,1.97,1.97,30
2010-03-29,2.26,2.26,2.26,2.26,25
2010-03-30,2.48,2.48,2.18,0.0,610
2010-03-31,2.26,2.26,2.26,2.26,10
2010-04-01,2.48,2.48,2.04,2.06,2500
2010-04-02,2.06,2.14,2.06,2.14,90
2010-04-05,2.11,2.18,1.94,2.18,8130
2010-04-06,1.94,1.94,1.94,1.94,100
2010-04-07,1.94,1.97,1.94,1.97,3800
2010-04-08,1.94,1.94,1.94,1.94,1200
2010-04-09,1.94,1.94,1.94,1.94,0
2010-04-12,2.14,2.14,1.77,2.09,2050
2010-04-13,2.28,2.28,1.89,1.94,1440
2010-04-14,2.14,2.14,2.14,0.0,1610
2010-04-15,2.18,2.18,2.18,2.18,50
2010-04-16,2.4,2.4,2.16,2.26,800
2010-04-19,2.48,2.48,2.18,2.18,1610
2010-04-20,2.43,2.43,2.33,2.4,1155
2010-04-21,2.55,2.55,2.18,2.21,9860
2010-04-22,2.43,2.43,2.18,2.26,4120
2010-04-26,2.43,2.43,2.18,2.18,5810
2010-04-27,2.52,2.52,2.52,2.52,10
2010-04-28,2.77,2.77,2.28,2.31,5110
2010-04-29,2.31,2.31,2.31,2.31,0
2010-05-04,2.52,2.52,2.18,2.38,30740
2010-05-05,2.67,2.67,2.18,2.67,8717
2010-05-06,2.43,2.6,2.38,2.6,17943
2010-05-07,2.52,2.77,2.52,2.77,28632
