time,open,high,low,close,volume
2010-01-04,10.03,10.51,10.13,10.51,153010
2010-01-05,10.51,10.99,10.03,10.8,85700
2010-01-06,10.8,10.9,10.51,10.61,139130
2010-01-07,10.61,11.09,10.99,11.09,324660
2010-01-08,11.09,11.57,10.8,10.8,349060
2010-01-11,10.8,11.28,10.7,11.09,124510
2010-01-12,11.09,11.28,10.9,10.9,179960
2010-01-13,10.9,10.99,10.42,10.9,160750
2010-01-14,10.9,11.19,10.9,10.9,168720
2010-01-15,10.9,11.38,10.51,11.19,547570
2010-01-18,11.19,11.19,10.8,10.99,279130
2010-01-19,10.99,11.48,10.99,11.48,355460
2010-01-20,11.88,11.78,11.38,11.68,315210
2010-01-21,11.68,11.58,11.28,11.48,370540
2010-01-22,11.48,11.48,11.08,11.48,144500
2010-01-25,11.48,11.48,11.38,11.48,172560
2010-01-26,11.48,11.98,11.38,11.98,303990
2010-01-27,11.98,11.98,11.48,11.88,91380
2010-01-28,11.88,11.68,11.48,11.68,80240
2010-01-29,11.68,11.78,11.48,11.78,60360
2010-02-01,11.78,11.78,11.48,11.78,50450
2010-02-02,11.78,11.88,11.58,11.58,33950
2010-02-03,11.58,11.68,11.48,11.58,22010
2010-02-04,11.58,11.58,11.28,11.58,54920
2010-02-05,11.58,11.48,11.18,11.18,50160
2010-02-08,11.18,11.28,11.18,11.18,1760
2010-02-09,11.18,11.08,10.68,10.88,43600
2010-02-10,10.88,10.98,10.88,10.98,29690
2010-02-11,10.98,11.08,10.98,10.98,17240
2010-02-12,10.98,11.38,11.08,11.18,18410
2010-02-22,11.18,11.38,10.98,10.98,48920
2010-02-23,10.98,10.98,10.58,10.58,41110
2010-02-24,10.58,10.78,10.38,10.38,19220
2010-02-25,10.38,10.68,10.38,10.68,44990
2010-02-26,10.68,10.68,10.38,10.58,4050
2010-03-01,10.58,10.88,10.68,10.78,19580
2010-03-02,10.78,10.98,10.68,10.98,23060
2010-03-03,10.98,11.18,10.98,11.18,21120
