time,open,high,low,close,volume
2010-01-04,12.32,12.67,12.32,12.67,302470
2010-01-05,13.22,13.27,12.67,12.77,528380
2010-01-06,12.62,13.37,12.47,13.37,445200
2010-01-07,14.03,14.03,13.37,14.03,582470
2010-01-08,14.68,14.68,13.37,13.37,465330
2010-01-11,13.83,13.88,13.07,13.57,284470
2010-01-12,13.47,13.93,12.92,12.92,211180
2010-01-13,12.92,13.27,12.32,13.27,216360
2010-01-14,13.78,13.78,13.32,13.37,275580
2010-01-15,13.32,13.37,12.97,13.07,200790
2010-01-18,12.57,12.72,12.42,12.42,306720
2010-01-19,11.82,12.07,11.82,11.82,974900
2010-01-20,11.36,11.82,11.36,11.46,327050
2010-01-21,11.46,11.76,11.31,11.56,201070
2010-01-22,11.16,11.61,11.16,11.56,100710
2010-01-25,11.31,11.56,11.21,11.51,72260
2010-01-26,11.56,12.02,11.56,12.02,194690
2010-01-27,11.61,11.92,11.46,11.46,95470
2010-01-28,11.46,11.46,11.11,11.11,51400
2010-01-29,11.06,11.16,10.71,10.86,99210
2010-02-01,10.76,10.96,10.76,10.86,21410
2010-02-02,10.86,10.86,10.66,10.81,115600
2010-02-03,10.81,11.06,10.81,11.06,56860
2010-02-04,11.06,11.31,10.86,11.06,23350
2010-02-05,11.06,11.06,10.76,10.76,107160
2010-02-08,11.01,11.01,10.71,10.71,24640
2010-02-09,10.51,10.76,10.46,10.46,63980
2010-02-10,10.81,10.86,10.71,10.76,13440
2010-02-11,10.96,10.96,10.76,10.86,47720
2010-02-12,10.86,11.31,10.86,11.26,61750
2010-02-22,11.56,11.56,11.26,11.31,22350
2010-02-23,11.06,11.11,10.91,11.06,13350
2010-02-24,10.66,10.96,10.66,10.91,42360
2010-02-25,10.86,11.11,10.81,10.86,34750
2010-02-26,10.86,10.96,10.76,10.96,44840
2010-03-01,10.76,11.16,10.76,11.06,64870
2010-03-02,10.91,11.06,10.81,10.86,66750
2010-03-03,11.06,11.06,10.71,11.01,27060
2010-03-04,11.51,11.51,11.06,11.46,277580
2010-03-05,11.46,11.46,11.31,11.31,58020
2010-03-08,11.76,11.87,11.56,11.71,130550
2010-03-09,11.46,11.71,11.46,11.51,45000
2010-03-10,11.36,11.46,11.06,11.06,90200
2010-03-11,11.16,11.16,10.96,11.06,65530
2010-03-12,11.31,11.31,11.06,11.06,61910
2010-03-15,11.06,11.21,10.96,11.01,98410
2010-03-16,11.51,11.51,11.46,11.51,476510
2010-03-17,11.82,11.87,11.16,11.16,107720
2010-03-18,11.31,11.36,11.11,11.31,44240
2010-03-19,11.31,11.41,11.06,11.16,93590
2010-03-22,11.11,11.16,10.96,10.96,131010
2010-03-23,11.06,11.06,10.71,10.71,54380
2010-03-24,10.71,11.01,10.71,11.01,90790
2010-03-25,10.91,10.96,10.51,10.56,125370
2010-03-26,10.76,10.76,10.31,10.46,61700
2010-03-29,10.81,10.81,10.51,10.51,41040
2010-03-30,10.36,10.41,10.11,10.11,121040
2010-03-31,10.11,10.41,10.11,10.21,42810
2010-04-01,10.31,10.56,10.21,10.46,42620
2010-04-02,10.61,10.61,10.46,10.46,39190
2010-04-05,10.36,10.56,10.31,10.46,41930
2010-04-06,10.56,10.66,10.46,10.46,83180
2010-04-07,10.41,10.56,10.41,10.56,46610
2010-04-08,10.41,10.56,10.26,10.36,131830
2010-04-09,10.36,10.51,10.36,10.41,50660
2010-04-12,10.41,10.51,10.36,10.36,67090
2010-04-13,10.41,10.41,10.31,10.31,34570
2010-04-14,10.31,10.31,10.06,10.26,33830
2010-04-15,10.26,10.26,10.16,10.26,78230
2010-04-16,10.36,10.46,10.26,10.36,43890
2010-04-19,10.21,10.31,10.16,10.16,45600
2010-04-20,10.16,10.31,10.16,10.31,74000
2010-04-21,10.21,10.31,10.16,10.21,46090
2010-04-22,10.51,10.71,10.31,10.71,173450
2010-04-26,11.21,11.21,11.21,11.21,116180
2010-04-27,11.76,11.76,11.76,11.76,77280
2010-04-28,12.32,12.32,12.32,12.32,165070
2010-04-29,12.92,12.92,12.32,12.47,789880
2010-05-04,11.92,12.22,11.87,11.97,347950
2010-05-05,11.82,12.02,11.56,11.61,282930
2010-05-06,11.71,12.17,11.61,12.17,456270
2010-05-07,12.75,12.75,12.61,12.75,576230
2010-05-10,13.01,13.01,12.22,12.88,281780
2010-05-11,12.88,12.88,12.48,12.48,230890
2010-05-12,12.22,12.35,11.89,11.89,339570
2010-05-13,12.15,12.15,11.5,11.63,150330
2010-05-14,11.63,11.96,11.63,11.96,77920
2010-05-17,12.09,12.09,11.69,11.69,78950
2010-05-18,11.5,11.69,11.37,11.56,28960
2010-05-19,11.83,11.83,11.1,11.1,84600
2010-05-20,10.64,11.56,10.64,11.56,142580
2010-05-21,11.04,11.17,11.04,11.04,203700
