time,open,high,low,close,volume
2010-09-17,12.92,12.92,10.58,11.7,117200
2010-09-20,12.24,12.27,12.24,12.27,53600
2010-09-21,13.1,13.1,12.27,12.56,39100
2010-09-22,12.81,12.92,11.77,11.77,17000
2010-09-23,11.3,11.8,11.3,11.3,76700
2010-09-24,11.52,11.52,11.44,11.44,5500
2010-09-27,11.88,11.88,10.69,10.69,75600
2010-09-28,11.12,11.12,10.04,10.08,20800
2010-09-29,10.76,10.76,10.26,10.26,400
2010-09-30,10.08,10.08,9.9,9.9,29400
2010-10-01,9.72,10.08,9.21,9.25,64600
2010-10-04,9.86,9.86,8.78,8.78,24800
2010-10-05,8.21,8.89,8.21,8.82,27400
2010-10-06,9.32,9.32,9.0,9.14,2200
2010-10-07,9.28,9.28,8.42,8.64,7200
2010-10-08,8.46,8.49,8.46,8.46,3700
2010-10-11,7.95,8.06,7.88,7.92,28100
2010-10-12,8.28,8.28,7.45,7.85,4400
2010-10-13,8.03,8.03,8.03,8.03,500
2010-10-14,8.31,8.31,7.56,7.59,19700
2010-10-15,7.88,7.88,7.56,7.88,2600
2010-10-18,7.99,7.99,7.16,7.7,6900
2010-10-19,7.02,7.02,7.02,7.02,9000
2010-10-20,6.55,7.16,6.55,6.55,2800
2010-10-21,6.23,7.09,6.23,6.55,2100
2010-10-22,7.02,7.16,6.41,6.41,34100
2010-10-25,6.73,6.73,6.08,6.08,18700
2010-10-26,6.41,6.55,6.41,6.55,29700
2010-10-27,6.69,6.73,6.3,6.3,15800
2010-10-28,6.15,6.15,6.15,6.15,8600
2010-10-29,6.55,6.55,5.76,5.76,12100
2010-11-01,6.41,6.41,5.61,5.61,18700
2010-11-02,5.33,5.69,5.29,5.4,31600
2010-11-03,5.33,5.33,4.97,5.29,21100
2010-11-04,5.36,5.4,5.33,5.4,18100
2010-11-05,5.69,5.72,5.69,5.72,24200
2010-11-08,6.01,6.01,5.33,5.47,10700
2010-11-09,5.47,5.47,5.07,5.11,42100
2010-11-10,5.29,5.36,5.22,5.22,3500
2010-11-11,5.04,5.22,4.89,4.89,20400
2010-11-12,5.11,5.11,4.64,4.68,10400
2010-11-15,4.97,4.97,4.39,4.68,4300
2010-11-16,4.57,4.82,4.5,4.82,1900
2010-11-17,4.86,4.89,4.61,4.68,8200
2010-11-18,4.82,4.89,4.75,4.82,12500
2010-11-19,4.93,4.93,4.53,4.61,21000
2010-11-22,4.61,4.68,4.32,4.35,5900
2010-11-23,4.64,4.68,4.64,4.68,5800
2010-11-24,4.43,4.61,4.39,4.61,9400
2010-11-25,4.68,4.75,4.53,4.75,29200
2010-11-26,4.71,4.93,4.5,4.71,17400
2010-11-29,5.0,5.04,5.0,5.04,27900
2010-11-30,5.22,5.36,5.22,5.36,23600
2010-12-01,5.72,5.72,5.4,5.4,46000
2010-12-02,5.72,5.94,5.29,5.72,15600
2010-12-03,6.19,6.19,5.51,5.58,40600
2010-12-06,5.65,6.01,5.65,5.94,40600
2010-12-07,5.94,6.12,5.54,5.54,13900
2010-12-08,5.25,5.25,5.25,5.25,10700
2010-12-09,4.89,5.43,4.89,5.33,28500
2010-12-10,5.33,5.33,5.33,5.33,16200
2010-12-13,5.69,5.69,5.54,5.65,38500
2010-12-14,5.4,5.76,5.36,5.36,20100
2010-12-15,5.47,5.47,5.15,5.47,9600
2010-12-16,4.89,4.93,4.89,4.89,25500
2010-12-17,4.57,4.93,4.57,4.93,17100
2010-12-20,5.0,5.0,4.82,5.0,20700
2010-12-21,5.29,5.29,5.25,5.29,10300
2010-12-22,5.65,5.65,5.65,5.65,36900
2010-12-23,5.97,5.97,5.4,5.4,42300
2010-12-24,5.69,5.69,5.22,5.25,13400
2010-12-27,5.58,5.58,4.89,5.04,48700
2010-12-28,5.04,5.36,5.04,5.36,4600
2010-12-29,5.65,5.65,5.04,5.04,3600
2010-12-30,5.43,5.43,5.43,5.43,300
2010-12-31,5.4,5.4,5.07,5.11,7400
2011-01-04,5.36,5.36,5.04,5.04,10300
2011-01-05,5.07,5.15,4.93,5.07,3100
2011-01-06,5.04,5.04,5.0,5.0,1900
2011-01-07,5.22,5.22,4.86,4.89,7900
2011-01-10,5.18,5.29,4.97,5.0,8500
2011-01-11,5.07,5.15,5.04,5.04,10600
2011-01-12,5.11,5.15,5.11,5.15,13000
2011-01-13,5.22,5.4,5.22,5.36,2700
2011-01-14,5.43,5.69,5.43,5.69,104400
2011-01-17,6.08,6.08,6.08,6.08,18200
2011-01-18,6.48,6.48,6.12,6.48,227400
2011-01-19,6.44,6.87,6.44,6.87,58800
2011-01-20,7.27,7.27,6.48,6.66,44500
2011-01-21,7.23,7.23,6.37,6.37,57000
2011-01-24,6.51,6.91,6.08,6.08,25300
2011-01-25,5.79,5.79,5.79,5.79,43900
2011-01-26,5.47,5.79,5.4,5.76,29200
2011-01-27,5.69,5.87,5.69,5.83,11300
2011-01-28,6.01,6.05,5.79,5.79,8800
2011-02-08,6.23,6.23,5.54,5.87,16300
2011-02-09,5.76,5.9,5.4,5.43,20300
2011-02-10,5.29,5.54,5.25,5.25,18100
2011-02-11,5.29,5.54,5.25,5.25,13800
2011-02-14,5.76,5.76,5.33,5.4,25300
2011-02-15,5.43,5.43,5.22,5.25,12100
2011-02-16,5.61,5.61,5.11,5.18,22200
2011-02-17,5.11,5.11,5.04,5.11,14800
2011-02-18,5.15,5.15,4.97,4.97,14200
2011-02-21,4.89,4.89,4.71,4.71,23100
2011-02-22,4.43,4.75,4.39,4.46,35100
2011-02-23,4.68,4.68,4.32,4.61,20100
2011-02-24,4.43,4.43,4.21,4.32,15800
2011-02-25,4.57,4.61,4.35,4.61,11500
2011-02-28,4.79,4.79,4.53,4.57,8200
2011-03-01,4.64,4.64,4.35,4.57,9500
2011-03-02,4.28,4.28,4.14,4.14,22800
2011-03-03,4.1,4.1,3.92,3.92,12700
2011-03-04,4.17,4.17,3.96,4.1,3200
2011-03-07,3.99,3.99,3.96,3.96,5100
2011-03-08,4.14,4.14,3.96,3.96,4900
2011-03-09,3.92,3.92,3.78,3.78,9300
2011-03-10,3.92,4.07,3.92,4.07,19600
2011-03-11,4.28,4.32,4.28,4.32,38200
2011-03-14,4.57,4.57,4.03,4.07,25800
2011-03-15,4.25,4.25,3.89,4.07,4000
2011-03-16,4.14,4.17,3.89,3.92,15700
2011-03-17,4.03,4.14,3.96,3.99,15000
