time,open,high,low,close,volume
2012-03-12,10.72,10.72,10.72,10.72,5000
2012-03-13,11.21,11.21,11.21,11.21,200
2012-03-14,11.59,11.59,11.59,11.59,100
2012-03-15,11.88,11.88,11.88,11.88,200
2012-03-16,11.88,11.88,11.88,11.88,0
2012-03-19,12.08,12.08,12.08,12.08,500
2012-03-20,12.17,12.56,12.17,12.56,2000
2012-03-21,12.95,13.33,12.95,13.33,8500
2012-03-22,13.53,13.53,13.53,13.53,2000
2012-03-23,13.62,13.62,13.62,13.62,2000
2012-03-26,13.53,13.53,13.33,13.33,3000
2012-03-27,13.33,13.33,13.33,13.33,0
2012-03-28,13.33,13.33,13.33,13.33,0
2012-03-29,13.33,13.33,13.33,13.33,1000
2012-03-30,12.46,12.46,12.46,12.46,2000
2012-04-03,13.33,13.33,13.33,13.33,100
2012-04-04,14.01,14.01,14.01,14.01,100
2012-04-05,14.11,14.11,13.82,13.82,2300
2012-04-06,13.82,13.82,13.82,13.82,0
2012-04-09,13.82,13.82,13.82,13.82,0
2012-04-10,13.82,13.82,13.82,13.82,0
2012-04-11,13.82,13.82,13.82,13.82,0
2012-04-12,13.82,13.82,13.82,13.82,0
2012-04-13,13.82,13.82,13.82,13.82,0
2012-04-16,14.39,14.39,13.82,13.82,1600
2012-04-17,13.82,13.82,13.82,13.82,0
2012-04-18,14.01,14.01,14.01,14.01,100
2012-04-19,14.01,14.59,14.01,14.39,51200
2012-04-20,14.97,15.36,14.78,15.36,78100
2012-04-23,15.36,16.23,15.36,16.13,95200
2012-04-24,16.62,16.62,15.07,15.07,114600
2012-04-25,15.36,15.84,14.78,15.55,99200
2012-04-26,14.88,15.07,14.11,14.11,85900
2012-04-27,13.62,14.68,13.62,14.2,98000
2012-05-02,14.01,14.59,14.01,14.3,82000
2012-05-03,13.72,14.39,13.72,14.3,80500
2012-05-04,14.39,14.49,14.3,14.3,76900
2012-05-07,14.49,15.26,14.49,15.26,108900
2012-05-08,16.33,16.33,16.33,16.33,123600
2012-05-09,17.39,17.39,16.13,16.13,122000
2012-05-10,16.62,16.71,15.94,15.94,116500
2012-05-11,16.04,16.04,14.88,14.88,114400
2012-05-14,14.88,14.97,13.91,13.91,122000
2012-05-15,13.33,13.91,13.14,13.14,118700
2012-05-16,13.14,14.11,13.04,13.53,137600
2012-05-17,13.53,13.82,13.04,13.04,122800
2012-05-18,13.14,13.43,12.95,13.33,143900
2012-05-21,13.24,14.2,13.24,14.2,122000
2012-05-22,14.59,15.07,13.24,13.82,129600
2012-05-23,13.33,13.33,13.14,13.24,122800
2012-05-24,13.24,13.43,12.95,13.04,120800
2012-05-25,13.24,14.01,13.14,14.01,112400
2012-05-28,14.11,14.78,13.82,13.82,139500
2012-05-29,13.91,13.91,13.33,13.72,99900
2012-05-30,13.62,13.91,13.53,13.72,119600
2012-05-31,13.62,13.62,13.33,13.33,124500
2012-06-01,13.43,14.3,13.43,14.3,59400
2012-06-04,15.26,15.26,13.33,14.01,137200
2012-06-05,13.53,14.39,13.53,14.39,124900
2012-06-06,14.49,15.36,14.39,15.36,128500
2012-06-07,15.46,16.42,15.46,16.42,349400
2012-06-08,16.91,17.49,15.46,15.46,142900
2012-06-11,16.04,16.42,15.46,15.46,114600
2012-06-12,15.75,15.94,14.59,15.17,125600
2012-06-13,14.88,15.07,14.3,14.3,113600
2012-06-14,14.49,14.59,14.01,14.2,116900
2012-06-15,14.2,14.88,14.01,14.39,130100
2012-06-18,14.39,15.26,14.3,14.59,128500
2012-06-19,14.68,14.68,14.2,14.49,118200
2012-06-20,14.59,15.07,14.39,14.59,121100
2012-06-21,14.59,14.88,14.39,14.59,127300
2012-06-22,14.68,14.78,14.3,14.39,129500
2012-06-25,14.3,14.3,13.91,13.91,114200
2012-06-26,14.01,14.01,13.62,13.91,111700
2012-06-27,13.82,14.11,13.62,13.62,131900
2012-06-28,13.82,14.11,13.62,13.91,132200
2012-06-29,13.91,14.3,13.91,14.11,106300
2012-07-02,14.11,14.39,13.82,14.01,121800
2012-07-03,14.01,14.3,13.62,13.82,98900
2012-07-04,13.82,14.2,13.53,13.62,141300
2012-07-05,13.62,13.91,13.53,13.72,121500
2012-07-06,13.82,14.2,13.62,13.91,142100
2012-07-09,13.91,14.11,13.72,13.72,111500
2012-07-10,13.72,13.91,13.53,13.53,116700
2012-07-11,13.62,14.01,13.62,13.72,122200
2012-07-12,13.72,14.01,13.62,13.72,137900
2012-07-13,13.72,14.01,13.72,13.91,157000
2012-07-16,13.91,14.11,13.43,13.53,146000
2012-07-17,13.43,13.91,13.24,13.82,139300
2012-07-18,13.91,14.11,13.62,13.72,150100
2012-07-19,13.72,14.59,13.53,14.2,152200
2012-07-20,14.11,14.49,13.72,13.72,158200
2012-07-23,13.82,13.91,13.62,13.72,147200
2012-07-24,13.72,13.82,13.62,13.62,146500
2012-07-25,13.72,13.91,13.62,13.72,138600
2012-07-26,13.72,13.91,13.62,13.82,149200
2012-07-27,13.82,14.01,13.62,13.82,143800
2012-07-30,13.43,13.72,13.43,13.53,99900
2012-07-31,13.53,13.91,13.43,13.43,147600
2012-08-01,13.62,13.62,13.43,13.43,156600
2012-08-02,13.43,14.3,13.43,13.62,156000
2012-08-03,13.62,13.91,13.53,13.62,124700
2012-08-06,13.62,14.49,13.62,14.2,152600
2012-08-07,14.11,14.11,13.72,13.72,145900
2012-08-08,13.72,14.2,13.72,13.82,143100
2012-08-09,13.82,14.11,13.82,13.91,120300
2012-08-10,13.91,14.01,13.62,13.72,151200
2012-08-13,13.72,13.82,13.53,13.62,139000
2012-08-14,13.62,14.01,13.62,13.82,144000
2012-08-15,13.82,14.01,13.53,13.53,135000
2012-08-16,13.43,13.72,13.43,13.53,131500
2012-08-17,13.62,13.82,13.53,13.72,137100
2012-08-20,13.62,14.01,13.62,13.82,139700
2012-08-21,13.82,13.82,13.04,13.04,98700
2012-08-22,13.04,13.33,12.95,13.24,138700
2012-08-23,13.24,13.24,12.75,12.85,136300
2012-08-24,12.85,13.72,12.66,13.33,99100
2012-08-27,13.33,13.33,13.04,13.14,83300
2012-08-28,13.14,13.24,12.95,13.24,115200
2012-08-29,13.14,14.01,13.14,14.01,119100
2012-08-30,13.91,14.11,13.72,13.91,168100
2012-08-31,13.82,13.82,13.62,13.72,155000
2012-09-04,13.72,14.01,13.72,14.01,150400
2012-09-05,13.82,14.01,13.43,13.53,131100
2012-09-06,13.33,13.62,13.33,13.43,146300
2012-09-07,13.43,13.72,13.33,13.53,143500
2012-09-10,13.53,13.53,13.14,13.33,129700
