time,open,high,low,close,volume
2010-01-04,20.73,21.71,20.73,21.71,9390
2010-01-05,22.76,22.76,21.78,21.86,13730
2010-01-06,21.86,21.86,21.26,21.86,8600
2010-01-07,21.86,22.91,21.78,22.91,55340
2010-01-08,24.04,24.04,23.74,23.74,33000
2010-01-11,22.76,22.84,22.61,22.61,7630
2010-01-12,22.99,22.99,22.01,22.01,3600
2010-01-13,21.1,21.18,20.95,21.1,6640
2010-01-14,21.1,21.48,21.1,21.26,4540
2010-01-15,21.26,21.26,20.2,20.2,29760
2010-01-18,19.37,21.18,19.22,21.18,10800
2010-01-19,21.86,21.86,21.18,21.18,1800
2010-01-20,20.28,20.28,20.12,20.12,11170
2010-01-21,19.3,19.37,19.22,19.37,15020
2010-01-22,18.62,19.6,18.62,19.37,6160
2010-01-25,19.22,19.82,19.07,19.82,7700
2010-01-26,20.58,20.73,19.6,20.58,13280
2010-01-27,19.67,20.35,19.6,20.35,9660
2010-01-28,19.67,20.35,19.6,20.12,5120
2010-01-29,19.6,20.35,19.6,20.12,11000
2010-02-01,20.35,20.35,20.35,20.35,4690
2010-02-02,20.35,20.35,20.35,20.35,7600
2010-02-03,20.5,20.5,19.97,20.5,6800
2010-02-04,20.5,20.73,20.35,20.5,3770
2010-02-05,20.73,20.73,19.6,20.73,3200
2010-02-08,20.35,20.35,20.2,20.35,620
2010-02-09,20.35,20.35,20.35,20.35,900
2010-02-10,20.35,20.35,20.35,20.35,5020
2010-02-11,20.58,20.58,20.2,20.58,1850
2010-02-12,20.35,20.58,20.35,20.35,7190
2010-02-22,20.35,20.43,20.35,20.35,1700
2010-02-23,20.35,20.35,19.82,19.82,1760
2010-02-24,19.37,19.82,19.37,19.82,1080
2010-02-25,19.22,20.35,19.22,19.82,7280
2010-02-26,19.97,20.2,19.82,19.97,160
2010-03-01,19.97,20.35,19.97,19.97,4030
2010-03-02,19.97,19.97,19.37,19.97,3000
2010-03-03,19.6,19.97,19.6,19.97,9280
2010-03-04,20.35,20.35,19.97,20.35,3550
2010-03-05,20.73,20.73,20.35,20.73,3050
2010-03-08,21.33,21.33,21.1,21.33,4630
2010-03-09,22.16,22.16,21.26,22.16,5280
2010-03-10,21.56,21.86,21.48,21.86,5430
2010-03-11,21.86,22.01,21.48,21.86,4330
2010-03-12,21.86,21.86,21.86,21.86,1250
2010-03-15,21.86,22.01,21.86,21.86,2330
2010-03-16,21.48,21.48,21.26,21.26,4120
2010-03-17,20.58,21.26,20.58,20.73,11650
2010-03-18,20.95,20.95,20.73,20.95,1000
2010-03-19,21.78,21.78,20.95,21.1,2130
2010-03-22,20.95,20.95,20.73,20.95,12780
2010-03-23,21.1,21.1,20.95,21.1,7660
2010-03-24,21.1,21.41,21.1,21.41,17800
2010-03-25,22.08,22.08,21.1,21.86,6730
2010-03-26,21.26,21.86,21.26,21.78,3770
2010-03-29,21.78,21.86,21.26,21.78,5890
2010-03-30,21.33,21.86,21.33,21.33,4360
2010-03-31,21.1,21.33,21.1,21.1,4620
2010-04-01,21.1,21.1,20.95,21.1,9130
2010-04-02,21.48,21.48,21.1,21.41,10420
2010-04-05,21.41,21.71,21.26,21.71,27010
2010-04-06,21.48,21.71,21.26,21.26,37510
2010-04-07,21.33,21.48,21.18,21.33,11580
2010-04-08,21.48,21.48,21.18,21.48,10550
2010-04-09,22.39,22.39,21.71,22.23,14500
2010-04-12,22.08,22.39,21.93,22.08,4950
2010-04-13,22.08,22.23,22.08,22.08,13380
2010-04-14,22.61,22.61,22.39,22.61,18590
2010-04-15,22.46,22.61,22.46,22.61,10620
2010-04-16,22.61,22.76,22.61,22.61,31340
2010-04-19,22.91,22.91,22.61,22.76,30230
2010-04-20,23.29,23.29,22.84,22.84,18470
2010-04-21,22.84,23.14,22.84,23.14,31470
2010-04-22,23.14,23.74,23.06,23.37,49120
2010-04-26,22.99,24.5,22.23,22.23,146920
2010-04-27,21.93,22.46,21.63,21.63,45050
2010-04-28,22.69,22.69,22.69,22.69,14740
2010-04-29,23.82,23.82,23.82,23.82,55550
2010-05-04,24.95,24.95,24.12,24.12,81360
2010-05-05,24.12,24.87,24.12,24.87,163930
2010-05-06,24.87,26.0,24.87,25.25,206780
2010-05-07,25.25,25.25,24.04,24.04,137460
2010-05-10,23.89,24.04,23.37,23.74,61840
2010-05-11,23.74,23.82,23.14,23.29,53620
2010-05-12,23.29,23.37,22.23,22.23,58570
2010-05-13,23.14,23.14,22.31,22.54,29510
2010-05-14,22.38,23.18,22.38,22.46,10520
2010-05-17,22.22,22.22,21.34,21.34,25310
2010-05-18,20.78,21.02,20.78,21.02,13420
2010-05-19,20.94,20.94,19.98,19.98,117480
2010-05-20,20.3,20.7,19.58,20.3,18780
2010-05-21,19.5,19.58,19.34,19.34,105410
2010-05-24,19.34,20.3,19.34,19.34,6020
2010-05-25,19.34,19.42,19.18,19.18,6000
2010-05-26,19.34,20.14,19.18,20.14,7150
2010-05-27,20.54,21.1,20.14,21.1,27700
2010-05-28,22.14,22.14,21.58,22.14,45610
2010-05-31,22.22,22.22,21.42,22.22,10410
2010-06-01,21.5,22.22,21.5,21.5,4300
2010-06-02,21.18,21.98,21.1,21.98,8010
2010-06-03,21.5,21.98,21.5,21.66,11810
2010-06-04,21.66,21.98,21.66,21.9,18980
2010-06-07,21.26,21.98,21.26,21.66,14420
2010-06-08,21.58,21.66,21.5,21.58,15570
2010-06-09,21.58,21.58,21.5,21.58,22890
2010-06-10,21.74,21.74,21.58,21.74,5750
2010-06-11,21.82,21.98,21.58,21.82,10860
2010-06-14,21.82,22.38,21.66,21.82,8890
2010-06-15,21.58,21.82,21.58,21.58,12160
2010-06-16,21.9,21.9,21.58,21.74,38630
2010-06-17,21.5,21.74,21.5,21.66,15000
2010-06-18,21.66,21.66,21.58,21.66,15580
2010-06-21,21.74,21.74,21.66,21.74,12700
2010-06-22,21.9,21.9,21.74,21.74,12500
2010-06-23,21.74,21.82,21.74,21.74,3250
2010-06-24,21.66,21.9,21.66,21.9,18380
2010-06-25,21.66,21.82,21.66,21.82,5260
2010-06-28,21.58,22.86,21.58,21.58,11220
2010-06-29,21.58,21.74,21.58,21.74,13840
