time,open,high,low,close,volume
2010-11-23,21.34,21.34,15.17,18.87,222050
2010-11-24,18.87,18.87,17.93,18.87,97530
2010-11-25,17.93,18.15,17.93,17.93,6750
2010-11-26,17.06,18.8,17.06,17.06,36720
2010-11-29,16.26,16.69,16.26,16.69,66010
2010-11-30,16.11,17.06,16.11,16.77,97700
2010-12-01,16.33,16.69,16.33,16.33,26550
2010-12-02,16.33,16.48,16.04,16.33,80100
2010-12-03,16.33,16.48,16.33,16.4,61750
2010-12-06,16.4,16.4,15.82,16.4,74370
2010-12-07,15.61,15.9,15.61,15.61,46400
2010-12-08,14.88,14.88,14.88,14.88,68310
2010-12-09,14.81,14.88,14.15,14.81,62250
2010-12-10,14.3,14.81,14.15,14.15,71330
2010-12-13,14.3,14.81,14.3,14.81,167210
2010-12-14,14.3,15.39,14.3,14.37,39980
2010-12-15,14.44,14.52,13.79,14.44,151800
2010-12-16,14.52,15.1,14.52,15.1,616110
2010-12-17,15.82,15.82,15.75,15.82,283960
2010-12-20,16.55,16.55,15.82,16.55,431610
2010-12-21,16.4,16.55,15.75,15.75,113730
2010-12-22,15.03,15.53,15.03,15.1,226470
2010-12-23,15.24,15.24,14.66,14.73,80700
2010-12-24,14.59,15.46,14.59,15.32,130240
2010-12-27,15.82,15.82,15.17,15.82,96020
2010-12-28,16.19,16.55,15.82,16.55,485030
2010-12-29,16.62,16.84,15.75,16.84,381420
2010-12-30,16.84,17.42,16.04,17.06,749830
2010-12-31,16.26,16.55,16.26,16.26,177560
2011-01-04,16.26,16.55,15.46,15.53,40520
2011-01-05,15.53,15.53,14.95,14.95,55450
2011-01-06,14.95,15.32,14.52,14.81,140810
2011-01-07,14.81,15.24,14.88,14.95,55240
2011-01-10,15.24,15.32,14.95,15.24,43670
2011-01-11,15.24,15.24,14.59,14.59,32780
2011-01-12,14.52,15.03,14.52,14.66,50650
2011-01-13,14.52,15.17,14.52,14.73,36310
2011-01-14,14.95,14.95,14.73,14.95,43650
2011-01-17,14.95,15.24,14.95,15.03,68310
2011-01-18,15.03,15.17,14.81,14.81,41920
2011-01-19,14.88,15.1,14.73,15.03,39590
2011-01-20,14.95,15.03,14.81,14.81,36380
2011-01-21,14.88,14.95,14.73,14.73,36630
2011-01-24,15.03,15.03,14.52,14.66,9990
2011-01-25,14.37,14.66,14.37,14.59,45280
2011-01-26,14.81,14.81,14.52,14.52,36790
2011-01-27,14.3,14.73,14.3,14.59,56220
2011-01-28,14.66,15.1,14.44,14.59,38020
2011-02-08,14.59,14.66,14.15,14.66,39000
2011-02-09,14.37,14.59,14.37,14.59,55020
2011-02-10,14.59,14.81,14.59,14.59,15800
2011-02-11,14.59,14.81,14.59,14.81,28790
2011-02-14,14.73,15.03,14.73,14.73,22160
2011-02-15,14.3,14.73,14.3,14.3,37300
2011-02-16,14.52,14.73,14.23,14.3,58190
2011-02-17,14.15,14.15,13.79,14.15,8100
2011-02-18,14.15,14.23,14.08,14.08,53210
2011-02-21,14.01,14.01,13.43,13.43,79400
2011-02-22,13.79,13.79,12.92,12.92,62160
2011-02-23,13.5,13.5,12.7,12.92,17260
2011-02-24,12.92,12.92,12.34,12.85,6190
2011-02-25,12.85,12.99,12.56,12.7,3200
2011-02-28,13.07,13.07,12.63,12.85,5220
2011-03-01,12.92,12.92,12.77,12.92,17360
2011-03-02,12.41,12.41,12.34,12.41,20230
2011-03-03,12.05,12.48,12.05,12.48,5390
2011-03-04,12.34,12.63,12.34,12.63,2530
2011-03-07,12.7,13.07,12.7,13.07,350
2011-03-08,13.07,13.07,12.7,12.85,2100
2011-03-09,12.63,12.7,12.34,12.34,11800
2011-03-10,12.7,12.77,12.7,12.77,8440
2011-03-11,12.56,13.14,12.56,13.07,8840
2011-03-14,13.07,13.07,12.41,13.07,3000
2011-03-15,12.41,12.41,12.41,12.41,3560
2011-03-16,12.19,12.7,11.98,11.98,14850
2011-03-17,12.41,12.41,12.27,12.27,450
2011-03-18,12.27,12.34,12.27,12.34,17200
2011-03-21,12.56,12.56,11.9,11.9,27500
2011-03-22,11.98,12.34,11.61,12.34,14630
2011-03-23,11.83,12.27,11.83,12.27,510
2011-03-24,12.27,12.27,12.27,12.27,14200
2011-03-25,11.9,12.34,11.9,11.98,13800
2011-03-28,11.61,12.12,11.61,12.12,3550
2011-03-29,12.12,12.12,12.12,12.12,500
2011-03-30,11.61,12.34,11.54,12.34,9510
2011-03-31,11.98,12.27,11.76,12.27,12010
2011-04-01,12.27,12.27,11.69,12.19,15910
2011-04-04,11.61,11.61,11.61,11.61,10710
2011-04-05,11.61,12.05,11.03,12.05,130
2011-04-06,11.54,11.98,11.54,11.98,40
2011-04-07,12.05,12.05,11.76,11.98,560
2011-04-08,11.98,11.98,11.76,11.83,10650
2011-04-13,11.9,11.9,11.61,11.83,6110
2011-04-14,11.83,11.9,11.61,11.76,26030
2011-04-15,11.32,11.83,11.18,11.18,10040
2011-04-18,11.61,11.69,11.47,11.61,47050
2011-04-19,12.05,12.19,11.9,11.98,72980
2011-04-20,11.98,12.05,11.61,11.83,13320
2011-04-21,12.27,12.27,11.61,11.61,10270
2011-04-22,11.18,11.98,11.11,11.11,5530
2011-04-25,11.54,11.61,11.47,11.47,6000
2011-04-26,11.69,11.69,11.25,11.4,12500
2011-04-27,11.61,11.61,11.47,11.54,800
2011-04-28,11.47,11.54,11.25,11.54,7520
2011-04-29,11.61,11.61,11.54,11.54,6410
2011-05-04,11.54,11.54,11.54,11.54,10
2011-05-05,11.54,11.54,11.54,11.54,0
2011-05-06,11.54,11.54,11.18,11.47,3580
2011-05-09,11.03,11.47,11.03,11.47,2240
2011-05-10,11.25,11.25,11.25,11.25,3020
2011-05-11,11.11,11.47,11.11,11.47,710
2011-05-12,11.03,11.4,11.03,11.4,510
2011-05-13,11.47,11.47,11.32,11.32,900
2011-05-16,11.69,11.69,11.61,11.61,13790
