time,open,high,low,close,volume
2010-01-04,19.36,20.09,19.36,20.09,144870
2010-01-05,20.97,21.04,20.97,21.04,203490
2010-01-06,21.04,21.84,20.83,21.84,188230
2010-01-07,22.31,22.92,22.31,22.92,128780
2010-01-08,24.06,24.06,21.91,21.91,247110
2010-01-11,21.84,22.18,21.57,21.91,100060
2010-01-12,21.91,21.91,20.83,20.83,163870
2010-01-13,20.16,21.04,19.83,20.7,126610
2010-01-14,21.24,21.24,20.5,20.83,80220
2010-01-15,20.23,21.17,20.16,20.16,39830
2010-01-18,19.83,19.83,19.15,19.83,67580
2010-01-19,20.16,20.16,19.62,20.16,30030
2010-01-20,20.16,20.5,19.36,19.49,34620
2010-01-21,19.29,19.49,18.55,18.55,86310
2010-01-22,18.28,18.68,17.74,18.01,86470
2010-01-25,18.35,18.88,18.35,18.88,86030
2010-01-26,19.83,19.83,19.83,19.83,7480
2010-01-27,20.77,20.77,20.3,20.77,224400
2010-01-28,20.77,20.77,19.76,19.89,66610
2010-01-29,19.49,20.03,19.09,19.56,50190
2010-02-01,20.09,20.09,19.15,19.62,25430
2010-02-02,19.62,20.43,19.62,20.16,48890
2010-02-03,20.36,20.36,20.16,20.3,74120
2010-02-04,20.3,21.24,20.3,20.97,117930
2010-02-05,20.5,21.51,20.5,20.83,174480
2010-02-08,20.5,20.83,20.23,20.7,44460
2010-02-09,20.77,20.77,20.16,20.36,86150
2010-02-10,20.36,20.83,20.36,20.7,41440
2010-02-11,20.83,20.83,20.5,20.7,30040
2010-02-12,20.9,21.1,20.7,21.1,66870
2010-02-22,21.98,21.98,21.17,21.71,114260
2010-02-23,21.51,21.51,20.63,20.63,85850
2010-02-24,20.63,20.83,20.36,20.83,52220
2010-02-25,21.51,21.51,20.83,20.83,61990
2010-02-26,21.1,21.17,20.83,21.17,64420
2010-03-01,21.17,21.77,21.17,21.24,88500
2010-03-02,21.3,21.64,21.17,21.37,128920
2010-03-03,21.71,22.38,21.51,22.38,186500
2010-03-04,22.38,22.85,22.18,22.18,131040
2010-03-05,22.18,22.51,21.64,22.18,93620
2010-03-08,22.98,22.98,22.58,22.65,124840
2010-03-09,22.72,23.12,22.45,22.85,154760
2010-03-10,22.78,23.05,22.65,22.85,168270
2010-03-11,22.85,23.12,22.78,22.85,146740
2010-03-12,22.85,23.32,22.85,23.19,89210
2010-03-15,23.93,23.93,23.25,23.25,60440
2010-03-16,22.85,23.19,22.58,22.65,152340
2010-03-17,22.58,22.85,22.51,22.51,88440
2010-03-18,22.51,22.72,22.38,22.58,49510
2010-03-19,22.78,22.92,22.58,22.78,131640
2010-03-22,22.78,22.85,22.72,22.85,83430
2010-03-23,23.19,23.39,22.98,23.25,215260
2010-03-24,23.52,23.72,23.25,23.72,136350
2010-03-25,23.25,23.72,22.72,22.72,326840
2010-03-26,23.12,23.39,22.72,23.12,70170
2010-03-29,21.98,22.18,21.98,22.04,478640
2010-03-30,22.04,22.11,21.51,21.51,126410
2010-03-31,21.51,21.51,20.9,20.9,117240
2010-04-01,21.84,21.84,21.17,21.51,35580
2010-04-02,21.71,22.18,21.51,21.51,52690
2010-04-05,22.18,22.18,21.71,21.71,62430
2010-04-06,21.71,22.11,21.51,21.71,123340
2010-04-07,21.71,22.11,21.57,22.11,74550
2010-04-08,21.84,22.04,21.84,21.84,38840
2010-04-09,21.77,21.91,21.77,21.84,77820
2010-04-12,21.57,21.84,21.57,21.57,68820
2010-04-13,21.57,22.11,21.57,21.71,72840
2010-04-14,21.84,21.98,21.77,21.98,86690
2010-04-15,22.6,22.74,22.53,22.67,124970
2010-04-16,22.88,22.88,22.53,22.6,56110
2010-04-19,22.6,22.6,22.18,22.18,22840
2010-04-20,22.39,22.46,22.12,22.18,70750
2010-04-21,22.25,23.09,22.25,22.53,50950
2010-04-22,22.53,22.88,22.53,22.53,63050
2010-04-26,22.88,22.88,22.39,22.39,31690
2010-04-27,22.53,22.53,22.05,22.25,69290
2010-04-28,21.84,22.67,21.84,22.18,118120
2010-04-29,22.53,22.95,22.25,22.88,180500
2010-05-04,23.29,23.29,22.88,23.22,95570
2010-05-05,23.22,23.22,22.6,22.88,129980
2010-05-06,22.46,23.16,22.46,22.88,39840
2010-05-07,22.53,22.53,21.91,22.18,42530
2010-05-10,22.18,22.18,21.49,21.56,25130
2010-05-11,21.98,22.53,21.7,21.77,25440
2010-05-12,22.18,22.18,21.14,21.14,15630
2010-05-13,21.14,21.21,20.94,20.94,27650
2010-05-14,21.49,21.7,21.14,21.14,37700
2010-05-17,20.8,21.14,20.66,20.66,5850
2010-05-18,21.08,21.08,20.59,20.66,3650
2010-05-19,20.45,20.45,19.69,19.69,38480
2010-05-20,19.41,19.69,19.07,19.62,68590
2010-05-21,19.27,19.27,18.65,18.65,131100
2010-05-24,19.48,19.55,18.79,19.55,8620
2010-05-25,19.55,20.04,19.55,19.62,60010
2010-05-26,19.76,19.76,19.55,19.55,56660
