time,open,high,low,close,volume
2010-06-28,5.42,5.87,5.42,5.42,267360
2010-06-29,5.17,5.42,5.17,5.3,218580
2010-06-30,5.08,5.53,5.08,5.24,50850
2010-07-01,5.24,5.3,5.19,5.24,42290
2010-07-02,5.46,5.46,5.19,5.21,75300
2010-07-05,5.21,5.21,5.08,5.08,146120
2010-07-06,4.92,5.08,4.92,5.01,205610
2010-07-07,5.12,5.26,5.12,5.26,270100
2010-07-08,5.19,5.39,5.19,5.19,92340
2010-07-09,5.19,5.37,5.19,5.19,55680
2010-07-12,5.17,5.3,5.12,5.19,34180
2010-07-13,5.26,5.28,5.15,5.21,75450
2010-07-14,5.21,5.37,5.19,5.19,215360
2010-07-15,5.19,5.28,5.12,5.12,67810
2010-07-16,5.12,5.19,5.08,5.12,68940
2010-07-19,5.19,5.19,4.97,4.97,133750
2010-07-20,4.97,5.08,4.97,4.99,307260
2010-07-21,5.24,5.24,5.19,5.24,194100
2010-07-22,5.48,5.48,5.3,5.33,303780
2010-07-23,5.33,5.33,5.19,5.21,88960
2010-07-26,5.08,5.21,5.06,5.06,41650
2010-07-27,5.17,5.17,5.01,5.06,81520
2010-07-28,5.03,5.06,4.81,4.81,181470
2010-07-29,4.76,4.81,4.65,4.81,116100
2010-07-30,4.94,5.03,4.81,4.83,46130
2010-08-02,4.92,4.92,4.76,4.76,19310
2010-08-03,4.76,4.85,4.74,4.74,43080
2010-08-04,4.65,4.69,4.6,4.65,47020
2010-08-05,4.63,4.72,4.6,4.63,43000
2010-08-06,4.63,4.65,4.51,4.51,55420
2010-08-09,4.49,4.51,4.33,4.36,48850
2010-08-10,4.15,4.29,4.15,4.15,91510
2010-08-11,4.06,4.27,4.06,4.27,39330
2010-08-12,4.06,4.24,4.06,4.06,74160
2010-08-13,3.95,4.18,3.95,4.06,38500
2010-08-16,4.2,4.27,4.18,4.27,47320
2010-08-17,4.27,4.29,4.11,4.27,75650
2010-08-18,4.29,4.29,4.13,4.13,8210
2010-08-19,4.06,4.15,4.04,4.06,17250
2010-08-20,4.06,4.06,3.9,3.95,15110
2010-08-23,4.04,4.04,3.79,3.88,35210
2010-08-24,3.7,3.77,3.7,3.7,53060
2010-08-25,3.52,3.54,3.52,3.52,66290
2010-08-26,3.61,3.63,3.52,3.63,56060
2010-08-27,3.63,3.7,3.52,3.7,83470
2010-08-30,3.88,3.88,3.88,3.88,70180
2010-08-31,4.0,4.02,3.86,4.0,34010
2010-09-01,3.95,4.11,3.86,3.95,44910
2010-09-06,4.06,4.13,4.04,4.13,82290
2010-09-07,4.02,4.29,4.02,4.2,48820
2010-09-08,4.06,4.29,4.0,4.0,31710
2010-09-09,4.15,4.15,4.02,4.06,93720
