time,open,high,low,close,volume
2011-09-06,2.52,2.52,2.52,2.52,80800
2011-09-07,2.41,2.41,2.41,2.41,47270
2011-09-08,2.46,2.52,2.41,2.52,413500
2011-09-09,2.52,2.52,2.44,2.46,62590
2011-09-12,2.49,2.49,2.35,2.35,89140
2011-09-13,2.38,2.41,2.3,2.38,109590
2011-09-14,2.35,2.35,2.27,2.27,140150
2011-09-15,2.33,2.33,2.16,2.25,57160
2011-09-16,2.25,2.25,2.16,2.16,74480
2011-09-19,2.14,2.22,2.14,2.19,21550
2011-09-20,2.14,2.19,2.14,2.14,26460
2011-09-21,2.14,2.14,2.05,2.05,51050
2011-09-22,2.08,2.14,2.05,2.14,26700
2011-09-23,2.11,2.14,2.11,2.14,8100
2011-09-26,2.16,2.16,2.05,2.05,21060
2011-09-27,2.05,2.08,2.05,2.08,46590
2011-09-28,2.11,2.16,2.08,2.08,21670
2011-09-29,2.08,2.08,2.0,2.03,39000
2011-09-30,2.11,2.11,2.0,2.08,5540
2011-10-03,2.0,2.03,2.0,2.03,15850
2011-10-04,2.03,2.03,1.94,1.94,7510
2011-10-05,1.92,2.0,1.92,2.0,12650
2011-10-06,2.03,2.03,2.0,2.03,7550
2011-10-07,2.05,2.05,1.97,2.0,43730
2011-10-10,1.94,1.97,1.94,1.97,28560
2011-10-11,1.97,1.97,1.94,1.97,10000
2011-10-12,1.94,1.94,1.89,1.89,30620
2011-10-13,1.83,1.92,1.83,1.92,5230
2011-10-14,1.92,1.97,1.92,1.92,14180
2011-10-17,1.94,1.97,1.94,1.94,24100
2011-10-18,1.94,1.94,1.89,1.89,9620
2011-10-19,1.86,1.89,1.86,1.86,6440
2011-10-20,1.89,1.92,1.83,1.83,13980
2011-10-21,1.83,1.92,1.83,1.92,15910
2011-10-24,1.89,1.94,1.86,1.86,15760
2011-10-25,1.81,1.86,1.81,1.81,25240
2011-10-26,1.78,1.78,1.72,1.72,100650
2011-10-27,1.72,1.78,1.72,1.72,2300
2011-10-28,1.75,1.78,1.67,1.75,21500
2011-10-31,1.78,1.78,1.7,1.7,16180
2011-11-01,1.75,1.75,1.62,1.62,99100
2011-11-02,1.64,1.64,1.62,1.64,11880
2011-11-03,1.64,1.64,1.62,1.64,32640
2011-11-04,1.67,1.67,1.62,1.64,160940
2011-11-07,1.64,1.64,1.62,1.62,39240
2011-11-08,1.64,1.64,1.59,1.62,13900
2011-11-09,1.64,1.64,1.62,1.64,47990
2011-11-10,1.64,1.64,1.62,1.64,34520
2011-11-11,1.64,1.67,1.64,1.64,83010
2011-11-14,1.67,1.7,1.67,1.7,152620
2011-11-15,1.78,1.78,1.75,1.78,207370
2011-11-16,1.83,1.86,1.83,1.86,231820
2011-11-17,1.89,1.92,1.86,1.92,52960
2011-11-18,1.94,1.94,1.86,1.92,80140
2011-11-21,1.86,1.92,1.83,1.83,52710
2011-11-22,1.78,1.83,1.75,1.81,119220
2011-11-23,1.81,1.83,1.72,1.83,16140
2011-11-24,1.83,1.83,1.78,1.81,30170
2011-11-25,1.72,1.78,1.72,1.72,5660
2011-11-28,1.72,1.75,1.72,1.75,49120
2011-11-29,1.75,1.78,1.75,1.78,42500
2011-11-30,1.75,1.78,1.75,1.78,29610
2011-12-01,1.81,1.81,1.75,1.78,86140
2011-12-02,1.78,1.81,1.75,1.78,89200
2011-12-05,1.81,1.86,1.81,1.86,50970
2011-12-06,1.86,1.86,1.81,1.86,98110
2011-12-07,1.86,1.92,1.86,1.92,79940
2011-12-08,1.94,1.94,1.92,1.94,20180
2011-12-09,1.92,1.92,1.86,1.92,9180
2011-12-12,1.89,1.92,1.89,1.92,13000
2011-12-13,1.86,1.89,1.86,1.89,23500
2011-12-14,1.89,1.89,1.81,1.83,10630
2011-12-15,1.78,1.81,1.75,1.81,13080
2011-12-16,1.83,1.83,1.83,1.83,6130
2011-12-19,1.83,1.83,1.83,1.83,10110
2011-12-20,1.78,1.83,1.78,1.78,23110
2011-12-21,1.83,1.83,1.78,1.78,5210
2011-12-22,1.83,1.83,1.75,1.75,400
2011-12-23,1.72,1.75,1.72,1.75,32370
2011-12-26,1.72,1.75,1.72,1.75,13900
2011-12-27,1.7,1.75,1.67,1.75,5010
2011-12-28,1.75,1.75,1.72,1.72,1630
2011-12-29,1.7,1.72,1.64,1.72,60400
2011-12-30,1.64,1.64,1.64,1.64,9970
2012-01-03,1.72,1.72,1.67,1.7,21460
2012-01-04,1.7,1.7,1.7,1.7,2000
2012-01-05,1.7,1.72,1.7,1.72,8510
2012-01-06,1.72,1.72,1.7,1.7,9520
2012-01-09,1.72,1.72,1.72,1.72,400
2012-01-10,1.72,1.75,1.72,1.75,1710
2012-01-11,1.75,1.78,1.75,1.78,13690
2012-01-12,1.78,1.78,1.78,1.78,930
2012-01-13,1.81,1.81,1.81,1.81,100
2012-01-16,1.83,1.83,1.81,1.83,9150
2012-01-17,1.83,1.86,1.81,1.86,11280
2012-01-18,1.89,1.89,1.78,1.89,22400
2012-01-19,1.89,1.92,1.89,1.92,4700
2012-01-20,1.89,1.92,1.89,1.92,9500
2012-01-30,1.86,1.94,1.86,1.94,5700
2012-01-31,1.94,1.94,1.92,1.94,16900
2012-02-01,1.94,1.94,1.94,1.94,3750
2012-02-02,1.94,1.97,1.92,1.97,31760
2012-02-03,1.97,1.97,1.89,1.94,24270
2012-02-06,1.94,1.94,1.94,1.94,100
2012-02-07,1.86,1.94,1.86,1.92,2920
2012-02-08,1.92,1.94,1.92,1.92,3320
2012-02-09,1.92,1.97,1.92,1.97,16420
2012-02-10,1.92,1.92,1.89,1.92,11240
2012-02-13,1.92,1.94,1.89,1.92,43860
2012-02-14,1.92,1.94,1.92,1.92,67810
2012-02-15,1.92,1.92,1.89,1.89,13570
2012-02-16,1.89,1.89,1.83,1.89,7760
2012-02-17,1.92,1.94,1.92,1.92,4990
2012-02-20,1.92,1.97,1.92,1.97,18490
2012-02-21,1.92,1.92,1.92,1.92,9600
2012-02-22,1.92,1.92,1.83,1.89,16710
2012-02-23,1.89,1.89,1.89,1.89,32560
2012-02-24,1.86,1.94,1.86,1.92,59540
2012-02-27,1.94,2.0,1.92,2.0,174410
2012-02-28,2.05,2.05,1.97,1.97,33310
2012-02-29,1.92,2.0,1.92,1.92,7230
2012-03-01,1.97,2.0,1.94,1.97,81170
2012-03-02,1.97,1.97,1.94,1.97,30260
2012-03-05,1.97,2.05,1.97,2.05,773300
2012-03-06,2.14,2.14,2.08,2.14,600640
2012-03-07,2.22,2.22,2.14,2.22,247170
2012-03-08,2.14,2.27,2.14,2.19,43750
2012-03-09,2.14,2.16,2.08,2.08,209480
2012-03-12,2.03,2.03,2.0,2.0,81220
2012-03-13,1.94,2.08,1.92,2.08,301820
2012-03-14,2.08,2.08,2.0,2.0,151000
2012-03-15,2.0,2.08,1.94,2.05,76290
2012-03-16,2.11,2.11,2.05,2.05,238270
2012-03-19,2.03,2.08,2.03,2.03,90700
2012-03-20,2.03,2.05,2.0,2.05,49230
2012-03-21,2.05,2.14,2.05,2.05,210610
2012-03-22,2.14,2.14,2.11,2.14,449960
