time,open,high,low,close,volume
2010-01-04,6.67,6.8,6.67,6.8,38400
2010-01-05,7.26,7.26,7.26,7.26,44300
2010-01-06,7.41,7.41,7.14,7.26,11900
2010-01-07,7.72,7.72,7.1,7.14,10000
2010-01-08,7.41,7.41,6.8,6.95,17200
2010-01-11,7.1,7.1,6.64,6.64,6500
2010-01-12,6.49,6.8,6.24,6.24,19500
2010-01-13,6.55,6.8,6.36,6.8,29800
2010-01-14,7.14,7.14,6.8,7.14,32400
2010-01-15,7.1,7.1,6.67,6.67,7400
2010-01-18,6.49,6.49,6.36,6.36,12300
2010-01-19,6.18,6.49,6.18,6.46,8900
2010-01-20,6.24,6.27,6.24,6.24,3200
2010-01-21,6.61,6.61,5.87,6.02,35400
2010-01-22,6.18,6.18,5.75,5.99,10500
2010-01-25,6.18,6.21,6.18,6.21,5800
2010-01-26,6.49,6.64,6.49,6.64,19900
2010-01-27,6.64,6.64,6.24,6.24,5300
2010-01-28,6.12,6.12,6.12,6.12,100
2010-01-29,6.46,6.46,6.36,6.36,400
2010-02-01,6.3,6.46,6.3,6.46,5100
2010-02-02,6.27,6.64,6.18,6.18,11200
2010-02-03,6.33,6.33,6.24,6.24,5300
2010-02-04,5.9,6.49,5.9,6.43,1600
2010-02-05,6.49,6.49,6.49,6.49,2000
2010-02-08,6.7,6.7,6.7,6.7,1000
2010-02-09,6.33,6.33,6.24,6.24,15300
2010-02-10,6.3,6.3,6.24,6.24,1000
2010-02-11,6.24,6.33,6.24,6.33,1900
2010-02-12,6.39,6.39,6.39,6.39,100
2010-02-22,6.21,6.27,6.21,6.24,7800
2010-02-23,6.18,6.3,6.18,6.3,11200
2010-02-24,6.3,6.33,6.24,6.33,5800
2010-02-25,6.02,6.02,6.02,6.02,3000
2010-02-26,6.3,6.3,6.18,6.18,1800
2010-03-01,6.21,6.33,6.18,6.33,1700
2010-03-02,6.27,6.27,6.21,6.21,2100
2010-03-03,5.96,6.39,5.96,6.36,7600
