time,open,high,low,close,volume
2012-11-01,1.4,1.5,1.4,1.4,1800
2012-11-02,1.5,1.5,1.5,1.5,100
2012-11-05,1.6,1.6,1.6,1.6,100
2012-11-06,1.5,1.5,1.5,1.5,100
2012-11-07,1.4,1.4,1.4,1.4,200
2012-11-08,1.3,1.5,1.3,1.5,11000
2012-11-09,1.5,1.5,1.5,1.5,200
2012-11-12,1.4,1.5,1.4,1.4,10300
2012-11-13,1.4,1.5,1.4,1.4,2200
2012-11-14,1.4,1.5,1.4,1.5,400
2012-11-15,1.4,1.5,1.5,1.5,0
2012-11-16,1.4,1.5,1.5,1.5,0
2012-11-19,1.4,1.5,1.4,1.4,1200
2012-11-20,1.4,1.4,1.4,1.4,0
2012-11-21,1.4,1.4,1.4,1.4,0
2012-11-22,1.4,1.4,1.4,1.4,1200
2012-11-23,1.4,1.4,1.4,1.4,0
2012-11-26,1.4,1.4,1.4,1.4,0
2012-11-27,1.4,1.4,1.4,1.4,0
2012-11-28,1.4,1.4,1.4,1.4,0
2012-11-29,1.4,1.4,1.4,1.4,0
2012-11-30,1.4,1.4,1.4,1.4,0
2012-12-03,1.3,1.3,1.3,1.3,1600
2012-12-04,1.3,1.4,1.3,1.4,1500
2012-12-05,1.3,1.4,1.4,1.4,0
2012-12-06,1.4,1.4,1.4,1.4,200
2012-12-07,1.4,1.4,1.4,1.4,0
2012-12-10,1.3,1.4,1.3,1.4,2500
2012-12-11,1.4,1.4,1.4,1.4,800
2012-12-12,1.3,1.4,1.3,1.4,1900
2012-12-13,1.3,1.3,1.3,1.3,100
2012-12-14,1.3,1.3,1.3,1.3,200
2012-12-17,1.4,1.4,1.4,1.4,200
2012-12-18,1.4,1.4,1.4,1.4,0
2012-12-19,1.4,1.4,1.4,1.4,0
2012-12-20,1.4,1.4,1.4,1.4,0
2012-12-21,1.4,1.4,1.4,1.4,0
2012-12-24,1.5,1.5,1.5,1.5,100
2012-12-25,1.6,1.6,1.4,1.4,300
2012-12-26,1.5,1.4,1.4,1.4,0
2012-12-27,1.5,1.4,1.4,1.4,0
2012-12-28,1.6,1.6,1.6,1.6,100
2013-01-02,1.6,1.6,1.6,1.6,0
2013-01-03,1.6,1.6,1.6,1.6,0
2013-01-04,1.6,1.6,1.6,1.6,0
2013-01-07,1.6,1.6,1.6,1.6,0
2013-01-08,1.6,1.6,1.6,1.6,0
2013-01-09,1.5,1.5,1.5,1.5,100
2013-01-10,1.4,1.4,1.4,1.4,100
2013-01-11,1.5,1.5,1.3,1.3,400
2013-01-14,1.3,1.3,1.3,1.3,300
2013-01-15,1.2,1.2,1.2,1.2,1500
2013-01-16,1.1,1.2,1.1,1.2,2700
2013-01-17,1.2,1.2,1.0,1.0,3000
2013-01-18,1.0,1.1,1.0,1.1,400
2013-01-21,1.0,1.0,1.0,1.0,100
2013-01-22,1.1,1.1,1.0,1.1,1700
2013-01-23,1.0,1.1,1.0,1.1,700
2013-01-24,1.0,1.1,1.0,1.1,1600
2013-01-25,1.2,1.2,1.2,1.2,200
2013-01-28,1.2,1.2,1.2,1.2,0
2013-01-29,1.1,1.1,1.1,1.1,100
2013-01-30,1.0,1.0,1.0,1.0,3200
2013-01-31,0.9,0.9,0.9,0.9,700
2013-02-01,0.9,0.9,0.9,0.9,0
2013-02-04,0.9,0.9,0.8,0.9,2200
2013-02-05,0.8,0.9,0.9,0.9,0
2013-02-06,0.9,0.9,0.7,0.9,2900
2013-02-07,0.8,0.9,0.9,0.9,0
2013-02-08,0.8,0.9,0.9,0.9,0
2013-02-18,0.8,0.9,0.8,0.9,300
2013-02-19,0.9,0.9,0.9,0.9,0
2013-02-20,0.9,0.9,0.9,0.9,0
2013-02-21,0.9,0.9,0.9,0.9,1000
2013-02-22,0.9,0.9,0.9,0.9,0
2013-02-25,0.9,0.9,0.9,0.9,0
2013-02-26,1.0,1.0,1.0,1.0,500
2013-02-27,1.1,1.1,1.1,1.1,200
2013-02-28,1.1,1.1,1.1,1.1,0
2013-03-01,1.2,1.2,1.0,1.0,400
2013-03-04,1.1,1.0,1.0,1.0,0
2013-03-05,1.0,1.0,1.0,1.0,6600
2013-03-06,1.1,1.1,1.0,1.1,2200
2013-03-07,1.1,1.1,1.1,1.1,400
2013-03-08,1.2,1.2,1.1,1.1,7500
2013-03-11,1.1,1.1,1.1,1.1,1100
2013-03-12,1.1,1.1,1.1,1.1,0
2013-03-13,1.1,1.1,1.1,1.1,200
2013-03-14,1.1,1.1,1.1,1.1,0
2013-03-15,1.2,1.2,1.0,1.0,300
2013-03-18,1.1,1.1,1.1,1.1,7000
2013-03-19,1.1,1.1,1.1,1.1,0
2013-03-20,1.1,1.1,1.1,1.1,0
2013-03-21,1.0,1.0,1.0,1.0,200
2013-03-22,1.0,1.0,1.0,1.0,600
2013-03-25,1.0,1.0,1.0,1.0,0
2013-03-26,1.0,1.0,1.0,1.0,0
2013-03-27,1.0,1.0,1.0,1.0,0
2013-03-28,1.0,1.0,1.0,1.0,0
2013-03-29,1.1,1.1,1.1,1.1,2900
2013-04-01,1.2,1.2,1.0,1.2,900
2013-04-02,1.1,1.2,1.2,1.2,0
2013-04-03,1.0,1.1,1.0,1.1,600
2013-04-04,1.0,1.0,1.0,1.0,1000
2013-04-05,1.0,1.1,1.0,1.1,18200
2013-04-08,1.0,1.0,1.0,1.0,1000
2013-04-09,1.0,1.0,1.0,1.0,400
2013-04-10,1.0,1.0,1.0,1.0,100
2013-04-11,1.0,1.0,1.0,1.0,700
2013-04-12,1.0,1.0,1.0,1.0,7400
2013-04-15,1.0,1.0,1.0,1.0,0
2013-04-16,1.1,1.1,1.1,1.1,100
2013-04-17,1.2,1.2,1.2,1.2,100
2013-04-18,1.2,1.2,1.2,1.2,0
2013-04-22,1.2,1.2,1.2,1.2,0
2013-04-23,1.2,1.2,1.2,1.2,0
2013-04-24,1.2,1.2,1.2,1.2,0
2013-04-25,1.2,1.2,1.2,1.2,0
