time,open,high,low,close,volume
2010-04-15,8.35,8.35,8.35,8.35,104830
2010-04-16,8.77,8.77,8.77,8.77,15450
2010-04-19,9.18,9.18,9.18,9.18,90740
2010-04-20,9.51,9.51,8.74,9.18,44570
2010-04-21,8.74,8.74,8.74,8.74,38250
2010-04-22,8.46,8.58,8.46,8.56,120790
2010-04-26,8.23,8.46,8.23,8.46,39770
2010-04-27,8.46,8.88,8.46,8.74,100490
2010-04-28,8.58,8.9,8.58,8.9,61010
2010-04-29,8.63,8.72,8.58,8.63,59000
2010-05-04,8.9,9.04,8.81,9.04,198070
2010-05-05,9.48,9.48,9.39,9.46,287240
2010-05-06,9.9,9.92,9.51,9.92,235020
2010-05-07,10.39,10.39,9.76,9.88,110410
2010-05-10,9.6,9.6,9.39,9.39,91020
2010-05-11,9.02,9.34,8.93,8.93,75140
2010-05-12,8.51,8.51,8.49,8.49,118660
2010-05-13,8.81,8.81,8.39,8.49,44230
2010-05-14,8.81,8.81,8.14,8.14,68020
2010-05-17,7.77,8.23,7.77,7.77,69850
2010-05-18,8.12,8.12,7.84,7.98,17840
2010-05-19,7.61,7.63,7.58,7.58,73410
2010-05-20,7.21,7.63,7.21,7.63,58930
2010-05-21,7.26,7.54,7.26,7.26,55480
2010-05-24,7.42,7.56,7.42,7.42,6720
2010-05-25,7.54,7.54,7.42,7.54,14120
2010-05-26,7.49,7.54,7.42,7.49,10770
2010-05-27,7.21,7.21,7.12,7.14,49380
2010-05-28,7.4,7.49,7.19,7.49,67050
2010-05-31,7.7,7.7,7.47,7.68,39770
2010-06-01,7.37,7.81,7.37,7.65,7170
2010-06-02,7.37,7.61,7.28,7.37,8110
2010-06-03,7.44,7.54,7.3,7.37,23620
2010-06-04,7.42,7.42,7.3,7.3,11790
2010-06-07,6.98,7.17,6.96,7.17,39230
2010-06-08,6.86,7.17,6.84,6.86,20590
2010-06-09,6.89,6.91,6.54,6.63,57200
2010-06-10,6.63,6.84,6.49,6.63,25520
2010-06-11,6.52,6.93,6.52,6.52,10620
2010-06-14,6.82,6.84,6.82,6.84,39130
2010-06-15,6.84,6.91,6.63,6.86,11110
2010-06-16,6.89,6.93,6.86,6.89,21820
2010-06-17,6.98,7.21,6.89,7.21,42810
2010-06-18,7.26,7.26,7.05,7.05,16400
2010-06-21,7.07,7.19,6.96,6.96,19500
2010-06-22,6.82,7.07,6.82,6.84,7360
2010-06-23,6.66,6.84,6.66,6.66,18530
2010-06-24,6.91,6.91,6.66,6.72,7590
2010-06-25,6.56,6.96,6.56,6.89,22030
2010-06-28,7.0,7.0,6.72,6.98,10770
2010-06-29,6.98,7.07,6.96,6.98,11120
2010-06-30,6.66,6.96,6.66,6.96,18720
2010-07-01,6.72,6.93,6.72,6.91,3110
2010-07-02,6.89,6.91,6.72,6.89,2420
2010-07-05,6.84,6.89,6.84,6.84,11910
2010-07-06,6.84,6.84,6.7,6.7,20300
2010-07-07,6.91,6.91,6.61,6.79,5820
2010-07-08,6.68,6.79,6.68,6.68,10470
2010-07-09,6.59,6.7,6.59,6.59,5150
2010-07-12,6.72,6.72,6.59,6.59,7170
2010-07-13,6.59,6.7,6.59,6.7,14640
2010-07-14,6.96,6.96,6.66,6.66,10600
2010-07-15,6.7,6.72,6.66,6.7,10310
2010-07-16,6.66,6.72,6.66,6.66,5890
2010-07-19,6.59,6.7,6.59,6.7,3690
2010-07-20,6.72,6.93,6.7,6.72,21020
2010-07-21,6.7,6.86,6.7,6.72,26220
2010-07-22,6.72,6.72,6.68,6.72,9910
2010-07-23,6.61,6.75,6.61,6.72,24070
2010-07-26,6.72,6.75,6.63,6.66,16560
2010-07-27,6.63,6.7,6.63,6.63,15740
2010-07-28,6.59,6.72,6.56,6.59,7320
2010-07-29,6.68,6.68,6.59,6.59,12540
2010-07-30,6.59,6.72,6.59,6.59,35440
