time,open,high,low,close,volume
2016-03-30,11.01,11.01,11.01,11.01,3000
2016-03-31,12.63,12.63,12.63,12.63,50000
2016-04-01,12.63,12.63,12.63,12.63,0
2016-04-04,14.49,14.49,14.49,14.49,10000
2016-04-05,16.66,16.66,14.0,14.0,3800
2016-04-06,12.33,12.77,12.33,12.33,5100
2016-04-07,12.28,12.28,12.28,12.28,500
2016-04-08,11.79,12.28,11.79,12.28,1700
2016-04-11,11.79,11.79,11.79,11.79,100
2016-04-12,10.02,10.42,10.02,10.32,5600
2016-04-13,10.81,11.25,10.81,10.81,4500
2016-04-14,11.3,12.43,11.3,12.38,33100
2016-04-15,12.48,12.48,11.79,11.79,800
2016-04-19,12.28,12.28,12.14,12.14,7100
2016-04-20,11.69,11.69,11.55,11.55,8700
2016-04-21,11.74,11.79,11.74,11.79,600
2016-04-22,11.1,11.3,11.05,11.15,22600
2016-04-25,12.28,12.53,11.79,12.53,19700
2016-04-26,12.77,13.02,12.77,13.02,9800
2016-04-27,13.02,13.27,12.77,12.77,8800
2016-04-28,12.28,13.02,12.28,13.02,3500
2016-04-29,11.3,12.77,11.3,12.77,3300
2016-05-04,12.28,12.97,11.2,12.97,1200
2016-05-05,12.72,12.72,12.04,12.04,500
2016-05-06,10.91,12.18,10.91,11.1,1700
2016-05-09,12.28,12.28,11.79,11.79,5900
2016-05-10,11.99,12.28,11.99,12.04,3400
2016-05-11,11.01,12.28,11.01,11.79,4900
2016-05-12,12.28,12.53,12.04,12.53,5800
2016-05-13,12.33,12.48,11.89,12.18,20600
2016-05-16,12.28,12.28,12.23,12.23,400
2016-05-17,11.69,12.23,11.69,12.23,600
2016-05-18,11.59,11.59,11.55,11.55,1200
2016-05-19,12.18,12.18,12.18,12.18,400
2016-05-20,12.18,12.18,12.18,12.18,0
2016-05-23,12.18,12.18,12.18,12.18,0
2016-05-24,12.04,12.04,12.04,12.04,300
2016-05-25,11.59,11.79,11.59,11.59,1000
2016-05-26,11.55,11.79,11.3,11.79,7000
2016-05-27,11.55,11.55,11.55,11.55,100
2016-05-30,11.55,11.55,11.05,11.05,2500
2016-05-31,11.55,11.55,11.3,11.3,200
2016-06-01,11.55,11.55,11.55,11.55,1500
2016-06-02,11.3,11.5,11.3,11.35,5900
2016-06-03,11.8,11.8,11.1,11.7,1400
2016-06-06,11.1,11.3,10.09,10.09,5700
2016-06-07,11.7,11.7,11.55,11.55,2000
2016-06-08,11.05,11.05,11.05,11.05,200
2016-06-09,10.59,11.45,10.54,11.45,5800
