time,open,high,low,close,volume
2010-01-04,8.71,9.17,8.71,9.08,4900
2010-01-05,9.2,9.2,9.17,9.17,800
2010-01-06,8.59,8.59,8.56,8.56,700
2010-01-07,8.56,8.56,8.56,8.56,0
2010-01-08,8.9,8.9,8.2,8.23,4900
2010-01-11,8.41,8.41,8.32,8.35,2200
2010-01-12,8.74,8.81,8.35,8.35,10200
2010-01-13,8.71,8.71,8.59,8.59,2900
2010-01-14,8.81,8.93,8.77,8.77,4400
2010-01-15,8.2,8.2,8.2,8.2,3000
2010-01-18,7.74,7.89,7.74,7.77,4200
2010-01-19,8.2,8.2,8.05,8.05,5400
2010-01-20,8.35,8.35,8.2,8.2,6500
2010-01-21,7.8,7.8,7.8,7.8,800
2010-01-22,7.8,7.8,7.8,7.8,0
2010-01-25,8.32,8.32,8.32,8.32,1000
2010-01-26,8.84,8.84,8.65,8.65,1100
2010-01-27,8.35,8.38,8.35,8.38,1000
2010-01-28,7.95,7.95,7.95,7.95,400
2010-01-29,7.44,8.5,7.44,8.5,3200
2010-02-01,8.41,8.62,8.05,8.62,5500
2010-02-02,8.81,8.84,8.81,8.84,13100
2010-02-03,9.11,9.35,8.87,8.87,9400
2010-02-04,9.11,9.11,9.11,9.11,100
2010-02-05,9.05,9.05,9.05,9.05,1500
2010-02-08,8.5,8.5,8.44,8.5,8000
2010-02-09,8.81,8.81,8.53,8.53,7700
2010-02-10,8.65,8.65,8.5,8.5,2300
2010-02-11,8.62,9.11,8.62,9.11,7100
2010-02-12,8.81,8.81,8.81,8.81,100
2010-02-22,9.02,9.02,9.02,9.02,300
2010-02-23,8.44,8.44,8.44,8.44,4900
2010-02-24,8.23,8.23,8.2,8.23,2100
2010-02-25,8.26,8.71,8.23,8.68,12800
2010-02-26,8.59,8.59,8.59,8.59,500
2010-03-01,8.65,8.65,8.65,8.65,200
2010-03-02,8.5,8.5,8.5,8.5,1800
2010-03-03,8.59,8.65,8.59,8.65,2800
2010-03-04,8.99,8.99,8.65,8.68,1400
2010-03-05,8.74,8.74,8.65,8.74,3500
2010-03-08,8.81,9.05,8.81,8.96,7500
