time,open,high,low,close,volume
2017-07-10,23.97,23.97,23.97,23.97,200
2017-07-11,27.56,27.56,27.23,27.56,22500
2017-07-12,31.68,31.68,31.68,31.68,4000
2017-07-13,31.68,31.68,31.68,31.68,50
2017-07-14,33.87,33.87,31.68,31.88,8300
2017-07-17,31.94,31.94,31.94,31.94,1000
2017-07-18,27.16,27.63,27.16,27.63,400
2017-07-19,27.23,27.23,27.23,27.23,100
2017-07-20,27.23,27.89,27.23,27.89,2800
2017-07-21,28.55,28.55,27.89,27.89,1600
2017-07-24,27.89,27.89,27.89,27.89,400
2017-07-25,27.89,27.89,27.89,27.89,510
2017-07-26,27.96,28.22,27.89,27.89,1800
2017-07-27,27.89,27.89,27.89,27.89,100
2017-07-28,27.23,27.23,27.23,27.23,500
2017-07-31,27.29,27.29,27.29,27.29,300
2017-08-01,27.29,27.29,27.29,27.29,0
2017-08-02,27.29,27.29,27.29,27.29,0
2017-08-03,27.29,27.29,27.29,27.29,0
2017-08-04,23.24,23.91,23.24,23.57,2120
2017-08-07,23.44,23.44,23.44,23.57,10
2017-08-08,24.24,24.24,23.11,23.11,1100
2017-08-09,23.91,23.91,23.24,23.24,800
2017-08-10,23.64,23.64,23.64,23.64,0
2017-08-11,23.64,23.64,23.64,23.64,0
2017-08-14,23.64,23.64,23.64,23.64,0
2017-08-15,23.91,25.23,23.91,25.23,6400
2017-08-16,25.04,25.04,25.04,25.04,0
2017-08-17,25.04,25.04,25.04,25.04,0
2017-08-18,25.04,25.04,25.04,25.04,0
2017-08-21,22.58,22.58,22.58,22.58,700
2017-08-22,19.99,19.99,19.99,19.99,100
2017-08-23,19.99,19.99,19.99,19.99,0
2017-08-24,19.99,19.99,19.99,19.99,0
2017-08-25,19.99,19.99,19.99,19.99,0
2017-08-28,19.99,19.99,19.99,19.99,0
2017-08-29,22.91,22.98,22.91,22.98,3100
2017-08-30,22.98,22.98,22.98,22.98,0
2017-08-31,22.98,22.98,22.98,22.98,0
2017-09-01,22.98,22.98,22.98,22.98,0
2017-09-05,23.24,23.24,22.98,22.98,11100
2017-09-06,22.98,22.98,22.98,22.98,0
2017-09-07,22.98,22.98,22.98,22.98,0
2017-09-08,22.98,22.98,22.98,22.98,0
2017-09-11,22.98,22.98,22.98,22.98,0
2017-09-12,22.98,22.98,22.98,22.98,0
2017-09-13,23.91,23.91,23.91,23.91,1000
2017-09-14,23.91,23.91,23.91,23.91,0
2017-09-15,25.04,25.04,25.04,25.04,200
2017-09-18,25.04,25.04,25.04,25.04,0
2017-09-19,27.23,27.23,27.23,27.23,1500
2017-09-20,26.56,26.56,26.56,26.56,200
2017-09-21,24.9,24.9,24.9,24.9,200
2017-09-22,24.9,24.9,24.9,24.9,500
2017-09-25,24.9,24.9,24.9,24.9,0
2017-09-26,23.77,23.77,23.71,23.77,500
2017-09-27,26.56,26.56,26.56,26.56,100
2017-09-28,26.56,26.56,26.56,26.56,0
