time,open,high,low,close,volume
2010-03-19,12.62,12.62,12.62,12.62,66100
2010-03-22,13.24,13.24,13.19,13.24,487370
2010-03-23,13.38,13.48,12.62,12.62,349160
2010-03-24,12.09,12.57,12.09,12.19,78590
2010-03-25,11.66,11.95,11.66,11.66,40060
2010-03-26,12.04,12.04,11.56,11.56,14800
2010-03-29,11.47,11.71,10.99,10.99,96800
2010-03-30,10.94,11.52,10.94,11.52,97630
2010-03-31,12.09,12.09,12.09,12.09,31140
2010-04-01,12.66,12.66,12.19,12.66,359730
2010-04-02,12.66,12.85,12.19,12.19,97110
2010-04-05,12.19,12.19,11.71,11.9,83270
2010-04-06,12.42,12.42,11.71,11.71,63980
2010-04-07,11.71,12.28,11.71,12.28,150190
2010-04-08,12.52,12.52,12.23,12.23,51720
2010-04-09,12.23,12.47,12.19,12.42,105310
2010-04-12,12.81,12.81,12.47,12.52,128010
2010-04-13,12.52,12.52,12.33,12.33,102620
2010-04-14,12.33,12.38,11.95,12.38,60890
2010-04-15,12.42,12.57,12.33,12.57,78710
2010-04-16,12.47,12.62,12.38,12.47,217630
2010-04-19,12.04,12.52,12.04,12.33,67600
2010-04-20,12.85,12.85,12.38,12.57,249290
2010-04-21,12.9,13.19,12.85,13.19,509740
2010-04-22,13.81,13.81,13.81,13.81,110440
2010-04-26,14.48,14.48,14.1,14.48,515370
2010-04-27,14.34,14.34,13.81,14.0,106350
2010-04-28,13.43,14.1,13.38,14.1,284810
2010-04-29,14.34,14.77,13.95,14.77,291750
2010-05-04,15.48,15.48,14.91,15.48,183080
2010-05-05,15.05,16.25,15.05,16.25,263860
2010-05-06,17.06,17.06,16.3,17.06,422880
2010-05-07,16.39,16.73,16.25,16.73,345100
2010-05-10,16.73,16.73,15.91,15.91,161870
2010-05-11,15.91,15.91,15.15,15.15,100440
2010-05-12,14.43,14.43,14.43,14.43,23420
2010-05-13,13.71,13.86,13.71,13.71,451300
2010-05-14,13.86,13.91,13.05,13.91,257130
2010-05-17,14.34,14.34,13.28,13.33,100980
2010-05-18,12.9,13.52,12.9,13.28,46730
2010-05-19,12.9,13.38,12.66,12.66,139390
2010-05-20,12.04,13.0,12.04,13.0,136190
2010-05-21,12.38,12.42,12.38,12.38,146910
2010-05-24,12.23,12.81,12.04,12.23,34550
2010-05-25,12.66,12.81,12.19,12.52,46790
2010-05-26,12.81,13.14,12.57,13.14,138640
2010-05-27,13.14,13.33,12.95,13.14,86580
2010-05-28,13.76,13.76,13.24,13.76,125670
2010-05-31,13.76,13.86,13.38,13.52,106740
2010-06-01,13.52,13.71,13.28,13.38,76510
2010-06-02,13.38,13.38,12.81,13.38,45410
2010-06-03,13.62,14.05,13.38,13.86,132990
2010-06-04,13.86,13.91,13.62,13.86,39420
2010-06-07,13.19,13.67,13.19,13.19,140160
2010-06-08,12.9,13.57,12.9,13.0,28600
2010-06-09,13.05,13.38,13.05,13.05,54420
2010-06-10,13.05,13.38,13.05,13.28,34720
2010-06-11,13.62,13.62,13.33,13.38,41460
2010-06-14,13.48,13.48,13.33,13.33,23290
2010-06-15,13.57,13.57,13.28,13.33,66080
2010-06-16,13.95,13.95,13.95,13.95,130750
2010-06-17,14.62,14.62,14.62,14.62,75330
2010-06-18,15.34,15.34,14.81,15.34,646810
2010-06-21,16.1,16.1,16.1,16.1,126770
2010-06-22,16.87,16.87,16.87,16.87,382690
2010-06-23,16.87,17.68,16.2,17.68,413330
2010-06-24,17.68,18.16,17.3,18.06,242290
2010-06-25,17.3,18.06,17.2,17.2,171600
2010-06-28,16.68,17.92,16.68,17.92,357740
2010-06-29,17.68,18.64,17.68,17.92,177030
2010-06-30,17.11,17.97,17.06,17.97,281670
2010-07-01,17.97,18.83,17.92,18.68,345910
2010-07-02,18.68,19.59,18.54,19.59,234480
2010-07-05,19.59,20.55,19.59,20.55,215710
2010-07-06,21.03,21.03,19.64,19.64,396580
2010-07-07,19.64,20.6,18.88,20.6,539310
2010-07-08,21.41,21.41,20.07,20.07,424760
2010-07-09,20.07,21.07,19.4,21.07,384540
2010-07-12,21.46,22.13,21.22,22.13,134810
2010-07-13,22.13,23.18,22.13,23.18,289830
2010-07-14,22.46,23.89,22.03,22.22,743300
2010-07-15,22.22,23.32,22.22,23.32,354430
2010-07-16,24.37,24.37,24.37,24.37,227260
2010-07-19,23.42,25.09,23.42,23.42,176190
2010-07-20,22.46,23.42,22.32,22.75,311820
2010-07-21,21.98,22.7,21.65,21.65,356680
2010-07-22,20.69,21.65,20.6,21.65,428350
2010-07-23,20.69,21.74,20.6,21.74,329210
2010-07-26,20.74,20.84,20.69,20.69,100860
2010-07-27,20.21,21.46,19.74,20.69,256570
2010-07-28,20.93,21.5,20.74,21.5,306860
2010-07-29,21.22,22.41,21.22,22.32,415140
2010-07-30,21.6,22.46,21.5,22.46,401970
2010-08-02,21.79,22.36,21.65,22.22,188610
2010-08-03,21.98,22.84,21.79,22.27,332480
2010-08-04,22.17,22.32,21.79,22.32,138230
2010-08-05,22.27,22.46,21.5,22.36,339670
2010-08-06,22.36,22.36,21.93,21.98,251220
2010-08-09,21.27,22.13,21.12,21.98,250570
2010-08-10,21.55,21.55,20.98,21.36,132590
2010-08-11,20.69,21.36,20.69,21.36,92010
2010-08-12,20.36,20.36,20.31,20.31,89140
2010-08-13,19.31,20.93,19.31,19.31,101810
2010-08-16,18.64,20.07,18.64,20.02,161330
2010-08-17,19.83,20.07,19.35,19.97,113480
2010-08-18,19.11,19.83,19.02,19.59,74060
2010-08-19,18.64,19.11,18.64,18.68,140430
2010-08-20,18.88,18.88,17.78,18.83,66540
2010-08-23,18.83,18.83,17.92,18.59,76140
2010-08-24,17.68,18.3,17.68,17.68,32720
2010-08-25,16.82,16.82,16.82,16.82,15020
2010-08-26,16.01,16.01,16.01,16.01,24720
2010-08-27,15.24,15.24,15.24,15.24,22840
2010-08-30,14.53,15.67,14.53,14.53,293950
2010-08-31,14.81,15.24,14.53,15.24,149910
2010-09-01,15.29,15.96,15.29,15.96,115340
2010-09-06,16.73,16.73,16.73,16.73,26310
2010-09-07,17.2,17.54,16.73,17.44,163980
2010-09-08,16.68,16.96,16.58,16.58,89880
2010-09-09,17.35,17.35,15.77,15.82,155120
2010-09-10,15.34,16.58,15.34,15.34,166740
2010-09-13,15.34,15.77,14.81,14.91,123120
2010-09-14,15.29,15.63,15.29,15.63,139370
2010-09-15,15.34,16.1,15.29,15.63,57770
2010-09-16,14.86,15.72,14.86,15.63,86040
2010-09-17,15.77,16.01,15.29,15.77,78490
2010-09-20,15.77,16.25,15.53,15.53,106090
2010-09-21,15.63,15.77,15.2,15.63,117820
2010-09-22,15.72,16.25,15.29,16.25,179810
2010-09-23,15.67,16.3,15.53,15.67,166180
2010-09-24,16.01,16.01,15.67,16.01,88650
2010-09-27,15.77,16.2,15.77,15.77,69310
2010-09-28,16.2,16.2,15.91,16.2,130220
2010-09-29,15.77,16.49,15.77,15.77,62990
2010-09-30,15.29,15.87,15.29,15.63,98200
2010-10-01,15.53,15.87,15.53,15.53,65320
2010-10-04,14.77,15.72,14.77,14.77,77890
2010-10-05,14.77,15.29,14.34,15.29,98590
2010-10-06,15.29,16.06,15.05,16.06,166460
2010-10-07,16.06,16.25,15.29,15.77,136620
2010-10-08,15.1,16.06,15.1,15.63,99540
2010-10-11,16.25,16.25,15.53,16.25,83510
2010-10-12,15.53,15.77,15.53,15.77,70000
2010-10-13,15.96,15.96,15.39,15.96,43420
2010-10-14,16.25,16.25,15.77,16.25,132100
2010-10-15,16.25,16.39,15.77,16.25,54080
2010-10-18,15.53,16.58,15.53,16.01,105460
2010-10-19,16.25,16.25,15.53,16.25,61040
2010-10-20,15.67,16.01,15.48,15.67,96060
2010-10-21,16.44,16.44,15.53,16.44,59150
2010-10-22,16.44,16.44,15.82,15.82,72000
2010-10-25,16.44,16.44,15.77,16.44,137720
2010-10-26,16.73,16.96,16.49,16.73,73040
2010-10-27,16.73,16.73,16.01,16.73,62130
2010-10-28,16.15,17.06,16.15,17.01,70940
2010-10-29,17.63,17.63,16.73,16.73,27500
2010-11-01,17.39,17.39,16.39,16.53,75950
2010-11-02,16.68,16.73,16.39,16.68,31650
2010-11-03,16.68,16.73,16.44,16.44,65850
2010-11-04,16.96,16.96,16.96,16.96,10
2010-11-05,16.34,16.73,16.34,16.34,43180
2010-11-08,17.06,17.06,15.77,16.73,20970
2010-11-09,16.92,16.92,16.25,16.49,64470
2010-11-10,16.25,16.73,15.72,16.25,30290
2010-11-11,16.49,16.92,15.48,15.48,30410
2010-11-12,14.77,16.01,14.77,14.77,25010
2010-11-15,15.48,15.48,15.29,15.48,29530
2010-11-16,16.2,16.2,15.53,15.91,14520
2010-11-17,15.96,16.2,15.77,15.96,3060
2010-11-18,16.2,16.2,15.2,15.87,71270
2010-11-19,15.87,16.01,15.1,15.87,5020
2010-11-22,15.87,15.87,15.1,15.87,47210
2010-11-23,15.15,16.44,15.15,15.96,50320
2010-11-24,15.77,15.91,15.34,15.34,65360
2010-11-25,14.81,16.01,14.81,14.81,48750
2010-11-26,15.53,15.53,14.81,15.53,31700
2010-11-29,16.2,16.2,15.96,16.01,35310
2010-11-30,16.73,16.73,16.2,16.63,120120
2010-12-01,15.87,16.68,15.87,15.87,45620
2010-12-02,16.2,16.2,15.63,16.1,60340
2010-12-03,16.73,16.73,15.96,16.73,124890
2010-12-06,16.96,17.39,16.3,16.96,100760
2010-12-07,17.54,17.59,16.49,17.54,95880
2010-12-08,18.16,18.16,17.16,18.16,114340
2010-12-09,17.68,18.68,17.68,18.68,190750
2010-12-10,18.68,19.59,18.68,19.59,198630
2010-12-13,20.4,20.55,20.36,20.4,109070
2010-12-14,20.4,20.79,19.4,20.79,98610
2010-12-15,20.79,21.03,19.78,20.79,142560
2010-12-16,19.78,19.78,19.78,19.78,30630
2010-12-17,18.83,20.31,18.83,20.31,59390
2010-12-20,21.03,21.31,19.31,21.03,123010
2010-12-21,20.02,21.5,19.97,21.5,144910
2010-12-22,21.46,21.46,20.55,21.46,37260
2010-12-23,20.5,22.27,20.4,21.74,150770
2010-12-24,22.46,22.46,20.88,22.46,86630
2010-12-27,21.36,23.42,21.36,23.37,160760
2010-12-28,23.37,23.18,22.22,23.13,210430
2010-12-29,23.13,23.85,22.46,23.08,102040
2010-12-30,23.08,23.08,21.93,23.08,29090
2010-12-31,23.08,23.03,21.93,23.03,41470
2011-01-04,21.89,22.89,21.89,22.79,15030
2011-01-05,22.79,22.79,21.7,22.36,8400
2011-01-06,22.36,23.37,21.27,23.37,19250
2011-01-07,23.37,23.89,22.22,23.89,43950
2011-01-10,23.89,24.37,22.7,22.7,5870
2011-01-11,21.79,21.79,21.6,21.6,11370
2011-01-12,20.64,22.65,20.55,21.6,42210
2011-01-13,20.55,21.5,20.55,21.5,74890
2011-01-14,20.45,22.22,20.45,22.22,30240
2011-01-17,21.12,22.22,21.12,22.13,33720
2011-01-18,21.98,22.41,21.03,22.41,39360
2011-01-19,22.41,22.7,21.31,22.7,39300
2011-01-20,21.79,22.94,21.6,22.94,51200
2011-01-21,23.18,23.42,21.89,23.42,38650
