time,open,high,low,close,volume
2015-07-17,5.2,5.2,3.33,3.33,2400
2015-07-20,3.33,3.33,3.33,3.33,200
2015-07-21,3.33,3.33,3.33,3.33,0
2015-07-22,3.33,3.33,3.33,3.33,0
2015-07-23,3.64,3.64,3.64,3.64,100
2015-07-24,3.64,3.64,3.64,3.64,0
2015-07-27,3.64,3.64,3.64,3.64,0
2015-07-28,3.29,3.29,3.29,3.29,100
2015-07-29,3.12,3.16,3.12,3.16,1800
2015-07-30,3.16,3.16,3.16,3.16,200
2015-07-31,3.36,3.36,3.36,3.36,500
2015-08-03,3.61,3.61,3.36,3.36,600
2015-08-04,3.54,3.54,3.36,3.54,1000
2015-08-05,3.65,3.65,3.65,3.65,500
2015-08-06,3.84,3.84,3.84,3.84,300
2015-08-07,3.84,3.84,3.84,3.84,0
2015-08-10,4.1,4.1,3.46,4.06,1600
2015-08-11,4.25,4.25,3.69,3.69,1100
2015-08-12,3.69,3.69,3.69,3.69,0
2015-08-13,3.72,3.72,3.72,3.72,200
2015-08-14,3.72,3.72,3.72,3.72,0
2015-08-17,3.72,3.72,3.72,3.72,0
2015-08-18,3.72,3.72,3.42,3.65,2400
2015-08-19,3.69,3.69,3.65,3.65,1400
2015-08-20,3.65,3.65,3.65,3.65,0
2015-08-21,3.39,3.39,3.39,3.39,100
2015-08-24,3.69,3.69,3.69,3.69,200
2015-08-25,3.69,3.69,3.69,3.69,0
2015-08-26,3.69,3.69,3.69,3.69,0
2015-08-27,3.69,3.69,3.69,3.69,0
2015-08-28,3.35,3.54,3.35,3.54,300
2015-08-31,3.65,3.65,3.65,3.65,200
2015-09-01,3.65,3.65,3.65,3.65,0
2015-09-03,3.65,3.65,3.65,3.65,0
2015-09-04,3.65,3.65,3.65,3.65,0
2015-09-07,3.65,3.65,3.65,3.65,0
2015-09-08,3.65,3.65,3.65,3.65,0
2015-09-09,3.65,3.65,3.65,3.65,0
2015-09-10,3.39,3.39,3.39,3.39,400
2015-09-11,3.05,3.39,3.05,3.35,300
2015-09-14,3.39,3.39,3.05,3.05,300
2015-09-15,3.35,3.35,3.05,3.05,200
2015-09-16,2.82,3.35,2.78,2.78,2900
2015-09-17,2.97,2.97,2.97,2.97,600
2015-09-18,3.2,3.2,2.71,3.12,3800
2015-09-21,3.39,3.39,2.82,3.31,600
2015-09-22,3.39,3.39,3.01,3.39,3100
2015-09-23,3.05,3.05,3.05,3.05,100
2015-09-24,2.75,2.75,2.75,2.75,2600
2015-09-25,2.78,2.78,2.78,2.78,100
2015-09-28,2.67,2.67,2.67,2.67,100
2015-09-29,2.67,2.67,2.67,2.67,0
2015-09-30,2.48,2.75,2.48,2.75,400
2015-10-01,2.75,2.75,2.75,2.75,0
2015-10-02,2.75,2.75,2.75,2.75,0
2015-10-05,2.52,2.56,2.52,2.56,700
2015-10-06,2.63,2.63,2.63,2.63,100
2015-10-07,2.37,2.63,2.37,2.6,413
2015-10-08,2.6,2.63,2.6,2.63,1903
2015-10-09,2.6,2.63,2.6,2.63,1160
2015-10-12,2.63,2.63,2.63,2.63,2180
2015-10-13,2.63,2.63,2.63,2.63,150
2015-10-14,2.71,2.71,2.71,2.71,215
2015-10-15,2.71,2.71,2.71,2.71,0
2015-10-16,2.71,2.71,2.71,2.71,0
2015-10-19,2.52,2.75,2.52,2.75,200
2015-10-20,2.97,2.97,2.75,2.86,2700
2015-10-21,2.78,2.78,2.78,2.78,400
2015-10-22,2.78,2.78,2.78,2.78,0
2015-10-23,2.78,2.82,2.78,2.82,200
2015-10-26,2.86,2.86,2.86,2.86,100
2015-10-27,2.97,2.97,2.82,2.82,1100
2015-10-28,2.97,2.97,2.97,2.97,100
2015-10-29,2.93,2.93,2.93,2.93,100
2015-10-30,3.01,3.01,3.01,3.01,100
2015-11-02,3.01,3.01,3.01,3.01,0
2015-11-03,3.27,3.27,3.27,3.27,100
2015-11-04,3.01,3.01,2.97,2.97,1200
2015-11-05,3.12,3.12,3.12,3.12,100
2015-11-06,3.12,3.12,3.12,3.12,0
2015-11-09,3.12,3.12,3.12,3.12,0
2015-11-10,3.12,3.12,3.12,3.12,0
2015-11-11,3.16,3.16,3.16,3.16,100
2015-11-12,3.16,3.16,3.16,3.16,0
2015-11-13,3.16,3.16,3.16,3.16,0
