time,open,high,low,close,volume
2010-01-04,3.45,3.46,3.45,3.46,2100
2010-01-05,3.39,3.39,3.22,3.22,21500
2010-01-06,3.23,3.23,3.07,3.07,8100
2010-01-07,3.09,3.13,2.98,2.98,101900
2010-01-08,3.02,3.02,2.91,2.91,41800
2010-01-11,2.8,2.87,2.8,2.83,2300
2010-01-12,3.06,3.06,2.86,2.87,7200
2010-01-13,2.86,2.86,2.75,2.75,6400
2010-01-14,2.72,2.86,2.72,2.81,7700
2010-01-15,2.91,2.91,2.7,2.7,4000
2010-01-18,2.61,2.62,2.56,2.59,4600
2010-01-19,2.48,2.78,2.48,2.78,103500
2010-01-20,2.87,2.89,2.81,2.86,8300
2010-01-21,2.89,2.89,2.82,2.84,4700
2010-01-22,2.86,2.86,2.81,2.81,2000
2010-01-25,3.0,3.01,2.75,2.75,169900
2010-01-26,2.75,2.75,2.75,2.75,0
2010-01-27,2.75,2.75,2.75,2.75,0
2010-01-28,3.08,3.08,2.99,2.99,200
2010-01-29,2.99,2.99,2.99,2.99,0
2010-02-01,2.92,2.97,2.89,2.89,3400
2010-02-02,2.92,2.92,2.72,2.72,2900
2010-02-03,2.65,2.92,2.59,2.81,134200
2010-02-04,2.81,2.81,2.81,2.81,0
2010-02-05,2.75,2.75,2.71,2.73,4100
2010-02-08,2.72,2.72,2.6,2.6,700
2010-02-09,2.61,2.62,2.59,2.59,4100
2010-02-10,2.6,2.78,2.6,2.65,2700
2010-02-11,2.79,2.79,2.79,2.79,200
2010-02-12,2.92,2.92,2.79,2.79,4500
2010-02-22,2.61,2.81,2.59,2.6,7400
2010-02-23,2.59,2.59,2.59,2.59,300
2010-02-24,2.62,2.62,2.62,2.62,1000
2010-02-25,2.65,2.65,2.54,2.54,7000
2010-02-26,2.58,2.58,2.58,2.58,5300
2010-03-01,2.58,2.58,2.58,2.58,5300
2010-03-02,2.41,2.53,2.41,2.53,71200
2010-03-03,2.53,2.58,2.53,2.58,20500
2010-03-04,2.69,2.69,2.58,2.58,9700
2010-03-05,2.65,2.65,2.59,2.64,22000
2010-03-08,2.7,2.7,2.48,2.48,11200
2010-03-09,2.69,2.69,2.48,2.58,27600
2010-03-10,2.58,2.73,2.56,2.73,57900
2010-03-11,2.71,2.71,2.65,2.65,10500
2010-03-12,2.7,2.78,2.7,2.71,6100
2010-03-15,2.7,2.88,2.7,2.88,43300
2010-03-16,2.88,2.93,2.71,2.92,61500
2010-03-17,3.03,3.03,3.02,3.03,54100
2010-03-18,3.24,3.24,3.22,3.24,66400
2010-03-19,3.46,3.47,3.01,3.47,84100
2010-03-22,3.35,3.47,3.35,3.47,142500
2010-03-23,3.45,3.5,3.26,3.26,88400
2010-03-24,3.46,3.68,3.24,3.4,90500
2010-03-25,3.18,3.4,3.16,3.35,129800
2010-03-26,3.19,3.23,3.02,3.09,30000
2010-03-29,2.98,2.98,2.92,2.93,7200
2010-03-30,2.97,3.12,2.97,3.12,36900
2010-03-31,3.29,3.3,3.09,3.18,43900
2010-04-01,3.0,3.18,3.0,3.13,13500
2010-04-02,3.13,3.13,2.92,2.96,18600
2010-04-05,3.12,3.15,3.02,3.13,131700
2010-04-06,3.28,3.28,3.03,3.07,22100
2010-04-07,3.24,3.27,3.09,3.09,26400
2010-04-08,3.08,3.24,3.08,3.12,24100
2010-04-09,3.12,3.21,3.11,3.13,66100
2010-04-12,3.24,3.28,3.02,3.02,72000
2010-04-13,3.02,3.11,3.02,3.02,25500
2010-04-14,2.96,3.13,2.93,2.93,35500
2010-04-15,2.98,3.21,2.97,3.13,59900
2010-04-16,3.34,3.34,2.99,3.08,30200
2010-04-19,3.08,3.08,3.06,3.06,13200
2010-04-20,3.18,3.19,3.07,3.19,66100
2010-04-21,3.03,3.19,3.03,3.19,19600
2010-04-22,3.13,3.13,2.92,2.92,14400
2010-04-26,2.92,2.97,2.86,2.97,25100
2010-04-27,3.02,3.05,2.92,2.92,45200
2010-04-28,2.97,2.97,2.92,2.92,23800
2010-04-29,2.92,2.94,2.91,2.94,11200
2010-05-04,3.11,3.11,3.05,3.05,47800
2010-05-05,3.06,3.13,3.06,3.08,36200
2010-05-06,3.08,3.14,2.96,2.96,55100
2010-05-07,3.08,3.3,3.08,3.23,205900
2010-05-10,3.24,3.4,3.24,3.4,111400
2010-05-11,3.62,3.62,3.5,3.51,103800
2010-05-12,3.56,3.56,3.35,3.35,15400
2010-05-13,3.19,3.22,3.13,3.13,59000
2010-05-14,3.13,3.13,2.96,3.03,65300
2010-05-17,3.03,3.11,2.97,3.02,13800
2010-05-18,3.01,3.01,2.93,2.95,50300
2010-05-19,2.97,2.97,2.76,2.81,35800
2010-05-20,2.74,2.89,2.74,2.86,37100
2010-05-21,2.72,2.8,2.6,2.6,45400
2010-05-24,2.65,2.7,2.59,2.66,15600
2010-05-25,2.66,2.84,2.66,2.76,21000
2010-05-26,2.79,2.92,2.79,2.88,10400
2010-05-27,2.86,2.86,2.78,2.82,9500
2010-05-28,2.92,2.92,2.85,2.85,22900
2010-05-31,2.87,2.88,2.72,2.74,15900
2010-06-01,2.78,2.78,2.76,2.78,3000
2010-06-02,2.78,2.81,2.7,2.75,12700
2010-06-03,2.91,2.91,2.8,2.81,12100
2010-06-04,2.81,2.82,2.81,2.82,21700
2010-06-07,2.73,2.73,2.7,2.71,15200
2010-06-08,2.81,2.81,2.72,2.73,8000
2010-06-09,2.91,2.91,2.75,2.86,16300
2010-06-10,2.83,2.86,2.83,2.84,14100
2010-06-11,2.96,2.96,2.85,2.87,4500
2010-06-14,2.87,2.92,2.85,2.92,8900
2010-06-15,2.88,3.02,2.88,2.99,17300
2010-06-16,3.08,3.18,3.08,3.18,43700
2010-06-17,3.35,3.39,3.19,3.26,59900
2010-06-18,3.26,3.26,3.13,3.13,41300
2010-06-21,3.13,3.23,3.12,3.15,12600
2010-06-22,3.22,3.22,3.15,3.21,45400
2010-06-23,3.21,3.22,3.15,3.21,45800
2010-06-24,3.21,3.23,3.14,3.21,45000
2010-06-25,3.19,3.21,3.08,3.08,38500
2010-06-28,3.11,3.16,3.11,3.14,50700
2010-06-29,3.13,3.13,3.12,3.13,18700
2010-06-30,3.06,3.06,3.0,3.02,11200
2010-07-01,3.03,3.1,3.03,3.1,11000
2010-07-02,3.08,3.13,3.08,3.13,15500
2010-07-05,3.19,3.19,3.13,3.13,12900
2010-07-06,3.08,3.16,2.97,3.03,11800
2010-07-07,3.1,3.1,2.97,2.97,2100
