time,open,high,low,close,volume
2010-01-04,14.62,15.0,14.52,15.0,405020
2010-01-05,15.66,15.66,15.38,15.66,1129250
2010-01-06,15.66,15.95,15.28,15.66,930340
2010-01-07,15.57,15.76,15.19,15.28,631690
2010-01-08,15.66,15.76,14.9,14.9,850510
2010-01-11,14.81,15.0,14.43,14.52,260140
2010-01-12,14.43,14.62,13.95,13.95,576290
2010-01-13,13.95,14.52,13.48,14.43,612760
2010-01-14,14.62,14.81,14.43,14.62,261710
2010-01-15,14.52,14.71,14.24,14.43,268010
2010-01-18,13.95,14.05,13.76,13.76,504790
2010-01-19,13.86,13.95,13.67,13.76,319620
2010-01-20,14.05,14.05,13.29,13.38,319560
2010-01-21,13.38,13.48,12.91,13.1,438440
2010-01-22,13.0,13.19,12.91,13.0,292340
2010-01-25,12.91,13.19,12.91,13.1,122370
2010-01-26,13.48,13.67,13.48,13.67,255400
2010-01-27,13.86,14.05,13.57,13.57,309610
2010-01-28,13.48,13.76,13.19,13.19,136810
2010-01-29,13.1,13.19,12.81,12.91,261910
2010-02-01,12.91,13.1,12.81,12.91,138650
2010-02-02,13.1,13.1,12.81,12.91,130920
2010-02-03,13.1,13.19,12.81,13.19,199250
2010-02-04,13.38,13.67,13.29,13.67,457760
2010-02-05,13.48,13.57,13.19,13.29,240080
2010-02-08,13.19,13.19,13.0,13.0,142140
2010-02-09,13.0,13.1,12.91,13.0,183810
2010-02-10,13.0,13.29,13.0,13.29,177610
2010-02-11,13.29,13.38,13.29,13.38,91210
2010-02-12,13.57,13.57,13.38,13.57,122200
2010-02-22,13.76,13.76,13.38,13.38,138210
2010-02-23,13.29,13.29,13.1,13.1,221780
2010-02-24,13.0,13.1,12.81,12.91,167400
2010-02-25,13.1,13.1,12.91,12.91,341620
2010-02-26,12.91,13.1,12.91,13.0,106860
2010-03-01,13.1,13.1,13.0,13.0,239360
2010-03-02,13.0,13.1,12.91,13.0,165280
2010-03-03,13.1,13.19,12.91,13.19,204990
2010-03-04,13.76,13.76,13.57,13.67,614710
2010-03-05,13.48,13.67,13.38,13.57,310120
2010-03-08,13.67,14.05,13.57,14.05,591490
2010-03-09,14.05,14.71,13.95,14.62,1537330
2010-03-10,14.62,14.9,14.52,14.62,700680
2010-03-11,14.81,14.81,14.52,14.62,459620
2010-03-12,14.71,14.9,14.52,14.9,616020
2010-03-15,15.0,15.0,14.52,14.71,828870
2010-03-16,14.62,14.62,14.05,14.05,942230
2010-03-17,14.24,14.24,13.76,13.76,440120
2010-03-18,13.95,14.24,13.76,14.24,610370
2010-03-19,14.14,14.24,13.95,13.95,227520
2010-03-22,13.95,14.05,13.76,13.76,320590
2010-03-23,13.76,13.86,13.48,13.48,499220
2010-03-24,13.67,13.76,13.38,13.67,464010
2010-03-25,13.38,13.57,13.19,13.29,475960
2010-03-26,13.48,13.48,13.19,13.48,398600
2010-03-29,13.48,13.57,13.29,13.38,259830
2010-03-30,13.38,13.38,13.29,13.29,228660
2010-03-31,13.29,13.38,13.0,13.0,387410
2010-04-01,13.0,13.57,13.0,13.57,486070
2010-04-02,13.67,13.76,13.48,13.57,346950
2010-04-05,13.76,13.95,13.57,13.86,460000
2010-04-06,13.86,14.14,13.86,14.05,564760
2010-04-07,14.14,14.14,13.86,13.95,380110
2010-04-08,14.05,14.05,13.86,13.86,353110
2010-04-09,13.95,14.05,13.86,13.95,418810
2010-04-12,14.05,14.24,13.95,13.95,356840
2010-04-13,14.05,14.14,13.76,13.76,296750
2010-04-14,13.86,13.86,13.67,13.76,233950
2010-04-15,13.95,13.95,13.76,13.86,242770
2010-04-16,13.86,13.86,13.67,13.67,200350
2010-04-19,13.67,13.76,13.48,13.48,229500
2010-04-20,13.57,13.67,13.29,13.29,394990
2010-04-21,13.48,13.57,13.38,13.38,220970
2010-04-22,13.57,14.05,13.38,13.86,502060
2010-04-26,13.95,13.95,13.76,13.76,351820
2010-04-27,13.76,13.76,13.67,13.67,263330
2010-04-28,13.67,13.76,13.57,13.67,369240
2010-04-29,13.76,13.86,13.57,13.57,332990
2010-05-04,13.57,13.76,13.57,13.67,304830
2010-05-05,13.57,13.67,13.48,13.48,413780
2010-05-06,13.57,13.57,13.38,13.48,431560
2010-05-07,13.38,13.38,13.1,13.29,658160
2010-05-10,13.29,13.29,13.1,13.1,183400
2010-05-11,13.29,13.29,13.1,13.19,196850
2010-05-12,13.1,13.1,12.91,13.0,343550
2010-05-13,13.1,13.1,12.91,13.0,263310
2010-05-14,13.0,13.19,12.91,13.1,108750
2010-05-17,13.0,13.0,12.72,12.91,265120
2010-05-18,12.81,12.91,12.81,12.81,264300
2010-05-19,12.72,12.72,12.53,12.62,365940
2010-05-20,12.34,12.72,12.34,12.62,286200
2010-05-21,12.24,12.43,12.05,12.05,419600
2010-05-24,12.24,12.24,11.86,12.15,228860
2010-05-25,11.96,12.34,11.96,12.24,174720
2010-05-26,12.34,12.34,12.15,12.34,157810
2010-05-27,12.05,12.43,12.05,12.43,208470
2010-05-28,12.91,13.0,12.53,12.91,463790
2010-05-31,12.72,12.81,12.62,12.62,103280
2010-06-01,12.34,12.72,12.34,12.62,122060
2010-06-02,12.53,12.81,12.43,12.72,273780
2010-06-03,12.81,12.81,12.53,12.53,292490
2010-06-04,12.53,12.62,12.53,12.62,292300
2010-06-07,12.24,12.53,12.15,12.53,367850
2010-06-08,12.34,12.53,12.24,12.43,147040
2010-06-09,12.43,12.53,12.34,12.34,193020
2010-06-10,12.24,12.43,12.24,12.34,83130
2010-06-11,12.53,12.53,12.24,12.24,176370
2010-06-14,12.34,12.43,12.34,12.34,107550
2010-06-15,12.34,12.34,12.24,12.34,67930
2010-06-16,12.43,12.43,12.34,12.34,132720
2010-06-17,12.34,12.34,12.24,12.34,91330
2010-06-18,12.34,12.43,12.24,12.24,139400
2010-06-21,12.43,12.43,12.24,12.43,70530
2010-06-22,12.53,12.62,12.34,12.43,145450
2010-06-23,12.24,12.43,12.24,12.43,40240
2010-06-24,12.34,12.43,12.34,12.34,137890
2010-06-25,12.24,12.34,12.24,12.24,88370
2010-06-28,12.24,12.34,12.15,12.24,123200
2010-06-29,12.24,12.24,12.15,12.15,204280
2010-06-30,11.77,12.34,11.77,12.34,157350
2010-07-01,12.34,12.34,12.15,12.24,157080
2010-07-02,12.15,12.24,12.15,12.15,28480
2010-07-05,12.15,12.24,12.15,12.15,108140
2010-07-06,11.96,12.05,11.96,11.96,84190
2010-07-07,11.77,12.15,11.67,11.77,128660
2010-07-08,11.77,11.86,11.58,11.58,120090
2010-07-09,11.58,11.67,11.58,11.58,55690
2010-07-12,11.58,11.77,11.58,11.77,61690
2010-07-13,11.96,11.96,11.77,11.77,133520
2010-07-14,11.86,11.86,11.67,11.77,154400
2010-07-15,11.67,11.77,11.49,11.67,200030
2010-07-16,11.67,11.67,11.49,11.58,300250
2010-07-19,11.58,11.58,11.39,11.58,100460
2010-07-20,11.49,11.58,11.39,11.39,126620
2010-07-21,11.3,11.39,11.3,11.3,82170
