time,open,high,low,close,volume
2010-01-04,1.08,1.08,1.08,1.08,1000
2010-01-05,1.08,1.08,1.01,1.02,11500
2010-01-06,1.08,1.08,0.95,0.95,3200
2010-01-07,0.95,0.95,0.95,0.95,0
2010-01-08,0.91,0.96,0.91,0.96,24300
2010-01-11,0.87,0.87,0.87,0.87,200
2010-01-12,0.93,0.93,0.9,0.9,900
2010-01-13,0.96,0.96,0.96,0.96,700
2010-01-14,0.9,0.9,0.9,0.9,1000
2010-01-15,0.84,0.85,0.84,0.84,900
2010-01-18,0.79,0.81,0.79,0.79,1500
2010-01-19,0.79,0.79,0.79,0.79,0
2010-01-20,0.81,0.81,0.8,0.8,1700
2010-01-21,0.8,0.8,0.8,0.8,0
2010-01-22,0.81,0.85,0.81,0.85,200
2010-01-25,0.85,0.85,0.85,0.85,0
2010-01-26,0.88,0.88,0.88,0.88,300
2010-01-27,0.82,0.82,0.82,0.82,1800
2010-01-28,0.82,0.82,0.82,0.82,0
2010-01-29,0.87,0.87,0.87,0.87,100
2010-02-01,0.87,0.87,0.87,0.87,0
2010-02-02,0.81,0.81,0.81,0.81,2000
2010-02-03,0.75,0.75,0.75,0.75,500
2010-02-04,0.75,0.75,0.75,0.75,0
2010-02-05,0.75,0.75,0.75,0.75,0
2010-02-08,0.71,0.71,0.71,0.71,1400
2010-02-09,0.66,0.66,0.66,0.66,6100
2010-02-10,0.71,0.71,0.71,0.71,100
2010-02-11,0.75,0.75,0.75,0.75,700
2010-02-12,0.71,0.8,0.71,0.8,300
2010-02-22,0.8,0.8,0.8,0.8,0
2010-02-23,0.8,0.8,0.8,0.8,0
2010-02-24,0.8,0.8,0.8,0.8,0
2010-02-25,0.8,0.8,0.8,0.8,0
2010-02-26,0.8,0.8,0.8,0.8,0
2010-03-01,0.8,0.8,0.8,0.8,0
2010-03-02,0.8,0.8,0.8,0.8,0
2010-03-03,0.8,0.8,0.8,0.8,0
2010-03-04,0.8,0.8,0.8,0.8,0
2010-03-05,0.75,0.75,0.75,0.75,500
2010-03-08,0.75,0.75,0.75,0.75,0
2010-03-09,0.7,0.7,0.7,0.7,300
2010-03-10,0.69,0.69,0.65,0.65,11000
2010-03-11,0.67,0.67,0.67,0.67,600
2010-03-12,0.67,0.68,0.66,0.67,5100
2010-03-15,0.71,0.71,0.71,0.71,100
2010-03-16,0.75,0.75,0.75,0.75,6500
2010-03-17,0.77,0.8,0.77,0.8,12300
2010-03-18,0.85,0.85,0.85,0.85,2700
2010-03-19,0.9,0.9,0.9,0.9,3100
2010-03-22,0.96,0.96,0.96,0.96,6900
2010-03-23,1.03,1.03,1.02,1.03,30300
2010-03-24,1.1,1.1,1.1,1.1,10100
2010-03-25,1.17,1.17,1.17,1.17,200
2010-03-26,1.09,1.09,1.09,1.09,800
2010-03-29,1.02,1.05,1.02,1.02,9000
2010-03-30,0.96,0.96,0.96,0.96,1500
2010-03-31,1.02,1.02,0.89,0.89,7200
2010-04-01,0.88,0.96,0.88,0.96,600
2010-04-02,0.9,0.9,0.87,0.87,1200
2010-04-05,0.9,0.94,0.88,0.94,10100
2010-04-06,0.91,0.91,0.87,0.87,5600
2010-04-07,0.94,0.94,0.88,0.93,4500
2010-04-08,0.98,0.98,0.97,0.98,2200
2010-04-09,0.93,0.95,0.93,0.94,2300
2010-04-12,0.94,1.0,0.94,1.0,6300
2010-04-13,1.03,1.03,1.02,1.02,900
2010-04-14,1.02,1.02,1.02,1.02,0
2010-04-15,0.95,0.95,0.95,0.95,1100
2010-04-16,0.91,0.92,0.91,0.91,3200
2010-04-19,0.88,0.97,0.86,0.88,4000
2010-04-20,0.91,0.92,0.91,0.92,4100
2010-04-21,0.96,0.96,0.96,0.96,3700
2010-04-22,0.95,0.95,0.9,0.9,1500
2010-04-26,0.9,0.9,0.89,0.89,7500
2010-04-27,0.93,0.95,0.9,0.9,2100
