time,open,high,low,close,volume
2015-07-17,4.59,4.96,4.13,4.34,25500
2015-07-20,4.44,4.44,3.91,3.93,2500
2015-07-21,3.93,4.09,3.93,4.09,11000
2015-07-22,4.09,4.3,4.09,4.3,23950
2015-07-23,4.03,4.07,4.03,4.03,11700
2015-07-24,4.03,4.09,4.01,4.09,6300
2015-07-27,4.13,4.22,4.13,4.13,4100
2015-07-28,4.13,4.22,4.13,4.19,7600
2015-07-29,4.13,4.3,4.13,4.15,6000
2015-07-30,4.13,4.15,4.13,4.15,700
2015-07-31,4.15,4.15,4.15,4.15,1000
2015-08-03,4.15,4.24,4.15,4.24,8000
2015-08-04,4.24,4.28,4.24,4.28,2200
2015-08-05,4.32,4.34,4.32,4.34,3300
2015-08-06,4.34,4.34,4.34,4.34,0
2015-08-07,4.11,4.11,4.11,4.11,100
2015-08-10,4.13,4.13,4.13,4.13,200
2015-08-11,4.13,4.13,4.13,4.13,0
2015-08-12,4.13,4.13,4.13,4.13,200
2015-08-13,4.13,4.13,4.13,4.13,700
2015-08-14,4.13,4.13,4.13,4.13,0
2015-08-17,4.13,4.13,4.13,4.13,2000
2015-08-18,4.17,4.17,4.17,4.17,1000
2015-08-19,4.24,4.34,4.24,4.34,3800
2015-08-20,4.34,4.34,4.34,4.34,0
2015-08-21,4.34,4.34,4.34,4.34,0
2015-08-24,4.34,4.34,4.34,4.34,1100
2015-08-25,4.34,4.38,4.34,4.36,24400
2015-08-26,4.36,4.36,4.36,4.36,0
2015-08-27,4.38,4.38,4.38,4.38,5000
2015-08-28,4.4,4.55,4.4,4.55,2100
2015-08-31,4.65,4.65,4.65,4.65,800
2015-09-01,4.65,4.65,4.65,4.65,0
2015-09-03,4.55,4.55,4.55,4.55,300
2015-09-04,4.57,4.59,4.57,4.59,2000
2015-09-07,4.65,4.65,4.65,4.65,1000
2015-09-08,4.36,4.75,4.36,4.75,900
2015-09-09,4.73,4.75,4.73,4.75,1600
2015-09-10,4.65,4.65,4.65,4.65,1000
2015-09-11,4.44,4.88,4.44,4.88,5100
2015-09-14,4.88,4.88,4.88,4.88,0
2015-09-15,4.88,4.88,4.88,4.88,0
2015-09-16,4.88,4.88,4.88,4.88,0
2015-09-17,4.88,4.88,4.88,4.88,0
2015-09-18,4.65,4.71,4.65,4.71,2400
2015-09-21,4.71,4.71,4.71,4.71,0
2015-09-22,4.71,4.71,4.71,4.71,0
2015-09-23,4.71,4.71,4.71,4.71,500
2015-09-24,4.86,4.86,4.86,4.86,100
2015-09-25,4.86,4.86,4.86,4.86,0
2015-09-28,4.86,4.86,4.86,4.86,0
2015-09-29,4.86,4.86,4.86,4.86,0
2015-09-30,4.86,4.86,4.86,4.86,0
2015-10-01,4.86,4.86,4.86,4.86,0
2015-10-02,4.44,4.75,4.4,4.75,10600
2015-10-05,4.75,5.15,4.75,5.15,1100
2015-10-06,5.15,5.15,5.15,5.15,37
2015-10-07,4.71,4.73,4.71,4.73,6500
2015-10-08,4.94,4.96,4.94,4.96,300
2015-10-09,5.1,5.1,5.1,5.1,500
2015-10-12,5.1,5.1,5.1,5.1,0
2015-10-13,5.1,5.1,5.1,5.1,0
2015-10-14,4.71,4.71,4.71,4.71,4900
2015-10-15,4.71,4.71,4.71,4.71,0
2015-10-16,4.71,4.71,4.71,4.71,0
2015-10-19,4.28,5.02,4.28,5.02,200
2015-10-20,4.55,4.55,4.55,4.55,100
2015-10-21,4.55,4.55,4.55,4.55,0
2015-10-22,4.13,4.13,4.13,4.13,100
2015-10-23,4.13,4.13,4.13,4.13,0
2015-10-26,4.55,4.55,4.55,4.55,100
2015-10-27,4.55,4.55,4.55,4.55,0
2015-10-28,4.55,4.55,4.55,4.55,0
2015-10-29,4.55,4.55,4.55,4.55,0
2015-10-30,4.55,4.55,4.55,4.55,0
2015-11-02,4.55,4.55,4.55,4.55,0
2015-11-03,4.96,4.96,4.96,4.96,100
2015-11-04,4.96,4.96,4.96,4.96,0
2015-11-05,4.53,4.53,4.53,4.53,500
2015-11-06,4.53,4.53,4.53,4.53,0
2015-11-09,4.53,4.53,4.53,4.53,0
2015-11-10,4.53,4.53,4.53,4.53,0
2015-11-11,4.65,4.65,4.65,4.65,100
2015-11-12,4.65,4.65,4.65,4.65,0
2015-11-13,4.75,4.75,4.75,4.75,100
2015-11-16,4.75,4.75,4.75,4.75,25600
2015-11-17,4.75,4.75,4.75,4.75,400
2015-11-18,4.75,4.75,4.75,4.75,100
2015-11-19,4.75,4.75,4.75,4.75,0
2015-11-20,5.23,5.23,5.23,5.23,400
2015-11-23,5.23,5.23,5.23,5.23,0
2015-11-24,4.71,4.71,4.71,4.71,100
2015-11-25,4.3,4.75,4.3,4.75,500
2015-11-26,5.23,5.23,5.23,5.23,100
2015-11-27,5.23,5.23,5.23,5.23,0
2015-11-30,4.75,4.75,4.75,4.75,600
2015-12-01,4.4,4.4,4.4,4.4,100
2015-12-02,4.4,4.4,4.4,4.4,0
2015-12-03,3.97,4.81,3.97,4.81,600
2015-12-04,4.81,4.81,4.81,4.81,0
2015-12-07,4.94,4.94,4.94,4.94,200
2015-12-08,4.5,4.5,4.5,4.5,600
2015-12-09,4.55,4.55,4.55,4.55,11000
2015-12-10,4.63,4.63,4.55,4.55,18200
2015-12-11,4.09,4.73,4.09,4.73,600
2015-12-14,4.73,4.73,4.73,4.73,0
2015-12-15,4.75,5.15,4.75,4.96,600
2015-12-16,4.96,4.96,4.96,4.96,500
2015-12-17,4.96,4.96,4.96,4.96,0
2015-12-18,4.96,4.96,4.96,4.96,0
2015-12-21,4.46,4.94,4.46,4.94,600
2015-12-22,4.94,4.94,4.94,4.94,0
2015-12-23,4.75,4.84,4.75,4.84,2400
2015-12-24,5.15,5.15,5.15,5.15,500
2015-12-25,4.96,4.96,4.92,4.92,2900
2015-12-28,4.9,4.9,4.88,4.88,1600
2015-12-29,4.9,4.9,4.84,4.84,2100
2015-12-30,4.84,5.17,4.81,5.17,4900
2015-12-31,4.55,4.55,3.86,3.86,12300
2016-01-04,3.51,3.51,3.51,3.51,100
2016-01-05,3.51,3.51,3.51,3.51,0
2016-01-06,3.49,3.49,3.37,3.37,3800
2016-01-07,3.37,3.37,3.37,3.37,0
2016-01-08,3.7,3.7,3.7,3.7,100
2016-01-11,3.7,3.7,3.7,3.7,0
2016-01-12,3.7,3.7,3.7,3.7,0
2016-01-13,3.37,3.41,3.37,3.41,700
2016-01-14,3.08,3.2,3.08,3.1,2000
2016-01-15,3.1,3.1,3.1,3.1,0
2016-01-18,3.1,3.1,3.1,3.1,0
2016-01-19,3.1,3.1,3.1,3.1,0
2016-01-20,3.1,3.1,3.1,3.1,1000
2016-01-21,3.12,3.29,3.1,3.29,3500
2016-01-22,3.14,3.57,3.14,3.57,400
2016-01-25,3.24,3.24,3.22,3.24,1300
2016-01-26,3.31,3.49,3.06,3.06,1500
2016-01-27,3.35,3.35,3.35,3.35,300
2016-01-28,3.35,3.35,3.35,3.35,0
2016-01-29,3.37,3.37,3.37,3.37,7000
2016-02-01,3.37,3.37,3.37,3.37,33
2016-02-02,3.04,3.22,3.04,3.22,200
2016-02-03,3.0,3.22,3.0,3.1,2600
2016-02-04,3.1,3.1,3.1,3.1,0
2016-02-05,3.1,3.1,3.1,3.1,0
2016-02-15,3.1,3.1,3.1,3.1,0
2016-02-16,3.1,3.1,3.1,3.1,0
2016-02-17,3.1,3.1,3.1,3.1,0
2016-02-18,3.1,3.1,3.1,3.1,0
2016-02-19,3.1,3.1,3.1,3.1,2000
2016-02-22,3.1,3.1,3.1,3.1,0
2016-02-23,3.1,3.1,3.1,3.1,0
2016-02-24,3.1,3.1,3.1,3.1,0
2016-02-25,3.0,3.0,3.0,3.0,500
2016-02-26,3.0,3.0,3.0,3.0,0
2016-02-29,3.1,3.1,3.1,3.1,2000
2016-03-01,3.2,3.22,3.2,3.22,1900
2016-03-02,3.26,3.51,3.26,3.51,4100
2016-03-03,3.47,3.62,3.47,3.62,3100
2016-03-04,3.62,3.62,3.62,3.62,400
2016-03-07,3.7,3.7,3.62,3.7,1000
2016-03-08,3.7,3.7,3.7,3.7,0
2016-03-09,3.55,3.62,3.51,3.62,2800
2016-03-10,3.64,3.64,3.62,3.62,1600
2016-03-11,3.51,3.51,3.51,3.51,3000
2016-03-14,3.51,3.51,3.51,3.51,0
2016-03-15,3.62,3.62,3.62,3.62,500
2016-03-16,3.62,3.62,3.62,3.62,0
2016-03-17,3.62,3.62,3.62,3.62,2100
2016-03-18,3.64,3.64,3.64,3.64,800
2016-03-21,3.68,3.82,3.68,3.82,300
2016-03-22,3.82,3.82,3.82,3.82,0
2016-03-23,3.82,3.82,3.51,3.51,2500
2016-03-24,3.41,3.41,3.41,3.41,1000
2016-03-25,3.41,3.41,3.41,3.41,0
2016-03-28,3.41,3.41,3.41,3.41,0
2016-03-29,3.72,3.72,3.72,3.72,200
2016-03-30,3.51,3.62,3.51,3.62,1700
2016-03-31,3.64,3.72,3.64,3.64,5700
2016-04-01,3.72,3.76,3.41,3.41,400
2016-04-04,3.51,3.51,3.51,3.51,200
2016-04-05,3.62,3.78,3.62,3.74,6000
2016-04-06,3.78,4.11,3.78,4.11,5500
2016-04-07,3.82,4.13,3.82,4.13,5900
2016-04-08,4.13,4.13,4.13,4.13,0
2016-04-11,4.03,4.13,3.93,3.93,2900
2016-04-12,3.62,3.93,3.62,3.91,2950
2016-04-13,3.82,3.82,3.82,3.82,100
2016-04-14,3.84,4.13,3.84,4.13,4900
2016-04-15,4.11,4.11,4.11,4.11,1000
2016-04-19,4.11,4.11,4.11,4.11,0
2016-04-20,4.13,4.26,4.07,4.13,13617
2016-04-21,4.44,4.44,4.44,4.44,100
2016-04-22,4.13,4.13,4.13,4.13,6000
2016-04-25,4.13,4.55,4.13,4.55,23100
2016-04-26,4.92,5.0,4.81,4.96,26899
2016-04-27,5.0,5.0,4.96,4.96,30500
2016-04-28,4.88,5.46,4.46,5.46,18663
2016-04-29,4.92,4.92,4.92,4.92,23000
2016-05-04,4.96,5.27,4.96,5.27,13900
2016-05-05,5.17,5.27,4.96,5.06,58499
2016-05-06,5.06,5.17,5.06,5.17,10900
2016-05-09,5.17,5.17,4.96,5.17,32100
