time,open,high,low,close,volume
2012-04-11,5.28,5.28,5.28,5.28,100
2012-04-12,5.01,5.12,5.01,5.12,110
2012-04-13,4.88,4.88,4.88,4.88,1150
2012-04-16,4.88,4.88,4.64,4.64,1520
2012-04-17,4.64,4.64,4.64,4.64,1840
2012-04-18,4.85,4.85,4.85,4.85,70
2012-04-19,4.85,4.85,4.85,4.85,2100
2012-04-20,4.62,4.62,4.62,4.62,10
2012-04-23,4.75,4.75,4.75,4.75,2000
2012-04-24,4.75,4.75,4.75,4.75,1500
2012-04-25,4.96,4.96,4.96,4.96,10
2012-04-26,5.2,5.2,5.2,5.2,70
2012-04-27,5.33,5.33,5.33,5.33,500
2012-05-02,5.43,5.43,5.43,5.43,0
2012-05-03,5.54,5.7,5.54,5.7,3030
2012-05-04,5.7,5.96,5.7,5.96,1210
2012-05-07,6.25,6.25,6.25,6.25,1700
2012-05-08,6.49,6.49,6.49,6.49,20
2012-05-09,6.49,6.49,6.49,6.49,0
2012-05-10,6.33,6.46,6.19,6.46,820
2012-05-11,6.33,6.33,6.33,6.33,500
2012-05-14,6.08,6.08,6.08,6.08,100
2012-05-15,5.89,5.89,5.86,5.86,200
2012-05-16,5.67,5.86,5.58,5.58,5200
2012-05-17,5.39,5.39,5.31,5.31,520
2012-05-18,5.31,5.31,5.06,5.06,1570
2012-05-21,5.31,5.31,5.31,5.31,260
2012-05-22,5.5,5.56,5.5,5.56,2130
2012-05-23,5.36,5.56,5.36,5.56,1000
2012-05-24,5.61,5.64,5.61,5.64,800
2012-05-25,5.39,5.89,5.36,5.89,280
2012-05-28,5.89,5.89,5.89,5.89,0
2012-05-29,5.89,5.89,5.89,5.89,0
2012-05-30,5.61,5.61,5.61,5.61,10
2012-05-31,5.39,5.78,5.39,5.61,1280
2012-06-01,5.61,5.67,5.61,5.67,90
2012-06-04,5.61,5.61,5.61,5.61,500
2012-06-05,5.61,5.61,5.61,5.61,0
2012-06-06,5.67,5.67,5.67,5.67,2070
2012-06-07,5.53,5.72,5.53,5.72,630
2012-06-08,5.78,6.0,5.75,6.0,8120
2012-06-11,6.27,6.27,5.75,5.75,790
2012-06-12,5.75,6.02,5.75,6.02,100
2012-06-13,6.02,6.3,5.75,6.3,13240
2012-06-14,6.0,6.0,6.0,6.0,2000
2012-06-15,6.0,6.0,6.0,6.0,2000
2012-06-18,6.0,6.27,6.0,6.27,13020
2012-06-19,6.27,6.27,6.05,6.05,2100
2012-06-20,6.05,6.33,6.05,6.33,9180
