time,open,high,low,close,volume
2010-01-04,37.53,38.57,37.53,38.57,4700
2010-01-05,40.32,40.32,38.24,39.49,3500
2010-01-06,35.75,35.79,35.71,35.75,3100
2010-01-07,35.75,36.58,35.75,35.96,1300
2010-01-08,36.58,38.45,36.58,38.45,6400
2010-01-11,38.45,38.45,38.45,38.45,0
2010-01-12,34.92,34.92,34.5,34.92,800
2010-01-13,36.74,36.74,35.75,35.75,400
2010-01-14,34.5,34.92,34.5,34.92,2600
2010-01-15,36.16,36.16,36.16,36.16,100
2010-01-18,33.71,33.71,33.67,33.67,1300
2010-01-19,33.67,35.17,33.67,35.17,700
2010-01-20,32.84,35.91,32.84,35.91,600
2010-01-21,34.5,34.5,33.25,33.25,3700
2010-01-22,32.17,32.17,32.09,32.09,300
2010-01-25,34.29,34.29,34.08,34.08,200
2010-01-26,36.58,36.58,34.92,36.58,14700
2010-01-27,37.99,37.99,37.99,37.99,100
2010-01-28,40.53,40.53,35.37,35.37,1900
2010-01-29,37.83,37.83,36.58,36.58,1200
2010-02-01,37.2,37.2,37.2,37.2,300
2010-02-02,35.54,35.54,35.54,35.54,2100
2010-02-03,35.54,35.54,34.08,34.08,1000
2010-02-04,34.08,36.79,34.08,36.79,1200
2010-02-05,34.13,36.54,34.08,36.54,1400
2010-02-08,34.29,34.29,34.29,34.29,2900
2010-02-09,34.29,34.29,33.25,33.25,5300
2010-02-10,33.67,33.67,33.54,33.54,1000
2010-02-11,35.91,35.91,35.54,35.54,500
2010-02-12,35.54,35.54,35.54,35.54,0
2010-02-22,37.41,37.41,35.37,35.37,600
2010-02-23,35.33,35.33,35.33,35.33,2000
2010-02-24,35.33,35.71,35.33,35.71,2400
2010-02-25,35.37,35.79,35.37,35.79,2700
2010-02-26,35.79,35.79,35.79,35.79,0
2010-03-01,35.75,35.75,34.5,35.75,1700
2010-03-02,35.41,35.75,35.41,35.75,1400
2010-03-03,35.75,35.75,33.25,33.25,3700
2010-03-04,35.91,35.91,34.29,34.29,1100
2010-03-05,34.92,35.75,33.96,35.75,3800
2010-03-08,36.5,36.5,36.5,36.5,100
2010-03-09,36.37,36.37,35.75,35.75,2800
2010-03-10,35.37,36.16,35.37,35.54,1700
2010-03-11,35.75,36.16,35.54,36.16,6800
2010-03-12,35.79,36.16,35.79,35.96,1000
2010-03-15,35.96,38.45,35.5,36.62,19600
2010-03-16,39.49,39.49,36.58,36.58,1700
2010-03-17,37.04,39.61,35.75,39.61,8300
2010-03-18,37.45,37.45,37.41,37.41,2000
2010-03-19,38.24,39.07,38.24,38.66,12600
2010-03-22,41.65,41.65,39.49,39.49,4400
2010-03-23,38.74,40.28,38.66,40.28,3400
2010-03-24,38.7,39.49,38.7,39.07,4100
2010-03-25,37.87,38.37,37.83,37.83,7900
2010-03-26,36.99,37.41,36.99,37.41,2800
2010-03-29,37.45,37.45,37.45,37.45,300
2010-03-30,37.62,37.62,36.99,36.99,1200
2010-03-31,35.83,37.45,35.83,36.45,2100
2010-04-01,36.7,36.7,35.5,36.58,3600
2010-04-02,36.58,36.66,36.58,36.66,300
2010-04-05,37.83,37.83,37.41,37.83,1600
2010-04-06,39.28,39.28,37.41,37.62,2400
2010-04-07,35.96,38.24,35.96,37.78,1200
2010-04-08,37.83,37.83,36.91,36.91,1900
2010-04-09,36.91,37.04,36.91,37.04,600
2010-04-12,37.08,37.37,34.42,34.42,3600
2010-04-13,35.79,35.79,34.25,34.58,18100
2010-04-14,36.58,36.74,36.58,36.74,1500
2010-04-15,36.79,36.79,36.79,36.79,9000
2010-04-16,36.79,36.79,36.16,36.16,900
2010-04-19,35.75,35.96,35.33,35.33,3000
2010-04-20,35.75,36.08,35.75,36.04,1600
2010-04-21,35.75,36.58,35.75,36.54,2000
2010-04-22,37.37,37.41,37.33,37.41,500
2010-04-26,36.99,37.33,36.99,36.99,1100
2010-04-27,36.79,36.79,36.79,36.79,300
2010-04-28,37.41,37.41,37.41,37.41,8700
2010-04-29,36.62,36.62,36.16,36.58,3100
