time,open,high,low,close,volume
2011-04-26,1.99,2.02,1.99,2.02,6000
2011-04-27,1.99,2.02,2.02,2.02,0
2011-04-28,1.99,2.02,2.02,2.02,0
2011-04-29,1.99,2.02,2.02,2.02,0
2011-05-04,2.07,2.07,2.07,2.07,400
2011-05-05,2.07,2.07,2.07,2.07,1300
2011-05-06,2.07,2.07,2.07,2.07,0
2011-05-09,2.07,2.07,2.07,2.07,700
2011-05-10,2.07,2.07,2.07,2.07,1300
2011-05-11,2.07,2.07,2.07,2.07,6900
2011-05-12,2.1,2.1,2.1,2.1,2600
2011-05-13,1.94,2.1,2.1,2.1,0
2011-05-16,1.94,2.1,2.1,2.1,0
2011-05-17,2.07,2.07,2.07,2.07,300
2011-05-18,2.13,2.21,2.13,2.21,200
2011-05-19,2.18,2.18,2.18,2.18,1000
2011-05-20,2.38,2.38,2.38,2.38,100
2011-05-23,2.38,2.38,2.38,2.38,0
2011-05-24,2.38,2.38,2.38,2.38,0
2011-05-25,2.49,2.49,2.49,2.49,3000
2011-05-26,2.49,2.49,2.49,2.49,0
2011-05-27,2.49,2.49,2.49,2.49,3200
2011-05-30,2.43,2.43,2.43,2.43,1200
2011-05-31,2.43,2.43,2.43,2.43,0
2011-06-01,2.43,2.49,2.43,2.49,12100
2011-06-02,2.49,2.49,2.49,2.49,4400
2011-06-03,2.49,2.49,2.49,2.49,0
2011-06-06,2.49,2.49,2.49,2.49,6500
2011-06-07,2.49,2.49,2.49,2.49,200
2011-06-08,2.49,2.49,2.49,2.49,0
2011-06-09,2.49,2.49,2.49,2.49,0
2011-06-10,2.49,2.49,2.49,2.49,0
2011-06-13,2.49,2.49,2.49,2.49,0
2011-06-14,2.49,2.49,2.49,2.49,0
2011-06-15,2.49,2.49,2.49,2.49,0
2011-06-16,2.49,2.49,2.49,2.49,0
2011-06-17,2.49,2.49,2.49,2.49,0
2011-06-20,2.49,2.49,2.49,2.49,0
2011-06-21,2.49,2.49,2.49,2.49,0
2011-06-22,2.49,2.74,2.49,2.74,600
2011-06-23,2.71,2.71,2.71,2.71,0
2011-06-24,2.71,2.74,2.74,2.74,0
2011-06-27,2.76,2.76,2.76,2.76,10000
2011-06-28,2.76,2.76,2.76,2.76,0
2011-06-29,2.76,2.76,2.76,2.76,0
2011-06-30,2.76,2.76,2.76,2.76,0
2011-07-01,2.76,2.76,2.76,2.76,0
2011-07-04,2.74,2.74,2.74,2.74,3700
2011-07-05,2.76,2.76,2.76,2.76,20800
2011-07-06,2.76,2.76,2.76,2.76,500
2011-07-07,2.76,2.76,2.76,2.76,1100
2011-07-08,2.76,2.76,2.76,2.76,100
2011-07-11,2.76,2.76,2.76,2.76,0
2011-07-12,2.63,2.63,2.63,2.63,800
2011-07-13,2.49,2.63,2.49,2.63,3600
2011-07-14,2.52,2.76,2.52,2.76,2400
2011-07-15,2.63,2.76,2.63,2.76,10000
2011-07-18,2.76,2.76,2.76,2.76,100
2011-07-19,2.76,2.76,2.76,2.76,0
2011-07-20,2.76,2.76,2.76,2.76,0
2011-07-21,2.76,2.76,2.76,2.76,0
2011-07-22,2.76,2.76,2.76,2.76,0
2011-07-25,2.49,2.49,2.49,2.49,900
2011-07-26,2.49,2.74,2.49,2.74,3200
2011-07-27,2.76,2.76,2.76,2.76,1100
2011-07-28,2.76,2.76,2.76,2.76,0
2011-07-29,2.76,2.76,2.76,2.76,6800
2011-08-01,2.76,2.76,2.76,2.76,0
2011-08-02,2.49,2.49,2.49,2.49,500
2011-08-03,2.49,2.49,2.49,2.49,0
2011-08-04,2.74,2.74,2.74,2.74,500
2011-08-05,2.74,2.74,2.74,2.74,300
2011-08-08,2.76,2.76,2.76,2.76,2600
2011-08-09,2.76,2.76,2.76,2.76,4300
2011-08-10,2.76,2.76,2.76,2.76,2400
2011-08-11,2.76,2.76,2.76,2.76,1800
2011-08-12,2.76,2.76,2.76,2.76,0
2011-08-15,2.76,2.76,2.76,2.76,1900
2011-08-16,2.76,2.76,2.76,2.76,8300
2011-08-17,2.76,2.76,2.76,2.76,1200
