time,open,high,low,close,volume
2010-01-04,3.13,3.28,3.13,3.28,95520
2010-01-05,3.38,3.38,3.29,3.38,194650
2010-01-06,3.24,3.38,3.24,3.33,25180
2010-01-07,3.28,3.38,3.28,3.33,64310
2010-01-08,3.38,3.38,3.18,3.18,31150
2010-01-11,3.18,3.28,3.12,3.28,8120
2010-01-12,3.17,3.18,3.12,3.12,39700
2010-01-13,3.03,3.2,2.96,3.2,62250
2010-01-14,3.2,3.2,3.12,3.2,31200
2010-01-15,3.2,3.2,3.05,3.05,19140
2010-01-18,2.96,3.03,2.92,2.96,24720
2010-01-19,2.96,3.02,2.96,3.02,27850
2010-01-20,2.98,3.14,2.96,2.98,20970
2010-01-21,2.95,2.96,2.88,2.88,46820
2010-01-22,2.92,2.92,2.77,2.88,22130
2010-01-25,2.85,2.88,2.85,2.88,36910
2010-01-26,2.89,2.98,2.89,2.98,65460
2010-01-27,2.96,2.98,2.95,2.96,34990
2010-01-28,2.9,2.96,2.9,2.9,25230
2010-01-29,2.89,3.01,2.88,3.01,25810
2010-02-01,2.95,2.98,2.9,2.96,15220
2010-02-02,3.04,3.06,3.0,3.04,100890
2010-02-03,3.13,3.19,3.05,3.19,120890
2010-02-04,3.13,3.19,3.11,3.14,91860
2010-02-05,3.06,3.15,3.06,3.07,74500
2010-02-08,3.02,3.06,2.96,3.06,64780
2010-02-09,2.99,3.02,2.99,3.0,22860
2010-02-10,3.1,3.1,3.0,3.01,26120
2010-02-11,3.06,3.12,3.01,3.12,58660
2010-02-12,3.13,3.16,3.12,3.13,11410
2010-02-22,3.2,3.2,3.12,3.16,8450
2010-02-23,3.07,3.07,3.03,3.03,49120
2010-02-24,3.01,3.03,3.01,3.01,28000
2010-02-25,3.01,3.04,3.01,3.01,89380
2010-02-26,3.07,3.12,3.01,3.03,156780
2010-03-01,3.11,3.18,3.06,3.1,138510
2010-03-02,3.1,3.17,3.1,3.12,89140
2010-03-03,3.15,3.2,3.15,3.2,206900
2010-03-04,3.2,3.28,3.18,3.25,330360
2010-03-05,3.25,3.27,3.21,3.23,156820
2010-03-08,3.23,3.34,3.23,3.28,140180
2010-03-09,3.23,3.45,3.2,3.45,576020
2010-03-10,3.45,3.54,3.43,3.45,257170
2010-03-11,3.4,3.47,3.37,3.4,125690
2010-03-12,3.4,3.42,3.34,3.38,200410
2010-03-15,3.42,3.42,3.36,3.39,170310
2010-03-16,3.32,3.39,3.3,3.3,301710
2010-03-17,3.3,3.37,3.29,3.3,191410
2010-03-18,3.34,3.34,3.26,3.33,112560
2010-03-19,3.33,3.37,3.31,3.33,55760
2010-03-22,3.3,3.37,3.29,3.33,64070
2010-03-23,3.33,3.33,3.27,3.27,92470
2010-03-24,3.28,3.4,3.28,3.38,155340
2010-03-25,3.43,3.55,3.38,3.55,575660
2010-03-26,3.56,3.57,3.47,3.53,120960
2010-03-29,3.5,3.7,3.5,3.7,384020
2010-03-30,3.87,3.87,3.72,3.74,522230
2010-03-31,3.74,3.74,3.56,3.56,333750
2010-04-01,3.56,3.68,3.52,3.65,131240
2010-04-02,3.56,3.61,3.53,3.53,248960
2010-04-05,3.39,3.47,3.37,3.37,552380
2010-04-06,3.38,3.53,3.38,3.45,220370
2010-04-07,3.45,3.46,3.42,3.42,111850
2010-04-08,3.43,3.47,3.4,3.42,103110
2010-04-09,3.42,3.44,3.4,3.42,215880
