time,open,high,low,close,volume
2010-01-04,3.24,3.32,3.24,3.32,123090
2010-01-05,3.47,3.47,3.27,3.36,269950
2010-01-06,3.36,3.47,3.31,3.36,280980
2010-01-07,3.42,3.52,3.37,3.52,133090
2010-01-08,3.69,3.69,3.36,3.36,244760
2010-01-11,3.41,3.41,3.21,3.36,95220
2010-01-12,3.36,3.36,3.19,3.19,141060
2010-01-13,3.08,3.27,3.03,3.27,216650
2010-01-14,3.19,3.32,3.13,3.17,56510
2010-01-15,3.14,3.19,3.08,3.14,46810
2010-01-18,3.03,3.04,2.99,2.99,92570
2010-01-19,3.11,3.11,2.94,3.02,42330
2010-01-20,3.06,3.06,2.91,2.91,33610
2010-01-21,2.91,2.96,2.76,2.76,83350
2010-01-22,2.68,2.8,2.68,2.75,63860
2010-01-25,2.82,2.89,2.75,2.82,29030
2010-01-26,2.93,2.95,2.93,2.95,59220
2010-01-27,2.95,2.96,2.89,2.89,35170
2010-01-28,2.8,2.85,2.77,2.77,44310
2010-01-29,2.74,2.84,2.74,2.74,61910
2010-02-01,2.74,2.81,2.74,2.75,50920
2010-02-02,2.86,2.87,2.8,2.8,33220
2010-02-03,2.86,2.86,2.79,2.83,49490
2010-02-04,2.85,2.97,2.85,2.97,128290
2010-02-05,2.97,3.02,2.92,2.97,65630
2010-02-08,2.9,2.96,2.89,2.9,28350
2010-02-09,2.9,2.9,2.82,2.82,60190
2010-02-10,2.92,2.92,2.8,2.88,23080
2010-02-11,2.92,2.92,2.83,2.92,14720
2010-02-12,2.92,2.99,2.9,2.94,19200
2010-02-22,2.97,2.99,2.96,2.97,30640
2010-02-23,2.97,2.97,2.87,2.87,21020
2010-02-24,2.81,2.87,2.81,2.86,19370
2010-02-25,2.97,2.97,2.86,2.89,29970
2010-02-26,2.86,2.96,2.86,2.96,21740
2010-03-01,2.96,2.99,2.95,2.97,45880
2010-03-02,2.99,2.99,2.92,2.94,30080
2010-03-03,2.99,3.01,2.94,3.01,53440
2010-03-04,3.03,3.15,3.03,3.05,79400
2010-03-05,3.02,3.21,3.02,3.21,214400
2010-03-08,3.36,3.36,3.35,3.36,111490
2010-03-09,3.43,3.52,3.38,3.51,441810
2010-03-10,3.44,3.57,3.39,3.49,158450
2010-03-11,3.44,3.49,3.33,3.36,143040
2010-03-12,3.38,3.5,3.38,3.42,83970
2010-03-15,3.5,3.52,3.38,3.46,150320
2010-03-16,3.43,3.43,3.3,3.3,107010
2010-03-17,3.26,3.38,3.21,3.21,57910
2010-03-18,3.32,3.32,3.15,3.24,146110
2010-03-19,3.31,3.31,3.24,3.26,73680
2010-03-22,3.22,3.32,3.22,3.22,33420
2010-03-23,3.22,3.26,3.17,3.17,39460
2010-03-24,3.17,3.26,3.17,3.21,59100
2010-03-25,3.15,3.21,3.08,3.09,239150
2010-03-26,3.11,3.15,3.05,3.1,37010
2010-03-29,3.18,3.18,3.03,3.1,52650
2010-03-30,3.09,3.25,3.09,3.25,137060
2010-03-31,3.24,3.25,3.1,3.12,37930
2010-04-01,3.08,3.25,3.05,3.12,31820
2010-04-02,3.12,3.22,3.12,3.21,93690
2010-04-05,3.32,3.32,3.23,3.26,195500
2010-04-06,3.26,3.32,3.22,3.22,79690
2010-04-07,3.25,3.32,3.22,3.24,97390
2010-04-08,3.24,3.29,3.24,3.25,135720
2010-04-09,3.26,3.35,3.24,3.3,189830
2010-04-12,3.38,3.38,3.28,3.28,100420
2010-04-13,3.24,3.31,3.19,3.25,90280
2010-04-14,3.25,3.3,3.17,3.18,99300
2010-04-15,3.18,3.26,3.18,3.22,174110
2010-04-16,3.22,3.32,3.22,3.3,170770
2010-04-19,3.3,3.46,3.3,3.46,448450
2010-04-20,3.5,3.51,3.32,3.38,129350
2010-04-21,3.38,3.44,3.32,3.32,108910
2010-04-22,3.37,3.49,3.33,3.43,229960
2010-04-26,3.43,3.43,3.3,3.3,164590
2010-04-27,3.32,3.35,3.29,3.33,95990
2010-04-28,3.42,3.42,3.3,3.3,128380
2010-04-29,3.3,3.33,3.29,3.33,106900
2010-05-04,3.38,3.38,3.33,3.35,118250
2010-05-05,3.35,3.37,3.32,3.35,184630
2010-05-06,3.33,3.36,3.26,3.32,109610
2010-05-07,3.38,3.49,3.32,3.49,921950
2010-05-10,3.64,3.64,3.35,3.39,229040
2010-05-11,3.38,3.44,3.37,3.38,161590
2010-05-12,3.38,3.38,3.22,3.22,96140
2010-05-13,3.22,3.23,3.07,3.1,247490
2010-05-14,3.14,3.15,3.07,3.14,72090
2010-05-17,3.14,3.14,2.99,2.99,272050
2010-05-18,2.92,3.01,2.92,3.0,110310
2010-05-19,2.94,2.94,2.86,2.87,188540
2010-05-20,2.76,2.92,2.76,2.92,150640
2010-05-21,2.78,2.89,2.78,2.78,260590
2010-05-24,2.83,2.83,2.74,2.83,42750
2010-05-25,2.81,2.86,2.74,2.79,77490
2010-05-26,2.86,2.86,2.78,2.86,24030
2010-05-27,2.86,2.88,2.8,2.88,69290
2010-05-28,3.01,3.01,2.92,3.0,122750
2010-05-31,3.0,3.0,2.92,2.92,31230
2010-06-01,2.83,2.95,2.81,2.93,43820
2010-06-02,2.93,2.95,2.89,2.92,61960
2010-06-03,2.92,2.95,2.92,2.95,33340
2010-06-04,2.93,2.95,2.93,2.95,51980
2010-06-07,2.83,2.86,2.81,2.85,88950
2010-06-08,2.78,2.97,2.78,2.86,9270
2010-06-09,2.86,2.92,2.82,2.83,75760
2010-06-10,2.8,2.85,2.8,2.85,20940
2010-06-11,2.93,2.93,2.83,2.83,33260
2010-06-14,2.82,2.92,2.82,2.9,25800
2010-06-15,2.92,2.92,2.86,2.88,27850
2010-06-16,2.9,2.9,2.86,2.87,98560
2010-06-17,2.89,2.89,2.85,2.89,38020
2010-06-18,2.88,2.92,2.87,2.89,44950
2010-06-21,2.89,2.96,2.89,2.96,55320
2010-06-22,2.87,2.96,2.87,2.87,36320
2010-06-23,2.89,2.89,2.86,2.87,27990
2010-06-24,2.87,2.89,2.87,2.88,26910
2010-06-25,2.82,2.88,2.82,2.83,26900
2010-06-28,2.8,2.89,2.8,2.8,46410
2010-06-29,2.92,2.94,2.8,2.89,113460
2010-06-30,2.8,2.82,2.8,2.81,64680
2010-07-01,2.81,2.82,2.79,2.81,70400
2010-07-02,2.82,2.82,2.79,2.8,16310
2010-07-05,2.86,2.86,2.79,2.8,32390
2010-07-06,2.8,2.81,2.79,2.79,41280
2010-07-07,2.79,2.8,2.79,2.79,58160
2010-07-08,2.79,2.81,2.79,2.79,44700
2010-07-09,2.81,2.81,2.79,2.81,53540
2010-07-12,2.86,2.86,2.8,2.86,20540
2010-07-13,2.95,2.97,2.89,2.97,52140
2010-07-14,2.93,3.01,2.89,2.93,152500
2010-07-15,2.93,2.94,2.9,2.9,23780
2010-07-16,2.92,2.93,2.89,2.9,29370
2010-07-19,2.9,2.94,2.89,2.92,36110
2010-07-20,2.93,2.93,2.87,2.89,39640
2010-07-21,2.9,3.03,2.85,2.95,139420
2010-07-22,2.89,2.92,2.87,2.89,8500
2010-07-23,2.86,2.92,2.86,2.86,14650
2010-07-26,2.86,2.9,2.83,2.86,14920
2010-07-27,2.9,2.92,2.8,2.8,35370
2010-07-28,2.8,2.83,2.68,2.78,43760
2010-07-29,2.79,2.82,2.79,2.79,36500
2010-07-30,2.88,2.88,2.8,2.83,6780
2010-08-02,2.8,2.82,2.79,2.79,18550
2010-08-03,2.79,2.8,2.79,2.79,39730
2010-08-04,2.8,2.8,2.75,2.8,58190
2010-08-05,2.8,2.82,2.74,2.8,9700
2010-08-06,2.8,2.8,2.75,2.8,37620
2010-08-09,2.74,2.8,2.74,2.74,16500
2010-08-10,2.65,2.72,2.61,2.68,59110
2010-08-11,2.73,2.73,2.66,2.71,9320
2010-08-12,2.69,2.73,2.58,2.58,44550
2010-08-13,2.46,2.6,2.46,2.6,24100
2010-08-16,2.68,2.73,2.67,2.71,26890
2010-08-17,2.71,2.71,2.62,2.71,2920
2010-08-18,2.71,2.71,2.62,2.62,11200
2010-08-19,2.68,2.68,2.51,2.62,7780
2010-08-20,2.52,2.59,2.52,2.52,6610
2010-08-23,2.6,2.6,2.45,2.52,21860
2010-08-24,2.52,2.52,2.4,2.4,24530
2010-08-25,2.29,2.4,2.29,2.29,73470
2010-08-26,2.29,2.33,2.22,2.29,66080
2010-08-27,2.29,2.29,2.18,2.23,14980
2010-08-30,2.33,2.33,2.3,2.33,71540
2010-08-31,2.33,2.45,2.29,2.45,40860
2010-09-01,2.45,2.46,2.39,2.45,31600
2010-09-06,2.57,2.57,2.51,2.57,36360
2010-09-07,2.57,2.65,2.46,2.57,47180
2010-09-08,2.51,2.51,2.44,2.47,13070
2010-09-09,2.55,2.57,2.47,2.55,28420
2010-09-10,2.55,2.58,2.44,2.44,22640
2010-09-13,2.44,2.45,2.37,2.43,11760
2010-09-14,2.48,2.48,2.45,2.48,2230
2010-09-15,2.38,2.43,2.38,2.38,28030
2010-09-16,2.39,2.43,2.34,2.39,6360
2010-09-17,2.51,2.51,2.39,2.51,89740
2010-09-20,2.53,2.53,2.45,2.53,15360
2010-09-21,2.44,2.55,2.44,2.46,11950
2010-09-22,2.46,2.53,2.46,2.53,35650
2010-09-23,2.5,2.51,2.45,2.5,22680
2010-09-24,2.51,2.51,2.46,2.51,16880
2010-09-27,2.45,2.51,2.45,2.45,17820
2010-09-28,2.45,2.48,2.45,2.45,12270
2010-09-29,2.38,2.45,2.38,2.38,3000
2010-09-30,2.36,2.4,2.36,2.36,17010
2010-10-01,2.34,2.39,2.33,2.34,11810
2010-10-04,2.29,2.32,2.27,2.29,16240
2010-10-05,2.27,2.3,2.22,2.27,32620
2010-10-06,2.38,2.38,2.27,2.38,15720
2010-10-07,2.33,2.43,2.33,2.33,9830
2010-10-08,2.33,2.36,2.27,2.33,26070
2010-10-11,2.27,2.33,2.27,2.33,9010
2010-10-12,2.34,2.34,2.33,2.34,23270
2010-10-13,2.38,2.38,2.33,2.34,26200
2010-10-14,2.36,2.36,2.33,2.36,1170
2010-10-15,2.33,2.34,2.33,2.33,13460
2010-10-18,2.32,2.36,2.31,2.33,15360
2010-10-19,2.33,2.33,2.31,2.33,4080
2010-10-20,2.22,2.3,2.22,2.22,49680
2010-10-21,2.2,2.23,2.16,2.2,4120
2010-10-22,2.27,2.27,2.15,2.15,17650
2010-10-25,2.17,2.17,2.13,2.17,59800
2010-10-26,2.16,2.26,2.15,2.26,3580
2010-10-27,2.26,2.26,2.18,2.18,7980
2010-10-28,2.2,2.29,2.18,2.2,83940
2010-10-29,2.25,2.25,2.25,2.25,10
2010-11-01,2.19,2.25,2.17,2.19,10150
2010-11-02,2.2,2.2,2.17,2.2,13350
2010-11-03,2.2,2.2,2.18,2.2,560
2010-11-04,2.22,2.22,2.1,2.22,7590
2010-11-05,2.23,2.27,2.23,2.23,6420
2010-11-08,2.2,2.24,2.2,2.2,15250
2010-11-09,2.2,2.22,2.15,2.2,12430
2010-11-10,2.27,2.27,2.22,2.23,9480
2010-11-11,2.24,2.24,2.24,2.24,100
2010-11-12,2.17,2.24,2.13,2.2,5200
2010-11-15,2.2,2.2,2.13,2.13,67820
2010-11-16,2.04,2.13,2.03,2.04,32040
2010-11-17,2.12,2.12,2.03,2.12,10640
2010-11-18,2.2,2.22,2.07,2.2,1790
2010-11-19,2.15,2.27,2.15,2.15,19000
2010-11-22,2.09,2.2,2.09,2.09,610
2010-11-23,2.18,2.18,2.18,2.18,30
2010-11-24,2.22,2.22,2.15,2.22,4200
2010-11-25,2.22,2.25,2.22,2.22,30520
2010-11-26,2.3,2.3,2.22,2.25,10870
2010-11-29,2.25,2.25,2.17,2.25,7000
2010-11-30,2.25,2.34,2.25,2.29,9160
2010-12-01,2.2,2.25,2.19,2.2,34990
2010-12-02,2.3,2.3,2.23,2.3,82730
2010-12-03,2.41,2.41,2.35,2.41,49530
2010-12-06,2.5,2.52,2.41,2.5,58100
2010-12-07,2.49,2.49,2.41,2.41,23310
2010-12-08,2.3,2.38,2.3,2.3,4880
2010-12-09,2.34,2.4,2.3,2.34,9000
2010-12-10,2.35,2.45,2.29,2.35,50400
2010-12-13,2.46,2.46,2.4,2.46,49280
2010-12-14,2.52,2.52,2.34,2.38,22180
2010-12-15,2.38,2.45,2.38,2.4,24500
2010-12-16,2.33,2.4,2.33,2.33,1850
2010-12-17,2.39,2.39,2.33,2.39,1620
2010-12-20,2.39,2.39,2.33,2.39,5820
2010-12-21,2.36,2.38,2.31,2.36,13860
2010-12-22,2.36,2.44,2.31,2.36,14970
2010-12-23,2.29,2.34,2.29,2.29,5770
2010-12-24,2.34,2.39,2.28,2.34,4060
2010-12-27,2.34,2.38,2.28,2.28,1030
2010-12-28,2.28,2.35,2.25,2.33,8400
2010-12-29,2.39,2.39,2.22,2.33,16470
2010-12-30,2.33,2.33,2.27,2.33,60
2010-12-31,2.33,2.3,2.28,2.3,3460
2011-01-04,2.3,2.34,2.3,2.34,5470
2011-01-05,2.34,2.34,2.31,2.34,520
2011-01-06,2.34,2.34,2.27,2.27,2630
2011-01-07,2.27,2.29,2.25,2.25,1120
2011-01-10,2.24,2.25,2.22,2.22,4070
2011-01-11,2.22,2.22,2.19,2.19,3630
2011-01-12,2.25,2.25,2.22,2.22,1400
2011-01-13,2.22,2.27,2.22,2.25,700
2011-01-14,2.27,2.27,2.25,2.27,4650
2011-01-17,2.28,2.33,2.28,2.33,3300
2011-01-18,2.24,2.28,2.24,2.28,2000
2011-01-19,2.28,2.29,2.18,2.24,3340
2011-01-20,2.3,2.3,2.23,2.24,13330
2011-01-21,2.22,2.3,2.22,2.23,30560
2011-01-24,2.22,2.23,2.18,2.23,26510
2011-01-25,2.33,2.33,2.23,2.3,18620
2011-01-26,2.31,2.31,2.3,2.31,110290
2011-01-27,2.34,2.34,2.31,2.34,48440
2011-01-28,2.34,2.36,2.34,2.36,630
2011-02-08,2.4,2.4,2.34,2.39,67320
2011-02-09,2.38,2.39,2.36,2.36,4800
2011-02-10,2.38,2.38,2.33,2.36,9230
2011-02-11,2.36,2.36,2.34,2.34,2830
2011-02-14,2.34,2.34,2.29,2.29,6400
2011-02-15,2.24,2.25,2.24,2.24,7970
2011-02-16,2.22,2.27,2.22,2.27,14060
2011-02-17,2.2,2.25,2.2,2.25,2620
2011-02-18,2.25,2.28,2.18,2.22,8710
2011-02-21,2.15,2.19,2.11,2.11,58780
2011-02-22,2.2,2.2,2.16,2.16,4870
2011-02-23,2.26,2.26,2.25,2.25,130
2011-02-24,2.17,2.35,2.16,2.35,17280
2011-02-25,2.24,2.34,2.24,2.34,18190
2011-02-28,2.35,2.39,2.29,2.29,4080
2011-03-01,2.25,2.3,2.2,2.2,11760
2011-03-02,2.28,2.28,2.13,2.13,6560
2011-03-03,2.13,2.13,2.09,2.09,61750
2011-03-04,2.07,2.16,2.07,2.14,6700
2011-03-07,2.09,2.12,2.09,2.11,3160
2011-03-08,2.11,2.13,2.09,2.13,4100
2011-03-09,2.09,2.11,2.09,2.09,3510
2011-03-10,2.09,2.18,2.09,2.13,3610
2011-03-11,2.22,2.22,2.2,2.22,2320
2011-03-14,2.22,2.22,2.12,2.22,1050
2011-03-15,2.12,2.12,2.12,2.12,560
2011-03-16,2.17,2.17,2.17,2.17,9600
2011-03-17,2.22,2.22,2.18,2.22,56940
2011-03-18,2.2,2.22,2.2,2.22,18990
2011-03-21,2.22,2.28,2.2,2.28,8370
2011-03-22,2.29,2.3,2.22,2.25,1510
2011-03-23,2.25,2.28,2.25,2.28,6100
2011-03-24,2.28,2.28,2.18,2.26,18850
2011-03-25,2.16,2.22,2.16,2.22,74640
2011-03-28,2.25,2.25,2.22,2.25,8000
2011-03-29,2.25,2.25,2.18,2.18,6840
2011-03-30,2.18,2.21,2.17,2.21,7140
2011-03-31,2.2,2.22,2.2,2.21,31300
2011-04-01,2.21,2.22,2.21,2.22,47320
2011-04-04,2.21,2.21,2.13,2.21,70030
2011-04-05,2.2,2.22,2.2,2.2,12080
2011-04-06,2.17,2.22,2.17,2.2,11060
2011-04-07,2.2,2.2,2.2,2.2,20500
2011-04-08,2.2,2.2,2.2,2.2,30240
2011-04-13,2.2,2.21,2.2,2.2,5220
2011-04-14,2.18,2.18,2.12,2.12,3620
2011-04-15,2.16,2.16,2.16,2.16,10400
2011-04-18,2.14,2.16,2.14,2.14,7620
