time,open,high,low,close,volume
2010-01-04,3.64,3.82,3.64,3.82,20580
2010-01-05,4.0,4.0,3.94,3.97,66430
2010-01-06,3.94,4.0,3.88,3.94,36390
2010-01-07,4.12,4.12,4.09,4.12,133120
2010-01-08,4.31,4.31,4.31,4.31,102070
2010-01-11,4.15,4.31,4.09,4.24,55280
2010-01-12,4.06,4.12,4.03,4.03,29930
2010-01-13,3.94,4.03,3.85,3.85,89560
2010-01-14,3.97,3.97,3.82,3.85,114240
2010-01-15,3.85,3.85,3.73,3.73,30780
2010-01-18,3.61,3.82,3.55,3.82,61800
2010-01-19,3.7,3.91,3.7,3.7,16280
2010-01-20,3.82,3.82,3.55,3.58,45860
2010-01-21,3.52,3.58,3.49,3.49,27040
2010-01-22,3.46,3.55,3.46,3.49,21470
2010-01-25,3.49,3.52,3.46,3.52,23920
2010-01-26,3.61,3.67,3.61,3.67,13780
2010-01-27,3.55,3.7,3.55,3.55,4440
2010-01-28,3.49,3.61,3.49,3.49,15530
2010-01-29,3.49,3.49,3.46,3.49,11040
2010-02-01,3.46,3.49,3.43,3.46,17980
2010-02-02,3.49,3.61,3.46,3.49,8590
2010-02-03,3.49,3.49,3.43,3.49,10140
2010-02-04,3.46,3.64,3.46,3.64,44690
2010-02-05,3.67,3.82,3.61,3.7,149040
2010-02-08,3.7,3.7,3.61,3.61,4940
2010-02-09,3.52,3.64,3.49,3.49,10450
2010-02-10,3.49,3.58,3.49,3.58,4220
2010-02-11,3.64,3.64,3.52,3.64,2670
2010-02-12,3.7,3.7,3.64,3.7,8720
2010-02-22,3.82,3.82,3.7,3.7,10340
2010-02-23,3.55,3.58,3.55,3.55,2580
2010-02-24,3.49,3.55,3.49,3.55,5060
2010-02-25,3.52,3.55,3.52,3.52,11930
2010-02-26,3.52,3.55,3.52,3.55,13450
2010-03-01,3.55,3.67,3.55,3.58,13410
2010-03-02,3.64,3.64,3.58,3.58,14630
2010-03-03,3.64,3.64,3.58,3.58,8910
2010-03-04,3.58,3.73,3.58,3.64,32820
2010-03-05,3.64,3.64,3.55,3.64,49950
2010-03-08,3.64,3.73,3.64,3.67,44050
2010-03-09,3.64,3.76,3.64,3.64,56270
2010-03-10,3.67,3.82,3.64,3.82,140950
2010-03-11,3.94,3.97,3.88,3.88,97270
2010-03-12,3.88,3.88,3.79,3.88,26070
2010-03-15,3.88,3.88,3.76,3.79,41460
2010-03-16,3.7,3.82,3.7,3.73,40390
2010-03-17,3.61,3.73,3.61,3.61,62220
2010-03-18,3.61,3.7,3.58,3.7,40020
2010-03-19,3.67,3.73,3.64,3.67,27260
2010-03-22,3.73,3.73,3.61,3.64,10490
2010-03-23,3.61,3.64,3.58,3.61,17970
2010-03-24,3.67,3.67,3.61,3.67,8400
2010-03-25,3.61,3.67,3.55,3.55,27790
2010-03-26,3.61,3.61,3.52,3.61,12960
2010-03-29,3.64,3.64,3.55,3.55,13120
2010-03-30,3.55,3.61,3.49,3.55,29350
2010-03-31,3.52,3.58,3.52,3.58,5090
2010-04-01,3.52,3.64,3.52,3.64,9320
2010-04-02,3.64,3.67,3.61,3.64,39990
2010-04-05,3.64,3.64,3.58,3.58,17710
2010-04-06,3.58,3.61,3.58,3.58,38500
2010-04-07,3.55,3.61,3.55,3.55,11620
2010-04-08,3.61,3.7,3.61,3.7,96890
2010-04-09,3.85,3.85,3.7,3.76,65530
2010-04-12,3.79,3.79,3.73,3.73,45680
2010-04-13,3.7,3.76,3.67,3.67,31870
2010-04-14,3.64,3.7,3.61,3.64,26630
2010-04-15,3.82,3.82,3.79,3.82,150310
2010-04-16,4.0,4.0,3.94,4.0,253560
2010-04-19,4.18,4.18,3.94,3.97,97320
2010-04-20,4.0,4.0,3.82,3.82,83140
2010-04-21,3.82,3.94,3.82,3.88,60540
2010-04-22,3.88,4.0,3.79,3.79,118310
2010-04-26,3.76,3.94,3.76,3.85,35890
2010-04-27,3.82,3.88,3.82,3.82,87730
2010-04-28,3.91,3.91,3.73,3.79,22350
2010-04-29,3.79,3.91,3.79,3.91,53960
2010-05-04,4.0,4.09,3.97,4.09,164650
2010-05-05,4.09,4.09,3.94,4.03,82100
2010-05-06,4.06,4.21,4.06,4.21,209610
2010-05-07,4.4,4.4,4.31,4.4,300110
2010-05-10,4.59,4.59,4.24,4.56,286660
2010-05-11,4.56,4.56,4.33,4.33,98640
2010-05-12,4.14,4.17,4.14,4.14,41220
2010-05-13,3.98,4.14,3.95,4.14,121280
2010-05-14,4.14,4.14,3.98,4.01,22950
2010-05-17,4.11,4.11,3.82,3.82,78500
2010-05-18,3.7,3.89,3.7,3.73,50580
2010-05-19,3.73,3.73,3.57,3.57,72640
2010-05-20,3.5,3.66,3.5,3.63,29040
2010-05-21,3.54,3.57,3.47,3.47,121800
2010-05-24,3.63,3.63,3.57,3.63,20850
2010-05-25,3.63,3.73,3.5,3.7,29160
2010-05-26,3.7,3.76,3.66,3.76,17950
2010-05-27,3.63,3.76,3.63,3.76,25720
2010-05-28,3.82,3.92,3.82,3.89,41270
2010-05-31,3.89,3.89,3.7,3.7,72720
2010-06-01,3.7,3.79,3.7,3.79,10890
2010-06-02,3.79,3.79,3.73,3.79,35590
2010-06-03,3.82,3.82,3.7,3.7,26650
2010-06-04,3.79,3.82,3.7,3.79,15030
2010-06-07,3.63,3.76,3.63,3.73,19960
2010-06-08,3.63,3.73,3.63,3.66,30300
2010-06-09,3.66,3.66,3.57,3.57,20210
2010-06-10,3.63,3.66,3.6,3.66,35650
2010-06-11,3.66,3.76,3.66,3.66,5830
2010-06-14,3.63,3.7,3.63,3.66,30060
2010-06-15,3.73,3.73,3.66,3.7,22010
2010-06-16,3.76,3.79,3.7,3.79,60060
2010-06-17,3.73,3.82,3.7,3.79,39730
2010-06-18,3.76,3.79,3.73,3.79,33250
2010-06-21,3.79,3.95,3.76,3.92,98610
2010-06-22,3.85,3.89,3.79,3.82,53230
2010-06-23,3.73,3.82,3.73,3.76,36890
2010-06-24,3.79,3.82,3.79,3.79,27520
2010-06-25,3.73,3.82,3.73,3.79,61740
2010-06-28,3.89,3.95,3.89,3.95,197460
2010-06-29,4.08,4.08,3.85,3.85,41230
2010-06-30,3.76,3.85,3.7,3.73,22190
2010-07-01,3.73,3.89,3.73,3.82,37070
2010-07-02,3.89,3.89,3.79,3.89,50530
2010-07-05,3.89,3.89,3.79,3.82,26980
2010-07-06,3.79,3.79,3.73,3.73,43420
2010-07-07,3.73,3.82,3.73,3.73,50400
2010-07-08,3.82,3.82,3.76,3.76,52540
2010-07-09,3.76,3.76,3.76,3.76,11210
2010-07-12,3.79,3.79,3.76,3.79,14180
2010-07-13,3.85,3.85,3.79,3.82,49070
2010-07-14,3.92,3.92,3.79,3.79,14470
2010-07-15,3.76,3.82,3.76,3.79,9280
2010-07-16,3.79,3.82,3.73,3.73,9510
2010-07-19,3.79,3.79,3.73,3.73,25430
2010-07-20,3.73,3.89,3.73,3.89,100860
2010-07-21,3.89,3.89,3.79,3.82,33870
2010-07-22,3.79,3.85,3.79,3.79,3120
2010-07-23,3.82,3.85,3.79,3.79,9430
2010-07-26,3.82,3.82,3.76,3.79,54880
2010-07-27,3.79,3.82,3.7,3.73,44130
2010-07-28,3.63,3.79,3.63,3.63,29580
2010-07-29,3.63,3.73,3.63,3.73,21960
2010-07-30,3.73,3.79,3.73,3.79,8970
2010-08-02,3.7,3.76,3.7,3.7,18720
2010-08-03,3.7,3.76,3.66,3.7,8450
2010-08-04,3.63,3.66,3.63,3.63,18110
2010-08-05,3.63,3.7,3.63,3.7,25370
2010-08-06,3.63,3.66,3.57,3.63,8450
2010-08-09,3.63,3.63,3.5,3.5,29890
2010-08-10,3.5,3.6,3.35,3.41,27750
2010-08-11,3.38,3.57,3.38,3.44,9060
2010-08-12,3.28,3.5,3.28,3.28,39260
2010-08-13,3.19,3.35,3.19,3.31,27990
2010-08-16,3.31,3.47,3.31,3.47,36150
2010-08-17,3.44,3.5,3.38,3.47,25380
2010-08-18,3.47,3.5,3.31,3.44,16760
2010-08-19,3.41,3.41,3.28,3.41,16480
2010-08-20,3.44,3.44,3.28,3.38,24250
2010-08-23,3.44,3.44,3.38,3.38,3580
2010-08-24,3.28,3.35,3.25,3.28,24380
2010-08-25,3.25,3.25,3.12,3.12,46730
2010-08-26,3.12,3.22,3.12,3.12,32090
2010-08-27,3.06,3.19,3.06,3.19,5790
2010-08-30,3.15,3.35,3.15,3.35,39120
2010-08-31,3.28,3.44,3.28,3.44,14250
2010-09-01,3.38,3.44,3.35,3.38,20400
2010-09-06,3.5,3.54,3.44,3.5,43570
2010-09-07,3.5,3.5,3.38,3.41,16800
2010-09-08,3.44,3.44,3.31,3.44,9610
2010-09-09,3.41,3.47,3.38,3.44,7180
2010-09-10,3.38,3.41,3.28,3.28,55110
2010-09-13,3.35,3.38,3.25,3.35,34720
2010-09-14,3.25,3.35,3.25,3.25,14320
2010-09-15,3.25,3.25,3.19,3.25,22800
2010-09-16,3.19,3.31,3.19,3.25,8610
2010-09-17,3.31,3.35,3.25,3.31,6720
2010-09-20,3.28,3.35,3.22,3.28,11170
2010-09-21,3.25,3.31,3.19,3.25,18360
2010-09-22,3.22,3.25,3.22,3.22,12250
2010-09-23,3.19,3.25,3.19,3.19,23170
2010-09-24,3.22,3.25,3.19,3.22,12710
2010-09-27,3.25,3.25,3.19,3.25,15010
2010-09-28,3.22,3.28,3.22,3.22,15110
2010-09-29,3.19,3.22,3.19,3.19,24290
2010-09-30,3.15,3.19,3.15,3.15,16560
2010-10-01,3.19,3.19,3.12,3.19,15070
2010-10-04,3.09,3.19,3.09,3.09,9360
2010-10-05,3.12,3.12,2.96,3.12,20130
2010-10-06,3.12,3.19,3.12,3.19,12690
2010-10-07,3.15,3.22,3.15,3.15,24500
2010-10-08,3.19,3.19,3.15,3.19,8700
2010-10-11,3.06,3.19,3.06,3.06,4050
2010-10-12,3.09,3.09,3.09,3.09,3140
2010-10-13,2.96,3.19,2.96,3.19,10980
2010-10-14,3.06,3.19,3.06,3.19,530
2010-10-15,3.09,3.15,3.09,3.15,4400
2010-10-18,3.12,3.15,3.03,3.15,15560
2010-10-19,3.19,3.19,3.03,3.12,34920
2010-10-20,3.03,3.12,2.99,3.03,26400
2010-10-21,3.06,3.06,2.99,3.06,1290
2010-10-22,3.06,3.06,2.99,2.99,10140
2010-10-25,2.96,3.03,2.87,2.96,6710
2010-10-26,3.03,3.06,2.96,3.03,9030
2010-10-27,2.99,3.03,2.93,2.99,4890
2010-10-28,2.99,2.99,2.96,2.99,14010
2010-10-29,2.99,2.99,2.9,2.99,17800
2010-11-01,2.9,2.99,2.9,2.99,3480
2010-11-02,2.96,2.96,2.93,2.96,2810
2010-11-03,2.96,2.96,2.87,2.96,13710
2010-11-04,2.9,2.99,2.9,2.99,8020
2010-11-05,3.06,3.12,2.99,3.06,10640
2010-11-08,3.03,3.09,3.03,3.03,14060
2010-11-09,2.96,3.03,2.93,2.96,14750
2010-11-10,2.9,2.93,2.9,2.9,8600
2010-11-11,2.93,2.93,2.9,2.93,18790
2010-11-12,2.84,2.93,2.8,2.84,29060
2010-11-15,2.8,2.9,2.77,2.9,7020
2010-11-16,2.77,2.84,2.77,2.77,49550
2010-11-17,2.68,2.84,2.68,2.84,3130
2010-11-18,2.9,2.93,2.87,2.9,4070
