time,open,high,low,close,volume
2010-01-04,11.94,12.3,11.74,12.3,387400
2010-01-05,12.96,13.01,12.45,12.76,608100
2010-01-06,12.66,12.91,12.04,12.09,662000
2010-01-07,12.25,12.25,11.58,11.74,611300
2010-01-08,11.89,12.66,11.53,11.89,466000
2010-01-11,12.04,12.15,11.48,11.53,233000
2010-01-12,11.69,11.69,10.87,10.87,322600
2010-01-13,10.41,11.69,10.36,11.13,465200
2010-01-14,11.23,11.43,11.18,11.43,389200
2010-01-15,11.94,11.94,10.97,11.18,196900
2010-01-18,10.72,10.72,10.41,10.41,346800
2010-01-19,10.21,10.92,10.05,10.51,165400
2010-01-20,10.87,10.97,10.1,10.21,179700
2010-01-21,9.95,10.31,9.59,9.85,236400
2010-01-22,9.44,10.1,9.19,9.8,222100
2010-01-25,9.7,9.9,9.44,9.85,175700
2010-01-26,9.75,10.36,9.75,10.36,166700
2010-01-27,10.72,10.82,9.59,9.8,232000
2010-01-28,9.9,9.9,9.59,9.65,84600
2010-01-29,9.44,9.85,9.39,9.7,176900
2010-02-01,9.65,9.7,9.59,9.65,113700
2010-02-02,9.95,10.21,9.59,9.59,111700
2010-02-03,9.8,9.8,9.44,9.59,58700
2010-02-04,9.75,9.95,9.65,9.85,150600
2010-02-05,9.7,9.75,9.49,9.54,145000
2010-02-08,9.7,9.7,9.19,9.39,89700
2010-02-09,9.19,9.34,8.98,9.08,102300
2010-02-10,9.29,9.44,9.13,9.24,100800
2010-02-11,9.44,9.54,8.98,9.39,104500
2010-02-12,9.8,9.8,9.39,9.65,89200
2010-02-22,9.95,9.95,9.44,9.65,96200
2010-02-23,9.44,9.49,9.19,9.34,89400
2010-02-24,9.19,9.49,9.19,9.39,90800
2010-02-25,9.49,9.49,9.29,9.39,86300
2010-02-26,9.34,9.39,9.24,9.39,67100
2010-03-01,9.54,9.7,9.39,9.44,90400
2010-03-02,9.59,9.59,9.34,9.44,118000
2010-03-03,9.44,10.05,9.44,10.05,659300
2010-03-04,10.56,10.67,10.46,10.67,670300
2010-03-05,10.72,11.18,10.46,11.02,517600
2010-03-08,11.23,11.53,11.23,11.53,492500
2010-03-09,11.99,12.3,11.23,11.43,503200
2010-03-10,11.38,11.48,10.77,10.82,632300
2010-03-11,11.02,11.02,10.51,10.61,358800
2010-03-12,10.72,11.18,10.72,11.02,530800
2010-03-15,10.21,11.53,10.21,10.97,363000
2010-03-16,10.72,11.07,10.36,10.46,408200
2010-03-17,10.56,10.67,10.05,10.26,187700
2010-03-18,10.67,11.02,10.21,10.87,381200
2010-03-19,10.87,11.23,10.51,10.61,227900
2010-03-22,10.72,10.82,10.46,10.51,141200
2010-03-23,10.41,10.72,10.16,10.31,260600
2010-03-24,10.61,10.82,10.41,10.61,199300
2010-03-25,10.51,10.51,9.95,10.1,194500
2010-03-26,10.21,10.36,9.9,10.1,136500
2010-03-29,10.21,10.21,9.95,10.05,154200
2010-03-30,10.1,10.1,9.7,9.8,134200
2010-03-31,9.7,9.95,9.54,9.59,98400
2010-04-01,9.7,10.0,9.54,9.85,176500
2010-04-02,10.05,10.1,9.8,9.9,131900
2010-04-05,10.56,10.56,10.05,10.26,205800
2010-04-06,10.21,10.26,9.85,10.0,149400
2010-04-07,10.05,10.21,9.85,9.95,211500
2010-04-08,10.05,10.1,9.9,10.0,260300
2010-04-09,10.05,10.36,10.0,10.1,341800
2010-04-12,10.46,10.46,10.16,10.36,467700
