time,open,high,low,close,volume
2010-01-04,4.88,4.88,4.88,4.88,82350
2010-01-05,5.12,5.12,4.93,5.12,338270
2010-01-06,5.05,5.2,5.05,5.1,165320
2010-01-07,5.12,5.34,5.05,5.34,439200
2010-01-08,5.6,5.6,5.08,5.08,343920
2010-01-11,5.12,5.32,5.12,5.32,530090
2010-01-12,5.48,5.58,5.39,5.41,733210
2010-01-13,5.29,5.48,5.15,5.48,351600
2010-01-14,5.48,5.53,5.22,5.22,240530
2010-01-15,5.05,5.17,4.98,5.05,309690
2010-01-18,5.05,5.05,4.81,4.81,110570
2010-01-19,4.91,4.91,4.67,4.67,199680
2010-01-20,4.67,4.76,4.5,4.5,122570
2010-01-21,4.43,4.52,4.28,4.28,193610
2010-01-22,4.26,4.4,4.21,4.28,98740
2010-01-25,4.38,4.4,4.23,4.4,90520
2010-01-26,4.57,4.62,4.57,4.62,181580
2010-01-27,4.47,4.67,4.47,4.57,88300
2010-01-28,4.57,4.57,4.35,4.4,28620
2010-01-29,4.38,4.4,4.26,4.35,47360
2010-02-01,4.33,4.4,4.31,4.35,60530
2010-02-02,4.43,4.45,4.35,4.35,57580
2010-02-03,4.35,4.47,4.35,4.47,104010
2010-02-04,4.5,4.57,4.4,4.52,82400
2010-02-05,4.45,4.52,4.31,4.52,91290
2010-02-08,4.45,4.45,4.38,4.38,18980
2010-02-09,4.33,4.38,4.21,4.21,80100
2010-02-10,4.28,4.33,4.23,4.33,54770
2010-02-11,4.33,4.45,4.33,4.43,19420
2010-02-12,4.45,4.5,4.4,4.45,32190
2010-02-22,4.55,4.57,4.45,4.52,69140
2010-02-23,4.43,4.5,4.33,4.35,54840
2010-02-24,4.31,4.38,4.31,4.38,31220
2010-02-25,4.38,4.5,4.33,4.38,42640
2010-02-26,4.38,4.38,4.33,4.38,44800
2010-03-01,4.43,4.52,4.4,4.45,155540
2010-03-02,4.5,4.5,4.4,4.45,74440
2010-03-03,4.5,4.67,4.5,4.67,355770
2010-03-04,4.84,4.88,4.79,4.81,246940
2010-03-05,4.74,4.86,4.69,4.76,125310
2010-03-08,4.86,4.88,4.76,4.76,108120
2010-03-09,4.76,4.98,4.76,4.98,396510
2010-03-10,5.0,5.15,4.93,5.1,281890
2010-03-11,5.05,5.05,4.93,4.98,132180
2010-03-12,5.0,5.0,4.93,4.98,135230
2010-03-15,5.05,5.12,4.91,4.96,200650
2010-03-16,4.86,4.96,4.71,4.71,223750
2010-03-17,4.71,4.88,4.57,4.57,162030
2010-03-18,4.69,4.79,4.57,4.79,184040
2010-03-19,4.79,5.0,4.76,4.93,349560
2010-03-22,4.96,5.05,4.91,4.93,143460
2010-03-23,4.88,4.88,4.71,4.71,214430
2010-03-24,4.71,4.81,4.71,4.81,119730
2010-03-25,4.71,4.79,4.59,4.59,246000
2010-03-26,4.59,4.71,4.57,4.59,67620
2010-03-29,4.69,4.71,4.62,4.64,82900
2010-03-30,4.57,4.67,4.57,4.57,110540
