time,open,high,low,close,volume
2010-01-04,1.97,2.0,1.93,2.0,78210
2010-01-05,2.09,2.09,2.02,2.08,51250
2010-01-06,2.06,2.08,2.05,2.07,74520
2010-01-07,2.07,2.13,2.06,2.1,49000
2010-01-08,2.0,2.14,2.0,2.0,108290
2010-01-11,2.08,2.08,1.97,2.02,39280
2010-01-12,2.03,2.03,1.98,2.01,79910
2010-01-13,1.97,2.01,1.91,2.01,66360
2010-01-14,2.07,2.07,2.0,2.06,27910
2010-01-15,2.0,2.08,2.0,2.06,72830
2010-01-18,1.99,2.02,1.95,2.02,62110
2010-01-19,1.98,2.06,1.98,2.03,50980
2010-01-20,1.98,2.03,1.98,2.02,49820
2010-01-21,1.96,2.0,1.94,1.97,66370
2010-01-22,1.9,1.97,1.9,1.97,53090
2010-01-25,1.99,1.99,1.94,1.99,31890
2010-01-26,2.08,2.08,2.03,2.08,36560
2010-01-27,2.06,2.15,2.06,2.1,124550
2010-01-28,2.06,2.12,2.06,2.08,20980
2010-01-29,2.04,2.1,2.04,2.09,35280
2010-02-01,2.09,2.11,2.09,2.09,21240
2010-02-02,2.09,2.11,2.08,2.08,35850
2010-02-03,2.09,2.09,2.07,2.07,39610
2010-02-04,2.07,2.08,2.06,2.08,72460
2010-02-05,2.06,2.07,2.05,2.06,53400
2010-02-08,2.06,2.06,2.04,2.04,70030
2010-02-09,2.04,2.06,2.02,2.02,37300
2010-02-10,2.01,2.06,2.01,2.06,14240
2010-02-11,2.06,2.06,2.04,2.06,20300
2010-02-12,2.06,2.08,2.05,2.06,18300
2010-02-22,2.11,2.12,2.04,2.11,18230
2010-02-23,2.04,2.06,2.03,2.03,18800
2010-02-24,2.03,2.05,2.03,2.05,56720
2010-02-25,2.08,2.08,2.08,2.08,18470
2010-02-26,2.11,2.11,2.06,2.11,39700
2010-03-01,2.11,2.12,2.11,2.12,31160
2010-03-02,2.11,2.12,2.11,2.12,17820
2010-03-03,2.08,2.16,2.08,2.14,3390
2010-03-04,2.15,2.18,2.15,2.17,49990
2010-03-05,2.16,2.19,2.16,2.17,68500
2010-03-08,2.17,2.22,2.17,2.19,10480
2010-03-09,2.19,2.19,2.15,2.19,44950
2010-03-10,2.14,2.2,2.14,2.16,18580
2010-03-11,2.16,2.2,2.16,2.16,36500
2010-03-12,2.16,2.2,2.15,2.2,77160
2010-03-15,2.3,2.3,2.2,2.2,42720
2010-03-16,2.17,2.17,2.14,2.14,31660
2010-03-17,2.14,2.17,2.14,2.17,25280
2010-03-18,2.14,2.17,2.13,2.16,55140
2010-03-19,2.14,2.14,2.12,2.14,40950
2010-03-22,2.11,2.14,2.11,2.14,25070
2010-03-23,2.14,2.19,2.09,2.14,58410
2010-03-24,2.14,2.14,2.13,2.14,18830
2010-03-25,2.09,2.13,2.09,2.1,25790
2010-03-26,2.13,2.13,2.09,2.11,8400
2010-03-29,2.09,2.11,2.09,2.1,6200
2010-03-30,2.09,2.1,2.06,2.06,17510
2010-03-31,2.03,2.08,2.03,2.05,9310
2010-04-01,2.08,2.08,2.03,2.08,9300
2010-04-02,2.05,2.11,2.05,2.11,55700
2010-04-05,2.11,2.21,2.11,2.21,127910
2010-04-06,2.32,2.32,2.28,2.31,210030
2010-04-07,2.31,2.31,2.24,2.3,43220
2010-04-08,2.24,2.31,2.24,2.26,27300
2010-04-09,2.24,2.26,2.2,2.24,32110
2010-04-12,2.24,2.34,2.24,2.25,160080
2010-04-13,2.25,2.31,2.25,2.25,25180
2010-04-14,2.23,2.25,2.23,2.23,29290
2010-04-15,2.31,2.31,2.23,2.24,62380
2010-04-16,2.28,2.28,2.25,2.26,82750
2010-04-19,2.38,2.38,2.37,2.38,253530
2010-04-20,2.46,2.46,2.37,2.38,150260
2010-04-21,2.39,2.39,2.36,2.38,70240
2010-04-22,2.42,2.45,2.39,2.42,75530
2010-04-26,2.42,2.43,2.39,2.39,117970
2010-04-27,2.39,2.45,2.39,2.43,58780
2010-04-28,2.43,2.43,2.39,2.42,51040
2010-04-29,2.42,2.45,2.39,2.43,115150
2010-05-04,2.55,2.55,2.51,2.55,157200
2010-05-05,2.55,2.55,2.5,2.5,47140
2010-05-06,2.49,2.52,2.48,2.5,46730
2010-05-07,2.42,2.46,2.38,2.42,165010
2010-05-10,2.38,2.39,2.35,2.39,101500
2010-05-11,2.47,2.51,2.4,2.51,109520
2010-05-12,2.43,2.51,2.42,2.43,66000
2010-05-13,2.43,2.48,2.42,2.42,62920
2010-05-14,2.41,2.47,2.41,2.42,50830
2010-05-17,2.37,2.39,2.33,2.33,74760
2010-05-18,2.25,2.31,2.25,2.31,13210
2010-05-19,2.25,2.26,2.2,2.2,39010
