time,open,high,low,close,volume
2010-01-04,3.64,3.64,3.64,3.64,185690
2010-01-05,3.82,3.82,3.82,3.82,99730
2010-01-06,3.82,4.0,3.82,3.97,828810
2010-01-07,3.94,3.94,3.79,3.79,641510
2010-01-08,3.91,3.91,3.64,3.64,484890
2010-01-11,3.7,3.82,3.64,3.82,446730
2010-01-12,3.82,3.85,3.64,3.64,285090
2010-01-13,3.64,3.82,3.45,3.82,434820
2010-01-14,3.82,3.88,3.76,3.79,197940
2010-01-15,3.7,3.79,3.64,3.67,131850
2010-01-18,3.64,3.64,3.48,3.48,274760
2010-01-19,3.58,3.61,3.48,3.58,211610
2010-01-20,3.64,3.67,3.42,3.45,188560
2010-01-21,3.36,3.45,3.3,3.3,281890
2010-01-22,3.27,3.36,3.24,3.33,156020
2010-01-25,3.33,3.39,3.3,3.33,131480
2010-01-26,3.45,3.48,3.45,3.48,209460
2010-01-27,3.48,3.55,3.36,3.42,81730
2010-01-28,3.42,3.42,3.3,3.3,73910
2010-01-29,3.27,3.33,3.18,3.3,147280
2010-02-01,3.3,3.3,3.24,3.3,68840
2010-02-02,3.3,3.36,3.27,3.27,54220
2010-02-03,3.21,3.33,3.21,3.3,69950
2010-02-04,3.3,3.45,3.27,3.42,231470
2010-02-05,3.33,3.42,3.27,3.3,159400
2010-02-08,3.3,3.3,3.24,3.27,72510
2010-02-09,3.21,3.24,3.15,3.18,232280
2010-02-10,3.24,3.27,3.21,3.24,114350
2010-02-11,3.24,3.36,3.24,3.36,161460
2010-02-12,3.39,3.42,3.36,3.39,128360
2010-02-22,3.42,3.42,3.36,3.39,155850
2010-02-23,3.33,3.33,3.24,3.24,230940
2010-02-24,3.21,3.3,3.21,3.3,126530
2010-02-25,3.36,3.39,3.3,3.33,154080
2010-02-26,3.33,3.36,3.27,3.36,222940
2010-03-01,3.39,3.39,3.33,3.36,180570
2010-03-02,3.33,3.39,3.3,3.33,122050
2010-03-03,3.39,3.48,3.39,3.48,911930
2010-03-04,3.61,3.64,3.51,3.51,485170
2010-03-05,3.51,3.67,3.51,3.67,710760
2010-03-08,3.82,3.85,3.76,3.85,610690
2010-03-09,3.85,3.91,3.79,3.91,761810
2010-03-10,3.85,3.94,3.82,3.82,524590
2010-03-11,3.85,3.91,3.76,3.85,1085050
2010-03-12,3.88,3.91,3.82,3.88,509450
2010-03-15,3.94,3.97,3.88,3.94,511980
2010-03-16,3.91,3.94,3.76,3.76,552100
2010-03-17,3.79,3.82,3.61,3.64,594840
2010-03-18,3.73,3.82,3.7,3.82,649670
2010-03-19,3.85,3.94,3.82,3.85,527330
2010-03-22,3.85,3.85,3.79,3.82,260270
2010-03-23,3.79,3.82,3.73,3.73,502930
2010-03-24,3.76,3.82,3.73,3.82,429490
2010-03-25,3.76,3.82,3.64,3.67,637290
2010-03-26,3.67,3.7,3.55,3.64,388070
2010-03-29,3.58,3.67,3.58,3.61,239320
2010-03-30,3.64,3.64,3.48,3.48,386360
2010-03-31,3.51,3.64,3.48,3.51,492650
2010-04-01,3.58,3.67,3.55,3.67,325910
2010-04-02,3.73,3.76,3.67,3.67,290610
2010-04-05,3.7,3.76,3.67,3.7,155880
2010-04-06,3.73,3.76,3.64,3.64,296900
2010-04-07,3.64,3.64,3.55,3.55,331260
2010-04-08,3.55,3.64,3.55,3.55,272850
2010-04-09,3.58,3.61,3.55,3.58,198040
2010-04-12,3.67,3.67,3.61,3.64,261110
2010-04-13,3.64,3.67,3.58,3.61,149360
2010-04-14,3.61,3.61,3.55,3.55,183840
2010-04-15,3.61,3.7,3.58,3.7,537810
2010-04-16,3.7,3.76,3.7,3.76,653930
2010-04-19,3.64,3.76,3.64,3.64,401310
2010-04-20,3.61,3.64,3.61,3.61,174380
2010-04-21,3.64,3.67,3.61,3.61,147540
2010-04-22,3.67,3.76,3.64,3.76,432720
2010-04-26,3.67,3.76,3.67,3.67,108920
2010-04-27,3.64,3.67,3.64,3.64,136450
2010-04-28,3.7,3.7,3.61,3.64,172720
2010-04-29,3.7,3.7,3.61,3.61,185090
2010-05-04,3.64,3.7,3.61,3.64,144670
2010-05-05,3.58,3.61,3.55,3.58,282550
2010-05-06,3.64,3.64,3.58,3.58,163980
2010-05-07,3.55,3.55,3.48,3.51,305860
2010-05-10,3.55,3.55,3.45,3.48,169830
2010-05-11,3.55,3.55,3.48,3.48,195470
2010-05-12,3.45,3.48,3.42,3.42,188140
2010-05-13,3.48,3.48,3.42,3.42,144100
2010-05-14,3.42,3.45,3.39,3.39,284060
2010-05-17,3.36,3.36,3.27,3.3,156780
