time,open,high,low,close,volume
2010-01-26,1.58,1.58,1.58,1.58,0
2010-01-27,1.58,1.58,1.58,1.58,0
2010-02-05,1.58,1.58,1.58,1.58,0
2010-03-01,1.58,1.58,1.58,1.58,0
2010-03-02,1.58,1.58,1.58,1.58,0
2010-03-03,1.58,1.58,1.58,1.58,0
2010-03-04,1.58,1.58,1.58,1.58,0
2010-03-05,1.58,1.58,1.58,1.58,0
2010-03-08,1.58,1.58,1.58,1.58,0
2010-03-09,1.58,1.58,1.58,1.58,0
2010-03-10,1.58,1.58,1.58,1.58,0
2010-03-11,1.58,1.58,1.58,1.58,0
2010-03-12,1.58,1.58,1.58,1.58,0
2010-03-15,1.58,1.58,1.58,1.58,0
2010-03-16,1.58,1.58,1.58,1.58,0
2010-03-17,1.58,1.58,1.58,1.58,0
2010-03-18,1.58,1.58,1.58,1.58,0
2010-03-19,1.58,1.58,1.58,1.58,0
2010-03-22,1.58,1.58,1.58,1.58,0
2010-03-23,1.58,1.58,1.58,1.58,0
2010-03-24,1.58,1.58,1.58,1.58,0
2010-03-26,1.58,1.58,1.58,1.58,0
2010-03-29,1.58,1.58,1.58,1.58,0
2010-03-30,1.58,0.0,0.0,0.0,0
2010-03-31,1.58,1.58,1.58,1.58,0
2010-04-01,1.58,1.58,1.58,1.58,0
2010-04-02,1.58,1.58,1.58,1.58,0
2010-04-05,1.58,1.58,1.58,1.58,0
2010-04-06,1.58,1.58,1.58,1.58,0
2010-04-07,1.58,1.58,1.58,1.58,0
2010-04-08,1.58,1.58,1.58,1.58,0
2010-04-09,1.58,1.58,1.58,1.58,0
2010-04-12,1.58,1.58,1.58,1.58,0
2010-04-13,1.52,1.52,1.52,1.52,10000
2010-04-14,1.52,0.0,0.0,0.0,0
2010-04-15,1.52,1.52,1.52,1.52,0
2010-04-16,1.52,1.52,1.52,1.52,0
2010-04-19,1.52,1.52,1.52,1.52,0
2010-04-20,1.52,1.52,1.52,1.52,0
2010-04-21,1.52,1.52,1.52,1.52,0
2010-04-22,1.52,1.52,1.52,1.52,0
2010-04-26,1.52,1.52,1.52,1.52,0
2010-04-27,1.52,1.52,1.52,1.52,0
2010-04-28,1.52,1.52,1.52,1.52,0
2010-04-29,1.66,1.66,1.66,1.66,1000
2010-05-04,1.66,1.66,1.66,1.66,0
2010-05-05,1.66,1.66,1.66,1.66,0
2010-05-06,1.66,1.66,1.66,1.66,0
2010-05-07,1.66,1.66,1.66,1.66,0
2010-05-10,1.66,1.66,1.66,1.66,0
2010-05-11,1.66,1.66,1.66,1.66,0
2010-05-12,1.66,1.66,1.66,1.66,0
2010-05-13,1.66,1.66,1.66,1.66,0
2010-05-14,1.66,1.66,1.66,1.66,0
2010-05-17,1.66,1.66,1.66,1.66,0
2010-05-18,1.66,0.0,0.0,0.0,0
2010-05-19,1.66,1.66,1.66,1.66,0
2010-05-20,1.66,1.66,1.66,1.66,0
2010-05-21,1.66,1.66,1.66,1.66,0
2010-05-25,1.82,1.82,1.82,1.82,1000
2010-05-26,1.82,1.82,1.82,1.82,0
2010-05-27,1.82,1.82,1.82,1.82,0
2010-05-28,1.82,1.82,1.82,1.82,0
2010-05-31,1.82,1.82,1.82,1.82,0
2010-06-01,1.82,1.82,1.82,1.82,0
2010-06-02,1.82,1.82,1.82,1.82,0
2010-06-03,1.82,1.82,1.82,1.82,0
2010-06-07,1.82,1.82,1.82,1.82,0
2010-06-08,1.82,1.82,1.82,1.82,0
2010-06-10,1.82,1.82,1.82,1.82,0
2010-06-14,1.82,1.82,1.82,1.82,0
2010-06-15,1.82,1.82,1.82,1.82,0
2010-06-16,1.82,0.0,0.0,0.0,0
2010-06-17,1.82,1.82,1.82,1.82,0
2010-06-18,1.74,1.82,1.82,1.82,0
2010-06-21,1.74,1.82,1.82,1.82,0
2010-06-22,1.74,1.82,1.82,1.82,0
2010-06-24,1.74,1.82,1.82,1.82,0
2010-06-25,1.74,1.82,1.82,1.82,0
2010-06-28,1.74,1.82,1.82,1.82,0
2010-06-29,1.74,1.82,1.82,1.82,0
2010-06-30,1.74,1.82,1.82,1.82,0
2010-07-01,1.74,1.82,1.82,1.82,0
2010-07-02,1.74,1.82,1.82,1.82,0
2010-07-05,1.74,1.82,1.82,1.82,0
2010-07-06,1.74,1.82,1.82,1.82,0
2010-07-07,1.74,1.82,1.82,1.82,0
2010-07-08,1.74,1.82,1.82,1.82,0
2010-07-09,1.74,1.82,1.82,1.82,0
2010-07-12,1.74,1.82,1.82,1.82,0
2010-07-13,1.74,1.82,1.82,1.82,0
2010-07-14,1.74,1.82,1.82,1.82,0
2010-07-15,1.57,1.57,1.57,1.57,10
2010-07-19,1.57,1.58,1.57,1.58,2100
2010-07-20,1.57,1.57,1.57,1.57,600
2010-07-21,1.57,1.57,1.57,1.57,100
2010-07-22,1.45,1.62,1.45,1.58,1400
2010-07-23,1.57,1.57,1.57,1.57,500
2010-07-26,1.57,1.57,1.57,1.57,0
2010-07-27,1.45,1.45,1.45,1.45,100
2010-07-28,1.45,1.45,1.45,1.45,0
2010-07-29,1.32,1.32,1.32,1.32,1000
2010-07-30,1.32,0.0,0.0,0.0,0
2010-08-02,1.25,1.25,1.25,1.25,300
2010-08-04,1.13,1.15,1.13,1.15,2800
2010-08-05,1.24,1.24,1.24,0.0,3600
2010-08-06,1.36,1.36,1.36,1.36,100
2010-08-09,1.49,1.49,1.49,1.49,100
2010-08-10,1.64,1.64,1.35,1.35,200
2010-08-11,1.61,1.61,1.35,1.35,300
2010-08-12,1.44,1.35,1.35,1.35,0
2010-08-13,1.44,1.35,1.35,1.35,0
2010-08-16,1.31,1.31,1.31,1.31,2100
2010-08-17,1.31,1.31,1.31,1.31,0
2010-08-18,1.43,1.43,1.19,1.19,1200
2010-08-19,1.33,1.33,1.33,1.33,100
2010-08-20,1.43,1.43,1.2,1.2,500
2010-08-23,1.24,1.2,1.2,1.2,0
2010-08-25,1.24,1.2,1.2,1.2,0
2010-08-26,1.12,1.12,1.12,1.12,100
2010-08-27,1.03,1.03,1.03,1.03,1900
2010-08-30,0.99,0.99,0.99,0.99,100
2010-08-31,0.99,0.99,0.99,0.99,0
2010-09-01,1.08,1.08,1.06,1.06,200
2010-09-06,1.17,1.17,1.06,1.06,1300
2010-09-07,1.17,1.17,1.17,1.17,100
2010-09-08,1.28,1.28,1.28,1.28,100
2010-09-09,1.39,1.39,1.39,1.39,1100
2010-09-10,1.43,1.43,1.43,1.43,100
2010-09-13,1.45,1.45,1.45,1.45,100
2010-09-14,1.46,1.46,1.46,1.46,100
2010-09-15,1.48,1.48,1.48,1.48,100
2010-09-16,1.45,1.45,1.45,1.45,100
2010-09-17,1.45,1.45,1.45,1.45,0
2010-09-20,1.45,1.45,1.45,1.45,0
2010-09-21,1.45,1.45,1.45,1.45,0
2010-09-22,1.45,1.45,1.45,1.45,0
2010-09-23,1.45,1.45,1.45,1.45,0
2010-09-24,1.45,1.45,1.45,1.45,0
2010-09-27,1.45,1.45,1.45,1.45,0
2010-09-28,1.45,1.45,1.45,1.45,0
2010-09-29,1.45,1.45,1.45,1.45,0
2010-09-30,1.45,1.45,1.45,1.45,0
2010-10-01,1.45,1.45,1.45,1.45,0
2010-10-04,1.45,1.45,1.45,1.45,0
2010-10-05,1.45,1.45,1.45,1.45,0
2010-10-06,1.31,1.31,1.31,1.31,300
2010-10-07,1.19,1.19,1.19,1.19,100
2010-10-08,1.07,1.07,1.07,1.07,100
2010-10-11,1.04,1.04,1.04,1.04,100
2010-10-12,1.03,1.03,1.03,1.03,200
2010-10-13,0.99,0.99,0.99,0.99,500
2010-10-14,1.08,1.08,0.99,0.99,900
2010-10-15,0.95,0.95,0.95,0.95,500
2010-10-18,0.92,0.92,0.92,0.92,3100
2010-10-19,0.91,0.91,0.91,0.91,1800
2010-10-20,0.91,0.91,0.91,0.91,0
2010-10-21,0.92,0.92,0.92,0.92,1000
2010-10-22,0.92,0.92,0.92,0.92,0
2010-10-25,0.98,0.98,0.98,0.98,900
2010-10-26,1.07,1.07,1.07,1.07,400
2010-10-27,1.07,1.07,1.07,1.07,0
2010-10-28,1.11,1.11,1.11,1.11,100
2010-10-29,1.11,1.11,1.11,1.11,0
2010-11-01,1.0,1.0,1.0,1.0,200
2010-11-02,1.0,1.0,1.0,1.0,0
2010-11-03,1.0,1.0,1.0,1.0,0
2010-11-04,0.96,0.96,0.96,0.96,1000
2010-11-05,0.95,0.95,0.95,0.95,1000
2010-11-08,0.95,0.96,0.95,0.96,1900
2010-11-09,0.95,0.96,0.96,0.96,0
2010-11-10,0.94,0.94,0.92,0.94,2400
2010-11-11,0.91,0.91,0.91,0.91,1000
2010-11-12,0.9,0.9,0.9,0.9,2000
2010-11-15,0.91,0.91,0.9,0.9,5300
2010-11-16,0.86,0.86,0.86,0.86,1700
2010-11-17,0.82,0.82,0.82,0.82,100
2010-11-18,0.82,0.82,0.82,0.82,0
2010-11-19,0.9,0.9,0.86,0.86,3200
2010-11-22,0.98,0.98,0.98,0.98,100
2010-11-23,0.98,0.98,0.98,0.98,0
2010-11-24,0.95,0.95,0.95,0.95,2000
2010-11-25,0.99,0.99,0.99,0.99,100
2010-11-26,0.99,0.99,0.99,0.99,0
2010-11-29,0.99,1.0,0.99,0.99,4400
2010-11-30,1.08,1.08,1.08,1.08,100
2010-12-01,1.08,1.08,1.08,1.08,0
2010-12-02,1.19,1.19,1.19,1.19,100
2010-12-03,1.25,1.25,1.07,1.07,200
2010-12-06,1.16,1.07,1.07,1.07,0
2010-12-07,1.16,1.07,1.07,1.07,0
2010-12-08,1.16,1.07,1.07,1.07,0
2010-12-09,1.16,1.07,1.07,1.07,0
2010-12-10,1.16,1.07,1.07,1.07,0
2010-12-13,1.16,1.07,1.07,1.07,0
2010-12-14,1.16,1.07,1.07,1.07,0
2010-12-15,1.16,1.07,1.07,1.07,0
2010-12-16,1.16,1.07,1.07,1.07,0
2010-12-17,1.16,1.07,1.07,1.07,0
2010-12-20,1.16,1.07,1.07,1.07,0
2010-12-21,1.06,1.06,1.06,1.06,100
2010-12-22,1.06,1.06,1.06,1.06,100
2010-12-23,1.06,1.06,1.06,1.06,300
2010-12-24,1.06,1.06,1.06,1.06,300
2010-12-27,1.06,1.06,1.06,1.06,300
2010-12-28,1.06,1.06,1.06,1.06,300
2010-12-29,1.04,1.06,1.04,1.06,1000
2010-12-30,1.06,1.06,1.04,1.04,400
2010-12-31,1.04,1.04,1.03,1.03,2900
2011-01-04,1.04,1.04,1.04,1.04,0
2011-01-05,1.04,1.03,1.03,1.03,0
2011-01-06,1.04,1.03,1.03,1.03,0
2011-01-07,1.06,1.06,1.06,1.04,300
2011-01-10,1.06,1.06,1.06,1.04,500
2011-01-11,1.08,1.08,1.08,1.06,1000
2011-01-12,1.08,1.06,1.06,1.06,0
2011-01-13,1.08,1.08,1.08,1.08,0
2011-01-14,1.19,1.19,1.19,1.08,100
2011-01-17,1.31,1.31,1.31,1.31,100
2011-01-18,1.36,1.36,1.36,1.36,100
2011-01-19,1.36,1.36,1.36,1.36,0
2011-01-20,1.36,1.36,1.36,1.36,0
2011-01-21,1.36,1.36,1.36,1.36,0
2011-01-24,1.23,1.23,1.23,1.23,100
2011-01-25,1.23,1.23,1.23,1.23,0
2011-01-26,1.23,1.23,1.23,1.23,0
2011-01-27,1.19,1.19,1.19,1.19,2000
2011-01-28,1.25,1.25,1.25,1.25,100
2011-02-08,1.37,1.37,1.37,1.37,100
2011-02-09,1.37,1.37,1.37,1.37,0
2011-02-10,1.37,1.37,1.37,1.37,0
2011-02-11,1.37,1.37,1.37,1.37,0
2011-02-14,1.37,1.37,1.37,1.37,0
2011-02-15,1.37,1.37,1.37,1.37,0
2011-02-16,1.27,1.27,1.27,1.27,500
2011-02-17,1.21,1.21,1.21,1.21,1000
2011-02-18,1.16,1.16,1.13,1.16,5000
2011-02-21,1.12,1.12,1.12,1.12,300
2011-02-22,1.23,1.23,1.23,1.23,100
2011-02-23,1.35,1.35,1.35,1.35,200
2011-02-24,1.35,1.45,1.35,1.45,200
2011-02-25,1.45,1.45,1.45,1.45,300
2011-02-28,1.45,1.45,1.45,1.45,0
2011-03-01,1.45,1.45,1.45,1.45,0
2011-03-02,1.45,1.45,1.45,1.45,0
2011-03-03,1.45,1.6,1.45,1.6,200
2011-03-04,1.53,1.6,1.6,1.6,0
2011-03-07,1.53,1.6,1.6,1.6,0
2011-03-08,1.39,1.39,1.39,1.39,2000
2011-03-09,1.39,1.39,1.39,1.39,0
2011-03-10,1.39,1.39,1.39,1.39,0
2011-03-11,1.39,1.39,1.39,1.39,0
2011-03-14,1.52,1.52,1.52,1.52,2000
2011-03-15,1.65,1.65,1.65,1.65,100
2011-03-16,1.81,1.81,1.81,1.81,100
2011-03-17,1.66,1.85,1.66,1.85,400
2011-03-18,1.65,1.65,1.65,1.65,200
2011-03-21,1.49,1.72,1.49,1.54,3500
2011-03-22,1.72,1.72,1.72,1.72,100
2011-03-23,1.78,1.78,1.78,1.78,100
2011-03-24,1.95,1.95,1.95,1.95,100
