time,open,high,low,close,volume
2010-01-05,26.53,26.45,26.45,26.45,0
2010-01-11,25.36,25.36,25.36,25.36,0
2010-01-13,25.36,25.36,25.36,25.36,0
2010-01-14,27.23,27.23,27.23,27.23,250
2010-01-26,27.62,28.0,27.23,27.23,4025
2010-01-27,26.45,26.45,25.67,26.45,9500
2010-02-05,27.23,31.82,27.23,31.82,9000
2010-03-01,27.23,27.23,27.23,27.23,4000
2010-03-02,27.23,27.23,27.23,27.23,17400
2010-03-03,29.56,29.56,29.56,29.56,61
2010-03-04,27.23,28.0,27.23,28.0,16500
2010-03-05,27.62,27.62,27.62,27.62,500
2010-03-08,27.23,27.23,27.23,27.23,1000
2010-03-09,28.0,28.0,27.23,27.62,19000
2010-03-10,27.23,29.95,25.67,29.95,9865
2010-03-11,30.03,30.03,29.56,29.56,107000
2010-03-12,29.56,29.56,29.56,29.56,9000
2010-03-15,29.56,29.56,29.56,29.56,0
2010-03-16,29.56,29.56,29.56,29.56,0
2010-03-17,28.39,28.39,28.0,28.0,1600
2010-03-18,31.04,31.04,29.56,29.56,1650
2010-03-19,29.95,29.95,28.39,28.39,7850
2010-03-22,29.4,29.4,28.0,28.08,3800
2010-03-23,28.0,28.55,27.23,28.0,15401
2010-03-24,18.75,18.75,18.75,18.75,195
2010-03-26,18.67,18.67,17.89,17.89,563
2010-03-29,17.89,17.89,17.89,17.89,1000
2010-03-30,17.89,17.89,17.89,0.0,5600
2010-03-31,17.97,18.28,18.28,18.28,0
2010-04-01,17.5,18.28,17.5,18.28,1500
2010-04-02,17.5,17.89,17.5,17.89,2500
2010-04-05,17.5,17.89,17.5,17.89,15180
2010-04-06,18.05,18.05,17.89,17.89,5614
2010-04-07,17.89,17.89,17.89,17.89,2000
2010-04-08,17.89,17.89,17.89,17.89,0
2010-04-09,16.57,17.89,16.57,17.5,2659
2010-04-12,17.11,17.89,17.11,17.89,14400
2010-04-13,17.89,17.89,17.89,17.89,2500
2010-04-14,17.11,17.11,17.11,0.0,10200
2010-04-15,17.11,18.83,17.11,17.5,33900
2010-04-16,18.28,18.51,15.79,15.79,33500
2010-04-19,18.28,19.29,18.28,19.29,23900
2010-04-20,18.98,20.85,18.98,20.85,26809
2010-04-21,21.78,22.17,21.78,22.09,35100
2010-04-22,21.0,21.78,21.0,21.0,19911
2010-04-26,19.45,21.78,19.45,20.85,27000
2010-04-27,22.17,22.17,21.78,22.09,10200
2010-04-28,22.17,22.17,21.63,22.09,51250
2010-04-29,22.25,24.12,22.17,23.34,49242
2010-05-04,23.1,23.1,22.17,22.95,30401
2010-05-05,22.4,22.56,21.0,22.17,82807
2010-05-06,23.34,23.34,21.39,22.95,19269
2010-05-07,20.3,24.66,20.3,20.3,41063
2010-05-10,22.17,23.34,21.7,21.7,14026
2010-05-11,19.91,21.39,19.91,21.0,16994
2010-05-12,19.84,20.23,19.45,19.45,25631
2010-05-13,17.89,20.23,17.89,20.23,10063
2010-05-14,19.45,20.93,19.45,20.93,35509
2010-05-17,19.45,19.45,19.45,19.45,60
2010-05-18,19.45,19.84,19.45,0.0,25454
2010-05-19,19.06,19.45,18.67,19.06,27655
2010-05-20,19.45,20.85,17.11,19.45,28309
2010-05-21,18.36,19.06,18.2,18.44,26002
2010-05-25,18.2,22.09,18.2,18.67,7010
2010-05-26,21.55,21.55,19.06,20.23,28774
2010-05-27,18.83,21.94,18.83,21.94,2111
2010-05-28,19.84,22.48,19.45,19.45,27599
2010-05-31,18.67,19.06,18.67,19.06,6500
2010-06-01,18.83,18.9,18.67,18.9,15877
2010-06-02,18.67,19.21,18.67,19.21,8000
2010-06-03,19.06,19.37,19.06,19.21,7910
2010-06-07,18.36,18.9,18.36,18.51,10000
2010-06-08,18.67,18.67,18.51,18.51,6200
2010-06-10,18.67,18.67,18.67,18.67,8000
2010-06-14,19.06,19.06,18.9,19.06,8000
2010-06-15,18.83,19.06,18.67,18.67,19804
2010-06-16,18.83,19.06,18.83,0.0,8114
2010-06-17,18.83,19.06,18.83,19.06,6000
2010-06-18,19.06,19.06,19.06,19.06,7085
2010-06-21,19.06,19.45,19.06,19.29,25760
2010-06-22,19.06,19.14,19.06,19.06,21941
2010-06-24,18.98,19.45,18.98,19.06,14760
2010-06-25,19.21,19.21,19.21,19.21,243700
2010-06-28,18.98,19.76,18.98,19.37,13927
2010-06-29,19.45,19.45,18.98,18.98,7000
2010-06-30,19.37,19.37,19.37,19.37,8200
2010-07-01,19.37,19.37,18.98,19.29,27600
2010-07-02,19.45,21.08,19.45,21.08,330790
2010-07-05,22.56,23.1,21.0,21.94,75598
2010-07-06,21.0,22.09,20.69,21.0,25389
2010-07-07,21.08,21.08,21.08,21.08,100
2010-07-08,19.91,23.1,19.37,19.76,12520
2010-07-09,21.78,21.78,17.89,19.45,22080
2010-07-12,19.14,20.46,19.14,20.46,29806
2010-07-13,20.23,21.86,19.84,21.0,11945
2010-07-14,21.0,21.0,19.45,20.61,4376
2010-07-15,20.23,20.69,20.23,20.23,24096
2010-07-19,20.77,20.77,20.23,20.38,17200
2010-07-20,19.84,20.61,19.84,20.23,28000
2010-07-21,20.23,20.61,20.23,20.23,32500
2010-07-22,20.23,20.23,20.07,20.23,19400
2010-07-23,20.23,20.46,20.23,20.38,24500
2010-07-26,19.45,19.84,19.45,19.53,11800
2010-07-27,19.45,19.84,19.45,19.84,29100
2010-07-28,19.06,19.45,17.89,19.45,9800
2010-07-29,18.9,18.9,18.83,18.83,900
2010-07-30,19.45,19.45,18.67,0.0,9300
2010-08-02,19.21,19.21,19.21,19.21,700
2010-08-04,18.28,18.67,18.28,18.67,5900
2010-08-05,18.44,18.67,18.05,0.0,2400
2010-08-06,18.2,18.2,17.97,17.97,5200
2010-08-09,17.5,19.84,17.11,18.28,28000
2010-08-10,17.89,17.89,17.11,17.5,5500
2010-08-11,18.28,18.98,17.11,17.5,6900
2010-08-12,17.35,17.66,16.88,17.43,14200
2010-08-13,17.89,19.06,16.34,17.19,15500
2010-08-16,17.97,17.97,17.89,17.89,3000
2010-08-17,17.89,19.53,17.35,17.35,13500
2010-08-18,17.89,20.23,17.11,17.11,12500
2010-08-19,17.19,17.19,16.96,16.96,4000
2010-08-20,17.11,17.11,16.88,16.88,2100
2010-08-23,16.34,16.34,15.48,15.56,10800
2010-08-25,15.09,15.17,14.62,14.62,30100
2010-08-26,15.56,16.26,14.0,14.16,24800
2010-08-27,14.0,15.17,14.0,15.17,8000
2010-08-30,15.64,15.64,14.78,15.56,42800
2010-08-31,16.34,16.73,15.56,15.95,8800
2010-09-01,16.34,17.5,16.34,16.34,10000
2010-09-06,17.5,18.28,16.8,16.8,9200
2010-09-07,16.73,17.43,15.79,15.79,24800
2010-09-08,16.02,17.58,15.17,15.17,16400
2010-09-09,15.56,15.71,14.78,15.71,30100
2010-09-10,15.17,15.48,15.17,15.17,27000
2010-09-13,14.78,15.56,14.39,15.56,14100
2010-09-14,15.32,15.79,15.32,15.79,6700
2010-09-15,16.34,17.11,15.71,16.34,23000
2010-09-16,16.34,17.19,15.87,15.95,19100
2010-09-17,16.02,16.34,16.02,16.34,4300
2010-09-20,16.73,17.74,16.34,16.41,13300
2010-09-21,17.11,17.27,16.34,16.34,5000
2010-09-22,17.04,17.11,16.34,16.34,5500
2010-09-23,16.73,17.11,16.34,16.34,14800
2010-09-24,17.11,17.11,16.34,16.34,2300
2010-09-27,17.04,17.04,16.34,16.34,8000
2010-09-28,16.57,16.73,16.34,16.34,30400
2010-09-29,17.04,17.89,16.34,16.34,6500
2010-09-30,17.11,17.5,17.04,17.04,5500
2010-10-01,17.11,17.89,17.11,17.89,10000
2010-10-04,16.34,17.74,16.34,16.34,12300
2010-10-05,15.56,17.5,15.56,16.41,4100
2010-10-06,15.95,17.35,15.95,16.41,9600
2010-10-07,17.5,17.74,17.5,17.74,2000
2010-10-08,16.73,16.73,16.73,16.73,1000
2010-10-11,16.73,16.73,16.73,16.73,0
2010-10-12,16.34,16.34,16.34,16.34,6500
2010-10-13,16.34,16.34,16.18,16.34,19300
2010-10-14,16.26,16.34,16.34,16.34,0
2010-10-15,15.64,15.64,15.64,15.64,100
2010-10-18,15.79,15.79,15.79,15.79,2000
2010-10-19,15.4,15.4,15.32,15.32,3100
2010-10-20,14.86,14.86,14.86,14.86,400
2010-10-21,14.78,14.78,14.78,14.78,2000
2010-10-22,14.78,14.78,14.78,14.78,0
