time,open,high,low,close,volume
2010-01-04,3.43,3.49,3.41,3.49,81000
2010-01-05,3.67,3.69,3.54,3.6,85500
2010-01-06,3.67,3.67,3.43,3.43,37000
2010-01-07,3.6,3.6,3.26,3.28,13100
2010-01-08,3.39,3.41,3.18,3.22,23900
2010-01-11,3.31,3.31,3.14,3.18,16800
2010-01-12,3.18,3.22,3.01,3.07,53000
2010-01-13,3.09,3.18,2.9,3.11,30500
2010-01-14,3.22,3.22,3.13,3.22,40500
2010-01-15,3.41,3.41,3.11,3.11,7900
2010-01-18,3.26,3.26,3.03,3.03,25600
2010-01-19,3.2,3.2,3.03,3.05,5400
2010-01-20,3.03,3.03,2.88,2.88,1500
2010-01-21,2.84,2.84,2.78,2.78,33100
2010-01-22,2.94,2.94,2.84,2.86,6900
2010-01-25,3.03,3.03,3.03,3.03,3700
2010-01-26,3.11,3.11,3.03,3.07,11600
2010-01-27,2.86,2.88,2.86,2.86,12800
2010-01-28,2.86,3.03,2.84,2.84,8100
2010-01-29,2.84,2.97,2.8,2.97,1200
2010-02-01,3.01,3.01,2.99,2.99,75000
2010-02-02,3.11,3.11,2.86,2.86,4100
2010-02-03,2.94,2.94,2.94,2.94,1300
2010-02-04,2.95,2.95,2.9,2.9,7100
2010-02-05,2.84,2.88,2.73,2.84,10000
2010-02-08,2.82,2.84,2.78,2.78,5100
2010-02-09,2.8,2.82,2.78,2.78,6700
2010-02-10,2.88,2.88,2.84,2.86,5200
2010-02-11,2.84,2.9,2.84,2.9,3100
2010-02-12,2.9,2.94,2.86,2.88,6700
2010-02-22,2.94,2.94,2.86,2.94,6200
2010-02-23,2.94,2.94,2.88,2.88,6300
2010-02-24,2.92,2.95,2.92,2.95,3300
2010-02-25,2.92,2.94,2.92,2.94,2300
2010-02-26,2.94,3.13,2.94,3.13,41700
2010-03-01,3.13,3.2,3.11,3.11,11200
2010-03-02,2.95,2.99,2.94,2.95,12900
2010-03-03,2.95,3.07,2.95,3.07,6000
2010-03-04,2.84,3.03,2.84,2.95,7300
2010-03-05,2.95,2.97,2.95,2.95,17500
2010-03-08,2.97,2.97,2.86,2.95,24600
2010-03-09,2.94,3.01,2.92,3.01,14000
2010-03-10,2.95,2.95,2.9,2.95,20400
2010-03-11,2.94,2.95,2.92,2.92,15200
2010-03-12,2.94,2.99,2.9,2.99,15900
2010-03-15,2.97,3.01,2.95,3.01,3700
2010-03-16,2.97,3.07,2.94,2.95,41400
2010-03-17,2.97,2.97,2.88,2.97,19200
2010-03-18,2.94,2.97,2.92,2.97,26500
2010-03-19,2.95,2.95,2.94,2.94,3100
2010-03-22,2.95,2.95,2.92,2.92,4200
2010-03-23,2.99,3.13,2.94,3.03,59400
2010-03-24,3.07,3.13,3.05,3.11,34000
2010-03-25,3.09,3.09,2.92,3.03,25500
2010-03-26,2.94,2.95,2.9,2.94,20900
2010-03-29,3.01,3.01,2.9,2.94,30200
2010-03-30,2.97,2.97,2.88,2.92,21500
2010-03-31,3.07,3.09,2.92,2.95,59100
2010-04-01,3.03,3.09,2.94,2.94,17300
2010-04-02,2.99,3.03,2.95,3.01,20100
2010-04-05,3.11,3.2,3.05,3.18,84100
2010-04-06,3.22,3.22,3.14,3.14,55800
2010-04-07,3.14,3.22,3.14,3.18,71900
2010-04-08,3.2,3.22,3.13,3.2,49200
2010-04-09,3.26,3.39,3.26,3.39,72700
2010-04-12,3.6,3.6,3.54,3.6,489900
2010-04-13,3.73,3.85,3.56,3.56,169600
2010-04-14,3.56,3.79,3.45,3.56,58200
2010-04-15,3.6,3.73,3.5,3.73,227200
2010-04-16,3.79,3.92,3.79,3.92,184000
2010-04-19,4.19,4.19,4.19,4.19,67000
2010-04-20,4.47,4.47,4.47,4.47,81700
2010-04-21,4.77,4.77,4.77,4.77,94900
2010-04-22,5.1,5.1,4.45,5.1,953800
2010-04-26,5.02,5.36,5.02,5.36,289400
2010-04-27,5.7,5.7,5.44,5.49,220600
2010-04-28,5.57,5.95,5.44,5.95,202900
2010-04-29,6.25,6.29,5.89,6.29,258700
2010-05-04,6.71,6.71,6.71,6.71,18400
2010-05-05,7.16,7.16,6.84,7.16,507000
2010-05-06,7.48,7.58,6.67,7.29,350600
2010-05-07,6.99,6.99,6.71,6.71,126600
2010-05-10,6.27,6.27,6.27,6.27,73900
2010-05-11,6.42,6.53,5.83,6.29,533000
2010-05-12,6.06,6.46,5.66,6.06,388100
2010-05-13,6.06,6.52,5.87,6.42,237500
2010-05-14,6.4,6.53,6.16,6.16,128500
2010-05-17,6.35,6.4,5.97,5.97,155100
2010-05-18,5.91,5.91,5.91,5.91,200
2010-05-19,5.51,5.51,5.51,5.51,100
2010-05-20,5.13,5.3,5.13,5.13,61400
2010-05-21,4.79,4.79,4.79,4.79,2600
2010-05-24,4.47,4.47,4.47,4.47,55500
2010-05-25,4.51,4.51,4.17,4.26,218500
2010-05-26,4.36,4.49,4.36,4.49,124800
2010-05-27,4.79,4.79,4.72,4.79,205700
2010-05-28,5.1,5.1,5.08,5.1,169200
2010-05-31,5.3,5.38,4.75,4.79,60000
2010-06-01,4.75,4.91,4.74,4.75,150800
2010-06-02,4.79,4.83,4.56,4.79,92800
2010-06-03,4.92,5.1,4.92,5.1,112900
2010-06-04,5.44,5.44,5.04,5.1,91500
2010-06-07,4.83,4.87,4.81,4.81,62600
2010-06-08,4.55,4.77,4.49,4.77,114100
2010-06-09,4.77,4.77,4.49,4.51,51900
2010-06-10,4.56,4.72,4.55,4.62,55100
2010-06-11,4.92,4.92,4.66,4.79,114600
2010-06-14,4.92,5.1,4.92,5.1,229500
2010-06-15,5.4,5.4,4.89,5.1,62500
2010-06-16,5.21,5.34,5.04,5.1,101900
2010-06-17,5.04,5.11,4.98,4.98,63300
2010-06-18,5.02,5.04,4.87,4.91,65100
2010-06-21,5.04,5.27,5.04,5.27,243300
2010-06-22,5.3,5.47,5.19,5.3,194300
2010-06-23,5.21,5.27,5.11,5.15,30600
2010-06-24,5.25,5.3,5.02,5.02,40700
2010-06-25,4.89,5.02,4.85,4.92,99000
2010-06-28,5.02,5.25,5.02,5.11,77100
2010-06-29,5.04,5.19,5.0,5.0,73800
2010-06-30,4.74,5.0,4.7,4.81,51500
2010-07-01,4.83,4.91,4.66,4.91,36000
2010-07-02,5.1,5.1,4.87,5.02,58600
2010-07-05,5.21,5.28,5.15,5.28,269900
2010-07-06,5.61,5.61,5.08,5.11,130400
2010-07-07,5.3,5.3,5.0,5.02,46600
2010-07-08,5.11,5.11,5.02,5.1,68400
2010-07-09,5.1,5.11,5.0,5.02,72300
2010-07-12,5.1,5.36,5.1,5.36,254200
2010-07-13,5.66,5.7,5.49,5.7,177600
2010-07-14,6.02,6.1,5.95,6.1,239100
2010-07-15,6.02,6.04,5.7,5.78,121000
2010-07-16,5.7,6.06,5.51,6.06,217800
2010-07-19,5.97,6.21,5.97,6.21,87500
2010-07-20,6.63,6.63,6.36,6.4,269800
2010-07-21,6.55,6.55,6.14,6.14,137000
2010-07-22,6.16,6.35,5.83,6.06,140400
2010-07-23,6.25,6.25,6.0,6.14,92800
2010-07-26,6.06,6.35,5.97,5.97,137700
2010-07-27,6.06,6.21,5.89,5.93,57100
2010-07-28,6.06,6.06,5.68,5.85,50600
2010-07-29,5.74,6.0,5.74,5.99,49400
2010-07-30,6.04,6.14,5.93,6.02,70500
2010-08-02,6.06,6.06,5.8,5.81,40900
2010-08-03,6.0,6.0,5.59,5.59,52300
2010-08-04,5.49,5.49,5.3,5.3,207400
2010-08-05,5.4,5.49,5.1,5.27,75700
2010-08-06,5.19,5.19,4.92,5.02,112800
2010-08-09,4.92,4.92,4.75,4.79,70000
2010-08-10,4.83,4.83,4.51,4.53,129000
2010-08-11,4.74,4.87,4.64,4.87,64300
2010-08-12,4.58,4.64,4.49,4.49,59100
2010-08-13,4.74,4.74,4.24,4.64,45300
2010-08-16,4.7,4.81,4.7,4.81,24300
2010-08-17,5.11,5.11,4.79,4.83,99600
2010-08-18,4.79,4.92,4.6,4.66,77100
2010-08-19,4.72,4.74,4.55,4.55,39700
2010-08-20,4.72,4.72,4.32,4.39,67900
2010-08-23,4.64,4.64,4.32,4.38,61100
2010-08-24,4.2,4.2,4.13,4.13,40400
2010-08-25,3.94,3.94,3.86,3.86,13900
2010-08-26,3.6,3.9,3.6,3.62,225700
2010-08-27,3.6,3.69,3.45,3.62,141600
2010-08-30,3.81,3.81,3.81,3.81,3800
2010-08-31,4.07,4.07,4.07,4.07,6400
2010-09-01,4.36,4.36,4.36,4.36,34800
2010-09-06,4.64,4.64,4.64,4.64,14500
2010-09-07,4.95,4.95,4.95,4.95,21200
2010-09-08,5.3,5.3,4.98,5.3,664600
2010-09-09,5.55,5.61,5.38,5.61,179400
2010-09-10,5.92,5.92,5.18,5.18,223500
2010-09-13,5.1,5.12,5.1,5.1,136500
2010-09-14,4.98,5.41,4.84,4.84,106300
2010-09-15,5.12,5.12,4.64,4.7,113400
2010-09-16,4.61,4.9,4.47,4.9,55600
2010-09-17,4.98,5.1,4.98,5.1,114700
2010-09-20,5.38,5.44,5.12,5.27,179500
2010-09-21,5.27,5.27,4.98,5.01,111000
2010-09-22,5.04,5.1,4.98,4.98,66200
2010-09-23,4.73,4.81,4.7,4.75,101200
2010-09-24,4.7,4.9,4.7,4.75,36900
2010-09-27,4.78,4.78,4.7,4.75,25500
2010-09-28,4.98,4.98,4.75,4.78,36900
2010-09-29,4.75,4.81,4.5,4.5,118900
2010-09-30,4.3,4.56,4.27,4.36,99500
2010-10-01,4.44,4.44,4.27,4.3,30300
2010-10-04,4.21,4.21,4.07,4.07,67500
2010-10-05,4.13,4.27,3.93,4.01,72900
2010-10-06,4.19,4.3,4.13,4.3,40600
2010-10-07,4.3,4.5,4.21,4.24,77700
2010-10-08,4.19,4.38,4.1,4.1,46700
2010-10-11,4.19,4.19,4.01,4.04,27500
2010-10-12,4.07,4.1,3.79,3.81,90700
2010-10-13,3.76,3.99,3.73,3.93,23200
2010-10-14,3.93,3.99,3.9,3.93,30100
2010-10-15,3.93,3.96,3.87,3.87,15500
2010-10-18,3.93,3.93,3.87,3.87,34900
2010-10-19,3.84,3.93,3.67,3.79,31800
2010-10-20,3.56,3.56,3.5,3.5,76300
2010-10-21,3.7,3.73,3.53,3.67,54100
2010-10-22,3.56,3.59,3.42,3.47,26500
2010-10-25,3.56,3.73,3.5,3.73,30500
2010-10-26,3.87,3.93,3.87,3.93,23800
2010-10-27,3.99,3.99,3.7,3.7,48300
2010-10-28,3.7,3.73,3.62,3.64,9300
2010-10-29,3.76,3.76,3.64,3.67,15400
2010-11-01,3.64,3.73,3.64,3.64,7700
2010-11-02,3.59,3.59,3.5,3.53,10200
2010-11-03,3.67,3.67,3.36,3.47,38600
2010-11-04,3.56,3.59,3.44,3.5,23400
2010-11-05,3.64,3.67,3.56,3.67,19500
2010-11-08,3.64,3.64,3.5,3.53,12600
2010-11-09,3.3,3.42,3.3,3.36,28100
2010-11-10,3.56,3.56,3.36,3.47,18900
2010-11-11,3.42,3.42,3.36,3.36,15300
2010-11-12,3.3,3.39,3.16,3.19,54000
