time,open,high,low,close,volume
2013-03-26,1.6,1.6,1.56,1.6,80000
2013-03-27,1.76,1.76,1.76,1.76,7500
2013-03-28,1.93,1.93,1.93,1.93,18000
2013-03-29,2.07,2.11,1.78,1.94,100200
2013-04-01,1.82,1.99,1.81,1.99,23500
2013-04-02,1.85,1.88,1.84,1.84,11900
2013-04-03,1.82,1.82,1.67,1.69,37800
2013-04-04,1.74,1.74,1.66,1.67,15800
2013-04-05,1.65,1.67,1.56,1.58,32700
2013-04-08,1.56,1.56,1.45,1.5,40600
2013-04-09,1.51,1.66,1.51,1.66,21000
2013-04-10,1.67,1.67,1.6,1.65,26900
2013-04-11,1.56,1.62,1.52,1.61,6300
2013-04-12,1.56,1.6,1.52,1.6,23000
2013-04-15,1.47,1.48,1.45,1.47,7700
2013-04-16,1.48,1.52,1.48,1.52,13000
2013-04-17,1.52,1.58,1.5,1.55,13600
2013-04-18,1.57,1.57,1.5,1.5,7400
2013-04-22,1.52,1.56,1.52,1.55,8400
2013-04-23,1.56,1.58,1.55,1.57,16900
2013-04-24,1.56,1.58,1.55,1.57,6300
2013-04-25,1.57,1.62,1.56,1.59,26600
2013-04-26,1.59,1.67,1.58,1.67,45300
2013-05-02,1.67,1.76,1.67,1.76,54800
2013-05-03,1.78,1.9,1.78,1.83,23200
2013-05-06,1.84,1.84,1.71,1.72,129700
2013-05-07,1.71,1.73,1.62,1.66,137300
2013-05-08,1.69,1.79,1.65,1.77,28300
2013-05-09,1.78,1.78,1.68,1.69,44800
2013-05-10,1.74,1.82,1.69,1.8,121600
2013-05-13,1.78,1.88,1.78,1.83,96000
2013-05-14,1.87,2.02,1.87,2.02,145600
2013-05-15,1.94,2.17,1.94,2.15,83900
2013-05-16,2.17,2.27,2.07,2.19,93200
2013-05-17,2.11,2.17,2.06,2.07,117800
2013-05-20,2.07,2.14,2.07,2.13,33700
2013-05-21,2.18,2.18,2.03,2.04,95400
2013-05-22,2.05,2.16,2.05,2.07,51700
2013-05-23,2.09,2.09,2.04,2.07,41400
2013-05-24,2.07,2.07,1.98,2.06,70500
2013-05-27,2.04,2.17,2.04,2.13,67800
2013-05-28,2.17,2.18,2.13,2.18,81900
2013-05-29,2.19,2.2,2.14,2.17,53300
2013-05-30,2.15,2.19,2.13,2.17,71700
2013-05-31,2.19,2.37,2.19,2.33,110100
2013-06-03,2.3,2.33,2.27,2.3,22500
2013-06-04,2.3,2.3,2.15,2.2,57000
2013-06-05,2.22,2.26,2.18,2.2,72000
2013-06-06,2.22,2.25,2.18,2.22,26900
2013-06-07,2.37,2.4,2.25,2.32,70800
2013-06-10,2.37,2.39,2.31,2.33,111500
2013-06-11,2.33,2.35,2.29,2.3,72100
2013-06-12,2.3,2.3,2.27,2.29,39400
2013-06-13,2.31,2.31,2.27,2.3,49900
2013-06-14,2.29,2.33,2.28,2.29,48700
2013-06-17,2.29,2.31,2.21,2.21,53900
2013-06-18,2.24,2.24,2.2,2.22,30600
2013-06-19,2.31,2.31,2.23,2.24,12300
2013-06-20,2.22,2.22,2.13,2.2,26500
2013-06-21,2.13,2.13,2.09,2.17,4600
2013-06-24,2.11,2.11,2.06,2.06,19000
2013-06-25,2.1,2.1,1.92,1.98,36600
2013-06-26,1.96,1.96,1.92,1.96,7100
2013-06-27,1.99,2.06,1.98,2.04,11200
2013-06-28,2.08,2.08,2.01,2.02,8500
2013-07-01,2.0,2.06,1.89,2.02,53400
2013-07-02,1.97,2.01,1.97,1.99,8300
2013-07-03,2.06,2.06,1.99,1.99,3800
2013-07-04,1.99,2.01,1.99,2.01,2200
2013-07-05,2.01,2.01,1.96,1.96,8700
2013-07-08,2.01,2.01,1.92,1.96,24500
2013-07-09,1.98,1.99,1.94,1.96,23500
2013-07-10,1.94,1.97,1.94,1.96,11400
2013-07-11,1.95,1.98,1.95,1.96,5800
2013-07-12,1.97,2.06,1.97,2.03,22400
2013-07-15,2.06,2.06,2.03,2.06,17800
2013-07-16,2.08,2.17,2.03,2.17,34800
2013-07-17,2.15,2.15,2.13,2.15,3900
2013-07-18,2.08,2.1,2.06,2.09,16600
2013-07-19,2.06,2.08,2.06,2.08,3500
2013-07-22,2.11,2.11,2.07,2.07,9500
2013-07-23,2.06,2.06,1.99,2.04,17200
2013-07-24,2.01,2.03,1.99,1.99,20400
2013-07-25,1.98,1.99,1.94,1.96,22800
2013-07-26,1.94,1.96,1.92,1.92,13200
2013-07-29,1.91,1.96,1.91,1.92,13700
2013-07-30,1.91,1.95,1.91,1.92,5000
2013-07-31,1.92,1.92,1.92,1.92,11300
2013-08-01,1.91,1.92,1.91,1.92,1900
2013-08-02,1.92,1.94,1.92,1.94,6100
2013-08-05,1.9,1.92,1.9,1.92,3500
2013-08-06,1.93,1.96,1.92,1.96,8000
2013-08-07,1.94,1.96,1.94,1.95,8200
2013-08-08,1.94,1.94,1.92,1.92,20400
2013-08-09,1.91,1.95,1.91,1.95,7300
2013-08-12,1.93,1.93,1.92,1.92,6100
2013-08-13,1.94,1.97,1.92,1.92,29100
2013-08-14,1.93,2.02,1.93,2.02,33000
2013-08-15,2.02,2.02,1.98,1.98,5500
2013-08-16,1.96,1.97,1.96,1.97,2100
2013-08-19,1.96,2.03,1.96,1.98,8100
2013-08-20,1.99,2.03,1.99,1.99,11400
2013-08-21,1.96,1.97,1.96,1.97,4400
2013-08-22,2.03,2.17,2.03,2.13,68000
2013-08-23,2.15,2.15,2.06,2.1,25100
2013-08-26,2.12,2.26,2.12,2.26,57900
2013-08-27,2.26,2.26,2.2,2.23,38700
2013-08-28,2.23,2.24,2.12,2.12,23300
2013-08-29,2.1,2.17,2.1,2.1,13200
2013-08-30,2.13,2.15,2.08,2.15,12000
2013-09-03,2.17,2.17,2.1,2.1,8300
2013-09-04,2.1,2.1,2.08,2.1,14500
2013-09-05,2.1,2.14,2.1,2.14,3800
2013-09-06,2.1,2.14,2.1,2.13,1500
2013-09-09,2.07,2.09,2.07,2.09,1400
2013-09-10,2.1,2.12,2.1,2.1,5900
2013-09-11,2.13,2.17,2.13,2.16,21500
2013-09-12,2.1,2.15,2.1,2.15,3500
2013-09-13,2.15,2.15,2.1,2.1,12700
2013-09-16,2.11,2.15,2.11,2.15,20600
2013-09-17,2.14,2.15,2.14,2.15,1000
2013-09-18,2.2,2.36,2.17,2.22,29700
2013-09-19,2.27,2.33,2.17,2.21,7700
2013-09-20,2.18,2.18,2.1,2.16,15100
2013-09-23,2.17,2.17,1.95,2.14,13400
2013-09-24,2.14,2.14,2.06,2.06,30800
2013-09-25,2.08,2.22,2.08,2.13,28600
2013-09-26,2.17,2.2,2.08,2.11,19800
2013-09-27,2.07,2.07,2.03,2.03,7200
2013-09-30,2.0,2.07,1.96,1.99,33800
2013-10-01,1.97,2.01,1.97,1.99,17100
2013-10-02,2.01,2.01,1.99,1.99,11900
2013-10-03,2.0,2.0,1.97,1.99,27200
2013-10-04,1.97,1.99,1.96,1.97,35800
2013-10-07,1.97,1.97,1.96,1.96,25100
2013-10-08,1.96,2.11,1.96,2.01,28600
2013-10-09,2.04,2.07,2.04,2.07,17400
2013-10-10,2.04,2.04,1.99,2.03,6000
2013-10-11,1.99,2.03,1.99,2.03,4200
2013-10-14,2.04,2.04,2.0,2.01,5500
2013-10-15,2.01,2.03,2.0,2.0,27500
2013-10-16,2.03,2.1,2.03,2.07,25900
2013-10-17,2.04,2.07,2.04,2.04,8100
2013-10-18,2.04,2.21,2.04,2.17,26800
2013-10-21,2.1,2.11,1.96,1.96,15900
2013-10-22,2.08,2.08,2.0,2.04,45500
2013-10-23,2.04,2.1,2.04,2.1,8600
2013-10-24,2.06,2.08,2.01,2.06,42800
2013-10-25,2.03,2.06,2.03,2.04,14100
2013-10-28,2.04,2.04,2.03,2.03,8000
2013-10-29,2.03,2.03,2.0,2.03,15200
2013-10-30,2.01,2.03,2.0,2.03,9000
2013-10-31,2.0,2.01,2.0,2.01,20000
2013-11-01,2.0,2.03,1.99,2.01,18000
2013-11-04,2.01,2.03,2.01,2.03,15200
2013-11-05,2.03,2.08,2.03,2.07,19700
2013-11-06,2.04,2.04,2.04,2.04,21300
2013-11-07,2.04,2.04,2.03,2.03,16600
2013-11-08,2.01,2.03,1.99,2.0,19200
2013-11-11,2.03,2.1,2.01,2.1,35500
2013-11-12,2.1,2.18,2.03,2.11,108000
2013-11-13,2.14,2.14,2.11,2.13,111100
2013-11-14,2.13,2.24,2.13,2.18,166500
2013-11-15,2.18,2.24,2.17,2.17,243500
2013-11-18,2.17,2.23,2.17,2.22,156100
2013-11-19,2.2,2.38,2.2,2.34,175800
2013-11-20,2.32,2.34,2.29,2.31,158300
2013-11-21,2.31,2.32,2.25,2.25,300400
2013-11-22,2.28,2.35,2.26,2.25,167300
2013-11-25,2.34,2.38,2.32,2.35,147600
2013-11-26,2.34,2.34,2.32,2.32,122700
2013-11-27,2.32,2.34,2.28,2.31,88600
2013-11-28,2.29,2.29,2.26,2.29,41800
2013-11-29,2.26,2.26,2.23,2.23,111300
2013-12-02,2.26,2.29,2.23,2.28,33300
2013-12-03,2.29,2.29,2.26,2.28,42100
2013-12-04,2.25,2.29,2.22,2.28,29000
2013-12-05,2.26,2.26,2.2,2.25,52100
2013-12-06,2.25,2.25,2.2,2.22,121200
2013-12-09,2.22,2.25,2.22,2.23,139600
2013-12-10,2.25,2.28,2.25,2.26,77500
2013-12-11,2.28,2.31,2.23,2.23,45900
2013-12-12,2.2,2.22,2.19,2.2,56200
2013-12-13,2.2,2.22,2.19,2.19,95500
2013-12-16,2.17,2.22,2.17,2.19,86900
2013-12-17,2.19,2.19,2.17,2.17,74300
2013-12-18,2.2,2.26,2.16,2.23,292100
2013-12-19,2.28,2.4,2.28,2.37,425400
2013-12-20,2.42,2.51,2.4,2.47,257500
2013-12-23,2.47,2.6,2.47,2.56,184100
2013-12-24,2.56,2.59,2.48,2.56,329400
2013-12-25,2.56,2.73,2.56,2.72,273000
2013-12-26,2.72,2.72,2.63,2.65,250200
2013-12-27,2.65,2.65,2.56,2.57,291000
2013-12-30,2.53,2.59,2.5,2.53,87600
2013-12-31,2.65,2.65,2.5,2.56,41800
2014-01-02,2.56,2.81,2.56,2.78,497100
2014-01-03,2.78,2.81,2.69,2.72,215600
2014-01-06,2.72,2.72,2.65,2.67,224800
2014-01-07,2.7,2.79,2.67,2.72,373600
2014-01-08,2.72,2.84,2.72,2.79,318300
2014-01-09,2.79,2.79,2.76,2.78,165400
2014-01-10,2.78,2.78,2.72,2.72,279700
2014-01-13,2.7,2.81,2.69,2.79,124000
2014-01-14,2.78,2.87,2.75,2.84,537700
2014-01-15,2.79,2.91,2.79,2.85,454200
2014-01-16,2.85,2.85,2.79,2.85,167100
2014-01-17,2.82,2.87,2.79,2.82,230900
2014-01-20,2.82,2.82,2.73,2.73,176200
2014-01-21,2.72,2.73,2.65,2.7,433300
2014-01-22,2.7,2.78,2.69,2.73,347400
2014-01-23,2.75,2.85,2.75,2.79,119100
2014-01-24,2.81,2.82,2.79,2.79,179700
2014-01-27,2.78,2.82,2.76,2.82,78200
2014-02-06,2.82,2.84,2.78,2.82,78600
2014-02-07,2.82,2.85,2.76,2.81,131900
2014-02-10,2.81,2.92,2.78,2.92,225300
2014-02-11,2.97,3.19,2.97,3.06,444800
2014-02-12,3.09,3.13,3.04,3.07,214900
2014-02-13,3.1,3.19,3.07,3.14,308400
2014-02-14,3.14,3.26,3.14,3.22,204800
2014-02-17,3.22,3.25,3.13,3.2,289600
2014-02-18,3.2,3.2,3.13,3.19,225100
2014-02-19,3.19,3.32,3.16,3.22,367700
2014-02-20,3.17,3.35,3.1,3.14,708800
2014-02-21,3.14,3.22,3.13,3.17,259940
2014-02-24,3.2,3.26,3.16,3.26,202100
2014-02-25,3.25,3.29,3.2,3.23,288200
2014-02-26,3.23,3.23,3.14,3.2,556500
2014-02-27,3.2,3.51,3.2,3.32,742500
2014-02-28,3.32,3.37,3.29,3.35,230900
2014-03-03,3.31,3.31,3.16,3.16,276100
2014-03-04,3.16,3.16,3.03,3.12,323400
2014-03-05,3.14,3.26,3.14,3.2,276000
2014-03-06,3.22,3.29,3.2,3.25,220400
2014-03-07,3.25,3.25,3.2,3.25,200200
2014-03-10,3.2,3.35,3.17,3.35,360300
2014-03-11,3.38,3.53,3.38,3.45,824400
2014-03-12,3.45,3.45,3.34,3.38,282870
2014-03-13,3.37,3.41,3.32,3.41,172200
2014-03-14,3.39,3.45,3.26,3.28,456500
2014-03-17,3.29,3.35,3.26,3.34,230930
2014-03-18,3.34,3.34,3.26,3.26,254900
2014-03-19,3.32,3.35,3.25,3.31,164300
2014-03-20,3.31,3.34,3.2,3.26,256400
2014-03-21,3.29,3.31,3.25,3.25,121210
2014-03-24,3.25,3.34,3.25,3.32,234930
2014-03-25,3.37,3.37,3.22,3.22,279000
2014-03-26,3.25,3.35,3.12,3.16,280700
2014-03-27,3.19,3.2,3.13,3.17,180600
2014-03-28,3.17,3.23,3.16,3.17,161700
2014-03-31,3.19,3.25,3.17,3.17,130000
2014-04-01,3.17,3.17,2.98,2.98,195500
2014-04-02,3.01,3.01,2.85,2.94,153000
2014-04-03,2.98,3.03,2.94,3.01,69900
2014-04-04,3.03,3.07,2.89,2.95,74700
2014-04-07,2.95,2.95,2.88,2.95,165200
2014-04-08,2.98,3.14,2.98,3.14,224900
2014-04-10,3.16,3.17,3.09,3.12,79900
2014-04-11,3.12,3.12,3.01,3.12,60900
2014-04-14,3.09,3.09,2.98,2.98,92800
2014-04-15,2.98,3.04,2.92,2.92,116100
2014-04-16,2.91,2.92,2.79,2.85,125600
2014-04-17,2.87,2.89,2.84,2.87,51600
2014-04-18,2.85,2.85,2.72,2.73,83230
2014-04-21,2.73,2.73,2.6,2.6,126700
2014-04-22,2.59,2.72,2.57,2.72,87300
2014-04-23,2.73,2.73,2.65,2.65,53900
2014-04-24,2.67,2.67,2.65,2.65,32300
2014-04-25,2.66,2.66,2.65,2.65,29000
2014-04-28,2.7,2.73,2.66,2.66,58000
2014-04-29,2.66,2.66,2.65,2.65,32400
2014-05-05,2.69,2.69,2.5,2.53,54300
2014-05-06,2.53,2.53,2.42,2.5,104300
2014-05-07,2.5,2.5,2.47,2.5,64500
2014-05-08,2.44,2.44,2.25,2.25,406900
2014-05-09,2.03,2.4,2.03,2.4,57360
2014-05-12,2.29,2.29,2.2,2.2,87300
2014-05-13,2.2,2.22,2.16,2.2,56500
2014-05-14,2.28,2.32,2.23,2.31,48900
2014-05-15,2.29,2.37,2.17,2.22,161200
2014-05-16,2.25,2.29,2.25,2.29,33400
2014-05-19,2.32,2.35,2.29,2.32,66000
2014-05-20,2.32,2.42,2.29,2.41,99900
2014-05-21,2.41,2.48,2.35,2.47,75950
2014-05-22,2.44,2.48,2.38,2.41,72710
2014-05-23,2.41,2.41,2.35,2.35,48100
2014-05-26,2.34,2.4,2.32,2.4,23800
2014-05-27,2.41,2.5,2.4,2.47,59200
2014-05-28,2.48,2.53,2.47,2.51,141120
2014-05-29,2.5,2.56,2.48,2.5,79900
2014-05-30,2.5,2.5,2.42,2.45,29400
