time,open,high,low,close,volume
2010-01-04,6.78,7.23,6.78,7.23,57350
2010-01-05,7.46,7.59,7.0,7.0,80970
2010-01-06,7.0,7.19,6.96,7.0,82380
2010-01-07,6.91,7.32,6.87,7.32,166840
2010-01-08,7.41,7.46,7.23,7.32,154200
2010-01-11,7.0,7.32,7.0,7.0,52830
2010-01-12,7.0,7.32,7.0,7.0,43800
2010-01-13,7.0,7.0,6.91,6.91,15720
2010-01-14,6.87,7.19,6.87,7.19,35820
2010-01-15,6.96,7.0,6.91,7.0,29520
2010-01-18,6.87,6.91,6.82,6.82,14750
2010-01-19,7.14,7.14,6.82,7.14,18140
2010-01-20,6.82,7.1,6.82,6.82,27170
2010-01-21,6.69,6.82,6.6,6.6,52920
2010-01-22,6.51,6.73,6.51,6.73,37710
2010-01-25,6.6,6.78,6.6,6.78,31880
2010-01-26,7.0,7.0,6.64,6.64,5280
2010-01-27,6.64,6.91,6.64,6.69,73370
2010-01-28,6.69,6.78,6.69,6.78,7780
2010-01-29,6.73,6.82,6.69,6.78,19050
2010-02-01,6.78,6.78,6.73,6.78,24310
2010-02-02,6.91,6.91,6.69,6.69,19610
2010-02-03,6.6,6.82,6.6,6.69,31340
2010-02-04,6.78,6.87,6.78,6.78,65410
2010-02-05,6.78,6.78,6.64,6.78,5380
2010-02-08,6.6,6.82,6.6,6.78,84560
2010-02-09,6.78,6.82,6.78,6.78,33870
2010-02-10,6.91,6.91,6.73,6.87,6050
2010-02-11,6.73,6.96,6.73,6.87,1530
2010-02-12,6.82,6.91,6.82,6.91,7840
2010-02-22,6.82,6.82,6.6,6.6,88800
2010-02-23,6.46,6.78,6.46,6.55,29850
2010-02-24,6.6,6.78,6.6,6.78,17920
2010-02-25,6.87,6.87,6.78,6.82,9520
2010-02-26,6.82,6.87,6.55,6.69,38400
2010-03-01,6.78,6.78,6.73,6.78,31390
2010-03-02,6.64,6.78,6.64,6.78,33620
2010-03-03,6.82,6.82,6.78,6.82,13240
2010-03-04,6.87,6.87,6.78,6.78,14920
2010-03-05,6.6,6.82,6.6,6.82,26040
2010-03-08,6.82,6.87,6.69,6.69,18400
2010-03-09,6.78,6.82,6.69,6.78,34310
2010-03-10,6.78,6.78,6.69,6.78,41590
2010-03-11,6.78,6.87,6.78,6.78,37950
2010-03-12,6.78,6.82,6.73,6.78,52910
2010-03-15,6.87,6.87,6.73,6.78,73270
2010-03-16,6.78,6.87,6.78,6.78,92790
2010-03-17,6.78,6.82,6.78,6.78,9250
2010-03-18,6.78,6.78,6.78,6.78,120180
2010-03-19,6.78,6.82,6.69,6.69,213260
2010-03-22,6.64,6.64,6.55,6.55,16850
2010-03-23,6.55,6.73,6.55,6.6,25700
2010-03-24,6.69,6.91,6.69,6.78,82640
2010-03-25,6.78,6.78,6.6,6.64,9770
2010-03-26,6.78,6.78,6.69,6.78,66700
2010-03-29,6.69,6.78,6.69,6.69,14420
2010-03-30,6.6,6.73,6.6,6.6,28670
2010-03-31,6.73,6.73,6.51,6.51,31140
2010-04-01,6.73,6.82,6.69,6.78,104270
2010-04-02,6.78,6.78,6.69,6.78,25290
2010-04-05,6.87,6.87,6.78,6.78,37500
2010-04-06,6.82,6.87,6.78,6.78,41380
2010-04-07,6.78,6.82,6.78,6.82,36910
2010-04-08,6.82,7.14,6.82,7.14,90000
2010-04-09,7.28,7.28,7.14,7.14,33450
2010-04-12,7.14,7.19,7.1,7.1,103070
2010-04-13,7.1,7.24,6.9,7.1,78670
2010-04-14,7.14,7.14,6.95,7.0,89590
2010-04-15,7.14,7.24,7.1,7.19,59450
2010-04-16,7.19,7.24,7.0,7.14,69060
2010-04-19,7.14,7.19,7.0,7.05,70010
2010-04-20,7.1,7.14,7.0,7.1,71280
2010-04-21,7.14,7.14,7.1,7.14,78140
2010-04-22,7.1,7.19,7.1,7.19,60100
2010-04-26,7.24,7.24,7.1,7.24,14150
2010-04-27,7.14,7.24,7.14,7.19,36760
2010-04-28,7.1,7.19,7.1,7.19,24130
2010-04-29,7.19,7.24,7.1,7.14,77370
2010-05-04,7.19,7.24,7.1,7.14,121030
2010-05-05,7.14,7.19,7.1,7.1,43110
2010-05-06,7.14,7.24,7.14,7.24,113540
2010-05-07,7.1,7.19,7.1,7.14,48600
2010-05-10,7.14,7.29,7.14,7.19,55340
2010-05-11,7.24,7.24,7.14,7.19,20730
2010-05-12,7.1,7.19,7.05,7.05,17470
2010-05-13,6.95,7.19,6.95,7.19,17930
2010-05-14,7.1,7.19,7.05,7.05,38600
2010-05-17,7.19,7.24,7.0,7.14,79090
2010-05-18,7.14,7.14,7.05,7.14,24500
2010-05-19,7.1,7.14,6.81,6.81,29240
2010-05-20,6.81,6.9,6.76,6.9,37930
2010-05-21,6.76,6.76,6.56,6.71,87530
2010-05-24,6.81,7.0,6.76,7.0,131530
2010-05-25,7.0,7.05,7.0,7.05,15020
2010-05-26,7.05,7.05,7.0,7.05,87690
2010-05-27,7.1,7.14,7.05,7.1,70120
2010-05-28,7.14,7.14,7.05,7.05,37860
2010-05-31,6.95,7.0,6.76,7.0,48810
2010-06-01,7.0,7.0,6.9,6.95,57670
2010-06-02,6.95,6.95,6.76,6.85,81470
2010-06-03,6.9,6.9,6.76,6.81,76520
2010-06-04,6.76,6.81,6.66,6.71,99740
2010-06-07,6.47,6.61,6.47,6.52,83360
2010-06-08,6.42,6.52,6.42,6.47,100450
2010-06-09,6.52,6.52,6.42,6.42,63650
2010-06-10,6.52,6.52,6.42,6.52,91500
2010-06-11,6.66,6.76,6.61,6.76,143380
2010-06-14,6.76,6.76,6.56,6.61,12820
2010-06-15,6.52,6.66,6.52,6.66,100640
2010-06-16,6.66,6.71,6.52,6.56,57130
2010-06-17,6.52,6.56,6.47,6.52,66280
2010-06-18,6.52,6.56,6.42,6.52,63580
2010-06-21,6.52,6.61,6.52,6.52,83690
2010-06-22,6.56,6.56,6.23,6.27,199480
2010-06-23,6.47,6.56,6.42,6.56,250950
2010-06-24,6.61,6.71,6.56,6.71,135070
2010-06-25,6.71,6.71,6.52,6.71,79150
2010-06-28,6.71,6.71,6.56,6.61,59260
2010-06-29,6.61,6.9,6.52,6.9,359100
2010-06-30,6.76,7.0,6.61,7.0,357140
2010-07-01,6.81,6.85,6.66,6.66,52570
2010-07-02,6.76,6.76,6.47,6.61,33810
2010-07-05,6.52,6.66,6.52,6.66,88830
2010-07-06,6.66,6.71,6.66,6.71,186060
2010-07-07,6.66,6.71,6.56,6.56,113170
2010-07-08,6.52,6.61,6.52,6.61,113150
2010-07-09,6.52,6.61,6.52,6.56,42770
2010-07-12,6.47,6.61,6.47,6.56,20200
2010-07-13,6.61,6.61,6.47,6.56,113420
2010-07-14,6.56,6.56,6.52,6.56,104560
2010-07-15,6.47,6.56,6.47,6.56,29020
2010-07-16,6.56,6.56,6.52,6.56,61950
2010-07-19,6.42,6.56,6.42,6.52,38580
2010-07-20,6.52,6.66,6.52,6.66,141730
2010-07-21,6.66,6.66,6.47,6.52,32960
2010-07-22,6.56,6.56,6.47,6.47,25350
2010-07-23,6.42,6.52,6.32,6.32,141970
2010-07-26,6.32,6.37,6.32,6.32,30360
2010-07-27,6.42,6.42,6.27,6.27,116250
2010-07-28,6.23,6.23,6.03,6.03,62820
2010-07-29,6.32,6.32,6.08,6.08,69040
2010-07-30,6.23,6.23,6.03,6.18,6040
2010-08-02,6.23,6.23,6.08,6.08,19240
2010-08-03,6.08,6.23,6.03,6.08,71670
2010-08-04,5.99,6.03,5.89,5.89,37180
2010-08-05,5.89,5.89,5.7,5.74,99440
2010-08-06,5.65,5.74,5.6,5.7,51060
2010-08-09,5.5,5.6,5.45,5.55,153850
2010-08-10,5.55,5.6,5.31,5.5,242950
2010-08-11,5.45,5.5,5.31,5.31,274560
2010-08-12,5.31,5.36,5.21,5.31,423620
2010-08-13,5.26,5.55,5.26,5.55,89660
2010-08-16,5.7,5.79,5.7,5.79,91080
2010-08-17,6.03,6.08,5.79,6.08,267390
2010-08-18,6.23,6.23,6.03,6.08,81780
2010-08-19,6.08,6.08,5.79,5.84,52640
2010-08-20,5.84,5.84,5.55,5.74,53820
2010-08-23,5.6,5.65,5.55,5.65,28050
2010-08-24,5.45,5.5,5.41,5.41,95330
2010-08-25,5.26,5.31,5.26,5.31,40870
2010-08-26,5.5,5.5,5.31,5.41,61140
2010-08-27,5.26,5.5,5.26,5.5,50850
2010-08-30,5.7,5.74,5.65,5.74,58060
2010-08-31,5.89,5.94,5.84,5.89,109600
2010-09-01,5.89,5.89,5.7,5.79,69960
2010-09-06,5.79,5.89,5.74,5.74,73140
2010-09-07,5.74,5.84,5.74,5.79,112020
2010-09-08,5.7,5.74,5.65,5.74,48910
2010-09-09,5.74,5.84,5.74,5.74,39970
2010-09-10,5.7,5.74,5.6,5.6,45560
2010-09-13,5.5,5.65,5.5,5.5,39920
2010-09-14,5.5,5.65,5.5,5.5,71350
2010-09-15,5.5,5.6,5.5,5.5,40560
2010-09-16,5.5,5.55,5.5,5.5,24650
2010-09-17,5.5,5.65,5.5,5.65,85200
2010-09-20,5.6,5.65,5.55,5.6,20850
2010-09-21,5.65,5.65,5.55,5.55,15380
2010-09-22,5.6,5.65,5.5,5.5,26560
2010-09-23,5.5,5.6,5.5,5.5,28620
2010-09-24,5.5,5.6,5.5,5.5,32300
2010-09-27,5.41,5.55,5.41,5.5,15950
2010-09-28,5.5,5.55,5.5,5.55,67370
