time,open,high,low,close,volume
2011-11-03,3.41,4.26,3.41,3.87,11120
2011-11-04,3.69,3.69,3.69,3.69,100
2011-11-07,3.51,3.51,3.51,3.51,200
2011-11-08,3.37,3.37,3.37,3.37,100
2011-11-09,3.37,3.37,3.37,3.37,0
2011-11-10,3.23,3.23,3.23,3.23,120
2011-11-11,3.12,3.12,3.12,3.12,100
2011-11-14,2.98,3.26,2.98,3.16,2800
2011-11-15,3.05,3.05,3.02,3.02,1700
2011-11-16,2.94,2.94,2.87,2.87,2030
2011-11-17,2.73,3.02,2.73,3.02,1320
2011-11-18,2.98,3.12,2.87,3.12,560
2011-11-21,3.12,3.23,3.09,3.23,40
2011-11-22,3.09,3.09,3.09,3.09,30
2011-11-23,3.23,3.23,2.98,3.02,3080
2011-11-24,3.12,3.12,3.12,3.12,20
2011-11-25,3.19,3.19,2.98,3.19,270
2011-11-28,3.09,3.23,3.09,3.23,20
2011-11-29,3.09,3.09,3.09,3.09,10
2011-11-30,3.09,3.09,3.09,3.09,0
2011-12-01,3.09,3.09,3.09,3.09,0
2011-12-02,2.94,2.94,2.94,2.94,20
2011-12-05,2.84,2.91,2.84,2.87,960
2011-12-06,2.77,2.91,2.77,2.84,2580
2011-12-07,2.84,2.84,2.7,2.7,15860
2011-12-08,2.8,2.8,2.8,2.8,14280
2011-12-09,2.84,2.84,2.8,2.8,2930
2011-12-12,2.84,2.84,2.73,2.73,620
2011-12-13,2.73,2.84,2.7,2.73,4100
2011-12-14,2.8,2.84,2.73,2.73,30
2011-12-15,2.7,2.73,2.7,2.73,3280
2011-12-16,2.77,2.77,2.77,2.77,1000
2011-12-19,2.77,2.77,2.73,2.73,2860
2011-12-20,2.73,2.77,2.73,2.73,1760
2011-12-21,2.73,2.73,2.73,2.73,980
2011-12-22,2.66,2.7,2.63,2.66,6660
2011-12-23,2.63,2.66,2.59,2.66,1190
2011-12-26,2.66,2.66,2.66,2.66,10
2011-12-27,2.66,2.77,2.55,2.77,3500
2011-12-28,2.66,2.7,2.66,2.66,2050
2011-12-29,2.59,2.59,2.59,2.59,1000
2011-12-30,2.7,2.7,2.52,2.7,80
2012-01-03,2.63,2.63,2.63,2.63,800
2012-01-04,2.63,2.66,2.63,2.66,310
2012-01-05,2.7,2.7,2.7,2.7,10
2012-01-06,2.7,2.7,2.7,2.7,0
2012-01-09,2.66,2.66,2.66,2.66,1000
2012-01-10,2.66,2.66,2.66,2.66,5800
2012-01-11,2.66,2.66,2.66,2.66,1040
2012-01-12,2.63,2.66,2.63,2.66,1210
2012-01-13,2.63,2.66,2.63,2.66,1210
2012-01-16,2.63,2.66,2.55,2.55,3620
2012-01-17,2.45,2.48,2.45,2.45,16100
2012-01-18,2.55,2.55,2.55,2.55,200
2012-01-19,2.59,2.59,2.48,2.48,1220
2012-01-20,2.59,2.59,2.59,2.59,10
2012-01-30,2.7,2.7,2.7,2.7,2490
2012-01-31,2.8,2.8,2.8,2.8,10
2012-02-01,2.91,2.91,2.91,2.91,5980
2012-02-02,3.05,3.05,3.05,3.05,10
2012-02-03,3.19,3.19,3.12,3.12,24340
2012-02-06,3.16,3.26,3.12,3.23,10240
2012-02-07,3.34,3.34,3.23,3.26,2550
2012-02-08,3.3,3.34,3.3,3.34,6320
2012-02-09,3.41,3.41,3.3,3.37,4900
2012-02-10,3.37,3.37,3.23,3.23,1330
2012-02-13,3.3,3.3,3.19,3.19,1010
2012-02-14,3.3,3.34,3.26,3.34,4610
2012-02-15,3.41,3.41,3.26,3.26,590
2012-02-16,3.3,3.3,3.19,3.19,1780
2012-02-17,3.34,3.34,3.3,3.3,5480
2012-02-20,3.41,3.44,3.41,3.41,34760
2012-02-21,3.44,3.44,3.37,3.44,11310
2012-02-22,3.51,3.58,3.41,3.58,23630
2012-02-23,3.76,3.76,3.76,3.76,20
2012-02-24,3.94,3.94,3.94,3.94,10120
2012-02-27,4.12,4.12,4.12,4.12,1290
2012-02-28,4.29,4.29,4.26,4.29,557190
2012-02-29,4.44,4.51,4.29,4.51,56360
2012-03-01,4.72,4.72,4.72,4.72,31330
2012-03-02,4.93,4.93,4.72,4.9,14670
2012-03-05,4.75,5.11,4.75,5.11,234910
2012-03-06,5.29,5.29,4.86,4.86,83900
2012-03-07,4.79,4.79,4.65,4.75,77220
2012-03-08,4.58,4.72,4.54,4.54,51790
2012-03-09,4.44,4.51,4.33,4.51,37640
2012-03-12,4.47,4.65,4.44,4.51,41380
2012-03-13,4.51,4.61,4.51,4.61,10910
2012-03-14,4.65,4.65,4.44,4.47,16850
2012-03-15,4.47,4.68,4.4,4.61,17410
2012-03-16,4.72,4.79,4.61,4.72,44390
2012-03-19,4.58,4.79,4.58,4.58,28260
2012-03-20,4.58,4.72,4.58,4.72,20670
2012-03-21,4.58,4.86,4.58,4.72,47000
2012-03-22,4.65,4.79,4.65,4.68,33260
2012-03-23,4.65,4.79,4.65,4.79,33260
2012-03-26,4.72,4.83,4.68,4.79,31980
2012-03-27,4.79,4.79,4.58,4.58,30770
2012-03-28,4.58,4.58,4.36,4.58,19540
2012-03-29,4.54,4.54,4.36,4.51,22390
2012-03-30,4.47,4.47,4.29,4.29,14240
2012-04-03,4.26,4.4,4.26,4.36,9430
2012-04-04,4.36,4.44,4.26,4.4,12570
2012-04-05,4.4,4.47,4.36,4.47,22570
2012-04-06,4.47,4.47,4.44,4.44,12340
2012-04-09,4.44,4.58,4.44,4.54,10460
2012-04-10,4.54,4.61,4.54,4.61,29650
2012-04-11,4.65,4.79,4.61,4.79,40650
2012-04-12,4.83,5.0,4.79,5.0,63860
2012-04-13,4.93,5.0,4.86,4.93,36950
2012-04-16,4.93,5.04,4.9,5.0,41490
2012-04-17,5.0,5.0,4.93,4.97,47850
2012-04-18,4.97,5.0,4.9,4.9,50240
2012-04-19,4.9,4.9,4.72,4.86,17950
2012-04-20,4.79,4.86,4.79,4.79,14600
2012-04-23,4.9,4.9,4.58,4.58,78120
2012-04-24,4.47,4.61,4.4,4.61,13950
2012-04-25,4.61,4.75,4.44,4.75,92520
2012-04-26,4.79,4.79,4.61,4.72,31760
2012-04-27,4.61,4.72,4.58,4.68,12670
2012-05-02,4.61,4.75,4.58,4.68,25300
2012-05-03,4.61,4.72,4.54,4.68,28970
2012-05-04,4.72,4.86,4.68,4.86,26570
2012-05-07,5.07,5.07,4.97,5.07,124500
2012-05-08,5.18,5.32,5.07,5.18,72250
2012-05-09,5.11,5.43,5.11,5.43,117390
2012-05-10,5.68,5.68,5.5,5.68,214550
2012-05-11,5.68,5.68,5.39,5.39,81050
2012-05-14,5.39,5.39,5.14,5.14,27340
2012-05-15,5.25,5.25,4.9,5.11,27560
2012-05-16,5.0,5.18,4.86,5.04,15130
2012-05-17,5.04,5.04,4.79,4.79,36110
2012-05-18,4.68,4.79,4.58,4.61,44000
2012-05-21,4.54,4.79,4.54,4.79,18980
2012-05-22,4.9,4.93,4.72,4.79,15300
2012-05-23,4.75,4.75,4.65,4.68,4500
2012-05-24,4.79,4.79,4.61,4.65,11500
2012-05-25,4.86,4.86,4.68,4.86,30540
2012-05-28,4.86,4.97,4.68,4.68,12810
2012-05-29,4.68,4.72,4.58,4.72,11520
2012-05-30,4.65,4.72,4.58,4.65,6570
2012-05-31,4.75,4.75,4.61,4.72,5100
2012-06-01,4.65,4.68,4.65,4.65,10700
2012-06-04,4.79,4.79,4.44,4.44,34230
2012-06-05,4.54,4.54,4.47,4.51,10260
2012-06-06,4.54,4.61,4.54,4.61,9770
2012-06-07,4.68,4.68,4.68,4.68,1200
2012-06-08,4.68,4.72,4.54,4.68,3050
2012-06-11,4.72,4.72,4.58,4.58,32150
2012-06-12,4.58,4.68,4.58,4.58,11970
2012-06-13,4.65,4.68,4.61,4.68,5990
2012-06-14,4.68,4.75,4.61,4.68,2370
2012-06-15,4.68,4.86,4.68,4.83,2620
2012-06-18,4.68,4.86,4.68,4.72,7790
2012-06-19,4.65,4.65,4.61,4.65,2700
2012-06-20,4.79,4.79,4.61,4.72,730
2012-06-21,4.68,4.79,4.68,4.72,6430
2012-06-22,4.65,4.68,4.51,4.51,9880
2012-06-25,4.72,4.72,4.4,4.4,12280
2012-06-26,4.44,4.44,4.29,4.4,12470
2012-06-27,4.4,4.47,4.4,4.47,14780
2012-06-28,4.54,4.54,4.47,4.47,200
2012-06-29,4.58,4.68,4.47,4.68,12990
2012-07-02,4.61,4.68,4.54,4.68,9750
2012-07-03,4.68,4.68,4.47,4.47,6660
2012-07-04,4.65,4.68,4.61,4.61,44570
2012-07-05,4.61,4.61,4.54,4.58,20960
2012-07-06,4.58,4.61,4.58,4.58,11840
2012-07-09,4.58,4.61,4.36,4.36,18620
2012-07-10,4.15,4.45,4.15,4.45,6720
2012-07-11,4.45,4.45,4.24,4.32,13880
2012-07-12,4.32,4.32,4.11,4.15,5390
2012-07-13,4.32,4.32,4.07,4.32,6330
2012-07-16,4.32,4.32,4.11,4.11,6020
2012-07-17,4.24,4.28,4.24,4.28,1060
2012-07-18,4.32,4.32,4.15,4.15,5020
2012-07-19,4.24,4.32,4.03,4.32,2850
2012-07-20,4.19,4.32,4.15,4.32,8650
2012-07-23,4.32,4.32,4.24,4.24,11130
2012-07-24,4.24,4.24,4.07,4.07,310
2012-07-25,4.15,4.19,4.07,4.19,580
2012-07-26,4.19,4.19,4.15,4.15,30
2012-07-27,4.19,4.19,4.03,4.03,440
2012-07-30,4.03,4.19,4.03,4.19,30
2012-07-31,4.19,4.19,4.03,4.15,1640
2012-08-01,4.15,4.19,4.03,4.03,1410
2012-08-02,4.11,4.11,4.03,4.07,7540
2012-08-03,4.07,4.11,3.9,3.9,1820
2012-08-06,4.03,4.07,4.03,4.07,1330
2012-08-07,4.19,4.19,3.98,3.98,430
