time,open,high,low,close,volume
2010-01-04,11.05,11.34,11.05,11.34,44000
2010-01-05,11.98,11.98,11.63,11.98,50100
2010-01-06,11.63,12.21,11.63,11.98,20900
2010-01-07,12.85,12.85,12.85,12.85,18100
2010-01-08,13.73,13.73,12.21,12.27,77900
2010-01-11,12.33,12.45,12.33,12.33,17800
2010-01-12,11.57,12.21,11.52,11.52,12700
2010-01-13,10.76,11.52,10.76,11.52,35300
2010-01-14,11.69,11.69,11.05,11.05,1200
2010-01-15,12.1,12.1,11.05,11.17,6100
2010-01-18,10.7,10.7,10.7,10.7,1000
2010-01-19,10.7,10.82,10.7,10.7,3500
2010-01-20,10.12,10.3,10.12,10.24,7500
2010-01-21,9.6,9.66,9.54,9.66,8200
2010-01-22,9.31,9.89,9.31,9.83,7900
2010-01-25,10.35,10.35,10.35,10.35,200
2010-01-26,11.05,11.05,10.99,11.05,18100
2010-01-27,11.4,11.4,10.3,10.35,10100
2010-01-28,10.06,10.12,10.06,10.06,40100
2010-01-29,10.06,10.18,10.06,10.18,2600
2010-02-01,9.48,10.47,9.48,10.47,200
2010-02-02,9.89,10.12,9.89,10.06,15500
2010-02-03,9.89,10.0,9.89,10.0,9700
2010-02-04,10.06,10.53,10.06,10.53,16600
2010-02-05,10.0,10.18,9.89,10.18,5200
2010-02-08,10.47,10.47,9.89,9.89,2100
2010-02-09,9.95,9.95,9.95,9.95,3400
2010-02-10,10.0,10.0,10.0,10.0,1500
2010-02-11,10.18,10.18,10.18,10.18,900
2010-02-12,10.18,10.18,10.18,10.18,0
2010-02-22,10.47,10.47,10.47,10.47,1200
2010-02-23,10.18,10.18,10.18,10.18,1000
2010-02-24,9.95,10.3,9.95,10.3,200
2010-02-25,9.95,10.82,9.95,10.82,5900
2010-02-26,10.76,10.76,10.24,10.47,11800
2010-03-01,10.0,10.47,10.0,10.47,4200
2010-03-02,10.99,10.99,10.41,10.76,4500
2010-03-03,10.76,10.88,10.76,10.88,2300
2010-03-04,10.76,11.46,10.76,10.76,8200
2010-03-05,11.11,11.17,10.47,11.17,11300
2010-03-08,11.75,11.75,11.57,11.75,37300
2010-03-09,12.56,12.56,11.34,12.1,10400
2010-03-10,12.56,12.56,11.4,11.4,5100
2010-03-11,11.34,11.4,11.34,11.4,5100
2010-03-12,11.98,11.98,11.34,11.92,3600
