time,open,high,low,close,volume
2010-01-04,6.96,6.96,6.84,6.84,6260
2010-01-05,6.59,6.8,6.59,6.59,2930
2010-01-06,6.72,6.72,6.35,6.35,2780
2010-01-07,6.55,6.55,6.23,6.23,1110
2010-01-08,6.23,6.27,6.23,6.23,12010
2010-01-11,6.47,6.47,6.27,6.27,420
2010-01-12,6.27,6.27,6.11,6.11,4190
2010-01-13,6.11,6.19,6.11,6.11,7800
2010-01-14,6.11,6.27,6.11,6.27,1380
2010-01-15,6.23,6.23,6.23,6.23,1200
2010-01-18,6.11,6.11,6.11,6.11,2490
2010-01-19,5.94,6.11,5.86,5.86,31170
2010-01-20,5.82,5.94,5.58,5.58,32340
2010-01-21,5.58,5.58,5.37,5.37,15380
2010-01-22,5.33,5.37,5.21,5.21,13180
2010-01-25,5.45,5.45,5.29,5.29,3850
2010-01-26,5.29,5.54,5.29,5.45,38460
2010-01-27,5.45,5.54,5.37,5.37,4810
2010-01-28,5.29,5.54,5.29,5.37,6040
2010-01-29,5.21,5.54,5.21,5.29,12640
2010-02-01,5.21,5.29,5.21,5.21,7660
2010-02-02,5.21,5.45,5.21,5.29,9190
2010-02-03,5.29,5.54,5.29,5.54,19790
2010-02-04,5.74,5.74,5.62,5.62,43490
2010-02-05,5.62,5.74,5.62,5.62,21900
2010-02-08,5.66,5.66,5.37,5.37,16090
2010-02-09,5.21,5.33,5.21,5.21,32850
2010-02-10,5.25,5.45,5.25,5.45,40310
2010-02-11,5.29,5.54,5.29,5.54,21400
2010-02-12,5.45,5.66,5.45,5.54,21390
2010-02-22,5.54,5.66,5.54,5.62,25120
2010-02-23,5.62,5.66,5.62,5.62,65620
2010-02-24,5.62,5.66,5.62,5.62,24620
2010-02-25,5.62,5.62,5.58,5.62,52400
2010-02-26,5.7,5.7,5.7,5.7,150
2010-03-01,5.78,5.78,5.7,5.7,2920
2010-03-02,5.66,5.7,5.54,5.66,1570
2010-03-03,5.7,5.7,5.54,5.7,360
2010-03-04,5.7,5.74,5.7,5.74,10620
2010-03-05,5.7,5.74,5.7,5.7,8150
2010-03-08,5.78,5.78,5.74,5.74,2380
2010-03-09,5.78,5.9,5.74,5.9,27900
2010-03-10,5.98,5.98,5.7,5.7,6670
2010-03-11,5.9,5.9,5.54,5.86,40110
2010-03-12,5.86,5.86,5.86,5.86,1300
2010-03-15,5.78,5.78,5.78,5.78,1690
