time,open,high,low,close,volume
2010-05-19,0.0,0.0,0.0,0.0,0
2010-05-20,0.0,0.0,0.0,0.0,0
2010-05-21,0.0,0.0,0.0,0.0,0
2010-05-25,0.0,0.0,0.0,0.0,0
2010-05-26,0.0,0.0,0.0,0.0,0
2010-05-27,0.0,0.0,0.0,0.0,0
2010-05-28,0.0,0.0,0.0,0.0,0
2010-05-31,11.26,11.26,11.26,11.26,100
2010-06-01,11.26,11.26,11.26,11.26,0
2010-06-02,11.26,11.26,11.26,11.26,0
2010-06-03,11.37,11.37,11.37,11.37,900
2010-06-07,11.37,11.37,11.37,11.37,0
2010-06-08,11.37,11.37,11.37,11.37,0
2010-06-10,11.37,11.37,11.37,11.37,0
2010-06-14,11.37,11.37,11.37,11.37,0
2010-06-15,11.37,11.37,11.37,11.37,0
2010-06-16,11.37,0.0,0.0,0.0,0
2010-06-17,11.37,11.37,11.37,11.37,0
2010-06-18,11.37,11.37,11.37,11.37,0
2010-06-21,11.37,11.37,11.37,11.37,0
2010-06-22,11.37,11.37,11.37,11.37,0
2010-06-24,11.37,11.37,11.37,11.37,0
2010-06-25,12.26,12.26,12.26,12.26,2900
2010-06-28,12.26,12.26,12.26,12.26,0
2010-06-29,12.26,12.26,12.26,12.26,0
2010-06-30,12.26,12.26,12.26,12.26,0
2010-07-01,12.26,12.26,12.26,12.26,0
2010-07-02,11.7,11.7,11.7,11.7,350
2010-07-05,11.7,11.7,11.7,11.7,0
2010-07-06,10.59,10.59,10.53,10.53,2300
2010-07-07,9.59,9.59,9.59,9.59,500
2010-07-08,8.64,10.53,8.64,10.53,1630
2010-07-09,9.7,10.53,10.53,10.53,0
2010-07-12,8.75,10.64,8.75,10.64,520
2010-07-13,9.59,9.59,9.59,9.59,500
2010-07-14,8.64,10.53,8.64,10.53,230
2010-07-15,11.2,11.2,11.2,11.2,1000
2010-07-19,9.14,9.14,9.14,9.14,900
2010-07-20,8.41,8.41,8.41,8.41,100
2010-07-21,8.41,8.41,8.41,8.41,0
2010-07-22,8.41,8.41,8.41,8.41,0
2010-07-23,8.41,8.41,8.41,8.41,0
2010-07-26,8.41,8.41,8.41,8.41,0
2010-07-27,8.41,8.41,8.41,8.41,0
2010-07-28,8.41,8.41,8.41,8.41,0
2010-07-29,8.41,8.41,8.41,8.41,0
2010-07-30,8.41,0.0,0.0,0.0,0
2010-08-02,9.25,9.25,9.25,9.25,100
2010-08-04,9.98,9.98,9.98,9.98,0
2010-08-05,9.98,0.0,0.0,0.0,0
2010-08-06,10.92,10.92,10.92,10.92,100
2010-08-09,10.92,10.92,10.92,10.92,0
2010-08-10,11.93,11.93,11.93,11.93,100
2010-08-11,11.93,11.93,11.93,11.93,0
2010-08-12,13.1,13.1,13.1,13.1,100
2010-08-13,13.1,13.1,13.1,13.1,0
2010-08-16,14.21,14.21,14.21,14.21,100
2010-08-17,14.21,14.21,14.21,14.21,0
2010-08-18,14.21,14.21,14.21,14.21,0
2010-08-19,14.21,14.21,14.21,14.21,0
2010-08-20,14.21,14.21,14.21,14.21,0
2010-08-23,14.21,14.21,14.21,14.21,0
2010-08-25,14.21,14.21,14.21,14.21,0
2010-08-26,14.21,14.21,14.21,14.21,0
2010-08-27,14.21,14.21,14.21,14.21,0
2010-08-30,14.21,14.21,14.21,14.21,0
2010-08-31,14.21,14.21,14.21,14.21,0
2010-09-01,14.21,14.21,14.21,14.21,0
2010-09-06,14.21,14.21,14.21,14.21,0
2010-09-07,14.21,14.21,14.21,14.21,0
2010-09-08,14.21,14.21,14.21,14.21,0
2010-09-09,14.21,14.21,14.21,14.21,0
2010-09-10,14.21,14.21,14.21,14.21,0
2010-09-13,14.21,14.21,14.21,14.21,0
2010-09-14,14.21,14.21,14.21,14.21,0
2010-09-15,14.21,14.21,14.21,14.21,0
2010-09-16,12.82,12.82,12.82,12.82,100
