time,open,high,low,close,volume
2015-06-29,5.15,0.0,0.0,0.0,0
2015-06-30,5.15,0.0,0.0,0.0,0
2015-07-01,5.15,0.0,0.0,0.0,0
2015-07-02,5.15,0.0,0.0,0.0,0
2015-07-03,5.15,0.0,0.0,0.0,0
2015-07-06,5.15,0.0,0.0,0.0,0
2015-07-07,5.15,0.0,0.0,0.0,0
2015-07-08,5.15,0.0,0.0,0.0,0
2015-07-09,5.15,0.0,0.0,0.0,0
2015-07-10,5.15,0.0,0.0,0.0,0
2015-07-13,5.15,0.0,0.0,0.0,0
2015-07-14,5.15,0.0,0.0,0.0,0
2015-07-15,5.15,0.0,0.0,0.0,0
2015-07-16,5.15,0.0,0.0,0.0,0
2015-07-17,5.15,0.0,0.0,0.0,0
2015-07-20,5.15,0.0,0.0,0.0,0
2015-07-21,5.15,0.0,0.0,0.0,0
2015-07-22,5.15,0.0,0.0,0.0,0
2015-07-23,5.15,0.0,0.0,0.0,0
2015-07-24,5.15,0.0,0.0,0.0,0
2015-07-27,5.15,0.0,0.0,0.0,0
2015-07-28,5.15,0.0,0.0,0.0,0
2015-07-29,5.15,0.0,0.0,0.0,0
2015-07-30,5.15,0.0,0.0,0.0,0
2015-07-31,5.15,0.0,0.0,0.0,0
2015-08-03,5.15,0.0,0.0,0.0,0
2015-08-04,5.15,0.0,0.0,0.0,0
2015-08-05,5.15,0.0,0.0,0.0,0
2015-08-06,5.15,0.0,0.0,0.0,0
2015-08-07,5.15,0.0,0.0,0.0,0
2015-08-10,5.15,5.15,5.15,5.15,5000
2015-08-11,5.15,5.15,5.15,5.15,0
2015-08-12,5.15,5.15,5.15,5.15,0
2015-08-13,5.15,5.15,5.15,5.15,0
2015-08-14,5.15,5.15,5.15,5.15,0
2015-08-17,5.15,5.15,5.15,5.15,0
2015-08-18,5.15,5.15,5.15,5.15,0
2015-08-19,5.15,5.15,5.15,5.15,0
2015-08-20,5.15,5.15,5.15,5.15,0
2015-08-21,5.15,5.15,5.15,5.15,0
2015-08-24,5.15,5.15,5.15,5.15,0
2015-08-25,5.15,5.15,5.15,5.15,0
2015-08-26,5.15,5.15,5.15,5.15,0
2015-08-27,5.15,5.15,5.15,5.15,0
2015-08-28,5.15,5.15,5.15,5.15,0
2015-08-31,5.15,5.15,5.15,5.15,0
2015-09-01,5.15,5.15,5.15,5.15,0
2015-09-03,5.15,5.15,5.15,5.15,0
2015-09-04,5.15,5.15,5.15,5.15,0
2015-09-07,4.55,4.55,4.55,4.55,5000
2015-09-08,4.55,4.55,4.55,4.55,0
2015-09-09,5.24,5.24,5.24,5.24,5000
2015-09-10,5.24,5.24,5.24,5.24,10000
2015-09-11,5.24,5.24,5.24,5.24,0
2015-09-14,5.24,5.24,5.24,5.24,0
2015-09-15,5.24,5.24,5.24,5.24,0
2015-09-16,5.24,5.24,5.24,5.24,0
2015-09-17,5.24,5.24,5.24,5.24,0
2015-09-18,5.24,5.24,5.24,5.24,0
2015-09-21,5.24,5.24,5.24,5.24,0
2015-09-22,5.24,5.24,5.24,5.24,0
2015-09-23,5.24,5.24,5.24,5.24,0
2015-09-24,5.24,5.24,5.24,5.24,0
2015-09-25,5.24,5.24,5.24,5.24,0
2015-09-28,5.24,5.24,5.24,5.24,0
2015-09-29,5.24,5.24,5.24,5.24,0
2015-09-30,5.24,5.24,5.24,5.24,0
2015-10-01,5.24,5.24,5.24,5.24,0
2015-10-02,5.24,5.24,5.24,5.24,4300
2015-10-05,5.24,5.24,5.1,5.1,7000
2015-10-06,5.24,5.24,5.24,5.24,100
2015-10-07,5.24,5.24,5.24,5.24,0
2015-10-08,5.01,5.24,4.78,5.24,19000
2015-10-09,5.1,5.1,5.1,5.1,4000
2015-10-12,5.1,5.1,5.01,5.01,6000
2015-10-13,5.06,5.06,5.06,5.06,17000
2015-10-14,5.1,5.28,5.1,5.24,48500
2015-10-15,5.19,5.24,5.19,5.24,6500
