time,open,high,low,close,volume
2010-01-04,15.69,16.04,15.52,16.04,842640
2010-01-05,16.83,16.83,16.08,16.83,1170200
2010-01-06,16.83,17.48,16.43,17.26,1999240
2010-01-07,17.35,18.09,16.96,17.39,1990430
2010-01-08,17.92,17.92,16.56,16.56,1291740
2010-01-11,16.61,16.61,15.95,16.17,954890
2010-01-12,15.73,16.3,15.38,15.38,1203760
2010-01-13,15.3,16.13,14.64,16.13,1328790
2010-01-14,16.35,16.43,15.95,16.13,626390
2010-01-15,15.95,16.08,15.52,15.6,549460
2010-01-18,15.3,15.3,14.86,14.86,754430
2010-01-19,14.86,15.38,14.86,15.08,663370
2010-01-20,15.3,15.38,14.77,14.77,518150
2010-01-21,14.42,14.82,14.07,14.07,682750
2010-01-22,14.07,14.34,13.85,13.99,489170
2010-01-25,13.99,14.25,13.9,14.25,399960
2010-01-26,14.86,14.95,14.86,14.95,413890
2010-01-27,14.86,15.21,14.42,14.42,551170
2010-01-28,14.42,14.42,14.03,14.07,285060
2010-01-29,14.07,14.42,13.85,14.42,601910
2010-02-01,14.47,14.64,14.42,14.47,254340
2010-02-02,14.47,14.6,14.38,14.42,331300
2010-02-03,14.42,14.55,14.38,14.42,323480
2010-02-04,14.42,14.95,14.38,14.86,543440
2010-02-05,14.51,14.86,14.2,14.34,468510
2010-02-08,14.34,14.34,14.07,14.12,274170
2010-02-09,13.99,14.12,13.81,13.85,359210
2010-02-10,13.85,14.2,13.85,14.03,168530
2010-02-11,13.99,14.2,13.99,14.2,249820
2010-02-12,14.42,14.6,14.34,14.47,291580
2010-02-22,14.77,14.77,14.55,14.68,359050
2010-02-23,14.68,14.68,14.16,14.16,332390
2010-02-24,14.03,14.16,13.99,14.12,380460
2010-02-25,14.29,14.38,13.99,14.03,665190
2010-02-26,14.03,14.2,13.94,13.94,688260
2010-03-01,14.12,14.2,13.99,14.2,577700
2010-03-02,14.29,14.51,14.16,14.25,555800
2010-03-03,14.42,14.95,14.34,14.95,1115720
2010-03-04,15.3,15.69,15.21,15.25,1392010
2010-03-05,15.25,15.52,15.08,15.3,803050
2010-03-08,15.56,15.95,15.38,15.69,827920
2010-03-09,15.6,15.86,15.47,15.69,1040230
2010-03-10,15.6,15.73,15.38,15.52,909490
2010-03-11,15.52,16.08,15.43,15.95,1386760
2010-03-12,16.13,16.74,16.0,16.74,2725880
2010-03-15,17.57,17.57,17.04,17.18,2757110
2010-03-16,16.74,16.91,16.35,16.35,1995140
2010-03-17,16.43,16.56,15.86,15.95,1373010
2010-03-18,16.17,16.61,15.91,16.61,1633540
2010-03-19,16.61,16.74,16.43,16.61,1400280
2010-03-22,16.61,16.7,16.21,16.21,1019150
2010-03-23,16.21,16.3,15.91,15.95,661320
2010-03-24,16.17,16.39,16.04,16.39,844980
2010-03-25,16.17,16.21,15.78,15.91,941790
2010-03-26,16.04,16.04,15.56,15.86,740050
2010-03-29,16.13,16.43,15.86,16.17,1073960
2010-03-30,16.17,16.21,15.73,15.73,935530
2010-03-31,15.86,16.08,15.6,15.69,614600
2010-04-01,15.73,16.17,15.69,16.17,832130
2010-04-02,16.26,16.43,16.08,16.13,793860
2010-04-05,16.17,16.39,16.13,16.17,492070
2010-04-06,16.3,16.3,16.08,16.13,932480
2010-04-07,16.26,16.3,16.04,16.13,691940
2010-04-08,16.17,16.26,16.08,16.17,727190
2010-04-09,16.26,16.96,16.26,16.7,2663270
2010-04-12,16.91,16.91,16.48,16.52,980850
2010-04-13,16.48,16.7,16.21,16.21,776280
2010-04-14,16.39,16.48,16.21,16.26,578410
2010-04-15,16.39,16.39,16.26,16.26,849470
2010-04-16,16.52,16.52,16.17,16.17,981020
2010-04-19,16.17,16.17,16.04,16.04,476050
2010-04-20,16.08,16.17,15.82,15.82,640240
2010-04-21,16.08,16.08,15.91,15.91,484150
2010-04-22,16.26,16.7,16.13,16.7,2486700
2010-04-26,16.7,17.04,16.52,16.52,1115890
2010-04-27,16.52,16.56,16.43,16.52,748100
2010-04-28,16.43,16.52,16.35,16.48,582150
2010-04-29,16.61,16.61,16.39,16.39,1172220
2010-05-04,16.61,16.7,16.39,16.7,1472230
2010-05-05,16.56,16.61,16.39,16.39,653690
2010-05-06,16.43,16.48,16.26,16.3,781230
2010-05-07,16.08,16.21,15.69,16.04,1308040
2010-05-10,15.95,15.95,15.52,15.69,950950
2010-05-11,16.08,16.08,15.73,15.78,730250
