time,open,high,low,close,volume
2010-01-04,8.64,8.9,8.64,8.9,80470
2010-01-05,9.23,9.29,8.84,8.97,83000
2010-01-06,8.71,8.97,8.58,8.71,99590
2010-01-07,8.71,8.9,8.64,8.84,99480
2010-01-08,9.03,9.03,8.45,8.45,83420
2010-01-11,8.45,8.45,8.25,8.32,62640
2010-01-12,8.25,8.32,7.99,7.99,96380
2010-01-13,7.86,8.32,7.67,8.32,40520
2010-01-14,8.32,8.45,8.32,8.32,41460
2010-01-15,8.32,8.32,7.99,8.12,32410
2010-01-18,8.12,8.12,7.73,7.73,75230
2010-01-19,7.73,7.93,7.67,7.8,23250
2010-01-20,7.93,7.99,7.67,7.93,41550
2010-01-21,7.6,7.8,7.54,7.54,47320
2010-01-22,7.54,7.54,7.28,7.34,19960
2010-01-25,7.54,7.54,7.21,7.54,17480
2010-01-26,7.73,7.86,7.6,7.86,50080
2010-01-27,7.54,7.86,7.54,7.86,17130
2010-01-28,7.86,7.86,7.47,7.73,17230
2010-01-29,7.8,7.8,7.47,7.8,10150
2010-02-01,7.93,8.06,7.8,7.93,65670
2010-02-02,8.32,8.32,8.19,8.32,147430
2010-02-03,8.64,8.64,8.32,8.58,143480
2010-02-04,8.32,8.58,8.25,8.32,79550
2010-02-05,8.12,8.38,7.99,8.06,168170
2010-02-08,8.06,8.32,7.73,8.06,64550
2010-02-09,7.86,7.93,7.8,7.86,52210
2010-02-10,7.86,8.06,7.86,8.06,4640
2010-02-11,7.93,8.12,7.8,7.86,87990
2010-02-12,8.06,8.06,7.86,7.99,30580
2010-02-22,8.19,8.19,7.86,7.86,26140
2010-02-23,7.86,7.86,7.47,7.6,88640
2010-02-24,7.6,7.6,7.54,7.6,71660
2010-02-25,7.67,7.73,7.6,7.6,17770
2010-02-26,7.6,7.73,7.6,7.73,62530
2010-03-01,7.73,7.99,7.73,7.8,97750
2010-03-02,7.8,7.8,7.73,7.8,61240
2010-03-03,7.86,7.86,7.73,7.86,43780
2010-03-04,7.93,8.06,7.8,7.93,168980
