time,open,high,low,close,volume
2015-01-14,5.54,5.54,4.93,4.93,1300
2015-01-15,5.05,5.05,5.05,5.05,200
2015-01-16,5.11,5.11,5.11,5.11,500
2015-01-19,5.23,5.6,5.23,5.6,1500
2015-01-20,5.6,5.6,5.6,5.6,0
2015-01-21,5.6,5.6,5.6,5.6,0
2015-01-22,4.43,4.43,4.43,4.43,100
2015-01-23,4.86,4.86,4.86,4.86,100
2015-01-26,4.86,4.86,4.86,4.86,0
2015-01-27,4.86,4.86,4.86,4.86,0
2015-01-28,5.3,5.3,5.3,5.3,200
2015-01-29,5.54,5.54,5.54,5.54,500
2015-01-30,5.05,5.05,5.05,5.05,100
2015-02-02,5.05,5.05,5.05,5.05,0
2015-02-03,4.74,4.74,4.74,4.74,100
2015-02-04,4.74,4.74,4.74,4.74,0
2015-02-05,4.74,4.74,4.74,4.74,0
2015-02-06,4.74,4.74,4.74,4.74,0
2015-02-09,4.74,4.74,4.74,4.74,0
2015-02-10,4.62,4.62,4.62,4.62,600
2015-02-11,4.93,4.93,4.93,4.93,200
2015-02-12,4.93,4.93,4.93,4.93,0
2015-02-13,4.93,4.93,4.93,4.93,0
2015-02-24,4.68,4.68,4.68,4.68,100
2015-02-25,4.68,4.68,4.68,4.68,0
2015-02-26,4.93,4.93,4.93,4.93,200
2015-02-27,4.93,4.93,4.93,4.93,300
2015-03-02,4.93,4.93,4.93,4.93,0
2015-03-03,4.93,4.93,4.93,4.93,0
2015-03-04,4.93,4.93,4.93,4.93,500
2015-03-05,5.05,5.05,5.05,5.05,1000
2015-03-06,4.99,4.99,4.99,4.99,1000
2015-03-09,4.99,4.99,4.99,4.99,0
2015-03-10,4.99,4.99,4.99,4.99,0
2015-03-11,4.99,4.99,4.99,4.99,0
2015-03-12,4.8,4.86,4.5,4.5,4900
2015-03-13,4.31,4.68,4.31,4.68,16000
2015-03-16,4.68,4.68,4.31,4.31,30400
2015-03-17,4.43,4.43,4.31,4.37,19300
2015-03-18,4.37,4.37,4.31,4.31,17500
2015-03-19,4.37,4.37,4.31,4.31,12000
2015-03-20,4.31,4.37,4.31,4.31,13900
2015-03-23,4.31,4.31,4.31,4.31,39500
2015-03-24,4.31,4.31,4.31,4.31,5000
2015-03-25,4.31,4.31,4.31,4.31,11500
2015-03-26,4.31,4.31,4.31,4.31,24000
2015-03-27,4.31,4.31,4.31,4.31,0
2015-03-30,4.31,4.31,4.31,4.31,11000
2015-03-31,4.31,4.31,4.31,4.31,60000
2015-04-01,4.31,4.31,4.31,4.31,55000
2015-04-02,4.31,4.37,4.31,4.31,45600
2015-04-03,4.37,4.74,4.31,4.74,11800
2015-04-06,4.43,4.43,4.43,4.43,17000
2015-04-07,4.8,4.8,4.8,4.8,100
2015-04-08,4.43,4.43,4.37,4.37,15000
2015-04-09,4.31,4.5,4.31,4.5,6000
2015-04-10,4.62,4.68,4.62,4.68,300
2015-04-13,4.43,4.43,4.37,4.37,28400
2015-04-14,4.37,4.43,4.37,4.37,25500
2015-04-15,4.56,4.56,4.56,4.56,100
2015-04-16,4.5,4.5,4.25,4.25,42100
2015-04-17,4.37,4.37,4.31,4.37,8300
2015-04-20,4.37,4.37,4.37,4.37,1100
2015-04-21,4.5,4.62,4.5,4.62,14200
2015-04-22,4.62,4.8,4.62,4.74,6600
2015-04-23,4.93,5.05,4.86,5.05,3500
2015-04-24,4.86,4.86,4.86,4.86,2100
2015-04-27,4.86,4.86,4.8,4.8,2500
2015-05-04,4.86,4.86,4.74,4.74,12300
2015-05-05,4.74,4.8,4.74,4.8,2500
2015-05-06,4.74,4.74,4.68,4.68,1100
2015-05-07,4.68,4.68,4.68,4.68,0
2015-05-08,4.62,4.68,4.62,4.68,1500
2015-05-11,4.62,4.68,4.62,4.68,2100
2015-05-12,4.62,4.62,4.62,4.62,10900
2015-05-13,4.62,4.62,4.62,4.62,0
2015-05-14,4.62,4.62,4.62,4.62,0
2015-05-15,4.62,4.62,4.62,4.62,1000
2015-05-18,4.62,4.62,4.62,4.62,2000
2015-05-19,4.62,4.74,4.62,4.74,2200
2015-05-20,4.62,4.62,4.62,4.62,27000
2015-05-21,4.93,4.93,4.93,4.93,100
2015-05-22,4.68,4.8,4.68,4.8,6000
2015-05-25,4.68,4.68,4.68,4.68,2000
2015-05-26,4.93,5.05,4.93,5.05,1700
2015-05-27,4.93,4.93,4.93,4.93,13000
2015-05-28,4.93,4.93,4.93,4.93,8000
2015-05-29,4.93,5.05,4.93,5.05,2100
2015-06-01,5.05,5.05,5.05,5.05,0
2015-06-02,5.05,5.05,5.05,5.05,1000
2015-06-03,4.68,5.05,4.68,5.05,200
2015-06-04,5.05,5.05,5.05,5.05,0
2015-06-05,5.05,5.05,5.05,5.05,0
2015-06-08,4.93,4.93,4.93,4.93,200
2015-06-09,5.05,5.42,5.05,5.42,14300
2015-06-10,5.42,5.42,5.42,5.42,0
2015-06-11,4.99,5.54,4.99,5.54,200
2015-06-12,5.54,5.54,5.54,5.54,100
2015-06-15,5.54,5.54,5.54,5.54,0
2015-06-16,5.05,5.05,5.05,5.05,100
2015-06-17,5.05,5.05,5.05,5.05,0
2015-06-18,5.05,5.05,5.05,5.05,0
2015-06-19,4.68,4.68,4.68,4.68,500
2015-06-22,4.93,5.11,4.93,5.11,10000
2015-06-23,5.54,5.54,5.54,5.54,1000
2015-06-24,5.54,5.54,5.54,5.54,5000
2015-06-25,5.54,5.54,5.54,5.54,2500
2015-06-26,5.54,5.54,5.54,5.54,0
2015-06-29,5.54,5.54,5.54,5.54,20900
2015-06-30,5.3,5.3,5.3,5.3,20000
2015-07-01,5.5,5.5,5.5,5.5,100
2015-07-02,5.23,5.23,5.23,5.23,1700
2015-07-03,5.7,5.7,5.7,5.7,100
2015-07-06,5.7,5.7,5.7,5.7,0
2015-07-07,5.7,5.7,5.7,5.7,0
2015-07-08,5.7,5.7,5.7,5.7,0
2015-07-09,5.7,5.7,5.7,5.7,0
2015-07-10,5.7,5.7,5.7,5.7,0
2015-07-13,5.7,5.7,5.7,5.7,0
2015-07-14,5.7,5.7,5.7,5.7,0
2015-07-15,5.7,5.7,5.7,5.7,0
2015-07-16,5.7,5.7,5.7,5.7,0
2015-07-17,5.7,5.7,5.7,5.7,0
2015-07-20,5.7,5.7,5.7,5.7,0
2015-07-21,5.7,5.7,5.7,5.7,0
2015-07-22,5.7,5.7,5.7,5.7,0
2015-07-23,5.7,5.7,5.7,5.7,0
2015-07-24,5.7,5.7,5.7,5.7,0
2015-07-27,5.77,5.9,5.77,5.9,4500
2015-07-28,6.03,6.03,6.03,6.03,100
2015-07-29,6.03,6.03,6.03,6.03,0
2015-07-30,6.03,6.03,6.03,6.03,0
2015-07-31,6.03,6.03,6.03,6.03,0
2015-08-03,6.03,6.03,6.03,6.03,0
2015-08-04,6.03,6.03,6.03,6.03,0
2015-08-05,6.03,6.03,6.03,6.03,0
2015-08-06,6.03,6.03,6.03,6.03,0
2015-08-07,6.17,6.17,6.17,6.17,100
2015-08-10,6.17,6.17,6.17,6.17,0
2015-08-11,6.17,6.37,6.17,6.17,10900
2015-08-12,6.23,6.23,6.23,6.23,5000
2015-08-13,6.23,6.23,6.23,6.23,0
2015-08-14,5.5,6.17,5.5,6.17,3900
2015-08-17,6.17,6.97,6.17,6.97,1400
2015-08-18,6.97,6.97,6.97,6.97,0
2015-08-19,6.03,6.03,6.03,6.03,5500
2015-08-20,6.1,6.1,6.1,6.1,100
2015-08-21,5.36,6.1,5.36,6.03,8100
2015-08-24,5.7,5.7,5.7,5.7,4000
2015-08-25,5.63,5.63,5.5,5.5,10000
2015-08-26,6.17,6.17,6.17,6.17,100
2015-08-27,6.17,6.17,6.17,6.17,0
2015-08-28,6.17,6.17,6.17,6.17,0
2015-08-31,6.84,7.04,6.84,7.04,56500
2015-09-01,7.31,7.71,7.31,7.37,21100
2015-09-03,7.71,7.71,7.37,7.37,1800
2015-09-04,6.64,7.04,6.64,7.04,11700
2015-09-07,6.77,6.9,5.9,6.23,19900
2015-09-08,6.3,6.3,6.3,6.3,2000
2015-09-09,7.11,7.11,6.44,6.44,2100
2015-09-10,6.44,6.44,6.44,6.44,2100
2015-09-11,7.17,7.17,6.64,6.64,1100
2015-09-14,5.9,5.9,5.9,5.9,1900
2015-09-15,5.36,6.77,5.36,6.7,18400
2015-09-16,6.17,6.17,6.17,6.17,2100
2015-09-17,5.63,6.77,5.63,6.77,2900
2015-09-18,5.97,6.5,5.7,6.5,8200
2015-09-21,6.23,6.23,6.23,6.23,3000
2015-09-22,6.9,6.9,6.44,6.44,1200
2015-09-23,6.3,6.37,6.23,6.23,5500
2015-09-24,6.5,6.5,6.5,6.5,2000
2015-09-25,6.44,6.44,6.44,6.44,2500
2015-09-28,6.7,6.84,6.37,6.57,6600
2015-09-29,6.5,6.57,6.17,6.17,5700
2015-09-30,6.44,7.31,6.44,7.31,21200
