time,open,high,low,close,volume
2010-01-04,15.84,15.84,15.84,15.84,16600
2010-01-05,16.92,16.92,16.31,16.31,26300
2010-01-06,16.25,16.65,15.91,16.11,11100
2010-01-07,16.11,16.11,15.44,15.58,4200
2010-01-08,16.11,16.78,15.44,15.44,7000
2010-01-11,16.72,16.72,15.24,15.44,7100
2010-01-12,14.77,15.44,14.3,14.3,16800
2010-01-13,15.58,15.58,14.9,15.31,4700
2010-01-14,16.11,16.11,15.17,15.17,2200
2010-01-15,14.3,14.43,14.3,14.43,4400
2010-01-18,14.3,14.3,13.43,13.43,21800
2010-01-19,14.43,14.43,13.49,14.1,2300
2010-01-20,14.43,14.43,13.36,14.23,6700
2010-01-21,14.77,14.77,13.7,13.83,20700
2010-01-22,14.3,14.3,13.56,14.3,28600
2010-01-25,14.37,14.37,14.1,14.3,17100
2010-01-26,14.43,15.31,14.43,15.31,15100
2010-01-27,14.23,14.43,14.17,14.17,6600
2010-01-28,14.1,14.1,13.76,14.1,3600
2010-01-29,13.63,14.03,13.63,13.63,5200
2010-02-01,13.7,14.1,13.43,13.43,17000
2010-02-02,13.76,13.76,13.63,13.63,2000
2010-02-03,13.29,13.63,13.29,13.43,6200
2010-02-04,13.76,13.96,13.43,13.96,3800
2010-02-05,14.3,14.3,13.23,13.23,7100
2010-02-08,13.7,13.7,13.7,13.7,100
2010-02-09,12.89,12.89,12.89,12.89,1500
2010-02-10,13.76,13.76,12.89,13.43,4000
2010-02-11,14.43,14.43,13.76,13.76,1500
2010-02-12,14.37,14.37,13.96,13.96,1200
2010-02-22,13.49,13.49,13.43,13.49,4500
2010-02-23,14.1,14.1,14.1,14.1,100
2010-02-24,14.1,14.1,14.1,14.1,100
2010-02-25,14.1,14.1,14.1,14.1,0
2010-02-26,13.76,15.04,13.76,15.04,5000
2010-03-01,14.3,14.3,13.9,13.96,3900
2010-03-02,14.1,14.1,13.83,13.83,6900
2010-03-03,14.17,14.17,13.76,14.1,6000
2010-03-04,14.57,14.64,14.1,14.5,16000
2010-03-05,14.64,14.64,14.5,14.57,6500
2010-03-08,14.77,15.58,14.77,15.51,33400
2010-03-09,15.31,15.78,15.31,15.44,10000
2010-03-10,15.37,15.37,14.57,15.24,7100
2010-03-11,15.17,15.44,14.77,15.04,2700
2010-03-12,14.3,14.77,14.3,14.5,5500
2010-03-15,15.37,15.44,14.77,15.24,38300
2010-03-16,15.78,15.78,14.43,15.11,6400
2010-03-17,14.1,14.57,14.1,14.43,11300
2010-03-18,15.44,15.44,14.5,14.9,13900
2010-03-19,14.77,14.77,14.5,14.77,1800
2010-03-22,14.63,15.05,14.63,14.84,36600
2010-03-23,14.21,15.05,14.21,15.05,3600
2010-03-24,14.91,15.47,14.91,15.4,15000
2010-03-25,15.19,15.19,14.7,15.19,16700
2010-03-26,14.7,14.7,14.56,14.56,2900
