time,open,high,low,close,volume
2010-01-04,9.67,9.83,9.67,9.83,53690
2010-01-05,10.3,10.3,9.99,9.99,138000
2010-01-06,9.57,9.99,9.57,9.88,70770
2010-01-07,9.78,10.36,9.78,10.36,134490
2010-01-08,10.83,10.83,10.51,10.83,378110
2010-01-11,10.41,10.93,10.3,10.41,155730
2010-01-12,10.41,10.41,9.93,9.93,78710
2010-01-13,9.57,10.2,9.46,9.93,141420
2010-01-14,10.25,10.41,10.15,10.41,468190
2010-01-15,10.25,10.62,10.09,10.41,182140
2010-01-18,10.25,10.25,9.93,9.93,37930
2010-01-19,9.72,10.15,9.72,9.99,31290
2010-01-20,10.2,10.2,9.51,9.51,151100
2010-01-21,9.46,9.67,9.04,9.04,83340
2010-01-22,9.04,9.2,8.73,9.04,90170
2010-01-25,8.83,9.41,8.73,9.41,92550
2010-01-26,9.46,9.83,9.46,9.83,89690
2010-01-27,9.83,9.83,9.36,9.46,144010
2010-01-28,9.72,9.72,9.15,9.2,61080
2010-01-29,9.46,9.46,8.83,8.83,89040
2010-02-01,8.83,9.25,8.83,9.25,77300
2010-02-02,9.62,9.62,8.94,8.94,89480
2010-02-03,8.83,9.09,8.73,8.73,115880
2010-02-04,8.94,9.15,8.94,9.04,81090
2010-02-05,8.78,9.09,8.67,8.67,90820
2010-02-08,8.46,8.83,8.46,8.62,19310
2010-02-09,8.67,8.67,8.31,8.41,138900
2010-02-10,8.41,8.67,8.41,8.67,23710
2010-02-11,8.73,8.83,8.67,8.73,15360
2010-02-12,8.73,8.99,8.73,8.78,40580
2010-02-22,8.94,8.94,8.73,8.78,24480
2010-02-23,8.57,8.62,8.41,8.41,56870
2010-02-24,8.41,8.46,8.36,8.41,22050
2010-02-25,8.67,8.67,8.46,8.52,28760
2010-02-26,8.67,8.94,8.62,8.94,147970
2010-03-01,8.94,9.36,8.94,9.15,67820
2010-03-02,9.15,9.2,8.99,9.09,79240
2010-03-03,9.51,9.51,9.51,9.51,108600
2010-03-04,9.99,9.99,9.99,9.99,58330
2010-03-05,10.09,10.46,10.09,10.46,511010
2010-03-08,10.83,10.93,10.78,10.93,442210
2010-03-09,11.3,11.41,10.93,11.09,274690
2010-03-10,10.93,11.56,10.67,11.56,439090
2010-03-11,11.56,11.56,11.14,11.56,189310
2010-03-12,11.3,11.67,11.04,11.56,388550
2010-03-15,11.56,12.14,11.56,12.09,427540
2010-03-16,11.56,11.99,11.51,11.51,426120
2010-03-17,11.2,11.72,11.04,11.04,263990
2010-03-18,11.35,11.56,10.93,11.56,241160
2010-03-19,12.14,12.14,12.09,12.14,516270
2010-03-22,12.72,12.72,12.62,12.72,651050
2010-03-23,12.72,13.35,12.62,13.35,1006820
2010-03-24,13.51,13.98,13.25,13.98,582160
2010-03-25,14.19,14.67,13.35,14.51,522100
2010-03-26,14.3,15.19,14.3,15.19,684240
2010-03-29,15.19,15.66,14.67,14.67,436980
2010-03-30,14.51,15.35,14.51,15.35,809860
2010-03-31,15.35,16.09,14.88,15.35,802250
2010-04-01,14.93,15.77,14.61,15.03,434500
2010-04-02,15.4,15.77,15.24,15.77,586970
2010-04-05,16.51,16.56,16.3,16.56,276830
2010-04-06,17.08,17.29,16.03,16.03,441510
2010-04-07,16.03,16.61,15.56,16.56,406890
2010-04-08,16.19,16.3,15.77,15.77,629910
2010-04-09,15.77,15.98,14.98,14.98,420170
2010-04-12,14.51,15.45,14.51,14.82,437980
2010-04-13,14.82,14.98,14.09,14.19,354350
2010-04-14,14.61,14.88,14.35,14.88,345830
2010-04-15,15.4,15.61,15.24,15.61,117400
2010-04-16,16.35,16.35,16.03,16.19,1084340
2010-04-19,15.51,15.66,15.4,15.4,695880
2010-04-20,15.45,16.03,14.88,15.98,617210
2010-04-21,15.98,15.98,15.24,15.24,313130
2010-04-22,14.82,15.35,14.51,14.51,375300
2010-04-26,14.72,15.19,14.56,14.56,383330
2010-04-27,14.98,14.98,14.51,14.72,217570
2010-04-28,14.61,14.72,14.46,14.46,182850
2010-04-29,14.46,14.56,14.14,14.19,390780
2010-05-04,14.67,14.72,14.25,14.56,348750
2010-05-05,14.56,14.72,13.88,13.88,351710
2010-05-06,14.19,14.56,13.82,14.56,334460
2010-05-07,14.56,14.56,13.93,13.98,307910
2010-05-10,14.64,14.64,14.06,14.38,236260
2010-05-11,15.02,15.02,14.45,14.7,266860
2010-05-12,14.7,14.7,14.0,14.0,242340
2010-05-13,14.0,14.06,13.42,13.49,107100
2010-05-14,13.81,13.81,13.29,13.42,147380
2010-05-17,13.55,14.06,13.49,13.61,191960
2010-05-18,13.36,13.55,13.29,13.29,69130
2010-05-19,13.93,13.93,12.98,12.98,145980
2010-05-20,12.34,13.1,12.34,12.98,77650
2010-05-21,12.34,12.4,12.34,12.34,155060
2010-05-24,12.78,12.78,12.02,12.02,87830
2010-05-25,12.02,12.14,11.95,12.02,119630
2010-05-26,12.14,12.4,12.14,12.4,82280
2010-05-27,12.46,12.53,12.27,12.46,72140
2010-05-28,13.04,13.04,12.98,13.04,217770
2010-05-31,13.68,13.68,13.42,13.68,199420
2010-06-01,14.19,14.32,13.74,14.32,282340
2010-06-02,14.7,15.02,14.32,14.57,583680
2010-06-03,14.7,14.7,14.19,14.25,183760
2010-06-04,14.25,14.25,13.74,13.74,133810
2010-06-07,13.23,13.42,13.1,13.1,230120
2010-06-08,12.72,13.61,12.72,13.61,152570
2010-06-09,14.06,14.06,13.42,13.81,104490
2010-06-10,13.42,13.87,13.42,13.55,30030
2010-06-11,14.0,14.19,13.61,14.0,292300
2010-06-14,14.13,14.64,14.0,14.64,267370
2010-06-15,14.64,14.64,14.13,14.32,156240
2010-06-16,14.45,14.64,14.32,14.45,161060
2010-06-17,14.13,14.57,14.13,14.25,157210
2010-06-18,14.19,14.45,13.87,13.87,183710
2010-06-21,13.87,14.51,13.87,14.51,343360
2010-06-22,14.25,14.57,14.0,14.0,147270
2010-06-23,14.06,14.64,14.0,14.64,350300
2010-06-24,14.96,15.02,14.57,14.57,355180
2010-06-25,14.06,14.51,13.93,13.93,158380
2010-06-28,14.0,14.06,13.87,13.87,63630
2010-06-29,14.38,14.51,14.06,14.06,55470
2010-06-30,13.55,13.81,13.49,13.61,156660
2010-07-01,13.61,13.81,13.42,13.42,159350
2010-07-02,13.42,13.74,13.42,13.68,89750
2010-07-05,14.06,14.06,13.55,13.68,37930
2010-07-06,13.68,13.68,13.23,13.42,99740
2010-07-07,13.74,13.74,13.23,13.23,106390
2010-07-08,13.23,13.61,13.23,13.36,117020
2010-07-09,13.42,13.61,13.36,13.36,36260
2010-07-12,13.55,13.61,13.42,13.61,64460
2010-07-13,13.93,14.06,13.81,14.0,84490
2010-07-14,14.19,14.19,13.81,13.87,43330
2010-07-15,13.93,13.93,13.74,13.74,96650
2010-07-16,13.55,13.81,13.49,13.81,41780
2010-07-19,13.68,14.06,13.68,14.06,124930
2010-07-20,14.19,14.19,13.81,13.81,110510
2010-07-21,13.81,14.45,13.81,14.45,408770
2010-07-22,14.51,14.89,14.32,14.76,368870
2010-07-23,14.83,14.83,14.38,14.51,196820
2010-07-26,14.57,14.64,14.38,14.51,145500
2010-07-27,14.25,14.38,13.93,14.25,109220
2010-07-28,14.25,14.25,13.55,13.55,167350
2010-07-29,13.29,13.74,13.29,13.36,92680
2010-07-30,13.42,13.93,13.42,13.93,111750
2010-08-02,14.06,14.06,13.55,14.06,22250
2010-08-03,14.06,14.06,13.61,13.68,64820
2010-08-04,13.55,13.68,13.36,13.61,43950
2010-08-05,13.93,13.93,13.42,13.49,56150
2010-08-06,13.42,13.42,13.17,13.17,81120
2010-08-09,12.98,13.17,12.53,12.98,76520
2010-08-10,12.34,12.66,12.34,12.34,88910
2010-08-11,12.66,12.66,12.27,12.66,83180
2010-08-12,12.08,12.59,12.08,12.08,51770
2010-08-13,11.63,12.08,11.63,12.08,44350
2010-08-16,12.4,12.66,12.4,12.66,59610
