time,open,high,low,close,volume
2011-09-16,13.03,15.48,13.03,14.77,300470
2011-09-19,15.48,15.48,14.83,15.48,261510
2011-09-20,16.25,16.25,16.25,16.25,30610
2011-09-21,17.03,17.03,17.03,17.03,30800
2011-09-22,17.87,17.87,17.03,17.87,440740
2011-09-23,18.7,18.7,17.99,18.7,419180
2011-09-26,19.61,19.61,19.61,19.61,37010
2011-09-27,20.57,20.57,20.51,20.57,291840
2011-09-28,21.54,21.54,20.32,21.54,441020
2011-09-29,21.28,21.54,20.51,20.51,584950
2011-09-30,20.96,21.48,19.67,21.48,354940
2011-10-03,21.35,21.8,20.7,20.7,446320
2011-10-04,20.96,20.96,19.87,19.99,292150
2011-10-05,19.35,20.96,19.35,20.96,455900
2011-10-06,21.28,21.99,21.09,21.99,659370
2011-10-07,22.57,23.09,22.25,23.09,283190
2011-10-10,23.54,24.19,23.09,24.19,209070
2011-10-11,25.03,25.35,24.51,25.35,255520
2011-10-12,26.38,26.38,24.12,25.15,448900
2011-10-13,24.19,24.7,23.93,23.93,174830
2011-10-14,24.25,24.38,23.09,23.22,122990
2011-10-17,23.74,23.74,23.22,23.22,18980
2011-10-18,23.22,23.54,22.57,22.9,241830
2011-10-19,22.9,23.22,21.8,22.57,71610
2011-10-20,22.57,23.09,21.48,21.54,92310
2011-10-21,21.28,21.93,20.57,21.8,181600
2011-10-24,21.93,22.83,21.86,22.83,73950
2011-10-25,23.41,23.93,23.41,23.93,86760
2011-10-26,24.19,25.09,23.86,24.19,185850
2011-10-27,24.19,24.38,23.03,23.03,64530
2011-10-28,22.57,22.96,21.93,21.99,80260
2011-10-31,21.61,22.25,21.03,21.8,62870
2011-11-01,21.8,21.8,21.22,21.67,185580
2011-11-02,21.28,21.93,21.28,21.41,32170
2011-11-03,21.28,22.45,21.28,22.45,45010
2011-11-04,23.22,23.35,22.9,23.35,35100
2011-11-07,23.35,23.35,22.19,22.19,40040
2011-11-08,21.09,22.12,21.09,21.61,120530
2011-11-09,20.9,21.61,20.9,21.22,65860
2011-11-10,20.7,21.16,20.19,20.19,88780
2011-11-11,19.41,21.16,19.41,20.19,30600
2011-11-14,20.96,20.96,19.35,20.64,28570
2011-11-15,21.03,21.28,19.61,21.03,12320
2011-11-16,19.99,21.16,19.99,21.16,137990
2011-11-17,21.03,21.28,20.38,21.16,33860
2011-11-18,21.03,21.03,20.32,20.96,18920
2011-11-21,20.9,20.9,19.93,19.93,4980
2011-11-22,20.77,20.77,19.8,19.93,3900
2011-11-23,20.51,20.51,19.87,20.45,36530
2011-11-24,20.25,20.25,19.54,19.54,45940
2011-11-25,19.67,20.25,19.22,19.67,27890
2011-11-28,20.45,20.45,20.06,20.45,20830
2011-11-29,20.38,20.7,19.99,19.99,47520
2011-11-30,20.19,20.51,19.99,20.25,15990
2011-12-01,20.64,20.64,20.51,20.51,940
2011-12-02,20.64,20.64,19.67,20.45,107390
2011-12-05,20.96,21.28,20.57,21.28,87540
2011-12-06,21.28,21.93,20.45,20.45,74400
2011-12-07,19.74,21.22,19.74,21.22,91050
2011-12-08,21.22,21.28,20.64,20.64,44290
2011-12-09,20.57,20.57,19.61,20.38,64420
2011-12-12,19.99,20.32,19.41,20.32,109320
2011-12-13,19.99,19.99,19.87,19.99,20800
2011-12-14,20.57,20.57,19.67,20.45,6270
2011-12-15,19.93,19.93,19.48,19.93,17070
2011-12-16,19.41,19.41,18.96,19.35,70460
2011-12-19,18.38,19.35,18.38,19.03,112310
2011-12-20,18.58,18.58,18.12,18.12,29100
2011-12-21,17.22,18.96,17.22,18.96,195490
2011-12-22,19.03,19.16,18.77,19.16,154000
2011-12-23,19.22,19.74,18.77,19.74,159090
2011-12-26,19.99,20.7,19.99,20.7,101810
2011-12-27,20.57,20.57,19.93,20.25,244840
2011-12-28,20.38,21.22,20.38,21.22,226300
2011-12-29,21.86,22.19,21.61,22.19,141670
2011-12-30,21.93,23.28,21.93,23.28,230340
2012-01-03,23.28,23.28,22.19,22.19,90440
2012-01-04,21.93,21.93,21.22,21.67,173750
2012-01-05,20.7,21.93,20.7,21.93,225340
2012-01-06,21.99,22.12,21.74,21.93,186490
2012-01-09,21.54,21.93,20.9,20.9,90910
2012-01-10,20.9,21.61,19.87,21.54,88320
2012-01-11,20.64,20.64,20.51,20.51,73030
2012-01-12,19.8,20.9,19.74,20.9,133070
2012-01-13,20.9,21.86,20.64,21.86,80500
2012-01-16,21.86,22.7,21.16,22.7,132200
2012-01-17,22.7,23.22,22.45,23.22,106480
2012-01-18,23.22,23.61,23.22,23.48,101400
2012-01-19,23.48,23.67,23.48,23.61,36030
2012-01-20,23.74,23.8,23.54,23.54,134750
2012-01-30,23.54,23.74,23.22,23.22,11410
2012-01-31,23.22,23.54,23.09,23.48,67230
2012-02-01,23.54,24.38,23.35,24.38,47060
2012-02-02,24.38,24.9,24.38,24.83,151350
2012-02-03,24.83,24.9,23.61,23.61,86500
2012-02-06,22.45,22.57,22.45,22.45,127500
2012-02-07,21.61,21.67,21.35,21.61,38330
2012-02-08,20.64,21.61,20.64,21.48,95100
2012-02-09,21.35,21.61,20.51,20.64,105520
2012-02-10,20.64,20.64,19.61,19.74,260920
2012-02-13,19.74,19.74,18.83,19.03,246690
2012-02-14,18.7,18.83,18.25,18.45,319450
2012-02-15,18.38,18.7,17.61,18.7,334880
2012-02-16,18.7,19.61,18.58,19.61,548640
2012-02-17,20.57,20.57,20.19,20.57,529220
2012-02-20,21.54,21.54,20.57,21.54,367150
2012-02-21,22.57,22.57,21.8,21.8,313870
2012-02-22,20.96,21.8,20.77,20.83,398760
