time,open,high,low,close,volume
2010-01-04,10.37,10.83,10.37,10.83,11000
2010-01-05,11.14,11.3,11.14,11.3,30300
2010-01-06,12.02,12.08,10.52,11.25,44800
2010-01-07,10.68,11.66,10.62,10.99,22200
2010-01-08,11.14,11.82,11.14,11.82,12100
2010-01-11,11.4,11.4,11.14,11.35,3900
2010-01-12,11.14,11.14,10.57,10.57,8900
2010-01-13,9.95,10.88,9.9,10.88,7300
2010-01-14,10.68,10.68,10.68,10.68,2700
2010-01-15,11.4,11.4,10.42,10.52,48300
2010-01-18,10.11,10.99,10.11,10.99,35100
2010-01-19,10.42,11.09,10.21,11.09,27300
2010-01-20,10.47,11.14,10.47,11.09,17000
2010-01-21,10.37,10.37,10.11,10.37,11300
2010-01-22,10.83,10.83,10.78,10.83,15700
2010-01-25,11.4,11.56,11.4,11.56,10500
2010-01-26,12.18,12.23,11.92,12.23,14400
2010-01-27,11.87,11.87,11.87,11.87,5900
2010-01-28,11.04,11.82,11.04,11.04,13000
2010-01-29,10.52,11.3,10.52,11.3,700
2010-02-01,11.3,11.3,11.3,11.3,0
2010-02-02,11.25,11.25,10.16,10.16,9100
2010-02-03,10.11,10.62,10.11,10.62,700
2010-02-04,10.47,11.09,10.47,11.09,2600
2010-02-05,11.09,11.09,11.09,11.09,0
2010-02-08,10.21,10.62,10.21,10.62,17300
2010-02-09,11.35,11.35,11.35,11.35,100
2010-02-10,11.14,11.14,10.88,10.88,1800
2010-02-11,10.88,10.88,10.88,10.88,0
2010-02-12,11.45,11.45,10.37,10.37,600
2010-02-22,10.57,10.57,10.05,10.57,2200
2010-02-23,10.57,10.57,10.57,10.57,0
2010-02-24,10.37,10.37,10.31,10.31,7100
2010-02-25,10.47,10.47,10.47,10.47,400
2010-02-26,9.95,10.47,9.95,10.47,2500
2010-03-01,10.05,10.37,10.05,10.37,4200
2010-03-02,10.16,10.68,10.16,10.68,1400
2010-03-03,10.21,10.21,9.95,10.05,6800
2010-03-04,10.52,10.52,9.8,10.11,12700
2010-03-05,9.59,10.62,9.48,10.62,2800
2010-03-08,10.52,10.52,10.16,10.37,8500
2010-03-09,10.47,10.52,10.37,10.52,8700
2010-03-10,10.52,10.52,10.37,10.52,2900
2010-03-11,10.62,10.62,10.26,10.26,7400
2010-03-12,10.42,10.62,10.37,10.62,9000
2010-03-15,10.57,10.83,10.57,10.83,12600
2010-03-16,10.88,11.4,10.78,10.88,36100
2010-03-17,10.57,10.62,10.57,10.57,2300
2010-03-18,10.78,11.04,10.62,11.04,8500
2010-03-19,11.04,11.04,10.42,10.73,1200
2010-03-22,10.42,10.42,10.11,10.16,20700
2010-03-23,10.73,10.73,10.37,10.42,1700
2010-03-24,10.37,10.47,10.37,10.37,2000
