time,open,high,low,close,volume
2010-01-04,3.24,3.29,3.22,3.29,25400
2010-01-05,3.41,3.47,3.24,3.24,3100
2010-01-06,3.15,3.15,3.15,3.15,2200
2010-01-07,2.99,3.31,2.98,2.98,3500
2010-01-08,3.01,3.01,2.98,2.98,5000
2010-01-11,2.85,2.92,2.85,2.92,5400
2010-01-12,2.82,2.82,2.8,2.8,800
2010-01-13,2.8,3.01,2.71,3.01,4000
2010-01-14,3.1,3.12,3.1,3.12,200
2010-01-15,3.24,3.24,3.15,3.15,200
2010-01-18,3.15,3.15,3.15,3.15,0
2010-01-19,2.99,2.99,2.99,2.99,1000
2010-01-20,2.89,2.89,2.8,2.8,2400
2010-01-21,2.71,2.71,2.71,2.71,1000
2010-01-22,2.89,2.89,2.87,2.87,1100
2010-01-25,2.71,2.99,2.7,2.99,800
2010-01-26,2.87,2.98,2.87,2.98,8200
2010-01-27,3.1,3.1,2.8,3.03,3400
2010-01-28,2.82,2.82,2.8,2.8,6700
2010-01-29,2.92,2.92,2.91,2.91,6600
2010-02-01,2.91,2.91,2.91,2.91,0
2010-02-02,2.85,3.1,2.84,3.1,25700
2010-02-03,3.15,3.15,3.01,3.01,2000
2010-02-04,2.92,3.12,2.92,3.12,8400
2010-02-05,3.01,3.01,2.98,2.98,5300
2010-02-08,2.91,2.91,2.91,2.91,1000
2010-02-09,2.91,2.91,2.91,2.91,0
2010-02-10,2.98,2.98,2.96,2.96,200
2010-02-11,3.1,3.1,3.1,3.1,100
2010-02-12,2.94,2.94,2.89,2.91,4100
2010-02-22,2.91,2.91,2.91,2.91,0
2010-02-23,2.98,3.1,2.98,3.1,11700
2010-02-24,3.27,3.27,3.08,3.15,6500
2010-02-25,3.26,3.26,3.19,3.24,2100
2010-02-26,3.2,3.2,3.15,3.15,2000
2010-03-01,3.19,3.19,3.17,3.19,3500
2010-03-02,3.19,3.19,2.98,3.15,3300
2010-03-03,2.98,3.17,2.98,3.15,5500
2010-03-04,3.15,3.17,3.13,3.17,5200
2010-03-05,2.98,3.01,2.98,3.01,2400
2010-03-08,3.03,3.19,3.03,3.19,9500
2010-03-09,3.33,3.33,3.15,3.17,1400
2010-03-10,3.33,3.33,3.15,3.15,5900
2010-03-11,3.22,3.22,3.15,3.15,1100
2010-03-12,3.22,3.36,3.22,3.36,71800
2010-03-15,3.59,3.59,3.5,3.5,24100
2010-03-16,3.5,3.5,3.33,3.33,6600
2010-03-17,3.2,3.2,3.19,3.19,700
2010-03-18,2.99,3.34,2.99,3.34,6900
2010-03-19,3.33,3.33,3.24,3.24,1500
2010-03-22,3.1,3.15,3.05,3.05,7800
2010-03-23,3.29,3.33,3.12,3.31,5900
2010-03-24,3.41,3.41,3.24,3.24,3100
2010-03-25,3.12,3.24,3.1,3.1,4500
2010-03-26,3.24,3.24,3.15,3.15,2700
2010-03-29,3.12,3.33,3.06,3.33,4700
2010-03-30,3.1,3.1,3.06,3.06,3100
2010-03-31,3.06,3.06,3.06,3.06,0
2010-04-01,3.19,3.19,3.19,3.19,600
2010-04-02,3.24,3.24,3.24,3.24,100
2010-04-05,3.06,3.08,3.06,3.08,3500
2010-04-06,3.1,3.1,3.1,3.1,2800
2010-04-07,3.12,3.12,3.06,3.1,4100
2010-04-08,3.19,3.19,3.06,3.06,3900
2010-04-09,3.05,3.1,3.05,3.1,10300
2010-04-12,2.98,3.01,2.98,3.01,10500
2010-04-13,3.03,3.03,3.03,3.03,2500
2010-04-14,3.19,3.19,3.15,3.15,8000
2010-04-15,3.31,3.31,3.15,3.15,3200
2010-04-16,3.27,3.27,3.15,3.19,15400
2010-04-19,3.26,3.27,3.2,3.27,47400
2010-04-20,3.33,3.33,3.24,3.26,27400
2010-04-21,3.26,3.26,3.15,3.15,37200
2010-04-22,3.31,3.33,3.2,3.31,35000
2010-04-26,3.34,3.34,3.2,3.22,6700
2010-04-27,3.24,3.24,3.08,3.1,11600
2010-04-28,3.06,3.15,3.06,3.15,25000
2010-04-29,3.24,3.31,3.24,3.31,42500
2010-05-04,3.54,3.54,3.54,3.54,14500
2010-05-05,3.78,3.78,3.47,3.55,59000
2010-05-06,3.5,3.59,3.5,3.5,68300
2010-05-07,3.59,3.59,3.29,3.34,37400
2010-05-10,3.36,3.36,3.27,3.33,10300
2010-05-11,3.22,3.4,3.22,3.4,13300
2010-05-12,3.38,3.38,3.08,3.1,15700
2010-05-13,3.2,3.22,3.2,3.22,4500
2010-05-14,3.24,3.24,3.15,3.24,18600
2010-05-17,3.24,3.24,3.03,3.06,12300
2010-05-18,3.2,3.2,2.89,2.98,21800
2010-05-19,3.12,3.12,2.85,2.87,11700
2010-05-20,3.01,3.06,2.98,3.06,35300
2010-05-21,2.96,2.96,2.78,2.84,21200
2010-05-24,2.89,3.01,2.89,3.01,11200
2010-05-25,3.15,3.2,2.82,2.87,4700
2010-05-26,3.12,3.12,3.08,3.12,4700
2010-05-27,3.15,3.22,2.98,2.98,3500
2010-05-28,3.15,3.15,3.08,3.1,19700
2010-05-31,2.91,2.98,2.89,2.98,20700
2010-06-01,2.98,3.12,2.98,3.12,600
2010-06-02,3.1,3.12,3.1,3.12,300
2010-06-03,3.15,3.15,3.03,3.03,5000
2010-06-04,2.98,3.05,2.98,3.05,700
2010-06-07,2.99,2.99,2.87,2.87,7000
2010-06-08,3.15,3.15,2.98,2.98,1600
2010-06-09,2.99,2.99,2.96,2.96,2500
2010-06-10,2.87,2.96,2.87,2.96,600
2010-06-11,3.03,3.03,2.92,2.94,5000
2010-06-14,3.03,3.03,3.03,3.03,600
2010-06-15,2.89,2.99,2.85,2.99,21100
2010-06-16,2.96,2.98,2.96,2.98,5900
2010-06-17,2.98,3.03,2.96,2.96,6400
2010-06-18,2.98,2.98,2.96,2.98,4600
2010-06-21,2.98,2.98,2.98,2.98,6500
2010-06-22,2.91,2.98,2.91,2.94,6400
2010-06-23,3.01,3.01,2.92,2.92,7000
2010-06-24,2.94,2.96,2.91,2.94,7200
2010-06-25,3.05,3.05,2.92,2.92,2800
2010-06-28,2.98,3.13,2.98,3.13,35800
2010-06-29,3.33,3.33,3.15,3.33,104300
2010-06-30,3.15,3.29,3.13,3.29,20300
2010-07-01,3.06,3.31,3.06,3.2,10000
2010-07-02,3.03,3.29,3.03,3.27,19100
2010-07-05,3.17,3.27,3.15,3.26,20000
2010-07-06,3.26,3.26,2.98,3.01,9200
2010-07-07,2.98,3.22,2.98,3.22,20300
2010-07-08,3.08,3.08,3.01,3.01,21500
2010-07-09,2.98,2.98,2.89,2.98,6300
2010-07-12,2.94,3.12,2.94,3.12,22000
2010-07-13,3.19,3.24,3.1,3.24,38200
2010-07-14,3.33,3.33,3.08,3.08,12200
2010-07-15,3.19,3.26,3.19,3.22,34600
2010-07-16,3.15,3.22,3.15,3.15,14000
2010-07-19,3.22,3.27,3.19,3.24,24400
2010-07-20,3.26,3.43,3.26,3.43,58400
2010-07-21,3.62,3.62,3.62,3.62,20900
2010-07-22,3.87,3.87,3.87,3.87,21900
2010-07-23,4.13,4.13,3.87,4.13,392900
2010-07-26,4.41,4.41,4.2,4.41,173000
2010-07-27,4.39,4.39,4.1,4.1,22600
2010-07-28,3.87,3.87,3.87,3.87,10900
2010-07-29,3.61,3.61,3.61,3.61,4200
2010-07-30,3.36,3.68,3.36,3.4,83900
2010-08-02,3.4,3.4,3.24,3.33,40600
2010-08-03,3.48,3.48,3.15,3.33,32800
2010-08-04,3.15,3.31,3.12,3.19,14900
2010-08-05,3.4,3.4,3.4,3.4,26300
2010-08-06,3.62,3.62,3.41,3.52,88600
2010-08-09,3.68,3.68,3.36,3.36,44900
2010-08-10,3.41,3.41,3.19,3.31,70300
2010-08-11,3.15,3.43,3.15,3.4,49100
2010-08-12,3.29,3.29,3.08,3.19,41800
2010-08-13,3.19,3.36,3.19,3.36,24200
2010-08-16,3.54,3.55,3.36,3.55,53200
2010-08-17,3.68,3.68,3.26,3.29,44100
2010-08-18,3.24,3.33,3.19,3.2,13900
2010-08-19,3.15,3.2,3.15,3.2,12900
2010-08-20,3.12,3.27,3.06,3.24,26200
2010-08-23,3.15,3.17,3.1,3.17,29200
2010-08-24,3.15,3.15,2.98,2.98,9300
2010-08-25,3.1,3.1,2.8,2.8,67300
2010-08-26,2.89,2.89,2.7,2.82,12100
2010-08-27,2.78,2.78,2.71,2.77,5900
2010-08-30,2.89,2.91,2.89,2.91,16300
2010-08-31,2.89,3.1,2.89,3.06,50800
2010-09-01,3.17,3.17,3.12,3.12,17400
2010-09-06,3.15,3.33,3.13,3.24,48800
2010-09-07,3.29,3.29,3.03,3.03,46600
2010-09-08,2.98,2.98,2.85,2.92,35100
2010-09-09,3.01,3.1,2.99,3.08,31200
