time,open,high,low,close,volume
2010-01-04,8.6,8.6,8.13,8.6,39500
2010-01-05,9.01,9.01,8.8,9.01,26400
2010-01-06,9.01,9.01,9.01,9.01,100
2010-01-07,9.48,9.48,8.4,8.47,18700
2010-01-08,8.53,8.8,8.4,8.4,23200
2010-01-11,7.99,8.13,7.99,8.13,27300
2010-01-12,8.47,8.47,7.45,7.45,10300
2010-01-13,7.52,7.79,7.04,7.04,36000
2010-01-14,7.59,7.79,7.59,7.79,24600
2010-01-15,7.99,7.99,7.31,7.38,11400
2010-01-18,7.72,7.72,7.11,7.11,5300
2010-01-19,7.25,7.59,7.25,7.59,3000
2010-01-20,7.86,7.92,7.18,7.18,3100
2010-01-21,7.86,8.06,7.18,7.38,16700
2010-01-22,7.38,7.79,7.18,7.31,4700
2010-01-25,7.59,7.59,7.59,7.59,100
2010-01-26,7.45,8.06,7.45,7.99,12800
2010-01-27,8.19,8.19,7.45,7.92,8600
2010-01-28,7.45,7.45,7.31,7.31,300
2010-01-29,7.45,7.65,7.38,7.65,1500
2010-02-01,7.25,7.38,7.11,7.18,6100
2010-02-02,7.25,7.59,7.18,7.18,22200
2010-02-03,7.45,7.45,7.11,7.25,6700
2010-02-04,7.38,7.45,7.31,7.45,4500
2010-02-05,7.45,7.65,7.18,7.18,9500
2010-02-08,7.25,7.25,7.18,7.18,1700
2010-02-09,7.25,7.25,7.04,7.04,3500
2010-02-10,7.45,7.45,7.45,7.45,100
2010-02-11,7.45,7.45,7.45,7.45,900
2010-02-12,7.45,7.45,7.25,7.45,1600
2010-02-22,7.45,7.52,7.45,7.52,2400
2010-02-23,7.52,7.52,7.52,7.52,0
2010-02-24,7.18,7.18,7.18,7.18,1500
2010-02-25,7.59,7.59,7.59,7.59,100
2010-02-26,7.45,7.52,7.45,7.52,2300
2010-03-01,7.38,7.38,7.38,7.38,1000
2010-03-02,7.45,7.45,7.25,7.45,4000
2010-03-03,7.38,7.38,7.31,7.38,10800
2010-03-04,7.45,7.45,7.38,7.38,5700
2010-03-05,7.38,7.45,7.11,7.45,18800
2010-03-08,7.45,7.79,7.45,7.79,22900
2010-03-09,7.59,7.92,7.59,7.92,8100
2010-03-10,7.65,7.65,7.31,7.45,14600
2010-03-11,7.45,7.45,7.31,7.45,21200
2010-03-12,7.65,7.86,7.38,7.86,28700
2010-03-15,8.26,8.33,8.19,8.33,53300
2010-03-16,8.33,8.33,7.92,7.92,17500
2010-03-17,7.79,7.79,7.65,7.72,9900
2010-03-18,7.59,8.13,7.45,7.99,16000
2010-03-19,7.65,7.72,7.65,7.65,10100
2010-03-22,7.65,7.72,7.59,7.65,9000
2010-03-23,8.13,8.13,8.13,8.13,42100
2010-03-24,8.67,8.67,8.6,8.67,56700
2010-03-25,9.21,9.21,8.13,8.26,28500
2010-03-26,8.4,8.67,8.13,8.6,17800
2010-03-29,8.47,8.53,8.33,8.47,11700
2010-03-30,8.19,8.4,8.06,8.13,14100
2010-03-31,7.86,8.19,7.86,8.19,3800
2010-04-01,7.99,8.06,7.99,8.06,600
2010-04-02,7.99,7.99,7.86,7.86,8400
2010-04-05,7.92,8.13,7.92,8.06,6200
2010-04-06,7.99,8.13,7.99,7.99,28600
2010-04-07,7.99,7.99,7.99,7.99,3000
2010-04-08,8.13,8.53,8.13,8.53,33800
2010-04-09,9.01,9.01,9.01,9.01,62900
2010-04-12,9.41,9.62,9.21,9.62,185800
2010-04-13,9.01,9.01,8.94,8.94,38000
2010-04-14,9.14,9.14,8.47,8.74,12700
2010-04-15,9.08,9.14,9.08,9.14,21700
2010-04-16,9.75,9.75,9.75,9.75,77800
2010-04-19,10.16,10.43,9.82,10.16,108000
2010-04-20,10.84,10.84,10.29,10.29,17000
2010-04-21,9.89,10.16,9.89,10.02,8500
2010-04-22,9.89,10.29,9.48,10.09,90900
2010-04-26,9.82,10.36,9.82,9.82,15500
2010-04-27,10.77,10.77,9.55,9.96,7500
2010-04-28,9.68,10.23,9.68,10.23,16800
2010-04-29,10.43,10.43,9.75,9.75,46000
2010-05-04,9.62,10.57,9.41,10.29,5100
2010-05-05,9.68,10.36,9.68,9.89,9900
2010-05-06,10.43,10.77,10.16,10.77,60400
2010-05-07,10.97,10.97,10.63,10.7,21800
2010-05-10,11.17,11.17,10.23,11.11,30300
2010-05-11,10.97,11.17,10.77,11.17,31400
2010-05-12,10.84,10.84,10.16,10.16,20500
2010-05-13,10.84,10.84,9.82,10.7,15900
2010-05-14,10.43,10.43,10.29,10.29,6300
2010-05-17,10.16,10.23,10.16,10.23,3500
2010-05-18,10.63,10.63,10.36,10.36,10100
2010-05-19,9.68,10.43,9.68,10.43,25700
2010-05-20,9.41,10.7,9.35,10.7,78200
2010-05-21,10.02,11.17,9.89,11.17,40000
2010-05-24,10.16,11.24,10.16,11.24,118100
2010-05-25,11.72,11.72,10.5,10.5,25300
2010-05-26,10.84,11.31,10.7,11.31,124000
