time,open,high,low,close,volume
2010-01-04,4.68,4.71,4.68,4.71,84950
2010-01-05,4.94,4.94,4.72,4.72,101160
2010-01-06,4.75,4.86,4.75,4.75,126680
2010-01-07,4.76,4.98,4.75,4.98,213500
2010-01-08,5.22,5.22,4.74,4.74,266610
2010-01-11,4.71,4.82,4.68,4.75,59740
2010-01-12,4.75,4.79,4.52,4.52,52790
2010-01-13,4.41,4.52,4.33,4.46,125100
2010-01-14,4.67,4.67,4.46,4.46,38820
2010-01-15,4.6,4.6,4.27,4.34,30780
2010-01-18,4.34,4.48,4.13,4.48,90530
2010-01-19,4.36,4.59,4.36,4.48,31240
2010-01-20,4.59,4.59,4.32,4.34,68380
2010-01-21,4.14,4.34,4.13,4.13,91490
2010-01-22,3.98,4.19,3.98,4.07,22870
2010-01-25,4.07,4.13,4.07,4.07,23500
2010-01-26,4.27,4.27,4.08,4.27,29480
2010-01-27,4.27,4.32,4.07,4.07,58780
2010-01-28,4.07,4.23,4.02,4.07,63060
2010-01-29,3.94,4.21,3.94,4.07,36030
2010-02-01,4.0,4.23,4.0,4.0,5260
2010-02-02,4.0,4.1,4.0,4.04,17310
2010-02-03,4.02,4.07,4.02,4.07,10170
2010-02-04,4.07,4.17,4.07,4.17,26880
2010-02-05,4.03,4.14,4.03,4.07,30720
2010-02-08,3.92,4.04,3.92,3.94,12800
2010-02-09,3.96,3.96,3.87,3.96,8270
2010-02-10,4.07,4.1,4.06,4.07,7670
2010-02-11,4.14,4.15,4.07,4.14,6180
2010-02-12,4.14,4.26,4.14,4.14,3260
2010-02-22,4.21,4.32,4.21,4.32,22160
2010-02-23,4.15,4.27,4.14,4.27,15410
2010-02-24,4.27,4.38,4.27,4.34,43230
2010-02-25,4.34,4.45,4.34,4.34,40540
2010-02-26,4.34,4.49,4.34,4.49,62510
2010-03-01,4.59,4.65,4.59,4.6,147930
2010-03-02,4.63,4.64,4.55,4.56,89950
2010-03-03,4.51,4.56,4.51,4.51,4920
2010-03-04,4.59,4.59,4.46,4.46,32480
