time,open,high,low,close,volume
2016-05-10,7.72,7.72,6.9,7.38,859300
2016-05-11,7.24,7.58,7.1,7.52,678600
2016-05-12,7.38,7.65,7.1,7.52,948100
2016-05-13,7.24,7.65,7.17,7.45,1023000
2016-05-16,7.31,7.58,7.17,7.58,865500
2016-05-17,7.38,7.86,7.24,7.72,1141400
2016-05-18,7.58,7.93,7.58,7.65,494600
2016-05-19,7.58,7.93,7.52,7.79,639100
2016-05-20,7.65,7.86,7.52,7.72,589600
2016-05-23,7.79,8.0,7.58,7.72,496500
2016-05-24,7.65,8.07,7.58,7.93,585700
2016-05-25,7.79,8.27,7.72,8.14,628400
2016-05-26,7.86,8.0,7.65,7.93,693200
2016-05-27,7.79,8.07,7.79,8.0,473300
2016-05-30,8.0,8.21,7.52,8.14,875800
2016-05-31,8.0,8.07,7.86,7.93,355100
2016-06-01,7.93,8.34,7.86,8.21,991200
2016-06-02,8.0,8.27,7.79,8.07,1041900
2016-06-03,7.93,8.34,7.86,8.27,623200
2016-06-06,8.21,8.34,8.14,8.27,437300
2016-06-07,8.07,8.55,8.07,8.55,935300
2016-06-08,8.55,8.76,8.27,8.69,892600
2016-06-09,8.55,8.76,8.34,8.55,1044900
2016-06-10,8.62,8.76,8.27,8.55,926800
2016-06-13,8.55,8.69,8.21,8.34,434500
2016-06-14,8.34,8.41,7.93,8.14,658400
2016-06-15,8.07,8.07,7.38,7.38,547100
2016-06-16,6.69,6.9,6.69,6.76,114300
2016-06-17,6.21,6.96,6.14,6.21,57400
2016-06-20,5.59,6.48,5.59,6.21,199500
2016-06-21,6.21,6.21,5.59,6.21,29900
2016-06-22,6.21,6.21,5.59,5.59,8600
2016-06-23,5.45,6.14,5.03,6.14,64900
2016-06-24,5.93,6.14,5.59,6.14,51800
2016-06-27,6.14,6.21,5.79,6.14,50800
2016-06-28,5.86,6.21,5.79,6.21,66100
2016-06-29,6.0,6.27,5.72,6.21,65600
2016-06-30,6.21,6.41,6.14,6.34,120000
2016-07-01,6.07,6.21,6.0,6.21,188800
2016-07-04,6.07,6.27,6.07,6.27,194800
2016-07-05,6.14,6.27,6.07,6.27,174900
2016-07-06,6.14,6.27,5.65,6.27,174400
2016-07-07,6.14,6.34,6.14,6.34,298400
2016-07-08,6.07,6.41,6.07,6.41,235900
2016-07-11,6.07,6.27,5.93,6.21,323300
2016-07-12,6.0,6.21,5.93,6.21,327100
2016-07-13,6.0,6.27,6.0,6.21,287300
2016-07-14,5.93,6.21,5.86,6.14,331600
2016-07-15,6.0,6.21,5.86,6.14,249900
2016-07-18,6.0,6.41,5.86,6.27,275400
2016-07-19,6.14,6.41,5.93,6.27,392700
2016-07-20,6.14,6.21,6.07,6.21,248700
2016-07-21,6.07,6.41,6.0,6.27,275000
2016-07-22,6.21,6.27,6.07,6.21,294300
2016-07-25,6.14,6.27,6.0,6.27,304300
2016-07-26,6.27,6.48,5.93,6.14,279900
2016-07-27,6.07,6.27,6.07,6.27,299400
2016-07-28,6.21,6.34,6.14,6.27,328300
2016-07-29,6.14,6.41,6.0,6.41,285600
2016-08-01,6.21,6.41,6.21,6.41,258300
2016-08-02,6.27,6.48,6.27,6.34,311100
2016-08-03,6.27,6.55,6.27,6.34,288000
2016-08-04,6.21,6.48,6.21,6.34,424400
2016-08-05,6.14,6.41,6.14,6.21,303300
2016-08-08,6.14,6.27,6.0,6.14,334900
2016-08-09,6.14,6.34,6.14,6.21,290700
