time,open,high,low,close,volume
2011-04-21,2.6,2.89,1.59,1.65,492500
2011-04-22,1.71,1.72,1.58,1.58,65800
2011-04-25,1.59,1.66,1.53,1.55,53000
2011-04-26,1.65,1.69,1.5,1.5,69000
2011-04-27,1.56,1.59,1.46,1.49,215900
2011-04-28,1.52,1.58,1.49,1.56,214800
2011-04-29,1.59,1.62,1.59,1.61,79100
2011-05-04,1.64,1.64,1.52,1.55,14200
2011-05-05,1.55,1.58,1.46,1.52,55300
2011-05-06,1.59,1.59,1.45,1.48,47400
2011-05-09,1.52,1.53,1.46,1.52,47100
2011-05-10,1.56,1.56,1.52,1.52,37700
2011-05-11,1.5,1.5,1.45,1.5,76500
2011-05-12,1.52,1.58,1.52,1.58,215300
2011-05-13,1.64,1.66,1.64,1.66,291400
2011-05-16,1.69,1.77,1.68,1.69,147000
2011-05-17,1.71,1.71,1.59,1.62,141600
2011-05-18,1.55,1.69,1.53,1.65,201900
2011-05-19,1.69,1.72,1.65,1.66,256100
2011-05-20,1.71,1.71,1.61,1.68,132800
2011-05-23,1.68,1.69,1.55,1.58,147800
2011-05-24,1.62,1.64,1.52,1.52,69300
2011-05-25,1.56,1.58,1.45,1.48,57000
2011-05-26,1.48,1.49,1.37,1.46,209400
2011-05-27,1.48,1.49,1.39,1.45,110000
2011-05-30,1.52,1.52,1.36,1.36,26700
2011-05-31,1.4,1.42,1.33,1.36,92300
2011-06-01,1.39,1.43,1.33,1.4,84000
2011-06-02,1.43,1.48,1.4,1.48,92200
2011-06-03,1.46,1.56,1.39,1.45,34800
2011-06-06,1.5,1.52,1.4,1.42,44000
2011-06-07,1.46,1.48,1.42,1.43,80600
2011-06-08,1.46,1.48,1.39,1.43,44400
2011-06-09,1.48,1.5,1.45,1.45,51800
2011-06-10,1.5,1.53,1.46,1.5,48500
2011-06-13,1.55,1.56,1.46,1.5,46600
2011-06-14,1.55,1.55,1.42,1.43,74000
2011-06-15,1.49,1.49,1.36,1.36,63200
2011-06-16,1.39,1.42,1.37,1.37,8100
2011-06-17,1.37,1.39,1.3,1.3,88200
2011-06-20,1.33,1.33,1.29,1.33,50300
2011-06-21,1.36,1.36,1.3,1.35,20300
2011-06-22,1.3,1.3,1.26,1.26,68100
