time,open,high,low,close,volume
2010-09-15,7.69,8.98,6.73,6.73,2700
2010-09-16,7.23,7.23,7.23,7.23,2100
2010-09-17,7.57,7.57,6.73,6.73,9700
2010-09-20,6.76,7.16,6.76,7.16,300
2010-09-21,6.41,6.41,6.41,6.41,800
2010-09-22,5.96,5.96,5.96,5.96,300
2010-09-23,5.55,5.55,5.55,5.55,100
2010-09-24,5.16,5.77,5.16,5.77,18300
2010-09-27,5.53,5.53,5.17,5.45,31900
2010-09-28,5.39,5.64,5.26,5.26,17200
2010-09-29,5.71,5.71,5.23,5.25,20600
2010-09-30,5.23,5.32,5.09,5.09,14400
2010-10-01,5.13,5.14,5.1,5.1,17200
2010-10-04,5.07,5.07,4.94,4.94,14500
2010-10-05,5.0,5.0,4.89,4.89,10800
2010-10-06,4.94,5.07,4.94,5.07,400
2010-10-07,5.03,5.03,4.97,4.97,1600
2010-10-08,5.0,5.0,4.94,4.94,2500
2010-10-11,4.91,4.91,4.82,4.82,8100
2010-10-12,4.87,5.13,4.87,5.13,1700
2010-10-13,4.94,5.06,4.94,5.06,500
2010-10-14,5.1,5.1,4.97,4.97,200
2010-10-15,5.03,5.03,5.0,5.0,200
2010-10-18,5.0,5.0,5.0,5.0,200
2010-10-19,4.97,5.0,4.94,5.0,7800
2010-10-20,4.94,4.94,4.94,4.94,4500
2010-10-21,4.94,4.94,4.94,4.94,600
2010-10-22,4.97,4.97,4.94,4.94,12500
2010-10-25,4.94,4.94,4.94,4.94,0
2010-10-26,4.95,5.13,4.95,5.1,3800
2010-10-27,5.1,5.19,5.1,5.19,15200
2010-10-28,5.13,5.13,4.94,5.0,13500
2010-10-29,5.1,5.13,5.1,5.1,28800
2010-11-01,5.1,5.1,5.1,5.1,18000
2010-11-02,5.1,5.1,5.1,5.1,19700
2010-11-03,5.11,5.12,5.1,5.11,4700
2010-11-04,5.1,5.1,5.1,5.1,5100
2010-11-05,5.13,5.25,5.13,5.25,9800
2010-11-08,5.25,5.25,5.19,5.23,6000
2010-11-09,5.25,5.27,5.24,5.24,8000
2010-11-10,5.26,5.28,5.23,5.26,18400
2010-11-11,5.14,5.26,5.14,5.25,12000
2010-11-12,5.14,5.23,5.14,5.23,9200
2010-11-15,5.16,5.19,5.16,5.19,8100
2010-11-16,5.13,5.13,5.08,5.1,12400
2010-11-17,5.07,5.14,5.01,5.14,13000
2010-11-18,5.17,5.23,5.17,5.23,13500
2010-11-19,5.19,5.2,5.19,5.19,14500
2010-11-22,5.15,5.15,5.15,5.15,3400
2010-11-23,5.15,5.16,5.15,5.15,21700
2010-11-24,5.15,5.15,5.14,5.15,18900
2010-11-25,5.16,5.16,5.15,5.15,19000
2010-11-26,5.13,5.13,5.07,5.07,5400
2010-11-29,5.07,5.07,4.98,4.98,3900
2010-11-30,5.19,5.19,5.19,5.19,100
2010-12-01,5.22,5.22,5.07,5.07,7100
2010-12-02,5.13,5.13,5.13,5.13,500
2010-12-03,5.26,5.26,5.13,5.13,1400
2010-12-06,5.14,5.19,5.07,5.07,4000
2010-12-07,5.0,5.0,4.96,4.96,2500
2010-12-08,5.15,5.15,5.15,5.15,100
2010-12-09,5.07,5.15,5.07,5.15,1500
2010-12-10,5.2,5.2,5.07,5.07,4200
2010-12-13,5.26,5.43,5.26,5.43,9800
2010-12-14,5.31,5.41,5.21,5.21,11800
2010-12-15,5.28,5.3,5.21,5.22,14800
2010-12-16,5.2,5.34,5.2,5.34,12300
2010-12-17,5.28,5.4,5.28,5.37,13500
2010-12-20,5.37,5.37,5.37,5.37,0
2010-12-21,5.37,5.37,5.37,5.37,0
2010-12-22,5.37,5.37,5.37,5.37,0
2010-12-23,5.37,5.37,5.37,5.37,0
2010-12-24,5.18,5.18,5.09,5.09,1700
2010-12-27,5.09,5.09,5.09,5.09,0
2010-12-28,5.09,5.09,5.09,5.09,0
2010-12-29,5.09,5.21,5.09,5.21,600
2010-12-30,5.21,5.21,5.21,5.21,0
2010-12-31,5.21,5.21,5.21,5.21,0
2011-01-04,5.18,5.21,5.15,5.21,13000
2011-01-05,5.21,5.28,5.21,5.28,14500
2011-01-06,5.24,5.28,5.24,5.28,10100
2011-01-07,5.28,5.28,5.27,5.27,10000
2011-01-10,5.28,5.37,5.24,5.37,12500
2011-01-11,5.33,5.34,5.33,5.34,12500
2011-01-12,5.34,5.37,5.34,5.37,9500
2011-01-13,5.34,5.37,5.34,5.37,13200
2011-01-14,5.35,5.47,5.35,5.47,13100
2011-01-17,5.44,5.44,5.44,5.44,100
2011-01-18,5.47,5.47,5.47,5.47,100
2011-01-19,5.54,5.6,5.54,5.6,2200
2011-01-20,5.6,5.6,5.6,5.6,0
2011-01-21,5.6,5.6,5.6,5.6,0
2011-01-24,5.54,5.54,5.54,5.54,11800
2011-01-25,5.54,5.6,5.54,5.6,11400
2011-01-26,5.6,5.6,5.6,5.6,0
2011-01-27,5.95,5.95,5.57,5.67,4200
2011-01-28,5.6,5.6,5.6,5.6,10000
2011-02-08,5.67,5.73,5.67,5.73,6200
2011-02-09,5.73,5.73,5.73,5.73,1100
2011-02-10,5.73,5.76,5.73,5.76,600
2011-02-11,5.8,5.83,5.8,5.83,3300
2011-02-14,5.86,5.86,5.82,5.82,5400
2011-02-15,5.86,6.12,5.86,6.12,22300
2011-02-16,5.86,5.86,5.86,5.86,700
2011-02-17,5.86,5.86,5.86,5.86,0
2011-02-18,5.86,5.86,5.86,5.86,0
2011-02-21,5.63,5.63,5.5,5.5,22300
2011-02-22,5.47,5.47,5.47,5.47,500
2011-02-23,5.54,5.54,5.54,5.54,1100
2011-02-24,5.5,5.5,5.5,5.5,500
2011-02-25,5.5,5.5,5.5,5.5,0
2011-02-28,5.54,5.54,5.51,5.51,2700
2011-03-01,5.54,5.54,5.54,5.54,2200
2011-03-02,5.54,5.54,5.54,5.54,0
2011-03-03,5.54,5.54,5.54,5.54,0
2011-03-04,5.54,5.54,5.54,5.54,0
2011-03-07,5.54,5.54,5.54,5.54,0
2011-03-08,5.54,5.54,5.54,5.54,300
2011-03-09,5.47,5.47,5.47,5.47,500
2011-03-10,5.47,5.47,5.47,5.47,0
2011-03-11,5.6,5.6,5.54,5.54,800
2011-03-14,5.86,5.86,5.76,5.76,800
2011-03-15,5.76,5.76,5.76,5.76,0
2011-03-16,5.78,5.78,5.78,5.78,100
2011-03-17,5.78,5.78,5.78,5.78,0
2011-03-18,5.47,5.6,5.47,5.6,600
2011-03-21,5.45,5.45,5.45,5.45,100
2011-03-22,5.47,5.47,5.47,5.47,200
2011-03-23,5.54,5.6,5.54,5.6,3000
2011-03-24,5.6,5.6,5.6,5.6,100
2011-03-25,5.6,5.6,5.6,5.6,0
2011-03-28,5.54,5.54,5.54,5.54,200
2011-03-29,5.54,5.54,5.54,5.54,100
2011-03-30,5.41,5.41,5.41,5.41,100
2011-03-31,5.41,5.41,5.41,5.41,0
2011-04-01,5.21,5.39,5.21,5.39,300
2011-04-04,5.39,5.39,5.39,5.39,0
2011-04-05,5.39,5.39,5.39,5.39,0
2011-04-06,5.34,5.34,5.09,5.21,2200
2011-04-07,5.21,5.21,5.21,5.21,0
2011-04-08,5.21,5.21,5.21,5.21,200
2011-04-13,5.21,5.21,5.21,5.21,0
2011-04-14,5.21,5.21,5.15,5.15,1100
2011-04-15,5.15,5.15,5.15,5.15,0
2011-04-18,5.15,5.15,5.15,5.15,0
2011-04-19,5.1,5.11,5.05,5.05,1300
2011-04-20,5.05,5.05,5.05,5.05,0
2011-04-21,5.02,5.02,4.95,4.95,1700
2011-04-22,5.08,5.08,4.92,4.92,6200
2011-04-25,4.88,4.88,4.85,4.85,1700
2011-04-26,4.83,4.83,4.72,4.72,4000
2011-04-27,4.79,4.79,4.69,4.69,800
2011-04-28,4.69,4.72,4.62,4.62,1200
2011-04-29,4.62,4.62,4.62,4.62,0
2011-05-04,4.62,4.63,4.62,4.62,1300
2011-05-05,4.49,4.49,4.49,4.49,1100
2011-05-06,4.62,4.62,4.62,4.62,100
2011-05-09,4.51,4.69,4.51,4.69,1500
2011-05-10,4.57,4.57,4.56,4.56,1800
2011-05-11,4.57,4.57,4.57,4.57,800
2011-05-12,4.69,4.88,4.69,4.85,4100
2011-05-13,4.56,4.69,4.56,4.62,1300
2011-05-16,4.88,4.89,4.66,4.66,1500
2011-05-17,4.62,4.69,4.59,4.69,1600
2011-05-18,4.62,4.62,4.62,4.62,400
2011-05-19,4.56,4.56,4.49,4.49,1400
2011-05-20,4.58,4.58,4.57,4.57,1500
2011-05-23,4.56,4.56,4.56,4.56,500
2011-05-24,4.56,4.56,4.56,4.56,2100
2011-05-25,4.49,4.5,4.49,4.49,2300
2011-05-26,4.37,4.49,4.36,4.49,1800
2011-05-27,4.69,4.69,4.49,4.49,1600
2011-05-30,4.49,4.49,4.49,4.49,0
