time,open,high,low,close,volume
2014-03-03,5.73,5.73,5.73,5.73,1000
2014-03-04,6.3,6.3,6.3,6.3,100
2014-03-05,6.93,6.93,6.93,6.93,100
2014-03-06,7.62,7.62,7.62,7.62,100
2014-03-07,8.38,8.38,8.38,8.38,100
2014-03-10,9.19,9.19,9.19,9.19,15000
2014-03-11,10.08,10.1,9.45,9.66,20300
2014-03-12,9.76,9.76,9.45,9.45,3800
2014-03-13,8.71,8.71,8.71,8.71,100
2014-03-14,8.69,8.71,8.69,8.71,9200
2014-03-17,8.71,8.71,8.71,8.71,0
2014-03-18,9.03,9.03,9.03,9.03,5500
2014-03-19,9.03,9.03,9.03,9.03,1000
2014-03-20,9.03,9.03,9.03,9.03,0
2014-03-21,9.03,9.03,9.03,9.03,3000
2014-03-24,9.03,9.03,9.03,9.03,0
2014-03-25,9.03,9.05,9.03,9.05,2300
2014-03-26,9.05,9.05,9.05,9.05,300
2014-03-27,9.09,9.09,9.09,9.09,500
2014-03-28,9.13,9.13,9.13,9.13,400
2014-03-31,9.13,9.13,9.13,9.13,0
2014-04-01,9.13,9.13,9.13,9.13,0
2014-04-02,8.61,8.67,8.61,8.67,5100
2014-04-03,8.82,8.82,8.82,8.82,3000
2014-04-04,8.82,8.82,8.82,8.82,0
2014-04-07,8.82,8.82,8.82,8.82,0
2014-04-08,8.82,8.82,8.82,8.82,0
2014-04-10,8.82,8.82,8.82,8.82,0
2014-04-11,8.82,8.82,8.82,8.82,0
2014-04-14,9.34,9.45,9.34,9.45,200
2014-04-15,9.24,9.24,9.24,9.24,100
2014-04-16,9.03,9.03,8.82,8.82,1200
2014-04-17,8.82,8.82,8.82,8.82,0
2014-04-18,8.82,8.82,8.82,8.82,0
2014-04-21,8.82,8.82,8.82,8.82,0
2014-04-22,8.82,8.82,8.82,8.82,0
2014-04-23,8.82,8.82,8.82,8.82,0
2014-04-24,8.82,8.82,8.82,8.82,0
2014-04-25,8.82,8.82,8.82,8.82,0
2014-04-28,8.82,8.82,8.82,8.82,0
2014-04-29,9.03,9.03,9.03,9.03,100
2014-05-05,9.03,9.03,9.03,9.03,0
2014-05-06,9.03,9.03,9.03,9.03,0
2014-05-07,9.03,9.03,9.03,9.03,0
2014-05-08,8.61,8.61,8.19,8.19,300
2014-05-09,8.19,8.19,8.19,8.19,0
2014-05-12,8.19,8.19,8.19,8.19,0
2014-05-13,8.19,8.19,8.19,8.19,0
2014-05-14,8.75,8.75,8.75,8.75,0
2014-05-15,8.52,8.52,8.19,8.19,300
2014-05-16,8.19,8.19,8.19,8.19,0
2014-05-19,8.99,8.99,8.99,8.99,1000
2014-05-20,8.99,8.99,8.99,8.99,0
2014-05-21,8.99,8.99,8.99,8.99,600
2014-05-22,8.99,8.99,8.99,8.99,400
2014-05-23,8.99,8.99,8.99,8.99,0
2014-05-26,8.99,8.99,8.99,8.99,0
2014-05-27,8.99,8.99,8.99,8.99,600
2014-05-28,8.97,9.08,8.97,9.08,1000
2014-05-29,9.08,9.08,9.08,9.08,0
2014-05-30,9.08,9.08,9.08,9.08,0
2014-06-02,9.08,9.08,9.08,9.08,0
2014-06-03,9.08,9.08,9.08,9.08,0
2014-06-04,8.52,8.52,8.52,8.52,100
2014-06-05,8.52,8.52,8.52,8.52,0
2014-06-06,8.52,8.52,8.52,8.52,0
2014-06-09,8.52,8.52,8.52,8.52,0
2014-06-10,8.52,8.52,8.52,8.52,0
2014-06-11,8.52,8.52,8.52,8.52,500
2014-06-12,8.52,8.52,8.52,8.52,0
2014-06-13,8.52,8.52,8.52,8.52,0
2014-06-16,8.52,8.52,8.52,8.52,0
2014-06-17,8.52,8.52,8.52,8.52,0
2014-06-18,8.52,8.52,8.52,8.52,0
2014-06-19,8.52,8.52,8.52,8.52,400
2014-06-20,8.52,8.52,8.52,8.52,0
2014-06-23,8.52,8.52,8.52,8.52,200
2014-06-24,8.52,8.52,8.52,8.52,0
2014-06-25,8.52,8.52,8.52,8.52,0
2014-06-26,8.52,8.52,8.52,8.52,0
2014-06-27,8.52,8.52,8.52,8.52,0
2014-06-30,8.3,8.3,8.3,8.3,400
2014-07-01,8.3,8.3,8.3,8.3,0
2014-07-02,8.3,8.3,8.3,8.3,0
2014-07-03,8.3,8.3,8.3,8.3,0
2014-07-04,8.3,8.3,8.3,8.3,500
2014-07-07,8.3,8.3,8.3,8.3,0
2014-07-08,8.3,8.3,8.3,8.3,0
2014-07-09,8.3,8.3,8.3,8.3,0
2014-07-10,8.3,8.3,8.3,8.3,0
2014-07-11,8.3,8.3,8.3,8.3,0
2014-07-14,8.3,8.3,8.3,8.3,0
2014-07-15,8.07,8.07,8.07,8.07,500
2014-07-16,8.07,8.07,8.07,8.07,0
2014-07-17,8.07,8.07,8.07,8.07,100
2014-07-18,8.07,8.07,8.07,8.07,1200
2014-07-21,8.07,8.07,8.07,8.07,0
2014-07-22,8.07,8.07,8.07,8.07,0
2014-07-23,8.07,8.07,8.07,8.07,500
2014-07-24,8.07,8.07,8.07,8.07,500
2014-07-25,8.07,8.07,8.07,8.07,0
2014-07-28,8.07,8.07,8.07,8.07,0
2014-07-29,8.07,8.07,8.07,8.07,0
2014-07-30,8.07,8.07,8.07,8.07,0
2014-07-31,8.07,8.07,8.07,8.07,0
2014-08-01,8.07,8.07,8.07,8.07,0
2014-08-04,8.07,8.07,8.07,8.07,0
2014-08-05,8.07,8.07,8.07,8.07,0
2014-08-06,8.07,8.07,8.07,8.07,0
2014-08-07,8.07,8.07,8.07,8.07,0
2014-08-08,8.07,8.07,8.07,8.07,0
2014-08-11,8.07,8.07,8.07,8.07,0
2014-08-12,8.07,8.07,8.07,8.07,0
2014-08-13,8.07,8.07,8.07,8.07,0
2014-08-14,8.07,8.07,8.07,8.07,0
2014-08-15,8.07,8.07,8.07,8.07,100
2014-08-18,8.07,8.07,8.07,8.07,0
2014-08-19,8.07,8.07,8.07,8.07,0
2014-08-20,8.07,8.07,8.07,8.07,0
2014-08-21,8.07,8.07,8.07,8.07,0
2014-08-22,8.07,8.07,8.07,8.07,500
2014-08-25,8.07,8.07,8.07,8.07,0
2014-08-26,8.07,8.07,8.07,8.07,0
2014-08-27,8.07,8.07,8.07,8.07,0
2014-08-28,8.07,8.07,8.07,8.07,0
2014-08-29,8.07,8.07,8.07,8.07,0
2014-09-03,8.07,8.07,8.07,8.07,0
2014-09-04,8.07,8.07,8.07,8.07,0
2014-09-05,8.14,8.14,8.1,8.1,1500
2014-09-08,8.1,8.1,8.1,8.1,0
2014-09-09,8.1,8.1,8.1,8.1,0
2014-09-10,7.29,8.1,7.29,8.1,200
2014-09-11,8.1,8.1,8.1,8.1,0
2014-09-12,8.1,8.1,8.1,8.1,0
2014-09-15,8.1,8.1,8.1,8.1,0
2014-09-16,8.1,8.1,8.1,8.1,0
2014-09-17,8.1,8.1,8.1,8.1,1000
2014-09-18,8.1,8.1,8.1,8.1,0
2014-09-19,8.1,8.1,8.1,8.1,0
2014-09-22,8.1,8.1,8.1,8.1,0
2014-09-23,8.1,8.1,8.1,8.1,0
2014-09-24,8.1,8.1,8.1,8.1,0
2014-09-25,8.1,8.1,8.1,8.1,0
2014-09-26,7.85,7.85,7.51,7.63,3600
2014-09-29,7.63,7.63,7.63,7.63,0
2014-09-30,7.63,7.63,7.63,7.63,0
2014-10-01,7.85,7.85,7.85,7.85,100
2014-10-02,7.63,7.63,7.63,7.63,1000
2014-10-03,7.63,7.63,7.63,7.63,0
2014-10-06,7.51,7.51,7.51,7.51,300
2014-10-07,7.51,7.51,7.51,7.51,0
2014-10-08,7.51,7.51,7.51,7.51,0
2014-10-09,7.63,7.63,7.63,7.63,5900
2014-10-10,7.63,7.63,7.63,7.63,1100
2014-10-13,7.63,7.63,7.63,7.63,0
2014-10-14,7.58,7.58,7.58,7.58,900
2014-10-15,7.6,7.6,7.6,7.6,3000
2014-10-16,7.6,7.6,7.6,7.6,0
2014-10-17,7.6,7.6,7.6,7.6,0
2014-10-20,7.6,7.6,7.6,7.6,0
2014-10-21,7.6,7.6,7.6,7.6,0
2014-10-22,7.6,7.6,7.6,7.6,0
2014-10-23,7.6,7.6,7.6,7.6,0
2014-10-24,7.6,7.6,7.6,7.6,0
2014-10-27,7.6,7.6,7.6,7.6,0
2014-10-28,7.6,7.6,7.6,7.6,0
2014-10-29,7.6,7.6,7.6,7.6,0
2014-10-30,7.6,7.6,7.6,7.6,0
2014-10-31,7.6,7.6,7.6,7.6,0
2014-11-03,7.6,7.6,7.6,7.6,0
2014-11-04,7.6,7.6,7.6,7.6,0
2014-11-05,7.6,7.6,7.6,7.6,0
2014-11-06,7.6,7.6,7.6,7.6,0
2014-11-07,7.6,7.6,7.6,7.6,0
2014-11-10,7.6,7.6,7.6,7.6,0
2014-11-11,7.6,7.6,7.6,7.6,0
2014-11-12,7.6,7.6,7.6,7.6,2000
2014-11-13,7.6,7.6,7.6,7.6,0
2014-11-14,7.6,7.6,7.6,7.6,0
2014-11-17,7.6,7.6,7.6,7.6,0
2014-11-18,7.6,7.6,7.6,7.6,0
2014-11-19,7.6,7.6,7.6,7.6,0
2014-11-20,7.6,7.6,7.6,7.6,0
2014-11-21,7.6,7.6,7.6,7.6,0
2014-11-24,7.6,7.6,7.6,7.6,0
2014-11-25,7.6,7.6,7.6,7.6,0
2014-11-26,7.6,7.6,7.6,7.6,0
2014-11-27,7.6,7.6,7.6,7.6,0
2014-11-28,7.6,7.6,7.6,7.6,0
2014-12-01,7.6,7.6,7.6,7.6,0
2014-12-02,7.6,7.6,7.6,7.6,0
2014-12-03,7.6,7.6,7.6,7.6,0
2014-12-04,7.6,7.6,7.6,7.6,0
2014-12-05,7.6,7.6,7.6,7.6,0
2014-12-08,7.6,7.6,7.6,7.6,0
2014-12-09,7.6,7.6,7.6,7.6,0
2014-12-10,7.6,7.6,7.6,7.6,0
2014-12-11,7.6,7.6,7.6,7.6,0
2014-12-12,7.6,7.6,7.6,7.6,0
2014-12-15,7.6,7.6,7.6,7.6,0
2014-12-16,7.6,7.6,7.6,7.6,0
2014-12-17,7.6,7.6,7.6,7.6,0
2014-12-18,7.6,7.6,7.6,7.6,0
2014-12-19,7.6,7.6,7.6,7.6,0
2014-12-22,7.6,7.6,7.6,7.6,0
2014-12-23,7.6,7.6,7.6,7.6,0
2014-12-24,7.6,7.6,7.6,7.6,100
2014-12-25,7.6,7.6,7.6,7.6,0
2014-12-26,7.6,7.6,7.6,7.6,0
2014-12-29,7.6,7.6,7.6,7.6,0
2014-12-30,7.6,7.6,7.6,7.6,0
2014-12-31,7.6,7.6,7.6,7.6,0
2015-01-05,7.6,7.6,7.6,7.6,0
2015-01-06,7.6,7.6,7.6,7.6,0
2015-01-07,7.6,7.6,7.6,7.6,0
2015-01-08,7.6,7.6,7.6,7.6,0
2015-01-09,7.6,7.6,7.6,7.6,0
2015-01-12,7.6,7.6,7.6,7.6,0
2015-01-13,7.6,7.6,7.6,7.6,0
2015-01-14,7.4,7.4,7.4,7.4,200
2015-01-15,7.4,7.4,7.4,7.4,0
2015-01-16,7.4,7.4,7.4,7.4,0
2015-01-19,7.4,7.4,7.4,7.4,200
2015-01-20,7.4,7.4,7.4,7.4,2000
2015-01-21,7.4,7.4,7.4,7.4,1000
2015-01-22,7.4,7.4,7.4,7.4,2100
2015-01-23,7.4,7.4,7.4,7.4,0
2015-01-26,7.4,7.4,7.4,7.4,0
2015-01-27,7.4,7.4,7.4,7.4,0
2015-01-28,7.4,7.4,7.4,7.4,0
2015-01-29,7.4,7.4,7.4,7.4,0
2015-01-30,7.4,7.4,7.4,7.4,87
2015-02-02,7.4,7.4,7.4,7.4,0
2015-02-03,7.4,7.4,7.4,7.4,0
2015-02-04,7.4,7.4,7.4,7.4,0
2015-02-05,7.4,7.4,7.4,7.4,87
2015-02-06,7.4,7.4,7.4,7.4,13
2015-02-09,7.4,7.4,7.4,7.4,0
2015-02-10,7.4,7.4,7.4,7.4,0
2015-02-11,7.4,7.4,7.4,7.4,0
2015-02-12,7.4,7.4,7.4,7.4,0
2015-02-13,6.73,6.73,6.71,6.71,13500
2015-02-24,6.71,6.71,6.71,6.71,0
2015-02-25,6.71,6.71,6.71,6.71,0
2015-02-26,6.73,6.73,6.73,6.73,3200
