time,open,high,low,close,volume
2010-01-04,6.66,6.97,6.66,6.97,1300
2010-01-05,7.22,7.26,7.22,7.26,1200
2010-01-06,7.44,7.57,7.26,7.26,3400
2010-01-07,7.04,7.51,7.04,7.07,7500
2010-01-08,7.51,7.63,7.29,7.29,3800
2010-01-11,7.54,7.54,7.16,7.16,1900
2010-01-12,7.16,7.16,7.16,7.16,0
2010-01-13,7.16,7.16,7.16,7.16,0
2010-01-14,7.16,7.16,7.16,7.16,0
2010-01-15,6.97,7.19,6.97,7.19,200
2010-01-18,7.32,7.32,7.32,7.32,100
2010-01-19,7.32,7.32,7.32,7.32,0
2010-01-20,7.32,7.32,7.32,7.32,0
2010-01-21,7.32,7.32,7.32,7.32,0
2010-01-22,7.32,7.32,7.32,7.32,0
2010-01-25,7.32,7.32,7.32,7.32,0
2010-01-26,7.32,7.32,7.32,7.32,0
2010-01-27,7.32,7.32,7.32,7.32,0
2010-01-28,7.32,7.32,7.32,7.32,0
2010-01-29,7.32,7.32,7.32,7.32,0
2010-02-01,6.82,6.82,6.82,6.82,100
2010-02-02,6.82,6.82,6.82,6.82,0
2010-02-03,6.82,6.82,6.82,6.82,0
2010-02-04,7.19,7.19,7.19,7.19,100
2010-02-05,7.19,7.19,7.19,7.19,0
2010-02-08,7.19,7.19,7.19,7.19,0
2010-02-09,7.19,7.19,7.19,7.19,0
2010-02-10,7.35,7.35,6.72,6.72,200
2010-02-11,6.72,6.72,6.72,6.72,0
2010-02-12,7.19,7.19,7.19,7.19,200
2010-02-22,7.69,7.69,7.13,7.13,300
2010-02-23,7.13,7.13,7.13,7.13,0
2010-02-24,7.13,7.13,7.13,7.13,0
2010-02-25,6.88,6.94,6.85,6.94,3100
2010-02-26,7.35,7.35,7.16,7.16,900
2010-03-01,7.19,7.19,7.19,7.19,5500
2010-03-02,7.41,7.41,6.69,6.69,600
2010-03-03,6.44,6.82,6.44,6.57,500
2010-03-04,6.57,7.04,6.57,7.01,1000
2010-03-05,7.32,7.32,7.04,7.29,500
2010-03-08,6.66,7.44,6.66,6.66,6100
2010-03-09,7.1,7.1,6.51,6.51,700
2010-03-10,6.29,7.04,6.29,7.04,4800
2010-03-11,6.57,6.57,6.25,6.38,800
2010-03-12,6.76,6.76,6.76,6.76,1600
2010-03-15,7.22,7.22,7.22,7.22,1500
2010-03-16,7.72,7.72,6.88,6.91,1500
2010-03-17,6.94,6.94,6.63,6.72,4900
2010-03-18,6.79,7.19,6.57,7.19,7200
2010-03-19,7.35,7.35,7.19,7.19,1800
2010-03-22,7.19,7.19,7.19,7.19,0
2010-03-23,7.04,7.04,7.04,7.04,1000
2010-03-24,7.04,7.04,7.04,7.04,0
