time,open,high,low,close,volume
2010-01-04,5.99,6.24,5.99,6.24,209580
2010-01-05,6.49,6.49,6.15,6.19,184280
2010-01-06,6.49,6.49,6.36,6.49,459620
2010-01-07,6.65,6.65,6.4,6.4,149610
2010-01-08,6.45,6.49,6.11,6.11,262500
2010-01-11,6.15,6.15,5.82,5.86,362700
2010-01-12,5.73,5.9,5.61,5.61,182040
2010-01-13,5.61,5.78,5.4,5.78,246210
2010-01-14,5.9,5.94,5.65,5.73,131040
2010-01-15,5.73,5.78,5.69,5.73,150030
2010-01-18,5.65,5.65,5.48,5.48,128220
2010-01-19,5.44,5.65,5.44,5.52,72900
2010-01-20,5.52,5.65,5.44,5.44,112610
2010-01-21,5.36,5.48,5.23,5.27,177280
2010-01-22,5.27,5.36,5.15,5.27,96320
2010-01-25,5.27,5.44,5.27,5.44,83340
2010-01-26,5.57,5.69,5.57,5.69,102170
2010-01-27,5.86,5.86,5.61,5.69,209120
2010-01-28,5.69,5.69,5.61,5.61,71140
2010-01-29,5.52,5.61,5.48,5.61,79910
2010-02-01,5.61,5.65,5.57,5.61,67580
2010-02-02,5.65,5.65,5.61,5.61,37480
2010-02-03,5.69,5.73,5.61,5.73,118850
2010-02-04,5.73,5.86,5.73,5.86,183060
2010-02-05,5.82,5.86,5.73,5.73,131200
2010-02-08,5.69,5.78,5.65,5.73,41420
2010-02-09,5.73,5.73,5.65,5.65,61050
2010-02-10,5.73,5.78,5.69,5.73,40920
2010-02-11,5.69,5.78,5.69,5.73,21550
2010-02-12,5.78,5.94,5.73,5.78,136540
2010-02-22,5.94,5.99,5.82,5.9,66920
2010-02-23,5.82,5.86,5.73,5.73,41680
2010-02-24,5.73,5.78,5.65,5.73,51330
2010-02-25,5.73,5.82,5.73,5.73,79120
2010-02-26,5.78,5.78,5.69,5.78,30800
2010-03-01,5.86,5.86,5.78,5.78,35190
2010-03-02,5.78,5.82,5.78,5.78,24600
2010-03-03,5.82,5.86,5.73,5.86,88920
2010-03-04,5.99,6.03,5.9,5.9,89820
2010-03-05,5.99,6.03,5.94,5.99,142120
2010-03-08,5.99,6.19,5.99,6.11,98870
2010-03-09,6.03,6.19,6.03,6.15,119050
2010-03-10,6.15,6.19,6.11,6.15,80210
2010-03-11,6.15,6.28,6.15,6.19,110300
2010-03-12,6.24,6.36,6.19,6.36,98380
2010-03-15,6.61,6.65,6.53,6.65,466440
2010-03-16,6.65,6.78,6.49,6.53,447070
2010-03-17,6.65,6.65,6.53,6.57,325030
2010-03-18,6.65,6.7,6.57,6.7,173570
2010-03-19,6.74,6.74,6.61,6.65,208080
2010-03-22,6.61,6.65,6.57,6.57,124960
2010-03-23,6.57,6.61,6.45,6.45,219860
2010-03-24,6.49,6.65,6.49,6.53,227830
2010-03-25,6.49,6.49,6.28,6.32,212900
2010-03-26,6.36,6.4,6.32,6.4,109410
2010-03-29,6.4,6.4,6.36,6.4,59320
2010-03-30,6.36,6.4,6.28,6.28,111360
2010-03-31,6.36,6.36,6.15,6.15,159310
2010-04-01,6.15,6.28,6.11,6.28,113850
2010-04-02,6.28,6.36,6.24,6.28,91880
2010-04-05,6.4,6.4,6.32,6.36,106170
2010-04-06,6.36,6.45,6.32,6.32,138000
2010-04-07,6.36,6.61,6.32,6.53,148170
2010-04-08,6.57,6.61,6.49,6.57,65230
2010-04-09,6.57,6.65,6.53,6.61,142030
2010-04-12,6.65,6.78,6.65,6.78,179130
2010-04-13,6.7,7.12,6.7,6.86,354960
2010-04-14,6.99,6.99,6.86,6.91,190090
2010-04-15,6.99,7.12,6.95,7.07,215830
2010-04-16,7.2,7.2,7.12,7.16,165190
2010-04-19,7.07,7.12,6.99,6.99,232660
2010-04-20,6.95,7.03,6.91,6.91,122220
2010-04-21,7.03,7.07,6.95,7.03,100370
2010-04-22,7.03,7.12,6.99,6.99,170300
2010-04-26,7.03,7.12,6.99,7.03,107700
2010-04-27,7.12,7.16,7.07,7.16,192560
2010-04-28,7.24,7.41,7.16,7.41,251680
2010-04-29,7.41,7.49,7.32,7.37,151520
2010-05-04,7.41,7.49,7.32,7.41,168090
2010-05-05,7.2,7.24,7.07,7.07,449930
2010-05-06,6.99,7.07,6.91,6.95,218800
2010-05-07,6.74,6.86,6.65,6.78,200710
2010-05-10,6.99,7.12,6.86,7.12,315390
2010-05-11,7.32,7.32,7.03,7.12,96250
2010-05-12,6.91,7.07,6.86,6.86,143460
2010-05-13,6.99,7.03,6.86,6.99,258490
2010-05-14,7.32,7.32,7.07,7.16,527080
2010-05-17,7.2,7.2,6.95,6.99,117460
2010-05-18,6.86,6.99,6.86,6.99,140680
2010-05-19,6.86,6.86,6.65,6.65,308120
2010-05-20,6.4,6.65,6.4,6.65,217870
2010-05-21,6.36,6.49,6.36,6.36,252450
2010-05-24,6.4,6.53,6.36,6.49,151990
2010-05-25,6.49,6.53,6.45,6.49,89050
2010-05-26,6.49,6.61,6.49,6.57,64150
2010-05-27,6.57,6.57,6.45,6.53,59850
2010-05-28,6.7,6.7,6.53,6.61,110150
2010-05-31,6.53,6.61,6.49,6.49,46120
2010-06-01,6.49,6.53,6.45,6.49,49080
2010-06-02,6.4,6.57,6.4,6.57,103610
2010-06-03,6.65,6.7,6.61,6.61,65950
2010-06-04,6.65,6.65,6.53,6.53,36130
2010-06-07,6.36,6.45,6.36,6.4,62580
2010-06-08,6.36,6.49,6.36,6.45,103180
2010-06-09,6.45,6.57,6.45,6.45,83460
2010-06-10,6.45,6.53,6.45,6.45,21040
2010-06-11,6.61,6.74,6.53,6.61,101220
2010-06-14,6.7,6.78,6.61,6.78,68440
2010-06-15,6.78,6.82,6.65,6.74,104160
2010-06-16,6.82,6.82,6.7,6.74,60510
2010-06-17,6.7,6.74,6.65,6.74,84550
2010-06-18,6.7,6.78,6.65,6.78,99760
2010-06-21,6.82,7.03,6.78,6.99,153140
2010-06-22,6.99,6.99,6.82,6.86,93010
2010-06-23,6.82,6.91,6.82,6.82,71740
2010-06-24,6.86,6.86,6.82,6.82,76090
2010-06-25,6.7,6.78,6.7,6.74,38480
2010-06-28,6.74,6.82,6.7,6.74,5120
2010-06-29,6.74,6.78,6.7,6.7,47710
2010-06-30,6.49,6.7,6.49,6.7,92130
2010-07-01,6.7,6.7,6.57,6.65,121060
2010-07-02,6.7,6.7,6.57,6.61,129270
2010-07-05,6.61,6.7,6.61,6.61,96720
2010-07-06,6.61,6.61,6.49,6.53,169080
2010-07-07,6.53,6.57,6.45,6.45,128660
2010-07-08,6.53,6.53,6.49,6.53,73290
2010-07-09,6.57,6.57,6.49,6.53,72850
2010-07-12,6.53,6.82,6.53,6.82,280440
2010-07-13,6.86,6.86,6.7,6.82,191800
2010-07-14,6.82,6.91,6.74,6.74,61800
2010-07-15,6.7,6.74,6.7,6.7,98500
2010-07-16,6.65,6.7,6.65,6.65,142530
2010-07-19,6.61,6.61,6.57,6.61,89920
2010-07-20,6.61,6.61,6.53,6.57,86700
2010-07-21,6.65,6.65,6.57,6.57,149620
2010-07-22,6.53,6.57,6.53,6.53,89230
2010-07-23,6.61,6.61,6.53,6.53,45040
2010-07-26,6.53,6.53,6.45,6.45,81430
2010-07-27,6.45,6.57,6.45,6.49,49710
2010-07-28,6.53,6.53,6.45,6.45,75710
2010-07-29,6.57,6.57,6.49,6.49,157890
2010-07-30,6.49,6.57,6.45,6.49,86250
2010-08-02,6.49,6.49,6.36,6.45,147820
2010-08-03,6.45,6.53,6.4,6.49,160320
2010-08-04,6.49,6.49,6.4,6.49,111340
