time,open,high,low,close,volume
2010-07-12,7.41,7.41,6.59,6.75,1577100
2010-07-13,6.9,6.9,6.29,6.8,1131600
2010-07-14,6.9,7.16,6.9,7.16,971700
2010-07-15,7.57,7.57,6.95,6.95,581300
2010-07-16,7.0,7.0,6.7,6.8,676600
2010-07-19,6.65,6.8,6.59,6.75,338500
2010-07-20,6.65,6.75,6.44,6.49,380700
2010-07-21,6.44,6.65,6.34,6.54,534700
2010-07-22,6.59,6.7,6.44,6.54,434000
2010-07-23,6.65,6.65,6.49,6.54,239900
2010-07-26,6.59,6.59,6.34,6.39,210600
2010-07-27,6.29,6.54,6.29,6.39,348400
2010-07-28,6.44,6.44,6.03,6.08,399700
2010-07-29,6.19,6.24,6.08,6.19,212000
2010-07-30,6.19,6.34,6.13,6.19,236700
2010-08-02,6.19,6.19,6.03,6.03,63500
2010-08-03,6.13,6.13,5.93,6.03,319100
2010-08-04,6.03,6.03,5.83,5.88,310600
2010-08-05,5.93,6.03,5.93,5.98,200300
2010-08-06,5.93,5.93,5.78,5.78,236300
2010-08-09,5.83,5.83,5.52,5.57,147200
2010-08-10,5.62,5.62,5.27,5.32,291100
2010-08-11,5.37,5.52,5.21,5.42,150600
2010-08-12,5.42,5.42,5.11,5.16,405800
2010-08-13,5.32,5.47,5.11,5.37,498800
2010-08-16,5.47,5.67,5.47,5.67,406400
2010-08-17,5.73,5.73,5.42,5.52,118500
2010-08-18,5.52,5.52,5.27,5.32,178700
2010-08-19,5.37,5.42,5.32,5.32,249700
2010-08-20,5.32,5.47,5.27,5.32,478800
2010-08-23,5.47,5.62,5.32,5.32,107400
2010-08-24,5.37,5.47,5.11,5.21,294500
2010-08-25,5.16,5.16,5.01,5.11,441500
2010-08-26,5.16,5.21,5.06,5.11,219000
2010-08-27,5.11,5.21,5.06,5.21,222500
2010-08-30,5.32,5.47,5.32,5.47,407000
2010-08-31,5.57,5.57,5.42,5.42,298400
2010-09-01,5.47,5.52,5.32,5.47,381500
2010-09-06,5.52,5.78,5.52,5.78,978300
2010-09-07,5.62,5.73,5.37,5.62,281400
2010-09-08,5.37,5.52,5.32,5.47,258600
2010-09-09,5.52,5.78,5.52,5.78,971100
2010-09-10,6.13,6.13,5.62,6.03,1842000
2010-09-13,6.08,6.13,5.67,5.73,327500
2010-09-14,5.88,5.93,5.73,5.73,159600
2010-09-15,5.83,5.83,5.52,5.62,321800
2010-09-16,5.67,5.67,5.47,5.62,493200
2010-09-17,5.67,5.93,5.57,5.93,686300
2010-09-20,6.03,6.08,5.78,5.78,466900
2010-09-21,5.88,5.88,5.57,5.62,275100
2010-09-22,5.57,5.67,5.52,5.57,216400
2010-09-23,5.57,5.62,5.37,5.52,525900
2010-09-24,5.47,5.62,5.47,5.52,304000
2010-09-27,5.47,5.57,5.47,5.52,154100
2010-09-28,5.62,5.62,5.52,5.52,269600
2010-09-29,5.52,5.57,5.37,5.42,486800
2010-09-30,5.47,5.47,5.32,5.37,175500
2010-10-01,5.37,5.42,5.32,5.32,235300
2010-10-04,5.32,5.32,5.16,5.16,572000
2010-10-05,5.27,5.32,5.06,5.27,259900
2010-10-06,5.27,5.47,5.21,5.37,138800
2010-10-07,5.32,5.37,5.21,5.21,195800
2010-10-08,5.27,5.27,5.11,5.16,139800
2010-10-11,5.21,5.21,5.11,5.11,69500
2010-10-12,5.16,5.16,5.11,5.11,212000
2010-10-13,5.11,5.16,5.11,5.16,94000
2010-10-14,5.11,5.16,5.11,5.11,183000
2010-10-15,5.16,5.16,5.06,5.11,176400
2010-10-18,5.11,5.11,5.01,5.01,34100
2010-10-19,5.01,5.01,4.81,4.86,58200
2010-10-20,4.86,4.91,4.75,4.75,244400
2010-10-21,4.91,4.96,4.86,4.86,244300
2010-10-22,4.86,4.91,4.81,4.86,154600
2010-10-25,4.75,4.96,4.6,4.81,82200
2010-10-26,4.96,5.06,4.96,5.06,103100
2010-10-27,4.86,4.96,4.86,4.91,33200
2010-10-28,4.86,4.91,4.81,4.81,71700
2010-10-29,4.96,4.96,4.75,4.91,24300
2010-11-01,4.86,4.86,4.7,4.7,10300
2010-11-02,4.6,4.75,4.55,4.7,137400
2010-11-03,4.6,4.7,4.55,4.6,66800
2010-11-04,4.7,4.7,4.65,4.65,17700
2010-11-05,4.75,4.86,4.6,4.81,80000
2010-11-08,4.6,4.7,4.6,4.7,27900
2010-11-09,4.6,4.6,4.5,4.55,40100
2010-11-10,4.55,4.7,4.4,4.6,119700
2010-11-11,4.55,4.6,4.35,4.4,131000
2010-11-12,4.24,4.24,4.19,4.19,156400
2010-11-15,4.29,4.35,4.04,4.04,41400
2010-11-16,3.94,4.04,3.89,4.04,169700
2010-11-17,4.04,4.19,3.99,4.09,84700
2010-11-18,4.29,4.35,4.19,4.35,109800
2010-11-19,4.6,4.6,4.09,4.14,76000
2010-11-22,4.09,4.09,3.94,3.99,174100
2010-11-23,4.04,4.04,3.94,4.04,31400
2010-11-24,3.83,4.09,3.83,4.09,56200
2010-11-25,4.19,4.24,4.09,4.09,57400
2010-11-26,4.19,4.24,4.04,4.09,105200
2010-11-29,4.14,4.4,3.94,4.4,202300
2010-11-30,4.45,4.55,4.35,4.55,314200
2010-12-01,4.35,4.5,4.24,4.35,160000
2010-12-02,4.4,4.55,4.14,4.5,194000
2010-12-03,4.65,4.7,4.6,4.7,387100
2010-12-06,5.01,5.01,4.75,4.86,644900
2010-12-07,4.96,5.06,4.65,4.7,304300
2010-12-08,4.65,4.86,4.55,4.55,220600
2010-12-09,4.65,4.81,4.35,4.65,245900
2010-12-10,4.4,4.91,4.4,4.91,432100
2010-12-13,5.11,5.16,5.11,5.16,911800
2010-12-14,5.47,5.47,4.91,5.01,533100
2010-12-15,5.11,5.32,4.96,5.06,376800
2010-12-16,4.96,5.01,4.75,4.75,259300
2010-12-17,5.01,5.01,4.7,4.96,198600
2010-12-20,4.91,5.01,4.75,4.81,121800
2010-12-21,4.81,4.91,4.6,4.75,209700
2010-12-22,4.86,4.86,4.6,4.65,67800
2010-12-23,4.55,4.65,4.5,4.5,83400
2010-12-24,4.6,4.6,4.4,4.55,140000
2010-12-27,4.7,4.7,4.5,4.55,36600
2010-12-28,4.65,4.75,4.6,4.65,106300
2010-12-29,4.75,4.75,4.6,4.6,56000
2010-12-30,4.55,4.65,4.5,4.55,99600
2010-12-31,4.6,4.65,4.5,4.55,23500
2011-01-04,4.55,4.7,4.45,4.45,109800
2011-01-05,4.5,4.5,4.45,4.45,43200
2011-01-06,4.29,4.55,4.29,4.35,82700
2011-01-07,4.5,4.55,4.29,4.4,58000
2011-01-10,4.4,4.4,4.09,4.19,100400
2011-01-11,4.29,4.29,3.99,4.04,177600
2011-01-12,4.19,4.19,4.04,4.14,87600
2011-01-13,4.19,4.24,4.09,4.14,54100
2011-01-14,4.19,4.24,4.14,4.14,63800
2011-01-17,4.19,4.35,4.19,4.24,90900
2011-01-18,4.35,4.35,4.14,4.19,85300
2011-01-19,4.19,4.19,4.09,4.14,74100
2011-01-20,4.14,4.24,4.09,4.14,39400
2011-01-21,4.14,4.24,4.14,4.14,49300
2011-01-24,4.24,4.24,4.09,4.09,52800
2011-01-25,4.04,4.09,4.04,4.09,48500
2011-01-26,4.19,4.29,4.09,4.09,56300
2011-01-27,4.14,4.19,4.14,4.19,25600
2011-01-28,4.24,4.24,4.14,4.19,43800
2011-02-08,4.19,4.24,4.19,4.19,24600
2011-02-09,4.19,4.29,4.14,4.24,121600
2011-02-10,4.24,4.24,4.19,4.24,38600
2011-02-11,4.19,4.19,4.14,4.19,56300
2011-02-14,4.14,4.19,4.09,4.14,41100
2011-02-15,4.09,4.14,4.04,4.14,55400
2011-02-16,4.09,4.09,4.04,4.09,51100
2011-02-17,4.09,4.09,3.94,3.99,64700
2011-02-18,3.99,4.04,3.83,3.94,143900
2011-02-21,3.83,3.83,3.68,3.68,90700
2011-02-22,3.63,3.63,3.42,3.48,306200
2011-02-23,3.32,3.63,3.32,3.58,71500
2011-02-24,3.53,3.58,3.37,3.53,27200
2011-02-25,3.53,3.63,3.42,3.63,132600
2011-02-28,3.58,3.68,3.53,3.58,72300
2011-03-01,3.53,3.58,3.48,3.58,38100
2011-03-02,3.53,3.53,3.42,3.48,236500
2011-03-03,3.42,3.48,3.32,3.32,309200
2011-03-04,3.42,3.58,3.32,3.37,72600
2011-03-07,3.37,3.42,3.32,3.32,43600
2011-03-08,3.48,3.48,3.22,3.22,66100
2011-03-09,3.17,3.17,3.12,3.17,83100
2011-03-10,3.17,3.32,3.17,3.32,72300
2011-03-11,3.48,3.53,3.48,3.53,149500
2011-03-14,3.53,3.53,3.32,3.37,94400
2011-03-15,3.42,3.42,3.17,3.22,74100
2011-03-16,3.22,3.27,3.12,3.27,55900
2011-03-17,3.32,3.32,3.17,3.22,48400
2011-03-18,3.22,3.37,3.22,3.37,135300
2011-03-21,3.48,3.53,3.37,3.37,76200
2011-03-22,3.32,3.37,3.27,3.32,96900
