time,open,high,low,close,volume
2010-12-29,11.53,12.97,8.72,8.72,32700
2010-12-30,9.95,9.95,8.65,8.65,19200
2010-12-31,8.36,8.36,8.29,8.29,2300
2011-01-04,8.79,8.79,8.79,8.79,100
2011-01-05,8.22,8.65,8.22,8.5,2400
2011-01-06,8.65,8.65,7.71,8.5,1300
2011-01-07,8.22,8.22,7.5,8.07,1100
2011-01-10,8.29,8.29,8.29,8.29,100
2011-01-11,8.5,8.5,8.29,8.29,300
2011-01-12,8.86,8.86,8.86,8.86,100
2011-01-13,8.86,8.86,8.86,8.86,0
2011-01-14,8.43,8.43,8.43,8.43,500
2011-01-17,7.86,8.29,7.86,7.86,2300
2011-01-18,7.93,7.93,7.42,7.78,1500
2011-01-19,7.13,7.13,7.06,7.06,7600
2011-01-20,7.06,7.21,6.7,6.7,7500
2011-01-21,6.99,7.21,6.85,6.85,2000
2011-01-24,7.21,7.21,6.77,7.06,500
2011-01-25,7.06,7.06,7.06,7.06,0
2011-01-26,6.49,6.49,6.49,6.49,900
2011-01-27,6.92,6.92,6.56,6.56,600
2011-01-28,7.13,7.13,7.06,7.06,5600
2011-02-08,6.92,7.5,6.77,6.77,1200
2011-02-09,7.35,7.35,7.35,7.35,200
2011-02-10,6.85,6.85,6.85,6.85,11000
2011-02-11,7.28,7.28,6.85,6.85,5700
2011-02-14,7.06,7.06,7.06,7.06,900
2011-02-15,7.06,7.06,7.06,7.06,0
2011-02-16,6.63,6.85,6.63,6.85,8000
2011-02-17,6.7,7.06,6.34,6.34,800
2011-02-18,6.77,6.77,6.13,6.13,400
2011-02-21,5.91,5.91,5.91,5.91,1400
2011-02-22,5.55,5.55,5.55,5.55,5100
2011-02-23,5.19,5.77,5.19,5.77,8100
2011-02-24,4.83,5.12,4.83,5.12,2500
2011-02-25,5.04,5.04,4.68,5.04,4800
2011-02-28,5.26,5.26,5.26,5.26,3500
2011-03-01,5.48,5.48,5.48,5.48,1100
2011-03-02,5.48,5.48,5.48,5.48,0
2011-03-03,5.62,5.77,5.62,5.62,300
2011-03-04,5.77,5.77,5.77,5.77,900
2011-03-07,5.98,5.98,5.77,5.98,300
2011-03-08,6.05,6.05,6.05,6.05,100
2011-03-09,6.05,6.05,6.05,6.05,0
2011-03-10,5.69,5.91,5.69,5.69,2100
2011-03-11,5.41,5.69,5.41,5.41,3200
2011-03-14,5.69,5.69,5.12,5.12,800
2011-03-15,4.83,4.83,4.83,4.83,1400
2011-03-16,5.12,5.12,4.83,4.83,5400
2011-03-17,5.04,5.04,5.04,5.04,2700
2011-03-18,4.9,4.9,4.9,4.9,2200
2011-03-21,5.12,5.19,5.12,5.19,10000
2011-03-22,5.12,5.12,4.9,4.9,3700
2011-03-23,5.12,5.12,4.76,4.76,1200
2011-03-24,5.19,5.26,5.19,5.26,21300
2011-03-25,5.26,5.62,5.26,5.55,1200
2011-03-28,5.33,5.84,5.26,5.84,14100
