time,open,high,low,close,volume
2010-07-30,7.13,7.13,6.77,7.04,1006510
2010-08-02,7.04,7.04,6.95,7.01,392660
2010-08-03,7.1,7.1,7.01,7.02,250030
2010-08-04,7.02,7.02,6.86,6.95,67000
2010-08-05,6.93,6.93,6.81,6.93,83100
2010-08-06,6.93,6.93,6.86,6.86,77410
2010-08-09,6.86,6.86,6.77,6.77,91000
2010-08-10,6.61,6.77,6.61,6.76,64940
2010-08-11,6.76,6.76,6.72,6.76,49290
2010-08-12,6.76,6.76,6.45,6.45,61370
2010-08-13,6.45,6.51,6.24,6.47,23350
2010-08-16,6.47,6.63,6.47,6.6,32770
2010-08-17,6.6,6.6,6.56,6.58,48510
2010-08-18,6.58,6.58,6.42,6.56,52520
2010-08-19,6.56,6.56,6.51,6.52,24730
2010-08-20,6.52,6.52,6.42,6.52,33000
2010-08-23,6.52,6.52,6.47,6.47,33000
2010-08-24,6.47,6.47,6.15,6.15,193930
2010-08-25,6.15,6.15,5.88,5.88,119000
2010-08-26,5.88,6.06,5.6,5.7,104200
2010-08-27,5.88,5.99,5.79,5.99,50600
2010-08-30,6.24,6.28,6.24,6.28,37050
2010-08-31,6.33,6.38,6.28,6.38,22500
2010-09-01,6.42,6.42,6.38,6.38,19550
2010-09-06,6.51,6.51,6.38,6.42,19100
2010-09-07,6.47,6.49,6.38,6.38,25700
2010-09-08,6.42,6.42,6.33,6.33,26100
2010-09-09,6.36,6.38,6.24,6.24,35480
2010-09-10,6.24,6.24,6.22,6.22,15880
2010-09-13,6.22,6.22,5.92,5.94,30600
2010-09-14,6.22,6.22,5.94,6.22,69420
2010-09-15,6.28,6.47,6.28,6.47,54380
2010-09-16,6.47,6.54,6.45,6.54,130830
2010-09-17,6.52,6.54,6.51,6.54,69580
2010-09-20,6.83,6.83,6.54,6.58,68680
2010-09-21,6.56,6.58,6.45,6.45,39230
2010-09-22,6.42,6.49,6.42,6.44,24860
2010-09-23,6.44,6.44,6.33,6.33,92090
2010-09-24,6.2,6.35,6.2,6.2,36740
2010-09-27,6.24,6.24,6.17,6.17,32380
2010-09-28,6.19,6.26,6.19,6.22,25950
2010-09-29,6.22,6.24,6.2,6.22,22710
2010-09-30,6.24,6.33,6.22,6.24,21020
2010-10-01,6.24,6.29,6.01,6.1,38920
2010-10-04,6.04,6.1,6.04,6.04,22150
2010-10-05,6.04,6.33,5.97,6.1,44030
2010-10-06,6.15,6.26,6.15,6.15,14580
2010-10-07,6.15,6.19,6.13,6.15,8210
2010-10-08,6.06,6.15,5.88,6.06,29210
2010-10-11,6.04,6.22,5.79,6.04,23100
2010-10-12,6.03,6.06,6.01,6.03,16500
2010-10-13,6.01,6.04,6.01,6.01,15970
2010-10-14,6.01,6.04,6.01,6.01,17700
2010-10-15,6.03,6.03,5.97,6.03,12400
2010-10-18,5.94,6.03,5.94,5.94,29470
2010-10-19,5.95,5.95,5.88,5.88,33900
2010-10-20,5.88,5.92,5.85,5.85,15100
2010-10-21,5.85,5.97,5.85,5.85,16800
2010-10-22,5.85,5.88,5.79,5.79,28500
2010-10-25,5.83,5.83,5.81,5.83,16200
2010-10-26,5.83,5.88,5.79,5.83,54600
2010-10-27,5.81,5.83,5.81,5.81,13000
2010-10-28,5.81,5.81,5.81,5.81,9080
2010-10-29,5.81,5.81,5.81,5.81,8320
2010-11-01,5.81,5.81,5.79,5.79,16000
2010-11-02,5.79,5.81,5.79,5.79,10900
2010-11-03,5.76,5.81,5.76,5.76,18100
2010-11-04,5.79,5.79,5.76,5.79,15590
2010-11-05,6.06,6.06,5.79,6.06,72420
2010-11-08,6.06,6.06,5.99,6.03,11510
2010-11-09,6.03,6.03,5.95,5.95,13510
2010-11-10,5.97,6.04,5.95,5.97,17200
2010-11-11,6.24,6.24,5.95,5.95,80410
2010-11-12,5.85,5.95,5.79,5.85,12640
2010-11-15,5.85,5.88,5.85,5.85,13000
2010-11-16,5.81,5.87,5.79,5.81,10300
2010-11-17,5.81,5.85,5.53,5.81,17120
2010-11-18,5.88,5.88,5.53,5.81,57450
2010-11-19,5.79,5.83,5.7,5.79,20910
