time,open,high,low,close,volume
2016-01-18,3.66,0.0,0.0,0.0,0
2016-01-19,3.66,0.0,0.0,0.0,0
2016-01-20,3.66,0.0,0.0,0.0,0
2016-01-21,3.66,0.0,0.0,0.0,0
2016-01-22,3.66,0.0,0.0,0.0,0
2016-01-25,3.66,0.0,0.0,0.0,0
2016-01-26,3.66,0.0,0.0,0.0,0
2016-01-27,3.66,0.0,0.0,0.0,0
2016-01-28,3.66,0.0,0.0,0.0,0
2016-01-29,3.66,0.0,0.0,0.0,0
2016-02-01,3.66,0.0,0.0,0.0,0
2016-02-02,3.66,0.0,0.0,0.0,0
2016-02-03,3.66,0.0,0.0,0.0,0
2016-02-04,3.66,0.0,0.0,0.0,0
2016-02-05,3.66,0.0,0.0,0.0,0
2016-02-15,3.66,0.0,0.0,0.0,0
2016-02-16,3.66,0.0,0.0,0.0,0
2016-02-17,2.23,2.23,2.23,2.23,5000
2016-02-18,2.47,2.55,2.47,2.55,2000
2016-02-19,2.55,2.55,2.55,2.55,0
2016-02-22,2.55,2.55,2.55,2.55,0
2016-02-23,2.55,2.55,2.55,2.55,1000
2016-02-24,2.55,2.55,2.55,2.55,0
2016-02-25,2.55,2.55,2.55,2.55,0
2016-02-26,2.72,2.72,2.72,2.72,200
2016-02-29,2.6,2.6,2.6,2.6,3800
2016-03-01,2.6,2.6,2.6,2.6,0
2016-03-02,2.6,2.6,2.6,2.6,0
2016-03-03,2.6,2.6,2.6,2.6,0
2016-03-04,2.72,2.72,2.72,2.72,2000
2016-03-07,2.97,2.97,2.97,2.97,1000
2016-03-08,2.97,2.97,2.97,2.97,0
2016-03-09,2.97,2.97,2.97,2.97,0
2016-03-10,2.97,2.97,2.97,2.97,0
2016-03-11,2.97,2.97,2.97,2.97,0
2016-03-14,2.97,2.97,2.97,2.97,0
2016-03-15,2.97,2.97,2.97,2.97,0
2016-03-16,3.09,3.09,3.09,3.09,100
2016-03-17,3.09,3.09,3.09,3.09,0
2016-03-18,3.09,3.09,3.09,3.09,0
2016-03-21,3.17,3.22,3.17,3.22,1000
2016-03-22,3.22,3.22,3.22,3.22,0
2016-03-23,2.75,2.75,2.75,2.75,100
2016-03-24,2.62,2.62,2.62,2.62,100
2016-03-25,2.62,2.62,2.62,2.62,0
2016-03-28,2.62,2.62,2.62,2.62,0
2016-03-29,2.99,2.99,2.47,2.47,5100
2016-03-30,3.44,3.44,2.57,2.57,4100
2016-03-31,3.34,3.34,3.22,3.22,2000
2016-04-01,3.76,3.76,3.76,3.76,2900
2016-04-04,3.76,3.76,3.76,3.76,0
2016-04-05,3.76,3.76,3.76,3.76,0
2016-04-06,3.76,3.76,3.76,3.76,0
2016-04-07,3.76,3.76,3.76,3.76,500
2016-04-08,3.76,3.76,3.76,3.76,0
2016-04-11,3.22,3.22,3.22,3.22,100
2016-04-12,3.22,3.22,3.22,3.22,200
2016-04-13,2.75,2.75,2.75,2.75,100
2016-04-14,2.75,2.75,2.75,2.75,0
2016-04-15,2.75,2.75,2.75,2.75,0
2016-04-19,2.37,2.37,2.37,2.37,100
2016-04-20,2.37,2.37,2.37,2.37,0
2016-04-21,2.37,2.37,2.37,2.37,0
2016-04-22,2.37,2.37,2.37,2.37,0
2016-04-25,2.37,2.37,2.37,2.37,0
2016-04-26,2.37,2.37,2.37,2.37,0
2016-04-27,2.37,2.37,2.37,2.37,0
2016-04-28,2.71,2.71,2.71,2.71,0
2016-04-29,2.71,2.71,2.71,2.71,0
2016-05-04,2.71,2.71,2.71,2.71,0
