time,open,high,low,close,volume
2010-01-04,3.52,3.69,3.52,3.69,16300
2010-01-05,3.92,3.92,3.91,3.91,16400
2010-01-06,3.83,3.95,3.83,3.9,24500
2010-01-07,3.92,3.92,3.89,3.89,19200
2010-01-08,3.91,3.91,3.64,3.64,9300
2010-01-11,3.83,3.84,3.71,3.76,15500
2010-01-12,3.95,3.95,3.8,3.81,8000
2010-01-13,3.7,3.76,3.64,3.76,15700
2010-01-14,3.76,3.83,3.73,3.83,18200
2010-01-15,3.76,3.76,3.7,3.76,3500
2010-01-18,3.7,3.7,3.55,3.55,2500
2010-01-19,3.59,3.59,3.59,3.59,6000
2010-01-20,3.58,3.58,3.58,3.58,2600
2010-01-21,3.58,3.64,3.58,3.64,2600
2010-01-22,3.52,3.64,3.52,3.64,1900
2010-01-25,3.64,3.64,3.64,3.64,0
2010-01-26,3.58,3.64,3.58,3.64,1600
2010-01-27,3.64,3.64,3.64,3.64,0
2010-01-28,3.64,3.64,3.64,3.64,0
2010-01-29,3.58,3.58,3.55,3.58,3900
2010-02-01,3.58,3.58,3.58,3.58,5000
2010-02-02,3.58,3.58,3.58,3.58,3500
2010-02-03,3.58,3.58,3.55,3.58,5500
2010-02-04,3.58,3.58,3.57,3.57,3000
2010-02-05,3.66,3.66,3.65,3.65,800
2010-02-08,3.57,3.57,3.57,3.57,300
2010-02-09,3.55,3.55,3.52,3.52,600
2010-02-10,3.71,3.71,3.71,3.71,0
2010-02-11,3.63,3.63,3.63,3.63,100
2010-02-12,3.84,3.84,3.84,3.84,100
2010-02-22,3.91,3.97,3.91,3.97,1000
2010-02-23,3.78,3.91,3.71,3.91,800
2010-02-24,3.91,3.91,3.91,3.91,100
2010-02-25,3.91,3.91,3.91,3.91,0
2010-02-26,3.65,3.65,3.65,3.65,1100
2010-03-01,3.88,3.88,3.88,3.88,1300
2010-03-02,3.84,3.84,3.63,3.63,2700
2010-03-03,3.84,3.84,3.84,3.84,500
2010-03-04,3.78,3.78,3.78,3.78,200
2010-03-05,3.78,3.78,3.78,3.78,0
2010-03-08,3.83,3.91,3.78,3.78,2100
2010-03-09,3.71,3.71,3.71,3.71,500
2010-03-10,3.78,3.83,3.71,3.71,2900
2010-03-11,3.65,3.78,3.65,3.78,5500
2010-03-12,3.78,3.91,3.65,3.65,8900
2010-03-15,3.78,3.78,3.65,3.74,11500
2010-03-16,3.84,3.95,3.71,3.79,21000
2010-03-17,3.91,4.1,3.84,3.84,8700
2010-03-18,3.91,3.98,3.78,3.78,20200
2010-03-19,3.91,3.91,3.71,3.78,10100
2010-03-22,3.84,4.01,3.78,4.01,245500
2010-03-23,4.23,4.23,4.23,4.23,68100
2010-03-24,4.52,4.52,4.52,4.52,41000
2010-03-25,4.83,4.83,4.43,4.45,177500
2010-03-26,4.44,4.53,4.36,4.49,88900
2010-03-29,4.56,4.69,4.3,4.69,118700
2010-03-30,4.88,4.95,4.36,4.69,73300
2010-03-31,4.43,4.69,4.36,4.38,94400
2010-04-01,4.43,4.69,4.15,4.56,55500
2010-04-02,4.56,4.56,4.43,4.45,35800
2010-04-05,4.3,4.56,4.3,4.47,25600
2010-04-06,4.49,4.56,4.34,4.4,69300
2010-04-07,4.53,4.78,4.53,4.78,82200
2010-04-08,5.04,5.04,5.03,5.04,119200
2010-04-09,5.39,5.39,4.99,5.01,33900
2010-04-12,5.14,5.14,4.9,4.9,42100
2010-04-13,4.95,4.95,4.64,4.69,40200
2010-04-14,4.95,4.95,4.69,4.82,111800
2010-04-15,5.21,5.21,4.95,5.21,139600
2010-04-16,5.53,5.55,5.4,5.55,331600
2010-04-19,5.66,5.66,5.18,5.42,200700
2010-04-20,5.63,5.63,5.6,5.63,93500
2010-04-21,6.02,6.02,5.99,6.02,73000
2010-04-22,6.43,6.43,5.6,5.99,301900
2010-04-26,5.99,5.99,5.91,5.91,75400
2010-04-27,5.55,5.73,5.52,5.65,228300
2010-04-28,5.65,5.73,5.57,5.6,38000
2010-04-29,5.99,6.07,5.68,5.86,239600
2010-05-04,6.32,6.32,5.86,5.96,71600
2010-05-05,5.66,5.93,5.65,5.65,83100
2010-05-06,5.73,6.12,5.73,6.12,227200
2010-05-07,6.35,6.38,5.99,6.04,228000
2010-05-10,6.12,6.25,5.79,5.83,115900
2010-05-11,5.99,6.02,5.51,5.55,128000
2010-05-12,6.02,6.02,6.02,6.02,11500
2010-05-13,6.43,6.43,6.36,6.43,269600
2010-05-14,6.86,6.86,6.36,6.36,56200
2010-05-17,6.47,6.47,6.09,6.09,64200
2010-05-18,6.11,6.52,6.04,6.13,31800
2010-05-19,5.91,5.91,5.88,5.88,7000
2010-05-20,5.5,5.84,5.5,5.68,113200
2010-05-21,5.23,5.23,5.13,5.13,44400
2010-05-24,4.79,5.36,4.79,5.18,22800
2010-05-25,5.16,5.23,5.13,5.13,33300
2010-05-26,5.16,5.45,5.16,5.32,52800
2010-05-27,5.5,5.54,5.18,5.23,31600
2010-05-28,5.57,5.68,5.57,5.68,82100
2010-05-31,6.04,6.07,5.91,6.07,126200
2010-06-01,6.41,6.45,6.27,6.45,103400
2010-06-02,6.36,6.59,6.25,6.47,50200
2010-06-03,6.59,6.82,6.54,6.82,128200
2010-06-04,6.93,6.93,6.27,6.27,88000
2010-06-07,5.95,6.22,5.95,5.95,62600
2010-06-08,5.54,6.0,5.54,5.95,61200
2010-06-09,6.07,6.13,5.82,5.98,16700
2010-06-10,6.29,6.29,5.95,6.07,15900
2010-06-11,6.32,6.34,6.0,6.07,24100
2010-06-14,6.22,6.25,6.04,6.18,28400
2010-06-15,6.22,6.22,5.93,6.13,19500
2010-06-16,6.07,6.43,5.95,6.34,96100
2010-06-17,6.59,6.61,6.13,6.2,29100
2010-06-18,6.54,6.54,5.95,5.95,15200
2010-06-21,6.09,6.25,6.07,6.09,36200
2010-06-22,6.22,6.22,5.7,5.7,51300
2010-06-23,5.86,5.88,5.68,5.88,15200
2010-06-24,5.91,6.2,5.91,6.18,73800
2010-06-25,5.93,6.13,5.79,5.79,16700
2010-06-28,5.91,6.13,5.68,5.93,28400
2010-06-29,6.11,6.11,5.95,5.98,38600
2010-06-30,5.79,5.79,5.68,5.7,18600
2010-07-01,5.88,5.88,5.48,5.48,37000
2010-07-02,5.86,5.86,5.48,5.61,6000
2010-07-05,5.88,5.88,5.63,5.66,19000
2010-07-06,5.98,5.98,5.63,5.68,8800
2010-07-07,5.75,5.75,5.48,5.57,32800
2010-07-08,5.66,5.66,5.45,5.45,21600
2010-07-09,5.57,5.66,5.57,5.59,12400
2010-07-12,5.59,5.88,5.59,5.66,17200
2010-07-13,5.75,5.88,5.68,5.88,8000
2010-07-14,5.98,5.98,5.66,5.66,19200
2010-07-15,5.77,5.79,5.59,5.68,31700
2010-07-16,5.73,5.75,5.54,5.54,39500
2010-07-19,5.68,5.68,5.5,5.66,24100
2010-07-20,5.77,5.91,5.63,5.82,54200
2010-07-21,5.98,6.13,5.86,5.98,44900
2010-07-22,5.95,6.02,5.63,5.63,21700
2010-07-23,5.91,5.91,5.66,5.66,9900
2010-07-26,5.61,5.66,5.48,5.48,16600
2010-07-27,5.79,5.79,5.5,5.5,9800
2010-07-28,5.66,5.66,5.32,5.63,11600
2010-07-29,5.61,5.63,5.48,5.52,9300
2010-07-30,5.63,5.68,5.5,5.54,13600
2010-08-02,5.68,5.68,5.59,5.63,10800
