time,open,high,low,close,volume
2017-01-12,4.89,5.13,3.91,3.91,13200
2017-01-13,3.91,3.91,3.91,3.91,0
2017-01-16,4.3,4.3,4.3,4.3,200
2017-01-17,4.3,4.3,4.3,4.3,0
2017-01-18,4.3,4.3,4.3,4.3,0
2017-01-19,4.84,4.84,4.84,4.84,100
2017-01-20,4.84,4.84,4.84,4.84,0
2017-01-23,4.84,4.84,4.84,4.84,0
2017-01-24,5.37,5.37,4.15,4.15,2700
2017-01-25,4.89,4.89,4.89,4.89,1800
2017-02-02,5.33,5.33,5.33,5.33,1800
2017-02-03,4.54,4.84,4.54,4.84,1900
2017-02-06,4.84,4.89,4.06,4.79,7000
2017-02-07,4.69,4.69,4.69,4.69,1500
2017-02-08,4.69,4.69,4.69,4.69,0
2017-02-09,4.84,4.84,4.01,4.01,1100
2017-02-10,4.64,4.64,4.64,4.64,1000
2017-02-13,4.25,4.25,4.15,4.15,4000
2017-02-14,4.25,4.25,4.25,4.25,2200
2017-02-15,4.25,4.25,4.25,4.25,0
2017-02-16,4.25,4.25,4.25,4.25,0
2017-02-17,3.62,3.62,3.62,3.62,1100
2017-02-20,4.15,4.15,4.15,4.15,12600
2017-02-21,4.59,4.59,3.57,3.57,400
2017-02-22,4.35,4.35,4.35,4.35,100
2017-02-23,4.35,4.35,4.35,4.35,0
2017-02-24,4.54,4.54,4.25,4.25,2100
2017-02-27,4.25,4.25,4.25,4.25,0
2017-02-28,3.91,3.91,3.91,3.91,2000
2017-03-01,3.91,3.91,3.91,3.91,0
2017-03-02,4.15,4.15,4.15,4.15,100
2017-03-03,4.15,4.15,4.15,4.15,0
2017-03-06,4.15,4.15,4.15,4.15,0
2017-03-07,4.15,4.15,4.15,4.15,0
2017-03-08,4.15,4.15,4.15,4.15,0
2017-03-09,4.15,4.15,4.15,4.15,0
2017-03-10,3.91,3.91,3.91,3.91,100
2017-03-13,3.91,3.91,3.91,3.91,0
2017-03-14,4.15,4.15,4.15,4.15,100
2017-03-15,4.15,4.15,4.15,4.15,0
2017-03-16,4.74,4.74,4.74,4.74,100
2017-03-17,4.74,4.74,4.74,4.74,0
2017-03-20,4.15,4.15,4.15,4.15,100
2017-03-21,4.15,4.15,4.15,4.15,0
2017-03-22,4.15,4.15,4.15,4.15,400
2017-03-23,3.91,3.91,3.91,3.91,100
2017-03-24,3.91,3.91,3.91,3.91,0
2017-03-27,3.91,3.91,3.91,3.91,0
2017-03-28,3.62,3.62,3.62,3.62,1000
2017-03-29,3.62,3.62,3.62,3.62,0
2017-03-30,3.62,3.62,3.62,3.62,0
2017-03-31,3.91,3.91,3.91,3.91,100
2017-04-03,3.91,3.91,3.91,3.91,0
2017-04-04,3.32,4.4,3.32,4.4,12800
2017-04-05,3.91,3.91,3.91,3.91,100
2017-04-07,3.91,3.91,3.91,3.91,0
2017-04-10,3.91,3.91,3.91,3.91,0
2017-04-11,3.91,3.91,3.91,3.91,0
2017-04-12,3.91,3.91,3.91,3.91,0
2017-04-13,3.91,3.91,3.91,3.91,0
2017-04-14,3.91,3.91,3.91,3.91,0
